"","Date","Open","High","Low","Close","Adj.Close","Volume","Hit","News"
"1","2013-12-02","399","399","381.369995","386.950012","386.950012","14663400","82","19"
"2","2013-12-09","388.109985","389.420013","379.5","384.23999","384.23999","13098600","76","14"
"3","2013-12-16","385.029999","404.720001","383.100006","402.200012","402.200012","15545800","74","10"
"4","2013-12-23","403.690002","405.630005","396.25","398.079987","398.079987","7895300","70","6"
"5","2013-12-30","399.410004","402.709991","392.450012","396.440002","396.440002","8831600","60","7"
"6","2014-01-06","395.850006","406.890015","388.420013","397.660004","397.660004","12185600","54","10"
"7","2014-01-13","397.980011","403.48999","388.450012","399.609985","399.609985","14969600","52","6"
"8","2014-01-20","403","408.059998","387.269989","387.600006","387.600006","12666400","51","4"
"9","2014-01-27","390.5","406.25","357.76001","358.690002","358.690002","36842300","49","3"
"10","2014-02-03","358.980011","361.799988","337.730011","361.079987","361.079987","27195300","48","4"
"11","2014-02-10","361.609985","365","346.320007","357.350006","357.350006","20954700","48","8"
"12","2014-02-17","355.279999","355.730011","344.380005","346.76001","346.76001","16868900","49","10"
"13","2014-02-24","345.190002","365.869995","343.290009","362.100006","362.100006","17990100","48","22"
"14","2014-03-03","358.73999","375.329987","354.480011","372.059998","372.059998","14557400","49","20"
"15","2014-03-10","372.690002","383.109985","363.609985","373.73999","373.73999","17799700","47","8"
"16","2014-03-17","375.720001","379","358.399994","360.619995","360.619995","15405800","47","10"
"17","2014-03-24","360.089996","361.5","330.880005","338.290009","338.290009","23193100","47","8"
"18","2014-03-31","342.399994","348.299988","315.609985","323","323","31307000","47","22"
"19","2014-04-07","320.98999","332.179993","309.5","311.730011","311.730011","32125800","45","6"
"20","2014-04-14","317.670013","328.660004","305.5","324.910004","324.910004","18276200","47","3"
"21","2014-04-21","323.970001","337.5","302.709991","303.829987","303.829987","35789500","46","4"
"22","2014-04-28","304","313.290009","288","308.01001","308.01001","33401400","47","7"
"23","2014-05-05","306.369995","310.230011","284.380005","292.23999","292.23999","22128600","47","5"
"24","2014-05-12","294.299988","305.600006","290.380005","297.700012","297.700012","18494700","46","4"
"25","2014-05-19","295.76001","312.350006","293.809998","312.23999","312.23999","15418400","46","6"
"26","2014-05-26","314.410004","314.869995","307.380005","312.549988","312.549988","14213800","46","4"
"27","2014-06-02","312.589996","330.880005","303.839996","329.670013","329.670013","19730400","49","4"
"28","2014-06-09","331.570007","340.720001","323.529999","326.269989","326.269989","18353500","49","3"
"29","2014-06-16","324.859985","338.899994","320.420013","324.200012","324.200012","23150000","52","6"
"30","2014-06-23","323.329987","329.730011","321.410004","324.570007","324.570007","12674900","47","3"
"31","2014-06-30","324.980011","338.299988","322.23999","337.48999","337.48999","10470500","48","10"
"32","2014-07-07","337.5","347","321.399994","346.200012","346.200012","20532400","49","4"
"33","2014-07-14","347.029999","359.679993","345.359985","358.660004","358.660004","20327800","49","7"
"34","2014-07-21","358.100006","364.850006","314.76001","324.01001","324.01001","32789800","50","7"
"35","2014-07-28","324.25","324.820007","304.589996","307.059998","307.059998","25418300","51","4"
"36","2014-08-04","308.839996","317.320007","308.5","316.799988","316.799988","14991400","52","7"
"37","2014-08-11","318.480011","335","316.880005","333.630005","333.630005","16640600","51","2"
"38","2014-08-18","335.480011","337.799988","330.799988","331.589996","331.589996","10192000","53","4"
"39","2014-08-25","333.209991","346.670013","332.709991","339.040009","339.040009","12766200","53","2"
"40","2014-09-01","339.980011","349.380005","337.160004","346.380005","346.380005","10392300","52","6"
"41","2014-09-08","344.540009","345.809998","326.390015","331.190002","331.190002","17549000","50","10"
"42","2014-09-15","330.910004","332.76001","319","331.320007","331.320007","20859400","51","4"
"43","2014-09-22","328.48999","329.48999","317.640015","323.209991","323.209991","14671300","50","4"
"44","2014-09-29","320.5","325.160004","311.309998","322.73999","322.73999","14241200","50","3"
"45","2014-10-06","323.5","324.130005","311.380005","311.390015","311.390015","15378300","50","NA"
"46","2014-10-13","309.869995","313.200012","293.829987","303.640015","303.640015","22230000","50","4"
"47","2014-10-20","302.950012","318.980011","284","287.059998","287.059998","38759000","52","4"
"48","2014-10-27","285.700012","305.720001","285.019989","305.459991","305.459991","25011000","49","1"
"49","2014-11-03","306.23999","308.01001","292.290009","299.859985","299.859985","17749900","53","5"
"50","2014-11-10","300","332.880005","300","327.820007","327.820007","21359900","56","4"
"51","2014-11-17","326.440002","338.329987","318.029999","332.630005","332.630005","19519300","59","2"
"52","2014-11-24","334.779999","341.26001","331.279999","338.640015","338.640015","10354600","75","2"
"53","2014-12-01","338.119995","340.640015","310.839996","312.630005","312.630005","19971700","80","3"
"54","2014-12-08","311.570007","316.559998","301.140015","307.320007","307.320007","17351000","76","4"
"55","2014-12-15","308.869995","310.859985","293.029999","299.899994","299.899994","31223600","78","5"
"56","2014-12-22","301.940002","310.779999","301.940002","309.089996","309.089996","11125100","70","3"
"57","2014-12-29","307.850006","314.75","306.579987","308.519989","308.519989","9933200","65","4"
"58","2015-01-05","307.01001","308.380005","292.380005","296.929993","296.929993","14611400","56","4"
"59","2015-01-12","297.559998","301.5","285.25","290.73999","290.73999","20988400","54","11"
"60","2015-01-19","292.589996","316.929993","286.390015","312.390015","312.390015","22957300","55","5"
"61","2015-01-26","311.820007","359.5","299.329987","354.529999","354.529999","41666500","52","5"
"62","2015-02-02","350.049988","378.799988","350.01001","374.279999","374.279999","31724800","50","4"
"63","2015-02-09","371","383","367.200012","381.829987","381.829987","14064500","51","NA"
"64","2015-02-16","377.720001","383.700012","372.670013","383.660004","383.660004","12408500","50","2"
"65","2015-02-23","383.440002","389.369995","376.160004","380.160004","380.160004","12491700","50","2"
"66","2015-03-02","380.850006","388.420013","378.880005","380.089996","380.089996","11658900","50","2"
"67","2015-03-09","378.399994","379.329987","366.26001","370.579987","370.579987","13307800","50","1"
"68","2015-03-16","370.380005","379.369995","366.700012","378.48999","378.48999","12708200","49","2"
"69","2015-03-23","378.070007","381.769989","365.649994","370.559998","370.559998","13426800","49","1"
"70","2015-03-30","371.869995","377.700012","368.339996","372.25","372.25","8653400","51","4"
"71","2015-04-06","370.100006","387.119995","369.359985","382.649994","382.649994","12607800","48","6"
"72","2015-04-13","383.529999","387.809998","374.399994","375.559998","375.559998","12296600","49","2"
"73","2015-04-20","378.549988","452.649994","377","445.100006","445.100006","38276500","49","2"
"74","2015-04-27","443.859985","446.98999","416","422.869995","422.869995","20406800","47","1"
"75","2015-05-04","424.799988","435.200012","414.549988","433.690002","433.690002","13354200","50","NA"
"76","2015-05-11","432.51001","439","424.299988","426","426","12466600","50","1"
"77","2015-05-18","426","436.899994","418.359985","427.630005","427.630005","13071100","50","3"
"78","2015-05-25","426.200012","432.5","422","429.230011","429.230011","9396300","51","4"
"79","2015-06-01","430.399994","438.390015","426.200012","426.950012","426.950012","11068800","52","7"
"80","2015-06-08","425.619995","438.890015","419.140015","429.920013","429.920013","11604800","52","1"
"81","2015-06-15","427.660004","444.98999","422.640015","434.920013","434.920013","14406800","53","3"
"82","2015-06-22","437","447.040009","433.690002","438.100006","438.100006","12551400","55","NA"
"83","2015-06-29","434.980011","440","429","437.709991","437.709991","8680600","54","3"
"84","2015-07-06","435.230011","444.720001","425.570007","443.51001","443.51001","12412900","57","3"
"85","2015-07-13","448.290009","485.420013","447.540009","483.01001","483.01001","20708200","75","2"
"86","2015-07-20","492.570007","580.570007","475.700012","529.419983","529.419983","42333000","57","1"
"87","2015-07-27","527.75","544.950012","523.119995","536.150024","536.150024","23285400","58","2"
"88","2015-08-03","537.450012","542.73999","518.210022","522.619995","522.619995","16627900","58","1"
"89","2015-08-10","528.52002","534.659973","513.059998","531.52002","531.52002","14114500","59","2"
"90","2015-08-17","531.289978","539.48999","494.470001","494.470001","494.470001","18091500","61","1"
"91","2015-08-24","463.579987","522.690002","451","518.01001","518.01001","30996700","61","1"
"92","2015-08-31","516.440002","519.409973","493.429993","499","499","16396800","58","2"
"93","2015-09-07","508.690002","529.950012","508.51001","529.440002","529.440002","13953300","55","2"
"94","2015-09-14","529.440002","546.969971","517.200012","540.26001","540.26001","18523700","53","6"
"95","2015-09-21","544.330017","549.780029","521.400024","524.25","524.25","16894600","55","1"
"96","2015-09-28","520.02002","532.599976","490.5","532.539978","532.539978","22248700","57","2"
"97","2015-10-05","536.98999","551.5","519.890015","539.799988","539.799988","19920100","55","2"
"98","2015-10-12","539.960022","570.940002","539.679993","570.76001","570.76001","18549000","56","2"
"99","2015-10-19","570.76001","619.450012","552.52002","599.030029","599.030029","30519000","56","1"
"100","2015-10-26","602.299988","630.719971","596.289978","625.900024","625.900024","19716000","55","1"
"101","2015-11-02","627.130005","662.26001","620.409973","659.369995","659.369995","19711200","57","4"
"102","2015-11-09","658.650024","675.960022","640.450012","642.349976","642.349976","23471400","60","1"
"103","2015-11-16","640.919983","672.859985","622.289978","668.450012","668.450012","24827200","62","2"
"104","2015-11-23","671.5","682.77002","661.210022","673.26001","673.26001","13593200","87","1"
"105","2015-11-30","675.900024","684.820007","661.400024","672.640015","672.640015","24317400","90","1"
"106","2015-12-07","674.73999","679.98999","639.619995","640.150024","640.150024","21457500","81","7"
"107","2015-12-14","641.75","682.5","635.27002","664.140015","664.140015","23570500","84","NA"
"108","2015-12-21","668.5","669.900024","656.630005","662.789978","662.789978","9730800","79","1"
"109","2015-12-28","665.559998","696.440002","665.5","675.890015","675.890015","16779400","70","1"
"110","2016-01-04","656.289978","657.719971","605.210022","607.049988","607.049988","33054100","55","NA"
"111","2016-01-11","612.47998","625.98999","565.299988","570.179993","570.179993","32271000","51","1"
"112","2016-01-18","577.090027","600.099976","547.179993","596.380005","596.380005","22845900","52","4"
"113","2016-01-25","597.98999","638.059998","570","587","587","41985000","49","2"
"114","2016-02-01","578.150024","581.799988","499.190002","502.130005","502.130005","38601300","49","2"
"115","2016-02-08","486.470001","516.75","474","507.079987","507.079987","36439800","49","3"
"116","2016-02-15","519.47998","541.200012","511.660004","534.900024","534.900024","19652200","48","4"
"117","2016-02-22","542.200012","562.5","533.150024","555.22998","555.22998","25236600","49","1"
"118","2016-02-29","554","585","552.51001","575.140015","575.140015","19919300","47","2"
"119","2016-03-07","573.539978","573.630005","547.900024","569.609985","569.609985","21719800","47","2"
"120","2016-03-14","567","581.52002","546.090027","552.080017","552.080017","24093700","46","3"
"121","2016-03-21","548.909973","583.549988","538.580017","582.950012","582.950012","18325500","47","1"
"122","2016-03-28","584.400024","603.23999","575.559998","598.5","598.5","16778300","47","1"
"123","2016-04-04","599","602.390015","585.25","594.599976","594.599976","13394100","48","2"
"124","2016-04-11","596.140015","626.77002","592.309998","625.890015","625.890015","15930900","48","1"
"125","2016-04-18","625.349976","638.01001","611.559998","620.5","620.5","18681900","46","2"
"126","2016-04-25","616.609985","669.97998","599.200012","659.590027","659.590027","27456400","47","2"
"127","2016-05-02","663.919983","685.5","656","673.950012","673.950012","25325800","49","12"
"128","2016-05-09","673.950012","722.450012","671.409973","709.919983","709.919983","27219000","48","1"
"129","2016-05-16","710.130005","714.469971","688.76001","702.799988","702.799988","20779300","49","1"
"130","2016-05-23","704.25","716.599976","696.419983","712.23999","712.23999","13566700","49","2"
"131","2016-05-30","712.330017","728.280029","711.320007","725.539978","725.539978","13269400","49","NA"
"132","2016-06-06","726.5","731.5","714.210022","717.909973","717.909973","13256700","49","3"
"133","2016-06-13","714.01001","722.559998","699.179993","706.390015","706.390015","17564300","50","NA"
"134","2016-06-20","713.5","722.119995","692.200012","698.960022","698.960022","18532700","51","2"
"135","2016-06-27","692.01001","728","682.119995","725.679993","725.679993","18450600","51","NA"
"136","2016-07-04","722.799988","746.099976","719.609985","745.809998","745.809998","12735500","51","3"
"137","2016-07-11","750","757.340027","734.049988","735.440002","735.440002","18473200","62","NA"
"138","2016-07-18","735.48999","751.280029","728.719971","744.859985","744.859985","11980500","51","NA"
"139","2016-07-25","746.549988","766","732.75","758.809998","758.809998","22435500","52","5"
"140","2016-08-01","759.869995","770.5","750.349976","765.97998","765.97998","16643400","52","5"
"141","2016-08-08","766.809998","773.75","761.02002","772.559998","772.559998","9046300","51","1"
"142","2016-08-15","771.900024","772.039978","756.890015","757.309998","757.309998","9416200","52","NA"
"143","2016-08-22","757.5","770","752.099976","769","769","9347300","56","3"
"144","2016-08-29","768.719971","776","764","772.440002","772.440002","9502800","54","1"
"145","2016-09-05","774.039978","790.789978","760.109985","760.140015","760.140015","12428100","52","3"
"146","2016-09-12","757.349976","780.460022","756","778.52002","778.52002","17298100","51","2"
"147","2016-09-19","779.969971","807.75","771","805.75","805.75","13380700","49","NA"
"148","2016-09-26","801.799988","839.950012","797.150024","837.309998","837.309998","20245900","49","NA"
"149","2016-10-03","836","847.210022","830.26001","839.429993","839.429993","14299000","48","2"
"150","2016-10-10","843.25","845.200012","821.210022","822.960022","822.960022","13877800","50","2"
"151","2016-10-17","821.5","823.26001","803.099976","818.98999","818.98999","13878000","52","3"
"152","2016-10-24","824.950012","843.090027","774.609985","776.320007","776.320007","29554900","50","3"
"153","2016-10-31","781.030029","800.840027","753.22998","755.049988","755.049988","24739800","50","2"
"154","2016-11-07","771.640015","791.73999","717.700012","739.01001","739.01001","37290400","48","1"
"155","2016-11-14","745.51001","767.73999","710.099976","760.159973","760.159973","25703900","58","NA"
"156","2016-11-21","766","792.400024","765.109985","780.369995","780.369995","15285500","79","3"
"157","2016-11-28","776.98999","777","736.700012","740.340027","740.340027","20564300","80","4"
"158","2016-12-05","745","773.789978","742","768.659973","768.659973","17454800","74","1"
"159","2016-12-12","766.400024","782.460022","754","757.77002","757.77002","22334600","81","5"
"160","2016-12-19","758.890015","774.390015","756.159973","760.590027","760.590027","12381900","77","2"
"161","2016-12-26","763.400024","780","748.280029","749.869995","749.869995","13232600","72","NA"
"162","2017-01-02","757.919983","799.440002","747.700012","795.98999","795.98999","17847900","61","3"
"163","2017-01-09","798","821.650024","789.51001","817.140015","817.140015","17657100","59","1"
"164","2017-01-16","815.700012","816.02002","803.440002","808.330017","808.330017","11930600","56","2"
"165","2017-01-23","806.799988","843.840027","805.080017","835.77002","835.77002","16276800","54","3"
"166","2017-01-30","833","842.48999","804","810.200012","810.200012","28954000","53","NA"
"167","2017-02-06","809.799988","828","803","827.460022","827.460022","15135900","51","1"
"168","2017-02-13","831.619995","847.27002","828.549988","845.070007","845.070007","15756400","50","1"
"169","2017-02-20","848.840027","860.859985","837.75","845.23999","845.23999","13274700","53","NA"
"170","2017-02-27","842.380005","854.830017","839.669983","849.880005","849.880005","12340600","54","NA"
"171","2017-03-06","845.22998","857.349976","841.119995","852.460022","852.460022","11629100","53","2"
"172","2017-03-13","851.77002","855.690002","847.109985","852.309998","852.309998","11829200","52","NA"
"173","2017-03-20","851.51001","862.799988","839.049988","845.609985","845.609985","13415600","53","NA"
"174","2017-03-27","838.070007","890.349976","833.5","886.539978","886.539978","17003500","53","NA"
"175","2017-04-03","888","923.719971","885.419983","894.880005","894.880005","25970400","52","NA"
"176","2017-04-10","899.630005","911.23999","884.48999","884.669983","884.669983","11827700","52","4"
"177","2017-04-17","887.5","910.5","887.5","898.530029","898.530029","13959000","53","2"
"178","2017-04-24","908.679993","949.590027","903","924.98999","924.98999","21753700","56","4"
"179","2017-05-01","927.799988","954.400024","927.799988","934.150024","934.150024","18182800","58","NA"
"180","2017-05-08","940.950012","962.789978","939.210022","961.349976","961.349976","14594300","58","10"
"181","2017-05-15","958.72998","970.059998","944.119995","959.840027","959.840027","20453700","56","9"
"182","2017-05-22","964","999","962.900024","995.780029","995.780029","15795000","55","NA"
"183","2017-05-29","996.51001","1008.47998","982.159973","1006.72998","1006.72998","13383300","56","3"
"184","2017-06-05","1007.22998","1016.5","927","978.309998","978.309998","19290300","59","NA"
"185","2017-06-12","967","999.75","945","987.710022","987.710022","34848700","59","2"
"186","2017-06-19","1017","1017","989.900024","1003.73999","1003.73999","17175200","59","3"
"187","2017-06-26","1008.5","1009.799988","965.25","968","968","18599500","59","8"
"188","2017-07-03","972.789978","980.109985","951","978.76001","978.76001","12465100","60","3"
"189","2017-07-10","985","1008.549988","983.5","1001.809998","1001.809998","15120900","75","4"
"190","2017-07-17","1004.690002","1034.969971","1003.809998","1025.670044","1025.670044","16516300","60","2"
"191","2017-07-24","1028.339966","1083.310059","1001","1020.039978","1020.039978","27358000","61","3"
"192","2017-07-31","1019.049988","1019.049988","981.72998","987.580017","987.580017","21980800","64","6"
"193","2017-08-07","990.650024","996.280029","951.380005","967.98999","967.98999","18301200","62","2"
"194","2017-08-14","978.409973","991.73999","954.650024","958.469971","958.469971","15521400","63","1"
"195","2017-08-21","957.570007","967.929993","941.140015","945.26001","945.26001","17103300","61","2"
"196","2017-08-28","946.539978","984.5","936.330017","978.25","978.25","14243000","61","2"
"197","2017-09-04","975.400024","980.590027","960.369995","965.900024","965.900024","10185200","58","5"
"198","2017-09-11","974.460022","1000","974.219971","986.789978","986.789978","15716000","58","13"
"199","2017-09-18","990.400024","992.789978","954.419983","955.099976","955.099976","13950600","59","NA"
"200","2017-09-25","949.309998","964.830017","931.75","961.349976","961.349976","16904100","59","7"
"201","2017-10-02","964","995.75","950.369995","989.580017","989.580017","14648200","59","4"
"202","2017-10-09","993.23999","1008.440002","980.099976","1002.940002","1002.940002","14859400","60","8"
