"","Date","Open","High","Low","Close","Adj.Close","Volume","Hit","x"
"1",2013-12-02,126.349998,144.940002,123.93,137.360001,137.360001,63779300,11,NA
"2",2013-12-09,137,151.800003,134.210007,147.649994,147.649994,48307200,10,NA
"3",2013-12-16,148.479996,154.899994,139.100006,143.240005,143.240005,48904800,11,NA
"4",2013-12-23,144.850006,158,142.600006,151.119995,151.119995,27916700,11,NA
"5",2013-12-30,151.119995,154.809998,146.550003,149.559998,149.559998,19613300,10,NA
"6",2014-01-06,150,153.699997,142.25,145.720001,145.720001,29386500,9,NA
"7",2014-01-13,145.779999,173.199997,136.669998,170.009995,170.009995,75554300,12,NA
"8",2014-01-20,171.240005,182.380005,170.809998,174.600006,174.600006,32289000,10,NA
"9",2014-01-27,175.160004,186,164.710007,181.410004,181.410004,35819100,11,NA
"10",2014-02-03,182.889999,186.630005,169.360001,186.529999,186.529999,33489300,10,NA
"11",2014-02-10,189.339996,202.720001,189.320007,198.229996,198.229996,43041600,10,NA
"12",2014-02-17,205.240005,215.210007,193.410004,209.600006,209.600006,51322900,16,NA
"13",2014-02-24,208.759995,265,208.320007,244.809998,244.809998,98100300,21,NA
"14",2014-03-03,237.259995,260,234.990005,246.210007,246.210007,42944000,14,NA
"15",2014-03-10,242.699997,247.5,228.320007,230.970001,230.970001,40818600,17,NA
"16",2014-03-17,234.949997,241.550003,227.5,228.889999,228.889999,29261000,15,NA
"17",2014-03-24,229.75,229.899994,203,212.369995,212.369995,45282000,14,NA
"18",2014-03-31,216.5,235.729996,206.389999,212.229996,212.229996,48803000,22,NA
"19",2014-04-07,205.809998,218.449997,198.600006,203.779999,203.779999,38181400,15,NA
"20",2014-04-14,207.600006,208.440002,184.320007,198.119995,198.119995,34491300,14,NA
"21",2014-04-21,197.080002,219.330002,194,199.850006,199.850006,34850400,15,NA
"22",2014-04-28,200,214.020004,190.5,210.910004,210.910004,26788400,14,NA
"23",2014-05-05,209.479996,218.660004,177.220001,182.259995,182.259995,49514800,15,NA
"24",2014-05-12,183.869995,193.479996,179.880005,191.559998,191.559998,30034300,19,NA
"25",2014-05-19,190.720001,207.759995,190,207.300003,207.300003,25624500,13,NA
"26",2014-05-26,208.520004,214.800003,205.259995,207.770004,207.770004,20109800,12,NA
"27",2014-06-02,207.330002,210.809998,200.399994,208.169998,208.169998,19084700,14,NA
"28",2014-06-09,207.949997,209.990005,199.25,206.419998,206.419998,19835900,17,NA
"29",2014-06-16,206.759995,235.539993,206.259995,229.589996,229.589996,47188500,17,NA
"30",2014-06-23,229.509995,241.880005,228.220001,239.059998,239.059998,32425000,13,NA
"31",2014-06-30,239.550003,244.490005,224,229.25,229.25,22358800,14,NA
"32",2014-07-07,227.5,229.779999,214.270004,218.130005,218.130005,26011500,16,NA
"33",2014-07-14,219.990005,228.789993,213.600006,220.020004,220.020004,25869300,20,NA
"34",2014-07-21,217.25,226.970001,216.720001,223.570007,223.570007,15968100,16,NA
"35",2014-07-28,224.25,237.5,221.039993,233.270004,233.270004,34469400,16,NA
"36",2014-08-04,234.380005,256.690002,233.270004,248.130005,248.130005,33166600,14,NA
"37",2014-08-11,255.479996,265.640015,254.580002,262.01001,262.01001,29410700,14,NA
"38",2014-08-18,263.25,267.26001,251.619995,256.779999,256.779999,19960900,14,NA
"39",2014-08-25,258.190002,272,258.190002,269.700012,269.700012,20413200,13,NA
"40",2014-09-01,275.5,291.420013,272.51001,277.390015,277.390015,36136300,18,NA
"41",2014-09-08,277.619995,285.48999,273.660004,279.200012,279.200012,20932400,13,NA
"42",2014-09-15,274.369995,274.399994,249.130005,259.320007,259.320007,40436700,13,NA
"43",2014-09-22,255,256.019989,244.710007,246.600006,246.600006,26251900,12,NA
"44",2014-09-29,244,256.5,235.649994,255.210007,255.210007,29437200,15,NA
"45",2014-10-06,259.130005,265.540009,235.199997,236.910004,236.910004,37503500,28,NA
"46",2014-10-13,238.570007,238.960007,217.320007,227.479996,227.479996,43470000,17,NA
"47",2014-10-20,226.720001,237.800003,225.509995,235.240005,235.240005,18697000,14,NA
"48",2014-10-27,234.25,244.600006,220.309998,241.699997,241.699997,32035800,13,NA
"49",2014-11-03,243,247.559998,228.5,240.199997,240.199997,37448000,12,NA
"50",2014-11-10,239.110001,258.850006,236.800003,258.679993,258.679993,30733900,12,NA
"51",2014-11-17,257.48999,259.98999,242.169998,242.779999,242.779999,27489500,11,NA
"52",2014-11-24,245.199997,249.720001,240.639999,244.520004,244.520004,12050400,11,NA
"53",2014-12-01,241.160004,242.470001,222.259995,223.710007,223.710007,29733300,10,NA
"54",2014-12-08,221.539993,224.860001,204.270004,207,207,39839400,10,NA
"55",2014-12-15,209.289993,220.399994,192.649994,219.289993,219.289993,35406000,11,NA
"56",2014-12-22,220,228.5,218.259995,227.820007,227.820007,13964300,13,NA
"57",2014-12-29,226.899994,227.910004,213.259995,219.309998,219.309998,12872200,12,NA
"58",2015-01-05,214.550003,216.5,204.210007,206.660004,206.660004,22632600,12,NA
"59",2015-01-12,203.050003,207.610001,185,193.070007,193.070007,30793100,14,NA
"60",2015-01-19,193.869995,203.5,187.039993,201.289993,201.289993,16197900,13,NA
"61",2015-01-26,201.830002,208.619995,196.5,203.600006,203.600006,15720200,17,NA
"62",2015-02-02,203.970001,225.479996,203.300003,217.360001,217.360001,19023600,12,NA
"63",2015-02-09,215.380005,220.5,193.279999,203.770004,203.770004,40472600,15,NA
"64",2015-02-16,205.699997,217.600006,201.5,217.110001,217.110001,17824600,15,NA
"65",2015-02-23,215.660004,218.199997,201.699997,203.339996,203.339996,29349200,13,NA
"66",2015-03-02,202.699997,206.190002,192.149994,193.880005,193.880005,28155800,11,NA
"67",2015-03-09,194.389999,196.179993,187.320007,188.679993,188.679993,26826100,12,NA
"68",2015-03-16,192,204.589996,189.800003,198.080002,198.080002,28013000,16,NA
"69",2015-03-23,198.5,203.789993,181.399994,185,185,24656100,12,NA
"70",2015-03-30,185.850006,193.759995,181.800003,191,191,23912500,15,NA
"71",2015-04-06,198,211.649994,197.5,210.899994,210.899994,30974700,16,NA
"72",2015-04-13,210.440002,213,203.5,206.789993,206.789993,12856600,13,NA
"73",2015-04-20,206.779999,221.880005,203.850006,218.429993,218.429993,20689200,14,NA
"74",2015-04-27,222.559998,238.75,220.410004,226.029999,226.029999,30887700,25,NA
"75",2015-05-04,228.179993,239.5,220.25,236.610001,236.610001,29626500,26,NA
"76",2015-05-11,236.289993,249.399994,235.309998,248.839996,248.839996,24899400,18,NA
"77",2015-05-18,247,251,241.369995,247.729996,247.729996,14971500,15,NA
"78",2015-05-25,247.679993,252.869995,245.050003,250.800003,250.800003,14335900,15,NA
"79",2015-06-01,251.410004,251.600006,245.679993,249.139999,249.139999,11888000,14,NA
"80",2015-06-08,250.850006,258.75,248.5,250.690002,250.690002,14533200,15,NA
"81",2015-06-15,249.699997,264.359985,246.009995,262.51001,262.51001,14929500,16,NA
"82",2015-06-22,262.149994,271.410004,255.690002,267.089996,267.089996,17531800,16,NA
"83",2015-06-29,261.950012,282.450012,260.700012,280.019989,280.019989,15830900,15,NA
"84",2015-07-06,278.880005,281.690002,254.309998,259.149994,259.149994,22393100,15,NA
"85",2015-07-13,262.25,275.540009,256.049988,274.660004,274.660004,13509600,17,NA
"86",2015-07-20,275,286.649994,260.859985,265.410004,265.410004,19255900,19,NA
"87",2015-07-27,262.429993,269.359985,250.789993,266.149994,266.149994,15637300,16,NA
"88",2015-08-03,266.290009,271,236.119995,242.509995,242.509995,30817500,19,NA
"89",2015-08-10,238.149994,247.929993,232.740005,243.149994,243.149994,21208100,17,NA
"90",2015-08-17,255.559998,260.950012,230.509995,230.770004,230.770004,26472000,16,NA
"91",2015-08-24,202.789993,251.449997,195,248.479996,248.479996,32041600,19,NA
"92",2015-08-31,245.619995,254.949997,236.970001,241.929993,241.929993,22648800,22,NA
"93",2015-09-07,245.050003,254.25,244.050003,250.240005,250.240005,11582700,16,NA
"94",2015-09-14,251.100006,265.5,249.5,260.619995,260.619995,17562900,16,NA
"95",2015-09-21,263.980011,271.570007,255.800003,256.910004,256.910004,19607000,16,NA
"96",2015-09-28,257.350006,259.790009,234.929993,247.570007,247.570007,22524600,30,NA
"97",2015-10-05,248.839996,249.839996,218.360001,220.690002,220.690002,28020700,18,NA
"98",2015-10-12,222.990005,230.479996,211.130005,227.009995,227.009995,19290900,19,NA
"99",2015-10-19,226.5,231.149994,202,209.089996,209.089996,28583400,19,NA
"100",2015-10-26,211.380005,217.100006,203.889999,206.929993,206.929993,15860700,16,NA
"101",2015-11-02,208.919998,234.580002,207.220001,232.360001,232.360001,31909200,15,NA
"102",2015-11-09,232.990005,232.990005,206.520004,207.190002,207.190002,18161900,12,NA
"103",2015-11-16,206.089996,226.190002,205.800003,220.009995,220.009995,14791100,13,NA
"104",2015-11-23,217.350006,232.25,214.679993,231.610001,231.610001,10946700,15,NA
"105",2015-11-30,231.789993,238.600006,227.660004,230.380005,230.380005,14888500,13,NA
"106",2015-12-07,227.699997,235.630005,216.639999,217.020004,217.020004,14225300,13,NA
"107",2015-12-14,217.509995,237.759995,214.869995,230.460007,230.460007,16488600,12,NA
"108",2015-12-21,231.690002,236.550003,228.130005,230.570007,230.570007,6177200,14,NA
"109",2015-12-28,231.490005,243.630005,225.539993,240.009995,240.009995,10719400,14,NA
"110",2016-01-04,230.720001,231.380005,210.770004,211,211,20975400,15,NA
"111",2016-01-11,214.009995,214.449997,193.380005,204.990005,204.990005,23377300,15,NA
"112",2016-01-18,208.710007,210.470001,191.25,202.550003,202.550003,16167600,13,NA
"113",2016-01-25,200.059998,203.570007,182.410004,191.199997,191.199997,18707800,16,NA
"114",2016-02-01,188.759995,199.520004,157.740005,162.600006,162.600006,32804100,17,NA
"115",2016-02-08,157.100006,163.259995,141.050003,151.039993,151.039993,49782800,22,NA
"116",2016-02-15,158.699997,172.949997,154.110001,166.580002,166.580002,18266000,17,NA
"117",2016-02-22,170.119995,192,167.839996,190.339996,190.339996,28225700,15,NA
"118",2016-02-29,192.399994,204.029999,181.5,201.039993,201.039993,27383200,15,NA
"119",2016-03-07,197.679993,213.289993,197.399994,207.5,207.5,21243000,15,NA
"120",2016-03-14,212.649994,234.479996,210.639999,232.740005,232.740005,19257600,16,NA
"121",2016-03-21,235.339996,239.880005,215,227.75,227.75,19533500,19,NA
"122",2016-03-28,231.610001,247.899994,225,237.589996,237.589996,35974000,100,NA
"123",2016-04-04,249.119995,269.339996,240,250.070007,250.070007,51324000,53,NA
"124",2016-04-11,251,258.98999,243.630005,254.509995,254.509995,27710500,28,NA
"125",2016-04-18,252.229996,258.309998,241.25,253.75,253.75,22382800,22,NA
"126",2016-04-25,253.009995,257.380005,237.809998,240.759995,240.759995,18032700,19,NA
"127",2016-05-02,241.5,243.190002,208.110001,214.929993,214.929993,33348600,21,NA
"128",2016-05-09,215.720001,216.149994,203.660004,207.610001,207.610001,20476800,21,NA
"129",2016-05-16,208.149994,220.550003,204.020004,220.279999,220.279999,27283900,19,NA
"130",2016-05-23,219.869995,225.929993,215.179993,223.039993,223.039993,18948100,20,NA
"131",2016-05-30,223.039993,224.75,216.889999,218.990005,218.990005,10010100,18,NA
"132",2016-06-06,218,240.850006,215.449997,218.789993,218.789993,24953800,19,NA
"133",2016-06-13,219.5,225.770004,212.529999,215.470001,215.470001,16234600,17,NA
"134",2016-06-20,219.5,223.75,189.729996,193.149994,193.149994,48984100,22,NA
"135",2016-06-27,190.860001,218.240005,187.869995,216.5,216.5,29655800,25,NA
"136",2016-07-04,209.729996,219.809998,208,216.779999,216.779999,17769700,20,NA
"137",2016-07-11,219.960007,227.5,219.509995,220.399994,220.399994,18478200,20,NA
"138",2016-07-18,219.639999,229.800003,218.300003,222.270004,222.270004,16104100,19,NA
