"","Time","sum"
"1",2013-12-02,3
"2",2013-12-03,3
"3",2013-12-04,3
"4",2013-12-05,2
"5",2013-12-06,5
"6",2013-12-08,3
"7",2013-12-09,5
"8",2013-12-10,3
"9",2013-12-11,2
"10",2013-12-12,2
"11",2013-12-13,1
"12",2013-12-15,1
"13",2013-12-16,2
"14",2013-12-17,2
"15",2013-12-18,2
"16",2013-12-19,1
"17",2013-12-20,2
"18",2013-12-22,1
"19",2013-12-23,2
"20",2013-12-24,1
"21",2013-12-25,1
"22",2013-12-29,2
"23",2013-12-30,1
"24",2013-12-31,1
"25",2014-01-01,2
"26",2014-01-02,1
"27",2014-01-03,1
"28",2014-01-05,1
"29",2014-01-06,2
"30",2014-01-07,3
"31",2014-01-08,3
"32",2014-01-10,2
"33",2014-01-15,2
"34",2014-01-16,1
"35",2014-01-17,1
"36",2014-01-19,2
"37",2014-01-20,1
"38",2014-01-21,1
"39",2014-01-22,1
"40",2014-01-23,1
"41",2014-01-27,1
"42",2014-01-28,2
"43",2014-02-05,2
"44",2014-02-06,1
"45",2014-02-07,1
"46",2014-02-10,2
"47",2014-02-11,2
"48",2014-02-12,2
"49",2014-02-13,2
"50",2014-02-18,5
"51",2014-02-20,2
"52",2014-02-21,3
"53",2014-02-24,5
"54",2014-02-25,4
"55",2014-02-26,6
"56",2014-02-27,2
"57",2014-02-28,4
"58",2014-03-01,1
"59",2014-03-03,4
"60",2014-03-04,5
"61",2014-03-05,3
"62",2014-03-06,1
"63",2014-03-07,5
"64",2014-03-08,1
"65",2014-03-09,1
"66",2014-03-10,3
"67",2014-03-11,1
"68",2014-03-12,1
"69",2014-03-14,3
"70",2014-03-17,3
"71",2014-03-18,3
"72",2014-03-19,3
"73",2014-03-21,1
"74",2014-03-25,2
"75",2014-03-27,2
"76",2014-03-28,4
"77",2014-03-31,5
"78",2014-04-01,7
"79",2014-04-02,2
"80",2014-04-03,4
"81",2014-04-04,3
"82",2014-04-06,1
"83",2014-04-09,1
"84",2014-04-10,3
"85",2014-04-11,1
"86",2014-04-13,1
"87",2014-04-16,2
"88",2014-04-18,1
"89",2014-04-22,1
"90",2014-04-23,2
"91",2014-04-26,1
"92",2014-04-28,1
"93",2014-04-30,5
"94",2014-05-02,1
"95",2014-05-07,1
"96",2014-05-08,1
"97",2014-05-09,3
"98",2014-05-13,2
"99",2014-05-14,2
"100",2014-05-19,1
"101",2014-05-22,3
"102",2014-05-23,2
"103",2014-05-28,1
"104",2014-05-29,1
"105",2014-05-30,2
"106",2014-06-02,1
"107",2014-06-03,2
"108",2014-06-04,1
"109",2014-06-09,1
"110",2014-06-10,1
"111",2014-06-11,1
"112",2014-06-16,1
"113",2014-06-18,2
"114",2014-06-19,1
"115",2014-06-20,1
"116",2014-06-21,1
"117",2014-06-23,1
"118",2014-06-24,1
"119",2014-06-25,1
"120",2014-07-01,2
"121",2014-07-02,4
"122",2014-07-03,2
"123",2014-07-04,2
"124",2014-07-07,1
"125",2014-07-08,2
"126",2014-07-09,1
"127",2014-07-14,1
"128",2014-07-15,1
"129",2014-07-16,2
"130",2014-07-17,1
"131",2014-07-18,1
"132",2014-07-19,1
"133",2014-07-21,1
"134",2014-07-22,1
"135",2014-07-24,1
"136",2014-07-25,2
"137",2014-07-26,1
"138",2014-07-27,1
"139",2014-07-31,2
"140",2014-08-01,2
"141",2014-08-06,2
"142",2014-08-07,4
"143",2014-08-10,1
"144",2014-08-12,1
"145",2014-08-17,1
"146",2014-08-18,1
"147",2014-08-19,1
"148",2014-08-21,1
"149",2014-08-22,1
"150",2014-08-28,1
"151",2014-08-29,1
"152",2014-09-02,2
"153",2014-09-03,2
"154",2014-09-04,1
"155",2014-09-05,1
"156",2014-09-08,1
"157",2014-09-09,1
"158",2014-09-10,2
"159",2014-09-11,5
"160",2014-09-12,1
"161",2014-09-16,1
"162",2014-09-17,2
"163",2014-09-19,1
"164",2014-09-23,1
"165",2014-09-24,2
"166",2014-09-25,1
"167",2014-09-29,1
"168",2014-09-30,1
"169",2014-10-05,1
"170",2014-10-14,2
"171",2014-10-17,2
"172",2014-10-20,1
"173",2014-10-22,2
"174",2014-10-23,1
"175",2014-10-30,1
"176",2014-11-03,1
"177",2014-11-04,1
"178",2014-11-06,1
"179",2014-11-07,2
"180",2014-11-11,2
"181",2014-11-14,2
"182",2014-11-19,1
"183",2014-11-21,1
"184",2014-11-26,2
"185",2014-12-02,1
"186",2014-12-05,2
"187",2014-12-08,1
"188",2014-12-10,1
"189",2014-12-11,2
"190",2014-12-17,1
"191",2014-12-18,2
"192",2014-12-19,1
"193",2014-12-20,1
"194",2014-12-22,1
"195",2014-12-24,1
"196",2014-12-28,1
"197",2014-12-31,2
"198",2015-01-01,1
"199",2015-01-02,1
"200",2015-01-07,1
"201",2015-01-09,2
"202",2015-01-11,1
"203",2015-01-13,3
"204",2015-01-14,2
"205",2015-01-15,1
"206",2015-01-16,5
"207",2015-01-19,2
"208",2015-01-20,2
"209",2015-01-21,1
"210",2015-01-26,1
"211",2015-01-27,1
"212",2015-01-28,1
"213",2015-01-29,2
"214",2015-02-02,1
"215",2015-02-03,2
"216",2015-02-05,1
"217",2015-02-20,1
"218",2015-02-22,1
"219",2015-02-23,1
"220",2015-02-26,1
"221",2015-03-03,1
"222",2015-03-06,1
"223",2015-03-09,1
"224",2015-03-18,2
"225",2015-03-26,1
"226",2015-03-30,1
"227",2015-04-01,1
"228",2015-04-03,2
"229",2015-04-07,2
"230",2015-04-08,1
"231",2015-04-10,2
"232",2015-04-12,1
"233",2015-04-14,1
"234",2015-04-16,1
"235",2015-04-24,2
"236",2015-04-29,1
"237",2015-05-13,1
"238",2015-05-18,1
"239",2015-05-21,1
