"","Time","n"
"1","2013-12-02",27
"2","2013-12-03",17
"3","2013-12-04",26
"4","2013-12-05",26
"5","2013-12-06",27
"6","2013-12-07",9
"7","2013-12-08",4
"8","2013-12-09",22
"9","2013-12-10",17
"10","2013-12-11",31
"11","2013-12-12",11
"12","2013-12-13",16
"13","2013-12-14",2
"14","2013-12-15",5
"15","2013-12-16",16
"16","2013-12-17",24
"17","2013-12-18",22
"18","2013-12-19",20
"19","2013-12-20",21
"20","2013-12-21",3
"21","2013-12-22",6
"22","2013-12-23",12
"23","2013-12-24",6
"24","2013-12-25",2
"25","2013-12-26",5
"26","2013-12-27",3
"27","2013-12-28",2
"28","2013-12-29",10
"29","2013-12-30",12
"30","2013-12-31",12
"31","2014-01-01",3
"32","2014-01-02",9
"33","2014-01-03",15
"34","2014-01-04",8
"35","2014-01-05",4
"36","2014-01-06",28
"37","2014-01-07",23
"38","2014-01-08",18
"39","2014-01-09",14
"40","2014-01-10",13
"41","2014-01-11",10
"42","2014-01-12",12
"43","2014-01-13",25
"44","2014-01-14",20
"45","2014-01-15",20
"46","2014-01-16",17
"47","2014-01-17",24
"48","2014-01-18",8
"49","2014-01-19",5
"50","2014-01-20",19
"51","2014-01-21",21
"52","2014-01-22",24
"53","2014-01-23",26
"54","2014-01-24",22
"55","2014-01-25",10
"56","2014-01-26",2
"57","2014-01-27",22
"58","2014-01-28",21
"59","2014-01-29",18
"60","2014-01-30",27
"61","2014-01-31",18
"62","2014-02-01",3
"63","2014-02-02",6
"64","2014-02-03",26
"65","2014-02-04",28
"66","2014-02-05",19
"67","2014-02-06",29
"68","2014-02-07",16
"69","2014-02-08",8
"70","2014-02-09",16
"71","2014-02-10",16
"72","2014-02-11",15
"73","2014-02-12",19
"74","2014-02-13",25
"75","2014-02-14",25
"76","2014-02-15",4
"77","2014-02-16",8
"78","2014-02-17",19
"79","2014-02-18",12
"80","2014-02-19",16
"81","2014-02-20",30
"82","2014-02-21",16
"83","2014-02-22",5
"84","2014-02-23",12
"85","2014-02-24",22
"86","2014-02-25",19
"87","2014-02-26",20
"88","2014-02-27",22
"89","2014-02-28",26
"90","2014-03-01",8
"91","2014-03-02",10
"92","2014-03-03",22
"93","2014-03-04",15
"94","2014-03-05",18
"95","2014-03-06",17
"96","2014-03-07",14
"97","2014-03-08",3
"98","2014-03-09",7
"99","2014-03-10",31
"100","2014-03-11",28
"101","2014-03-12",18
"102","2014-03-13",25
"103","2014-03-14",23
"104","2014-03-15",7
"105","2014-03-16",13
"106","2014-03-17",21
"107","2014-03-18",18
"108","2014-03-19",23
"109","2014-03-20",19
"110","2014-03-21",22
"111","2014-03-22",5
"112","2014-03-23",9
"113","2014-03-24",23
"114","2014-03-25",20
"115","2014-03-26",33
"116","2014-03-27",21
"117","2014-03-28",22
"118","2014-03-29",5
"119","2014-03-30",9
"120","2014-03-31",7
"121","2014-04-01",22
"122","2014-04-02",27
"123","2014-04-03",15
"124","2014-04-04",18
"125","2014-04-05",10
"126","2014-04-06",5
"127","2014-04-07",19
"128","2014-04-08",18
"129","2014-04-09",17
"130","2014-04-10",18
"131","2014-04-11",25
"132","2014-04-12",11
"133","2014-04-13",7
"134","2014-04-14",24
"135","2014-04-15",22
"136","2014-04-16",20
"137","2014-04-17",19
"138","2014-04-18",14
"139","2014-04-19",12
"140","2014-04-20",4
"141","2014-04-21",5
"142","2014-04-22",14
"143","2014-04-23",22
"144","2014-04-24",27
"145","2014-04-25",18
"146","2014-04-26",13
"147","2014-04-27",3
"148","2014-04-28",17
"149","2014-04-29",18
"150","2014-04-30",17
"151","2014-05-01",21
"152","2014-05-02",29
"153","2014-05-03",5
"154","2014-05-04",7
