"","Time","n"
"1","2013-12-02",47
"2","2013-12-03",45
"3","2013-12-04",49
"4","2013-12-05",51
"5","2013-12-06",52
"6","2013-12-07",14
"7","2013-12-08",27
"8","2013-12-09",49
"9","2013-12-10",40
"10","2013-12-11",60
"11","2013-12-12",37
"12","2013-12-13",40
"13","2013-12-14",13
"14","2013-12-15",17
"15","2013-12-16",37
"16","2013-12-17",46
"17","2013-12-18",35
"18","2013-12-19",49
"19","2013-12-20",39
"20","2013-12-21",14
"21","2013-12-22",12
"22","2013-12-23",29
"23","2013-12-24",16
"24","2013-12-25",7
"25","2013-12-26",11
"26","2013-12-27",17
"27","2013-12-28",12
"28","2013-12-29",16
"29","2013-12-30",21
"30","2013-12-31",19
"31","2014-01-01",23
"32","2014-01-02",34
"33","2014-01-03",34
"34","2014-01-04",16
"35","2014-01-05",22
"36","2014-01-06",45
"37","2014-01-07",54
"38","2014-01-08",50
"39","2014-01-09",34
"40","2014-01-10",51
"41","2014-01-11",18
"42","2014-01-12",30
"43","2014-01-13",51
"44","2014-01-14",49
"45","2014-01-15",47
"46","2014-01-16",50
"47","2014-01-17",51
"48","2014-01-18",21
"49","2014-01-19",15
"50","2014-01-20",43
"51","2014-01-21",53
"52","2014-01-22",49
"53","2014-01-23",47
"54","2014-01-24",52
"55","2014-01-25",19
"56","2014-01-26",26
"57","2014-01-27",45
"58","2014-01-28",42
"59","2014-01-29",47
"60","2014-01-30",42
"61","2014-01-31",42
"62","2014-02-01",11
"63","2014-02-02",13
"64","2014-02-03",44
"65","2014-02-04",44
"66","2014-02-05",48
"67","2014-02-06",48
"68","2014-02-07",50
"69","2014-02-08",14
"70","2014-02-09",25
"71","2014-02-10",45
"72","2014-02-11",50
"73","2014-02-12",61
"74","2014-02-13",60
"75","2014-02-14",66
"76","2014-02-15",21
"77","2014-02-16",23
"78","2014-02-17",47
"79","2014-02-18",40
"80","2014-02-19",48
"81","2014-02-20",40
"82","2014-02-21",56
"83","2014-02-22",21
"84","2014-02-23",27
"85","2014-02-24",43
"86","2014-02-25",47
"87","2014-02-26",49
"88","2014-02-27",43
"89","2014-02-28",58
"90","2014-03-01",22
"91","2014-03-02",21
"92","2014-03-03",56
"93","2014-03-04",45
"94","2014-03-05",47
"95","2014-03-06",50
"96","2014-03-07",52
"97","2014-03-08",21
"98","2014-03-09",20
"99","2014-03-10",44
"100","2014-03-11",45
"101","2014-03-12",42
"102","2014-03-13",48
"103","2014-03-14",53
"104","2014-03-15",19
"105","2014-03-16",27
"106","2014-03-17",41
"107","2014-03-18",43
"108","2014-03-19",53
