"date","alabama"
"2013-12-01",85
"2013-12-08",76
"2013-12-15",77
"2013-12-22",75
"2013-12-29",67
"2014-01-05",55
"2014-01-12",50
"2014-01-19",51
"2014-01-26",46
"2014-02-02",47
"2014-02-09",48
"2014-02-16",46
"2014-02-23",49
"2014-03-02",49
"2014-03-09",49
"2014-03-16",51
"2014-03-23",50
"2014-03-30",49
"2014-04-06",47
"2014-04-13",43
"2014-04-20",46
"2014-04-27",44
"2014-05-04",48
"2014-05-11",49
"2014-05-18",45
"2014-05-25",48
"2014-06-01",50
"2014-06-08",52
"2014-06-15",54
"2014-06-22",52
"2014-06-29",52
"2014-07-06",50
"2014-07-13",49
"2014-07-20",53
"2014-07-27",53
"2014-08-03",53
"2014-08-10",51
"2014-08-17",54
"2014-08-24",53
"2014-08-31",50
"2014-09-07",49
"2014-09-14",49
"2014-09-21",47
"2014-09-28",49
"2014-10-05",51
"2014-10-12",49
"2014-10-19",54
"2014-10-26",48
"2014-11-02",53
"2014-11-09",58
"2014-11-16",61
"2014-11-23",87
"2014-11-30",84
"2014-12-07",83
"2014-12-14",91
"2014-12-21",83
"2014-12-28",73
"2015-01-04",62
"2015-01-11",59
"2015-01-18",55
"2015-01-25",57
"2015-02-01",57
"2015-02-08",56
"2015-02-15",57
"2015-02-22",54
"2015-03-01",54
"2015-03-08",56
"2015-03-15",52
"2015-03-22",55
"2015-03-29",57
"2015-04-05",51
"2015-04-12",50
"2015-04-19",54
"2015-04-26",52
"2015-05-03",52
"2015-05-10",54
"2015-05-17",55
"2015-05-24",57
"2015-05-31",58
"2015-06-07",60
"2015-06-14",58
"2015-06-21",61
"2015-06-28",56
"2015-07-05",61
"2015-07-12",83
"2015-07-19",62
"2015-07-26",60
"2015-08-02",60
"2015-08-09",63
"2015-08-16",61
"2015-08-23",63
"2015-08-30",57
"2015-09-06",57
"2015-09-13",55
"2015-09-20",55
"2015-09-27",59
"2015-10-04",57
"2015-10-11",55
"2015-10-18",55
"2015-10-25",56
"2015-11-01",59
"2015-11-08",64
"2015-11-15",71
"2015-11-22",100
"2015-11-29",97
"2015-12-06",85
"2015-12-13",92
"2015-12-20",84
"2015-12-27",71
"2016-01-03",51
"2016-01-10",46
"2016-01-17",48
"2016-01-24",46
"2016-01-31",47
"2016-02-07",46
"2016-02-14",47
"2016-02-21",46
"2016-02-28",45
"2016-03-06",46
"2016-03-13",44
"2016-03-20",46
"2016-03-27",44
"2016-04-03",46
"2016-04-10",46
"2016-04-17",43
"2016-04-24",45
"2016-05-01",44
"2016-05-08",46
"2016-05-15",47
"2016-05-22",47
"2016-05-29",48
"2016-06-05",48
"2016-06-12",46
"2016-06-19",48
"2016-06-26",49
"2016-07-03",48
"2016-07-10",57
"2016-07-17",48
"2016-07-24",50
"2016-07-31",50
"2016-08-07",49
"2016-08-14",49
"2016-08-21",48
"2016-08-28",48
"2016-09-04",43
"2016-09-11",47
"2016-09-18",43
"2016-09-25",43
"2016-10-02",45
"2016-10-09",46
"2016-10-16",46
"2016-10-23",45
"2016-10-30",44
"2016-11-06",45
"2016-11-13",51
"2016-11-20",75
"2016-11-27",75
"2016-12-04",69
"2016-12-11",77
"2016-12-18",68
"2016-12-25",68
"2017-01-01",57
"2017-01-08",52
"2017-01-15",51
"2017-01-22",50
"2017-01-29",49
"2017-02-05",47
"2017-02-12",45
"2017-02-19",49
"2017-02-26",52
"2017-03-05",51
"2017-03-12",51
"2017-03-19",49
"2017-03-26",49
"2017-04-02",47
"2017-04-09",47
"2017-04-16",48
"2017-04-23",48
"2017-04-30",51
"2017-05-07",51
"2017-05-14",53
"2017-05-21",52
"2017-05-28",53
"2017-06-04",55
"2017-06-11",54
"2017-06-18",55
"2017-06-25",54
"2017-07-02",56
"2017-07-09",71
"2017-07-16",55
"2017-07-23",56
"2017-07-30",59
"2017-08-06",59
"2017-08-13",59
"2017-08-20",58
"2017-08-27",56
"2017-09-03",52
"2017-09-10",52
"2017-09-17",53
"2017-09-24",53
"2017-10-01",53
"2017-10-08",55
"2017-10-15",58
"2017-10-22",59
"2017-10-29",52
"2017-11-05",57
"2017-11-12",62
"2017-11-19",84
"2017-11-26",84
"2017-12-03",78
"2017-12-10",83
"2017-12-17",77
"2017-12-24",75
"2017-12-31",62
"2018-01-07",58
"2018-01-14",58
"2018-01-21",56
"2018-01-28",55
"2018-02-04",57
"2018-02-11",52
"2018-02-18",52
"2018-02-25",56
"2018-03-04",57
"2018-03-11",57
"2018-03-18",54
"2018-03-25",57
"2018-04-01",55
"2018-04-08",52
"2018-04-15",52
"2018-04-22",54
"2018-04-29",51
"2018-05-06",54
"2018-05-13",52
"2018-05-20",53
"2018-05-27",54
"2018-06-03",52
"2018-06-10",56
"2018-06-17",55
"2018-06-24",56
"2018-07-01",56
"2018-07-08",59
"2018-07-15",78
"2018-07-22",58
"2018-07-29",59
"2018-08-05",57
"2018-08-12",59
"2018-08-19",59
"2018-08-26",55
"2018-09-02",51
"2018-09-09",53
"2018-09-16",50
"2018-09-23",52
"2018-09-30",53
"2018-10-07",52
"2018-10-14",55
"2018-10-21",57
"2018-10-28",54
"2018-11-04",57
"2018-11-11",66
"2018-11-18",80
