"date","arizona"
"2013-12-01",89
"2013-12-08",76
"2013-12-15",76
"2013-12-22",67
"2013-12-29",61
"2014-01-05",58
"2014-01-12",55
"2014-01-19",53
"2014-01-26",49
"2014-02-02",46
"2014-02-09",49
"2014-02-16",50
"2014-02-23",50
"2014-03-02",50
"2014-03-09",50
"2014-03-16",50
"2014-03-23",48
"2014-03-30",49
"2014-04-06",52
"2014-04-13",50
"2014-04-20",48
"2014-04-27",48
"2014-05-04",50
"2014-05-11",49
"2014-05-18",48
"2014-05-25",49
"2014-06-01",51
"2014-06-08",53
"2014-06-15",57
"2014-06-22",52
"2014-06-29",52
"2014-07-06",54
"2014-07-13",53
"2014-07-20",56
"2014-07-27",53
"2014-08-03",56
"2014-08-10",56
"2014-08-17",58
"2014-08-24",59
"2014-08-31",54
"2014-09-07",52
"2014-09-14",53
"2014-09-21",55
"2014-09-28",52
"2014-10-05",55
"2014-10-12",55
"2014-10-19",54
"2014-10-26",55
"2014-11-02",57
"2014-11-09",58
"2014-11-16",63
"2014-11-23",82
"2014-11-30",87
"2014-12-07",81
"2014-12-14",86
"2014-12-21",78
"2014-12-28",69
"2015-01-04",63
"2015-01-11",60
"2015-01-18",61
"2015-01-25",56
"2015-02-01",56
"2015-02-08",58
"2015-02-15",57
"2015-02-22",55
"2015-03-01",56
"2015-03-08",54
"2015-03-15",53
"2015-03-22",56
"2015-03-29",57
"2015-04-05",54
"2015-04-12",57
"2015-04-19",54
"2015-04-26",56
"2015-05-03",55
"2015-05-10",59
"2015-05-17",58
"2015-05-24",62
"2015-05-31",58
"2015-06-07",59
"2015-06-14",58
"2015-06-21",61
"2015-06-28",60
"2015-07-05",64
"2015-07-12",84
"2015-07-19",64
"2015-07-26",64
"2015-08-02",62
"2015-08-09",63
"2015-08-16",66
"2015-08-23",67
"2015-08-30",64
"2015-09-06",62
"2015-09-13",58
"2015-09-20",62
"2015-09-27",61
"2015-10-04",62
"2015-10-11",62
"2015-10-18",62
"2015-10-25",62
"2015-11-01",61
"2015-11-08",69
"2015-11-15",71
"2015-11-22",95
"2015-11-29",100
"2015-12-06",87
"2015-12-13",94
"2015-12-20",92
"2015-12-27",77
"2016-01-03",57
"2016-01-10",54
"2016-01-17",54
"2016-01-24",53
"2016-01-31",52
"2016-02-07",50
"2016-02-14",50
"2016-02-21",50
"2016-02-28",50
"2016-03-06",50
"2016-03-13",51
"2016-03-20",50
"2016-03-27",53
"2016-04-03",53
"2016-04-10",51
"2016-04-17",52
"2016-04-24",50
"2016-05-01",52
"2016-05-08",52
"2016-05-15",53
"2016-05-22",55
"2016-05-29",54
"2016-06-05",56
"2016-06-12",55
"2016-06-19",53
"2016-06-26",56
"2016-07-03",56
"2016-07-10",68
"2016-07-17",55
"2016-07-24",58
"2016-07-31",56
"2016-08-07",54
"2016-08-14",54
"2016-08-21",58
"2016-08-28",53
"2016-09-04",54
"2016-09-11",53
"2016-09-18",53
"2016-09-25",51
"2016-10-02",53
"2016-10-09",55
"2016-10-16",52
"2016-10-23",54
"2016-10-30",52
"2016-11-06",51
"2016-11-13",59
"2016-11-20",80
"2016-11-27",87
"2016-12-04",77
"2016-12-11",83
"2016-12-18",79
"2016-12-25",74
"2017-01-01",66
"2017-01-08",61
"2017-01-15",61
"2017-01-22",56
"2017-01-29",54
"2017-02-05",55
"2017-02-12",53
"2017-02-19",55
"2017-02-26",57
"2017-03-05",55
"2017-03-12",54
"2017-03-19",54
"2017-03-26",55
"2017-04-02",57
"2017-04-09",56
"2017-04-16",54
"2017-04-23",59
"2017-04-30",61
"2017-05-07",59
"2017-05-14",60
"2017-05-21",59
"2017-05-28",60
"2017-06-04",61
"2017-06-11",63
"2017-06-18",62
"2017-06-25",62
"2017-07-02",61
"2017-07-09",79
"2017-07-16",61
"2017-07-23",64
"2017-07-30",65
"2017-08-06",63
"2017-08-13",63
"2017-08-20",61
"2017-08-27",61
"2017-09-03",60
"2017-09-10",61
"2017-09-17",60
"2017-09-24",61
"2017-10-01",60
"2017-10-08",64
"2017-10-15",65
"2017-10-22",66
"2017-10-29",60
"2017-11-05",67
"2017-11-12",70
"2017-11-19",89
"2017-11-26",96
"2017-12-03",85
"2017-12-10",89
"2017-12-17",87
"2017-12-24",81
"2017-12-31",70
"2018-01-07",68
"2018-01-14",68
"2018-01-21",65
"2018-01-28",63
"2018-02-04",62
"2018-02-11",60
"2018-02-18",61
"2018-02-25",64
"2018-03-04",62
"2018-03-11",62
"2018-03-18",61
"2018-03-25",60
"2018-04-01",61
"2018-04-08",60
"2018-04-15",60
"2018-04-22",60
"2018-04-29",59
"2018-05-06",61
"2018-05-13",61
"2018-05-20",62
"2018-05-27",61
"2018-06-03",63
"2018-06-10",62
"2018-06-17",62
"2018-06-24",66
"2018-07-01",64
"2018-07-08",66
"2018-07-15",89
"2018-07-22",66
"2018-07-29",63
"2018-08-05",63
"2018-08-12",64
"2018-08-19",63
"2018-08-26",61
"2018-09-02",62
"2018-09-09",60
"2018-09-16",59
"2018-09-23",58
"2018-09-30",61
"2018-10-07",62
"2018-10-14",61
"2018-10-21",61
"2018-10-28",59
"2018-11-04",61
"2018-11-11",72
"2018-11-18",84
