"date","california"
"2013-12-01",87
"2013-12-08",79
"2013-12-15",79
"2013-12-22",74
"2013-12-29",68
"2014-01-05",63
"2014-01-12",59
"2014-01-19",58
"2014-01-26",56
"2014-02-02",54
"2014-02-09",54
"2014-02-16",55
"2014-02-23",54
"2014-03-02",53
"2014-03-09",53
"2014-03-16",53
"2014-03-23",53
"2014-03-30",57
"2014-04-06",54
"2014-04-13",54
"2014-04-20",54
"2014-04-27",53
"2014-05-04",54
"2014-05-11",51
"2014-05-18",52
"2014-05-25",54
"2014-06-01",55
"2014-06-08",57
"2014-06-15",62
"2014-06-22",56
"2014-06-29",55
"2014-07-06",57
"2014-07-13",56
"2014-07-20",58
"2014-07-27",59
"2014-08-03",60
"2014-08-10",60
"2014-08-17",63
"2014-08-24",65
"2014-08-31",62
"2014-09-07",61
"2014-09-14",60
"2014-09-21",61
"2014-09-28",60
"2014-10-05",60
"2014-10-12",59
"2014-10-19",61
"2014-10-26",57
"2014-11-02",60
"2014-11-09",63
"2014-11-16",67
"2014-11-23",81
"2014-11-30",87
"2014-12-07",81
"2014-12-14",87
"2014-12-21",80
"2014-12-28",70
"2015-01-04",66
"2015-01-11",63
"2015-01-18",63
"2015-01-25",60
"2015-02-01",59
"2015-02-08",59
"2015-02-15",58
"2015-02-22",56
"2015-03-01",58
"2015-03-08",57
"2015-03-15",56
"2015-03-22",58
"2015-03-29",60
"2015-04-05",56
"2015-04-12",57
"2015-04-19",56
"2015-04-26",56
"2015-05-03",56
"2015-05-10",55
"2015-05-17",56
"2015-05-24",57
"2015-05-31",60
"2015-06-07",60
"2015-06-14",61
"2015-06-21",63
"2015-06-28",60
"2015-07-05",63
"2015-07-12",85
"2015-07-19",62
"2015-07-26",64
"2015-08-02",64
"2015-08-09",65
"2015-08-16",70
"2015-08-23",68
"2015-08-30",65
"2015-09-06",64
"2015-09-13",62
"2015-09-20",64
"2015-09-27",63
"2015-10-04",65
"2015-10-11",61
"2015-10-18",65
"2015-10-25",63
"2015-11-01",65
"2015-11-08",67
"2015-11-15",72
"2015-11-22",97
"2015-11-29",98
"2015-12-06",88
"2015-12-13",96
"2015-12-20",92
"2015-12-27",78
"2016-01-03",63
"2016-01-10",58
"2016-01-17",59
"2016-01-24",57
"2016-01-31",58
"2016-02-07",56
"2016-02-14",55
"2016-02-21",54
"2016-02-28",54
"2016-03-06",54
"2016-03-13",54
"2016-03-20",54
"2016-03-27",56
"2016-04-03",55
"2016-04-10",55
"2016-04-17",54
"2016-04-24",55
"2016-05-01",55
"2016-05-08",55
"2016-05-15",55
"2016-05-22",54
"2016-05-29",56
"2016-06-05",54
"2016-06-12",59
"2016-06-19",59
"2016-06-26",59
"2016-07-03",58
"2016-07-10",70
"2016-07-17",59
"2016-07-24",60
"2016-07-31",61
"2016-08-07",57
"2016-08-14",59
"2016-08-21",63
"2016-08-28",62
"2016-09-04",60
"2016-09-11",58
"2016-09-18",58
"2016-09-25",57
"2016-10-02",58
"2016-10-09",57
"2016-10-16",59
"2016-10-23",60
"2016-10-30",56
"2016-11-06",54
"2016-11-13",63
"2016-11-20",81
"2016-11-27",89
"2016-12-04",81
"2016-12-11",87
"2016-12-18",85
"2016-12-25",79
"2017-01-01",72
"2017-01-08",67
"2017-01-15",65
"2017-01-22",62
"2017-01-29",62
"2017-02-05",59
"2017-02-12",58
"2017-02-19",60
"2017-02-26",62
"2017-03-05",61
"2017-03-12",59
"2017-03-19",59
"2017-03-26",62
"2017-04-02",62
"2017-04-09",61
"2017-04-16",60
"2017-04-23",64
"2017-04-30",64
"2017-05-07",64
"2017-05-14",65
"2017-05-21",62
"2017-05-28",63
"2017-06-04",65
"2017-06-11",70
"2017-06-18",68
"2017-06-25",66
"2017-07-02",66
"2017-07-09",87
"2017-07-16",67
"2017-07-23",70
"2017-07-30",72
"2017-08-06",71
"2017-08-13",72
"2017-08-20",70
"2017-08-27",72
"2017-09-03",68
"2017-09-10",65
"2017-09-17",67
"2017-09-24",67
"2017-10-01",65
"2017-10-08",64
"2017-10-15",68
"2017-10-22",70
"2017-10-29",65
"2017-11-05",70
"2017-11-12",74
"2017-11-19",91
"2017-11-26",100
"2017-12-03",85
"2017-12-10",93
"2017-12-17",94
"2017-12-24",86
"2017-12-31",76
"2018-01-07",73
"2018-01-14",72
"2018-01-21",72
"2018-01-28",70
"2018-02-04",68
"2018-02-11",65
"2018-02-18",66
"2018-02-25",70
"2018-03-04",67
"2018-03-11",64
"2018-03-18",66
"2018-03-25",67
"2018-04-01",67
"2018-04-08",63
"2018-04-15",66
"2018-04-22",64
"2018-04-29",64
"2018-05-06",65
"2018-05-13",64
"2018-05-20",64
"2018-05-27",64
"2018-06-03",67
"2018-06-10",67
"2018-06-17",66
"2018-06-24",68
"2018-07-01",65
"2018-07-08",70
"2018-07-15",96
"2018-07-22",71
"2018-07-29",70
"2018-08-05",68
"2018-08-12",70
"2018-08-19",69
"2018-08-26",70
"2018-09-02",69
"2018-09-09",65
"2018-09-16",67
"2018-09-23",65
"2018-09-30",66
"2018-10-07",66
"2018-10-14",65
"2018-10-21",65
"2018-10-28",64
"2018-11-04",64
"2018-11-11",74
"2018-11-18",89
