"date","CO"
"2013-12-01",86
"2013-12-08",73
"2013-12-15",73
"2013-12-22",74
"2013-12-29",65
"2014-01-05",57
"2014-01-12",55
"2014-01-19",54
"2014-01-26",48
"2014-02-02",45
"2014-02-09",49
"2014-02-16",49
"2014-02-23",49
"2014-03-02",49
"2014-03-09",48
"2014-03-16",47
"2014-03-23",49
"2014-03-30",50
"2014-04-06",47
"2014-04-13",47
"2014-04-20",47
"2014-04-27",48
"2014-05-04",48
"2014-05-11",46
"2014-05-18",47
"2014-05-25",50
"2014-06-01",49
"2014-06-08",50
"2014-06-15",53
"2014-06-22",47
"2014-06-29",50
"2014-07-06",49
"2014-07-13",50
"2014-07-20",53
"2014-07-27",55
"2014-08-03",54
"2014-08-10",55
"2014-08-17",54
"2014-08-24",55
"2014-08-31",52
"2014-09-07",53
"2014-09-14",51
"2014-09-21",52
"2014-09-28",51
"2014-10-05",54
"2014-10-12",53
"2014-10-19",53
"2014-10-26",54
"2014-11-02",59
"2014-11-09",62
"2014-11-16",66
"2014-11-23",81
"2014-11-30",84
"2014-12-07",78
"2014-12-14",79
"2014-12-21",80
"2014-12-28",69
"2015-01-04",61
"2015-01-11",59
"2015-01-18",60
"2015-01-25",56
"2015-02-01",53
"2015-02-08",56
"2015-02-15",56
"2015-02-22",57
"2015-03-01",58
"2015-03-08",53
"2015-03-15",54
"2015-03-22",58
"2015-03-29",56
"2015-04-05",56
"2015-04-12",55
"2015-04-19",56
"2015-04-26",56
"2015-05-03",59
"2015-05-10",60
"2015-05-17",58
"2015-05-24",58
"2015-05-31",57
"2015-06-07",57
"2015-06-14",60
"2015-06-21",59
"2015-06-28",61
"2015-07-05",64
"2015-07-12",82
"2015-07-19",62
"2015-07-26",65
"2015-08-02",64
"2015-08-09",68
"2015-08-16",68
"2015-08-23",65
"2015-08-30",60
"2015-09-06",59
"2015-09-13",56
"2015-09-20",62
"2015-09-27",58
"2015-10-04",61
"2015-10-11",59
"2015-10-18",63
"2015-10-25",62
"2015-11-01",63
"2015-11-08",67
"2015-11-15",71
"2015-11-22",100
"2015-11-29",97
"2015-12-06",90
"2015-12-13",96
"2015-12-20",90
"2015-12-27",79
"2016-01-03",58
"2016-01-10",56
"2016-01-17",56
"2016-01-24",54
"2016-01-31",54
"2016-02-07",53
"2016-02-14",50
"2016-02-21",51
"2016-02-28",53
"2016-03-06",53
"2016-03-13",51
"2016-03-20",53
"2016-03-27",54
"2016-04-03",50
"2016-04-10",51
"2016-04-17",54
"2016-04-24",54
"2016-05-01",50
"2016-05-08",51
"2016-05-15",51
"2016-05-22",51
"2016-05-29",52
"2016-06-05",55
"2016-06-12",54
"2016-06-19",53
"2016-06-26",56
"2016-07-03",54
"2016-07-10",64
"2016-07-17",55
"2016-07-24",55
"2016-07-31",58
"2016-08-07",54
"2016-08-14",57
"2016-08-21",58
"2016-08-28",54
"2016-09-04",54
"2016-09-11",54
"2016-09-18",52
"2016-09-25",50
"2016-10-02",53
"2016-10-09",53
"2016-10-16",57
"2016-10-23",55
"2016-10-30",52
"2016-11-06",52
"2016-11-13",60
"2016-11-20",84
"2016-11-27",88
"2016-12-04",78
"2016-12-11",85
"2016-12-18",81
"2016-12-25",79
"2017-01-01",66
"2017-01-08",61
"2017-01-15",60
"2017-01-22",56
"2017-01-29",57
"2017-02-05",55
"2017-02-12",55
"2017-02-19",57
"2017-02-26",58
"2017-03-05",57
"2017-03-12",56
"2017-03-19",53
"2017-03-26",57
"2017-04-02",57
"2017-04-09",55
"2017-04-16",56
"2017-04-23",58
"2017-04-30",61
"2017-05-07",59
"2017-05-14",58
"2017-05-21",58
"2017-05-28",60
"2017-06-04",57
"2017-06-11",63
"2017-06-18",61
"2017-06-25",61
"2017-07-02",61
"2017-07-09",83
"2017-07-16",62
"2017-07-23",64
"2017-07-30",68
"2017-08-06",68
"2017-08-13",64
"2017-08-20",63
"2017-08-27",62
"2017-09-03",60
"2017-09-10",63
"2017-09-17",64
"2017-09-24",64
"2017-10-01",63
"2017-10-08",65
"2017-10-15",70
"2017-10-22",70
"2017-10-29",64
"2017-11-05",68
"2017-11-12",73
"2017-11-19",94
"2017-11-26",97
"2017-12-03",88
"2017-12-10",89
"2017-12-17",87
"2017-12-24",86
"2017-12-31",72
"2018-01-07",69
"2018-01-14",70
"2018-01-21",68
"2018-01-28",66
"2018-02-04",63
"2018-02-11",59
"2018-02-18",61
"2018-02-25",63
"2018-03-04",64
"2018-03-11",61
"2018-03-18",62
"2018-03-25",64
"2018-04-01",60
"2018-04-08",60
"2018-04-15",59
"2018-04-22",60
"2018-04-29",62
"2018-05-06",62
"2018-05-13",60
"2018-05-20",58
"2018-05-27",61
"2018-06-03",60
"2018-06-10",60
"2018-06-17",61
"2018-06-24",63
"2018-07-01",62
"2018-07-08",66
"2018-07-15",93
"2018-07-22",65
"2018-07-29",65
"2018-08-05",66
"2018-08-12",66
"2018-08-19",63
"2018-08-26",62
"2018-09-02",63
"2018-09-09",62
"2018-09-16",61
"2018-09-23",61
"2018-09-30",60
"2018-10-07",63
"2018-10-14",64
"2018-10-21",62
"2018-10-28",62
"2018-11-04",65
"2018-11-11",72
"2018-11-18",89
