"date","connecticut"
"2013-12-01",96
"2013-12-08",84
"2013-12-15",88
"2013-12-22",81
"2013-12-29",64
"2014-01-05",59
"2014-01-12",59
"2014-01-19",59
"2014-01-26",55
"2014-02-02",52
"2014-02-09",54
"2014-02-16",55
"2014-02-23",52
"2014-03-02",53
"2014-03-09",54
"2014-03-16",55
"2014-03-23",55
"2014-03-30",53
"2014-04-06",54
"2014-04-13",55
"2014-04-20",52
"2014-04-27",53
"2014-05-04",52
"2014-05-11",54
"2014-05-18",35
"2014-05-25",27
"2014-06-01",32
"2014-06-08",56
"2014-06-15",59
"2014-06-22",54
"2014-06-29",58
"2014-07-06",57
"2014-07-13",56
"2014-07-20",61
"2014-07-27",60
"2014-08-03",58
"2014-08-10",59
"2014-08-17",59
"2014-08-24",65
"2014-08-31",59
"2014-09-07",58
"2014-09-14",56
"2014-09-21",56
"2014-09-28",52
"2014-10-05",58
"2014-10-12",56
"2014-10-19",59
"2014-10-26",55
"2014-11-02",61
"2014-11-09",63
"2014-11-16",66
"2014-11-23",86
"2014-11-30",90
"2014-12-07",87
"2014-12-14",90
"2014-12-21",80
"2014-12-28",78
"2015-01-04",65
"2015-01-11",63
"2015-01-18",65
"2015-01-25",60
"2015-02-01",57
"2015-02-08",58
"2015-02-15",60
"2015-02-22",54
"2015-03-01",52
"2015-03-08",58
"2015-03-15",56
"2015-03-22",58
"2015-03-29",57
"2015-04-05",53
"2015-04-12",54
"2015-04-19",56
"2015-04-26",51
"2015-05-03",56
"2015-05-10",56
"2015-05-17",55
"2015-05-24",59
"2015-05-31",61
"2015-06-07",57
"2015-06-14",61
"2015-06-21",58
"2015-06-28",61
"2015-07-05",68
"2015-07-12",89
"2015-07-19",61
"2015-07-26",65
"2015-08-02",63
"2015-08-09",67
"2015-08-16",69
"2015-08-23",69
"2015-08-30",65
"2015-09-06",62
"2015-09-13",61
"2015-09-20",62
"2015-09-27",66
"2015-10-04",63
"2015-10-11",59
"2015-10-18",63
"2015-10-25",62
"2015-11-01",63
"2015-11-08",67
"2015-11-15",70
"2015-11-22",96
"2015-11-29",100
"2015-12-06",95
"2015-12-13",97
"2015-12-20",90
"2015-12-27",80
"2016-01-03",57
"2016-01-10",53
"2016-01-17",55
"2016-01-24",55
"2016-01-31",52
"2016-02-07",50
"2016-02-14",51
"2016-02-21",51
"2016-02-28",51
"2016-03-06",49
"2016-03-13",51
"2016-03-20",50
"2016-03-27",49
"2016-04-03",50
"2016-04-10",49
"2016-04-17",47
"2016-04-24",50
"2016-05-01",54
"2016-05-08",48
"2016-05-15",51
"2016-05-22",51
"2016-05-29",53
"2016-06-05",53
"2016-06-12",56
"2016-06-19",55
"2016-06-26",56
"2016-07-03",55
"2016-07-10",68
"2016-07-17",53
"2016-07-24",52
"2016-07-31",52
"2016-08-07",55
"2016-08-14",56
"2016-08-21",59
"2016-08-28",60
"2016-09-04",58
"2016-09-11",55
"2016-09-18",53
"2016-09-25",53
"2016-10-02",52
"2016-10-09",53
"2016-10-16",55
"2016-10-23",55
"2016-10-30",52
"2016-11-06",54
"2016-11-13",59
"2016-11-20",84
"2016-11-27",89
"2016-12-04",81
"2016-12-11",88
"2016-12-18",82
"2016-12-25",79
"2017-01-01",64
"2017-01-08",62
"2017-01-15",59
"2017-01-22",57
"2017-01-29",57
"2017-02-05",54
"2017-02-12",52
"2017-02-19",57
"2017-02-26",55
"2017-03-05",56
"2017-03-12",55
"2017-03-19",56
"2017-03-26",56
"2017-04-02",56
"2017-04-09",58
"2017-04-16",53
"2017-04-23",57
"2017-04-30",59
"2017-05-07",57
"2017-05-14",56
"2017-05-21",57
"2017-05-28",57
"2017-06-04",59
"2017-06-11",64
"2017-06-18",62
"2017-06-25",60
"2017-07-02",66
"2017-07-09",82
"2017-07-16",63
"2017-07-23",65
"2017-07-30",67
"2017-08-06",62
"2017-08-13",69
"2017-08-20",67
"2017-08-27",71
"2017-09-03",63
"2017-09-10",64
"2017-09-17",65
"2017-09-24",62
"2017-10-01",60
"2017-10-08",64
"2017-10-15",65
"2017-10-22",69
"2017-10-29",62
"2017-11-05",69
"2017-11-12",73
"2017-11-19",86
"2017-11-26",98
"2017-12-03",92
"2017-12-10",95
"2017-12-17",91
"2017-12-24",85
"2017-12-31",70
"2018-01-07",68
"2018-01-14",71
"2018-01-21",68
"2018-01-28",65
"2018-02-04",65
"2018-02-11",62
"2018-02-18",62
"2018-02-25",65
"2018-03-04",61
"2018-03-11",61
"2018-03-18",59
"2018-03-25",61
"2018-04-01",59
"2018-04-08",60
"2018-04-15",59
"2018-04-22",59
"2018-04-29",57
"2018-05-06",59
"2018-05-13",58
"2018-05-20",59
"2018-05-27",58
"2018-06-03",58
"2018-06-10",63
"2018-06-17",58
"2018-06-24",61
"2018-07-01",64
"2018-07-08",65
"2018-07-15",89
"2018-07-22",61
"2018-07-29",64
"2018-08-05",64
"2018-08-12",66
"2018-08-19",69
"2018-08-26",68
"2018-09-02",63
"2018-09-09",63
"2018-09-16",62
"2018-09-23",60
"2018-09-30",62
"2018-10-07",63
"2018-10-14",64
"2018-10-21",65
"2018-10-28",63
"2018-11-04",63
"2018-11-11",73
"2018-11-18",85
