"date","florida"
"2013-12-01",82
"2013-12-08",72
"2013-12-15",76
"2013-12-22",69
"2013-12-29",58
"2014-01-05",56
"2014-01-12",52
"2014-01-19",52
"2014-01-26",50
"2014-02-02",49
"2014-02-09",49
"2014-02-16",48
"2014-02-23",49
"2014-03-02",49
"2014-03-09",48
"2014-03-16",49
"2014-03-23",47
"2014-03-30",49
"2014-04-06",48
"2014-04-13",49
"2014-04-20",51
"2014-04-27",50
"2014-05-04",48
"2014-05-11",49
"2014-05-18",48
"2014-05-25",48
"2014-06-01",51
"2014-06-08",51
"2014-06-15",54
"2014-06-22",51
"2014-06-29",48
"2014-07-06",50
"2014-07-13",50
"2014-07-20",53
"2014-07-27",53
"2014-08-03",54
"2014-08-10",53
"2014-08-17",54
"2014-08-24",56
"2014-08-31",53
"2014-09-07",50
"2014-09-14",53
"2014-09-21",54
"2014-09-28",53
"2014-10-05",54
"2014-10-12",54
"2014-10-19",54
"2014-10-26",53
"2014-11-02",56
"2014-11-09",60
"2014-11-16",63
"2014-11-23",80
"2014-11-30",85
"2014-12-07",81
"2014-12-14",89
"2014-12-21",77
"2014-12-28",67
"2015-01-04",63
"2015-01-11",62
"2015-01-18",58
"2015-01-25",57
"2015-02-01",59
"2015-02-08",57
"2015-02-15",59
"2015-02-22",57
"2015-03-01",56
"2015-03-08",56
"2015-03-15",54
"2015-03-22",57
"2015-03-29",57
"2015-04-05",53
"2015-04-12",55
"2015-04-19",56
"2015-04-26",54
"2015-05-03",57
"2015-05-10",57
"2015-05-17",55
"2015-05-24",56
"2015-05-31",57
"2015-06-07",59
"2015-06-14",59
"2015-06-21",58
"2015-06-28",56
"2015-07-05",60
"2015-07-12",79
"2015-07-19",61
"2015-07-26",59
"2015-08-02",61
"2015-08-09",63
"2015-08-16",64
"2015-08-23",62
"2015-08-30",61
"2015-09-06",59
"2015-09-13",58
"2015-09-20",58
"2015-09-27",59
"2015-10-04",59
"2015-10-11",59
"2015-10-18",61
"2015-10-25",60
"2015-11-01",61
"2015-11-08",64
"2015-11-15",65
"2015-11-22",90
"2015-11-29",95
"2015-12-06",86
"2015-12-13",93
"2015-12-20",85
"2015-12-27",71
"2016-01-03",55
"2016-01-10",51
"2016-01-17",52
"2016-01-24",50
"2016-01-31",49
"2016-02-07",50
"2016-02-14",49
"2016-02-21",49
"2016-02-28",49
"2016-03-06",50
"2016-03-13",48
"2016-03-20",49
"2016-03-27",49
"2016-04-03",50
"2016-04-10",49
"2016-04-17",49
"2016-04-24",50
"2016-05-01",51
"2016-05-08",51
"2016-05-15",52
"2016-05-22",51
"2016-05-29",51
"2016-06-05",51
"2016-06-12",51
"2016-06-19",50
"2016-06-26",51
"2016-07-03",52
"2016-07-10",64
"2016-07-17",54
"2016-07-24",55
"2016-07-31",54
"2016-08-07",52
"2016-08-14",54
"2016-08-21",57
"2016-08-28",54
"2016-09-04",54
"2016-09-11",54
"2016-09-18",52
"2016-09-25",51
"2016-10-02",47
"2016-10-09",53
"2016-10-16",55
"2016-10-23",53
"2016-10-30",51
"2016-11-06",50
"2016-11-13",60
"2016-11-20",79
"2016-11-27",84
"2016-12-04",75
"2016-12-11",85
"2016-12-18",82
"2016-12-25",72
"2017-01-01",65
"2017-01-08",61
"2017-01-15",57
"2017-01-22",56
"2017-01-29",56
"2017-02-05",55
"2017-02-12",54
"2017-02-19",58
"2017-02-26",56
"2017-03-05",57
"2017-03-12",54
"2017-03-19",56
"2017-03-26",57
"2017-04-02",57
"2017-04-09",58
"2017-04-16",57
"2017-04-23",61
"2017-04-30",63
"2017-05-07",65
"2017-05-14",60
"2017-05-21",59
"2017-05-28",61
"2017-06-04",62
"2017-06-11",64
"2017-06-18",63
"2017-06-25",62
"2017-07-02",64
"2017-07-09",82
"2017-07-16",63
"2017-07-23",65
"2017-07-30",70
"2017-08-06",69
"2017-08-13",67
"2017-08-20",64
"2017-08-27",64
"2017-09-03",52
"2017-09-10",54
"2017-09-17",63
"2017-09-24",67
"2017-10-01",65
"2017-10-08",66
"2017-10-15",67
"2017-10-22",70
"2017-10-29",65
"2017-11-05",71
"2017-11-12",74
"2017-11-19",94
"2017-11-26",100
"2017-12-03",88
"2017-12-10",95
"2017-12-17",93
"2017-12-24",83
"2017-12-31",74
"2018-01-07",71
"2018-01-14",72
"2018-01-21",67
"2018-01-28",68
"2018-02-04",65
"2018-02-11",62
"2018-02-18",64
"2018-02-25",69
"2018-03-04",65
"2018-03-11",64
"2018-03-18",65
"2018-03-25",63
"2018-04-01",63
"2018-04-08",63
"2018-04-15",63
"2018-04-22",65
"2018-04-29",64
"2018-05-06",66
"2018-05-13",65
"2018-05-20",64
"2018-05-27",64
"2018-06-03",65
"2018-06-10",67
"2018-06-17",62
"2018-06-24",66
"2018-07-01",64
"2018-07-08",70
"2018-07-15",94
"2018-07-22",67
"2018-07-29",69
"2018-08-05",69
"2018-08-12",67
"2018-08-19",68
"2018-08-26",65
"2018-09-02",66
"2018-09-09",64
"2018-09-16",65
"2018-09-23",62
"2018-09-30",68
"2018-10-07",63
"2018-10-14",66
"2018-10-21",65
"2018-10-28",66
"2018-11-04",68
"2018-11-11",75
"2018-11-18",93
