"date","georgia"
"2013-12-01",84
"2013-12-08",73
"2013-12-15",75
"2013-12-22",73
"2013-12-29",61
"2014-01-05",56
"2014-01-12",55
"2014-01-19",52
"2014-01-26",48
"2014-02-02",49
"2014-02-09",49
"2014-02-16",48
"2014-02-23",50
"2014-03-02",51
"2014-03-09",50
"2014-03-16",48
"2014-03-23",48
"2014-03-30",49
"2014-04-06",47
"2014-04-13",47
"2014-04-20",48
"2014-04-27",47
"2014-05-04",48
"2014-05-11",45
"2014-05-18",47
"2014-05-25",48
"2014-06-01",51
"2014-06-08",49
"2014-06-15",52
"2014-06-22",49
"2014-06-29",48
"2014-07-06",50
"2014-07-13",51
"2014-07-20",53
"2014-07-27",54
"2014-08-03",54
"2014-08-10",51
"2014-08-17",54
"2014-08-24",53
"2014-08-31",53
"2014-09-07",52
"2014-09-14",52
"2014-09-21",51
"2014-09-28",51
"2014-10-05",51
"2014-10-12",50
"2014-10-19",53
"2014-10-26",52
"2014-11-02",56
"2014-11-09",59
"2014-11-16",60
"2014-11-23",78
"2014-11-30",83
"2014-12-07",79
"2014-12-14",83
"2014-12-21",79
"2014-12-28",70
"2015-01-04",63
"2015-01-11",60
"2015-01-18",57
"2015-01-25",56
"2015-02-01",56
"2015-02-08",58
"2015-02-15",59
"2015-02-22",58
"2015-03-01",56
"2015-03-08",57
"2015-03-15",53
"2015-03-22",57
"2015-03-29",57
"2015-04-05",56
"2015-04-12",53
"2015-04-19",55
"2015-04-26",53
"2015-05-03",53
"2015-05-10",56
"2015-05-17",55
"2015-05-24",56
"2015-05-31",59
"2015-06-07",58
"2015-06-14",59
"2015-06-21",57
"2015-06-28",53
"2015-07-05",58
"2015-07-12",79
"2015-07-19",60
"2015-07-26",61
"2015-08-02",60
"2015-08-09",59
"2015-08-16",64
"2015-08-23",63
"2015-08-30",59
"2015-09-06",56
"2015-09-13",55
"2015-09-20",56
"2015-09-27",58
"2015-10-04",59
"2015-10-11",59
"2015-10-18",61
"2015-10-25",58
"2015-11-01",60
"2015-11-08",63
"2015-11-15",67
"2015-11-22",95
"2015-11-29",94
"2015-12-06",88
"2015-12-13",95
"2015-12-20",87
"2015-12-27",73
"2016-01-03",60
"2016-01-10",56
"2016-01-17",54
"2016-01-24",53
"2016-01-31",52
"2016-02-07",52
"2016-02-14",53
"2016-02-21",54
"2016-02-28",51
"2016-03-06",52
"2016-03-13",51
"2016-03-20",49
"2016-03-27",50
"2016-04-03",50
"2016-04-10",48
"2016-04-17",49
"2016-04-24",50
"2016-05-01",51
"2016-05-08",51
"2016-05-15",52
"2016-05-22",52
"2016-05-29",55
"2016-06-05",55
"2016-06-12",54
"2016-06-19",56
"2016-06-26",55
"2016-07-03",56
"2016-07-10",68
"2016-07-17",55
"2016-07-24",58
"2016-07-31",58
"2016-08-07",54
"2016-08-14",55
"2016-08-21",56
"2016-08-28",56
"2016-09-04",55
"2016-09-11",55
"2016-09-18",53
"2016-09-25",52
"2016-10-02",52
"2016-10-09",55
"2016-10-16",56
"2016-10-23",54
"2016-10-30",54
"2016-11-06",52
"2016-11-13",60
"2016-11-20",86
"2016-11-27",88
"2016-12-04",81
"2016-12-11",88
"2016-12-18",84
"2016-12-25",78
"2017-01-01",67
"2017-01-08",64
"2017-01-15",61
"2017-01-22",56
"2017-01-29",58
"2017-02-05",53
"2017-02-12",54
"2017-02-19",59
"2017-02-26",59
"2017-03-05",57
"2017-03-12",58
"2017-03-19",55
"2017-03-26",56
"2017-04-02",57
"2017-04-09",57
"2017-04-16",58
"2017-04-23",60
"2017-04-30",64
"2017-05-07",65
"2017-05-14",63
"2017-05-21",62
"2017-05-28",65
"2017-06-04",64
"2017-06-11",67
"2017-06-18",66
"2017-06-25",64
"2017-07-02",67
"2017-07-09",84
"2017-07-16",67
"2017-07-23",71
"2017-07-30",72
"2017-08-06",70
"2017-08-13",71
"2017-08-20",66
"2017-08-27",66
"2017-09-03",60
"2017-09-10",62
"2017-09-17",66
"2017-09-24",64
"2017-10-01",65
"2017-10-08",67
"2017-10-15",70
"2017-10-22",68
"2017-10-29",67
"2017-11-05",69
"2017-11-12",74
"2017-11-19",98
"2017-11-26",100
"2017-12-03",89
"2017-12-10",97
"2017-12-17",97
"2017-12-24",91
"2017-12-31",73
"2018-01-07",71
"2018-01-14",72
"2018-01-21",68
"2018-01-28",68
"2018-02-04",66
"2018-02-11",63
"2018-02-18",66
"2018-02-25",68
"2018-03-04",67
"2018-03-11",66
"2018-03-18",64
"2018-03-25",63
"2018-04-01",67
"2018-04-08",64
"2018-04-15",63
"2018-04-22",65
"2018-04-29",62
"2018-05-06",64
"2018-05-13",67
"2018-05-20",68
"2018-05-27",71
"2018-06-03",65
"2018-06-10",68
"2018-06-17",66
"2018-06-24",69
"2018-07-01",69
"2018-07-08",71
"2018-07-15",96
"2018-07-22",70
"2018-07-29",72
"2018-08-05",69
"2018-08-12",70
"2018-08-19",68
"2018-08-26",64
"2018-09-02",65
"2018-09-09",62
"2018-09-16",65
"2018-09-23",63
"2018-09-30",69
"2018-10-07",64
"2018-10-14",67
"2018-10-21",66
"2018-10-28",66
"2018-11-04",69
"2018-11-11",79
"2018-11-18",93
