"date","idaho"
"2013-12-01",84
"2013-12-08",73
"2013-12-15",73
"2013-12-22",77
"2013-12-29",61
"2014-01-05",56
"2014-01-12",56
"2014-01-19",53
"2014-01-26",50
"2014-02-02",45
"2014-02-09",47
"2014-02-16",48
"2014-02-23",54
"2014-03-02",52
"2014-03-09",52
"2014-03-16",50
"2014-03-23",51
"2014-03-30",49
"2014-04-06",50
"2014-04-13",51
"2014-04-20",48
"2014-04-27",53
"2014-05-04",46
"2014-05-11",45
"2014-05-18",49
"2014-05-25",54
"2014-06-01",47
"2014-06-08",54
"2014-06-15",54
"2014-06-22",52
"2014-06-29",54
"2014-07-06",51
"2014-07-13",51
"2014-07-20",58
"2014-07-27",51
"2014-08-03",57
"2014-08-10",57
"2014-08-17",56
"2014-08-24",57
"2014-08-31",55
"2014-09-07",55
"2014-09-14",56
"2014-09-21",52
"2014-09-28",54
"2014-10-05",49
"2014-10-12",53
"2014-10-19",55
"2014-10-26",55
"2014-11-02",58
"2014-11-09",60
"2014-11-16",67
"2014-11-23",82
"2014-11-30",85
"2014-12-07",79
"2014-12-14",83
"2014-12-21",81
"2014-12-28",73
"2015-01-04",61
"2015-01-11",61
"2015-01-18",54
"2015-01-25",55
"2015-02-01",53
"2015-02-08",54
"2015-02-15",52
"2015-02-22",52
"2015-03-01",51
"2015-03-08",55
"2015-03-15",52
"2015-03-22",51
"2015-03-29",56
"2015-04-05",51
"2015-04-12",54
"2015-04-19",51
"2015-04-26",49
"2015-05-03",52
"2015-05-10",55
"2015-05-17",55
"2015-05-24",58
"2015-05-31",57
"2015-06-07",56
"2015-06-14",60
"2015-06-21",61
"2015-06-28",57
"2015-07-05",57
"2015-07-12",77
"2015-07-19",63
"2015-07-26",67
"2015-08-02",64
"2015-08-09",63
"2015-08-16",64
"2015-08-23",64
"2015-08-30",62
"2015-09-06",54
"2015-09-13",54
"2015-09-20",61
"2015-09-27",58
"2015-10-04",60
"2015-10-11",56
"2015-10-18",65
"2015-10-25",60
"2015-11-01",60
"2015-11-08",64
"2015-11-15",72
"2015-11-22",97
"2015-11-29",100
"2015-12-06",89
"2015-12-13",89
"2015-12-20",92
"2015-12-27",82
"2016-01-03",55
"2016-01-10",53
"2016-01-17",55
"2016-01-24",52
"2016-01-31",48
"2016-02-07",54
"2016-02-14",48
"2016-02-21",49
"2016-02-28",50
"2016-03-06",50
"2016-03-13",47
"2016-03-20",46
"2016-03-27",47
"2016-04-03",51
"2016-04-10",50
"2016-04-17",45
"2016-04-24",52
"2016-05-01",50
"2016-05-08",44
"2016-05-15",52
"2016-05-22",50
"2016-05-29",51
"2016-06-05",51
"2016-06-12",51
"2016-06-19",50
"2016-06-26",51
"2016-07-03",52
"2016-07-10",65
"2016-07-17",57
"2016-07-24",57
"2016-07-31",51
"2016-08-07",53
"2016-08-14",56
"2016-08-21",58
"2016-08-28",54
"2016-09-04",55
"2016-09-11",53
"2016-09-18",52
"2016-09-25",48
"2016-10-02",53
"2016-10-09",52
"2016-10-16",54
"2016-10-23",49
"2016-10-30",49
"2016-11-06",51
"2016-11-13",58
"2016-11-20",81
"2016-11-27",82
"2016-12-04",75
"2016-12-11",75
"2016-12-18",71
"2016-12-25",69
"2017-01-01",63
"2017-01-08",58
"2017-01-15",54
"2017-01-22",52
"2017-01-29",54
"2017-02-05",50
"2017-02-12",49
"2017-02-19",52
"2017-02-26",56
"2017-03-05",55
"2017-03-12",50
"2017-03-19",52
"2017-03-26",55
"2017-04-02",56
"2017-04-09",49
"2017-04-16",50
"2017-04-23",55
"2017-04-30",55
"2017-05-07",55
"2017-05-14",53
"2017-05-21",52
"2017-05-28",52
"2017-06-04",58
"2017-06-11",57
"2017-06-18",53
"2017-06-25",60
"2017-07-02",56
"2017-07-09",74
"2017-07-16",58
"2017-07-23",56
"2017-07-30",63
"2017-08-06",62
"2017-08-13",61
"2017-08-20",60
"2017-08-27",63
"2017-09-03",59
"2017-09-10",56
"2017-09-17",58
"2017-09-24",59
"2017-10-01",58
"2017-10-08",59
"2017-10-15",60
"2017-10-22",59
"2017-10-29",55
"2017-11-05",66
"2017-11-12",68
"2017-11-19",90
"2017-11-26",95
"2017-12-03",87
"2017-12-10",88
"2017-12-17",85
"2017-12-24",84
"2017-12-31",69
"2018-01-07",65
"2018-01-14",62
"2018-01-21",60
"2018-01-28",61
"2018-02-04",56
"2018-02-11",57
"2018-02-18",59
"2018-02-25",61
"2018-03-04",61
"2018-03-11",57
"2018-03-18",56
"2018-03-25",59
"2018-04-01",58
"2018-04-08",55
"2018-04-15",56
"2018-04-22",56
"2018-04-29",58
"2018-05-06",56
"2018-05-13",53
"2018-05-20",53
"2018-05-27",57
"2018-06-03",59
"2018-06-10",57
"2018-06-17",57
"2018-06-24",61
"2018-07-01",56
"2018-07-08",61
"2018-07-15",81
"2018-07-22",61
"2018-07-29",60
"2018-08-05",58
"2018-08-12",60
"2018-08-19",61
"2018-08-26",56
"2018-09-02",61
"2018-09-09",57
"2018-09-16",56
"2018-09-23",56
"2018-09-30",61
"2018-10-07",55
"2018-10-14",57
"2018-10-21",59
"2018-10-28",58
"2018-11-04",60
"2018-11-11",68
"2018-11-18",87
