"date","indiana"
"2013-12-01",93
"2013-12-08",78
"2013-12-15",80
"2013-12-22",76
"2013-12-29",65
"2014-01-05",55
"2014-01-12",54
"2014-01-19",50
"2014-01-26",48
"2014-02-02",46
"2014-02-09",48
"2014-02-16",46
"2014-02-23",48
"2014-03-02",47
"2014-03-09",48
"2014-03-16",49
"2014-03-23",49
"2014-03-30",48
"2014-04-06",48
"2014-04-13",46
"2014-04-20",44
"2014-04-27",46
"2014-05-04",45
"2014-05-11",46
"2014-05-18",46
"2014-05-25",46
"2014-06-01",50
"2014-06-08",54
"2014-06-15",55
"2014-06-22",51
"2014-06-29",48
"2014-07-06",50
"2014-07-13",52
"2014-07-20",55
"2014-07-27",56
"2014-08-03",53
"2014-08-10",55
"2014-08-17",54
"2014-08-24",59
"2014-08-31",54
"2014-09-07",49
"2014-09-14",52
"2014-09-21",51
"2014-09-28",47
"2014-10-05",51
"2014-10-12",51
"2014-10-19",55
"2014-10-26",52
"2014-11-02",57
"2014-11-09",59
"2014-11-16",64
"2014-11-23",87
"2014-11-30",90
"2014-12-07",83
"2014-12-14",83
"2014-12-21",82
"2014-12-28",74
"2015-01-04",60
"2015-01-11",59
"2015-01-18",56
"2015-01-25",54
"2015-02-01",49
"2015-02-08",55
"2015-02-15",55
"2015-02-22",51
"2015-03-01",52
"2015-03-08",50
"2015-03-15",51
"2015-03-22",53
"2015-03-29",52
"2015-04-05",49
"2015-04-12",51
"2015-04-19",49
"2015-04-26",47
"2015-05-03",52
"2015-05-10",49
"2015-05-17",51
"2015-05-24",56
"2015-05-31",56
"2015-06-07",58
"2015-06-14",59
"2015-06-21",58
"2015-06-28",56
"2015-07-05",59
"2015-07-12",83
"2015-07-19",58
"2015-07-26",59
"2015-08-02",59
"2015-08-09",58
"2015-08-16",60
"2015-08-23",63
"2015-08-30",57
"2015-09-06",57
"2015-09-13",53
"2015-09-20",57
"2015-09-27",53
"2015-10-04",52
"2015-10-11",55
"2015-10-18",57
"2015-10-25",57
"2015-11-01",56
"2015-11-08",64
"2015-11-15",68
"2015-11-22",100
"2015-11-29",99
"2015-12-06",85
"2015-12-13",88
"2015-12-20",89
"2015-12-27",76
"2016-01-03",54
"2016-01-10",51
"2016-01-17",52
"2016-01-24",46
"2016-01-31",47
"2016-02-07",48
"2016-02-14",45
"2016-02-21",49
"2016-02-28",47
"2016-03-06",45
"2016-03-13",47
"2016-03-20",49
"2016-03-27",45
"2016-04-03",46
"2016-04-10",44
"2016-04-17",44
"2016-04-24",43
"2016-05-01",47
"2016-05-08",48
"2016-05-15",46
"2016-05-22",47
"2016-05-29",49
"2016-06-05",49
"2016-06-12",48
"2016-06-19",49
"2016-06-26",49
"2016-07-03",50
"2016-07-10",61
"2016-07-17",46
"2016-07-24",52
"2016-07-31",50
"2016-08-07",48
"2016-08-14",51
"2016-08-21",53
"2016-08-28",49
"2016-09-04",47
"2016-09-11",47
"2016-09-18",48
"2016-09-25",46
"2016-10-02",47
"2016-10-09",46
"2016-10-16",50
"2016-10-23",48
"2016-10-30",46
"2016-11-06",49
"2016-11-13",59
"2016-11-20",81
"2016-11-27",84
"2016-12-04",75
"2016-12-11",77
"2016-12-18",73
"2016-12-25",75
"2017-01-01",60
"2017-01-08",61
"2017-01-15",55
"2017-01-22",49
"2017-01-29",51
"2017-02-05",50
"2017-02-12",50
"2017-02-19",51
"2017-02-26",55
"2017-03-05",51
"2017-03-12",51
"2017-03-19",51
"2017-03-26",53
"2017-04-02",55
"2017-04-09",51
"2017-04-16",53
"2017-04-23",55
"2017-04-30",58
"2017-05-07",56
"2017-05-14",54
"2017-05-21",53
"2017-05-28",54
"2017-06-04",57
"2017-06-11",58
"2017-06-18",58
"2017-06-25",57
"2017-07-02",59
"2017-07-09",77
"2017-07-16",62
"2017-07-23",60
"2017-07-30",63
"2017-08-06",63
"2017-08-13",61
"2017-08-20",59
"2017-08-27",58
"2017-09-03",56
"2017-09-10",55
"2017-09-17",56
"2017-09-24",56
"2017-10-01",56
"2017-10-08",57
"2017-10-15",60
"2017-10-22",64
"2017-10-29",60
"2017-11-05",64
"2017-11-12",70
"2017-11-19",93
"2017-11-26",98
"2017-12-03",85
"2017-12-10",89
"2017-12-17",85
"2017-12-24",84
"2017-12-31",70
"2018-01-07",65
"2018-01-14",65
"2018-01-21",61
"2018-01-28",59
"2018-02-04",56
"2018-02-11",54
"2018-02-18",56
"2018-02-25",60
"2018-03-04",61
"2018-03-11",58
"2018-03-18",61
"2018-03-25",57
"2018-04-01",58
"2018-04-08",56
"2018-04-15",54
"2018-04-22",58
"2018-04-29",54
"2018-05-06",55
"2018-05-13",55
"2018-05-20",55
"2018-05-27",58
"2018-06-03",57
"2018-06-10",58
"2018-06-17",57
"2018-06-24",61
"2018-07-01",61
"2018-07-08",62
"2018-07-15",88
"2018-07-22",62
"2018-07-29",64
"2018-08-05",61
"2018-08-12",61
"2018-08-19",62
"2018-08-26",58
"2018-09-02",57
"2018-09-09",56
"2018-09-16",56
"2018-09-23",55
"2018-09-30",56
"2018-10-07",59
"2018-10-14",61
"2018-10-21",59
"2018-10-28",59
"2018-11-04",63
"2018-11-11",70
"2018-11-18",89
