"date","iowa"
"2013-12-01",88
"2013-12-08",69
"2013-12-15",66
"2013-12-22",65
"2013-12-29",57
"2014-01-05",50
"2014-01-12",50
"2014-01-19",47
"2014-01-26",45
"2014-02-02",44
"2014-02-09",44
"2014-02-16",43
"2014-02-23",45
"2014-03-02",45
"2014-03-09",44
"2014-03-16",45
"2014-03-23",43
"2014-03-30",45
"2014-04-06",46
"2014-04-13",48
"2014-04-20",47
"2014-04-27",46
"2014-05-04",45
"2014-05-11",47
"2014-05-18",47
"2014-05-25",51
"2014-06-01",51
"2014-06-08",51
"2014-06-15",54
"2014-06-22",55
"2014-06-29",52
"2014-07-06",54
"2014-07-13",50
"2014-07-20",53
"2014-07-27",57
"2014-08-03",60
"2014-08-10",56
"2014-08-17",58
"2014-08-24",53
"2014-08-31",57
"2014-09-07",50
"2014-09-14",49
"2014-09-21",50
"2014-09-28",49
"2014-10-05",53
"2014-10-12",53
"2014-10-19",54
"2014-10-26",52
"2014-11-02",55
"2014-11-09",62
"2014-11-16",65
"2014-11-23",89
"2014-11-30",93
"2014-12-07",81
"2014-12-14",82
"2014-12-21",80
"2014-12-28",68
"2015-01-04",59
"2015-01-11",58
"2015-01-18",56
"2015-01-25",52
"2015-02-01",54
"2015-02-08",55
"2015-02-15",51
"2015-02-22",53
"2015-03-01",55
"2015-03-08",50
"2015-03-15",54
"2015-03-22",54
"2015-03-29",55
"2015-04-05",49
"2015-04-12",52
"2015-04-19",49
"2015-04-26",48
"2015-05-03",53
"2015-05-10",50
"2015-05-17",53
"2015-05-24",57
"2015-05-31",53
"2015-06-07",55
"2015-06-14",55
"2015-06-21",57
"2015-06-28",55
"2015-07-05",61
"2015-07-12",81
"2015-07-19",60
"2015-07-26",61
"2015-08-02",58
"2015-08-09",59
"2015-08-16",66
"2015-08-23",62
"2015-08-30",57
"2015-09-06",55
"2015-09-13",52
"2015-09-20",57
"2015-09-27",57
"2015-10-04",56
"2015-10-11",55
"2015-10-18",57
"2015-10-25",60
"2015-11-01",62
"2015-11-08",60
"2015-11-15",69
"2015-11-22",96
"2015-11-29",100
"2015-12-06",89
"2015-12-13",90
"2015-12-20",82
"2015-12-27",73
"2016-01-03",54
"2016-01-10",49
"2016-01-17",48
"2016-01-24",47
"2016-01-31",48
"2016-02-07",48
"2016-02-14",49
"2016-02-21",44
"2016-02-28",46
"2016-03-06",45
"2016-03-13",48
"2016-03-20",46
"2016-03-27",49
"2016-04-03",45
"2016-04-10",45
"2016-04-17",46
"2016-04-24",46
"2016-05-01",46
"2016-05-08",48
"2016-05-15",44
"2016-05-22",44
"2016-05-29",48
"2016-06-05",48
"2016-06-12",51
"2016-06-19",52
"2016-06-26",51
"2016-07-03",52
"2016-07-10",63
"2016-07-17",51
"2016-07-24",51
"2016-07-31",50
"2016-08-07",53
"2016-08-14",52
"2016-08-21",54
"2016-08-28",51
"2016-09-04",50
"2016-09-11",48
"2016-09-18",43
"2016-09-25",49
"2016-10-02",47
"2016-10-09",45
"2016-10-16",50
"2016-10-23",49
"2016-10-30",49
"2016-11-06",50
"2016-11-13",58
"2016-11-20",86
"2016-11-27",88
"2016-12-04",75
"2016-12-11",79
"2016-12-18",76
"2016-12-25",74
"2017-01-01",61
"2017-01-08",55
"2017-01-15",53
"2017-01-22",51
"2017-01-29",51
"2017-02-05",48
"2017-02-12",49
"2017-02-19",52
"2017-02-26",53
"2017-03-05",50
"2017-03-12",53
"2017-03-19",50
"2017-03-26",54
"2017-04-02",51
"2017-04-09",50
"2017-04-16",50
"2017-04-23",57
"2017-04-30",54
"2017-05-07",57
"2017-05-14",53
"2017-05-21",53
"2017-05-28",55
"2017-06-04",57
"2017-06-11",56
"2017-06-18",57
"2017-06-25",55
"2017-07-02",56
"2017-07-09",76
"2017-07-16",56
"2017-07-23",59
"2017-07-30",63
"2017-08-06",63
"2017-08-13",61
"2017-08-20",61
"2017-08-27",59
"2017-09-03",57
"2017-09-10",55
"2017-09-17",58
"2017-09-24",56
"2017-10-01",57
"2017-10-08",60
"2017-10-15",57
"2017-10-22",61
"2017-10-29",59
"2017-11-05",64
"2017-11-12",70
"2017-11-19",97
"2017-11-26",100
"2017-12-03",88
"2017-12-10",87
"2017-12-17",83
"2017-12-24",81
"2017-12-31",68
"2018-01-07",63
"2018-01-14",62
"2018-01-21",59
"2018-01-28",59
"2018-02-04",55
"2018-02-11",55
"2018-02-18",56
"2018-02-25",57
"2018-03-04",57
"2018-03-11",60
"2018-03-18",59
"2018-03-25",56
"2018-04-01",57
"2018-04-08",55
"2018-04-15",57
"2018-04-22",56
"2018-04-29",56
"2018-05-06",57
"2018-05-13",52
"2018-05-20",56
"2018-05-27",58
"2018-06-03",57
"2018-06-10",57
"2018-06-17",55
"2018-06-24",59
"2018-07-01",58
"2018-07-08",62
"2018-07-15",85
"2018-07-22",60
"2018-07-29",60
"2018-08-05",61
"2018-08-12",62
"2018-08-19",62
"2018-08-26",56
"2018-09-02",55
"2018-09-09",55
"2018-09-16",55
"2018-09-23",54
"2018-09-30",58
"2018-10-07",56
"2018-10-14",55
"2018-10-21",56
"2018-10-28",57
"2018-11-04",63
"2018-11-11",69
"2018-11-18",88
