"date","kansas"
"2013-12-01",80
"2013-12-08",65
"2013-12-15",58
"2013-12-22",55
"2013-12-29",53
"2014-01-05",44
"2014-01-12",44
"2014-01-19",45
"2014-01-26",42
"2014-02-02",39
"2014-02-09",42
"2014-02-16",41
"2014-02-23",43
"2014-03-02",49
"2014-03-09",40
"2014-03-16",41
"2014-03-23",44
"2014-03-30",43
"2014-04-06",39
"2014-04-13",39
"2014-04-20",38
"2014-04-27",40
"2014-05-04",38
"2014-05-11",36
"2014-05-18",38
"2014-05-25",42
"2014-06-01",41
"2014-06-08",41
"2014-06-15",45
"2014-06-22",39
"2014-06-29",44
"2014-07-06",45
"2014-07-13",42
"2014-07-20",44
"2014-07-27",43
"2014-08-03",44
"2014-08-10",45
"2014-08-17",45
"2014-08-24",43
"2014-08-31",45
"2014-09-07",42
"2014-09-14",41
"2014-09-21",44
"2014-09-28",42
"2014-10-05",44
"2014-10-12",43
"2014-10-19",42
"2014-10-26",45
"2014-11-02",48
"2014-11-09",51
"2014-11-16",58
"2014-11-23",73
"2014-11-30",77
"2014-12-07",70
"2014-12-14",75
"2014-12-21",67
"2014-12-28",62
"2015-01-04",52
"2015-01-11",51
"2015-01-18",53
"2015-01-25",49
"2015-02-01",48
"2015-02-08",49
"2015-02-15",50
"2015-02-22",50
"2015-03-01",48
"2015-03-08",49
"2015-03-15",43
"2015-03-22",45
"2015-03-29",48
"2015-04-05",46
"2015-04-12",47
"2015-04-19",49
"2015-04-26",44
"2015-05-03",45
"2015-05-10",48
"2015-05-17",46
"2015-05-24",50
"2015-05-31",49
"2015-06-07",50
"2015-06-14",48
"2015-06-21",56
"2015-06-28",58
"2015-07-05",57
"2015-07-12",84
"2015-07-19",60
"2015-07-26",55
"2015-08-02",63
"2015-08-09",63
"2015-08-16",59
"2015-08-23",62
"2015-08-30",57
"2015-09-06",53
"2015-09-13",51
"2015-09-20",52
"2015-09-27",53
"2015-10-04",54
"2015-10-11",48
"2015-10-18",45
"2015-10-25",48
"2015-11-01",44
"2015-11-08",49
"2015-11-15",51
"2015-11-22",47
"2015-11-29",42
"2015-12-06",33
"2015-12-13",34
"2015-12-20",29
"2015-12-27",35
"2016-01-03",50
"2016-01-10",44
"2016-01-17",48
"2016-01-24",46
"2016-01-31",47
"2016-02-07",47
"2016-02-14",47
"2016-02-21",49
"2016-02-28",42
"2016-03-06",43
"2016-03-13",39
"2016-03-20",45
"2016-03-27",48
"2016-04-03",48
"2016-04-10",41
"2016-04-17",43
"2016-04-24",45
"2016-05-01",45
"2016-05-08",43
"2016-05-15",43
"2016-05-22",47
"2016-05-29",48
"2016-06-05",48
"2016-06-12",52
"2016-06-19",48
"2016-06-26",49
"2016-07-03",48
"2016-07-10",66
"2016-07-17",50
"2016-07-24",50
"2016-07-31",48
"2016-08-07",48
"2016-08-14",47
"2016-08-21",51
"2016-08-28",45
"2016-09-04",46
"2016-09-11",46
"2016-09-18",44
"2016-09-25",44
"2016-10-02",44
"2016-10-09",45
"2016-10-16",45
"2016-10-23",43
"2016-10-30",47
"2016-11-06",48
"2016-11-13",55
"2016-11-20",83
"2016-11-27",80
"2016-12-04",69
"2016-12-11",74
"2016-12-18",75
"2016-12-25",71
"2017-01-01",61
"2017-01-08",57
"2017-01-15",50
"2017-01-22",49
"2017-01-29",49
"2017-02-05",48
"2017-02-12",47
"2017-02-19",50
"2017-02-26",54
"2017-03-05",51
"2017-03-12",47
"2017-03-19",49
"2017-03-26",54
"2017-04-02",51
"2017-04-09",50
"2017-04-16",52
"2017-04-23",50
"2017-04-30",52
"2017-05-07",54
"2017-05-14",55
"2017-05-21",59
"2017-05-28",53
"2017-06-04",46
"2017-06-11",49
"2017-06-18",51
"2017-06-25",49
"2017-07-02",49
"2017-07-09",74
"2017-07-16",59
"2017-07-23",59
"2017-07-30",59
"2017-08-06",58
"2017-08-13",51
"2017-08-20",46
"2017-08-27",49
"2017-09-03",47
"2017-09-10",46
"2017-09-17",50
"2017-09-24",48
"2017-10-01",48
"2017-10-08",51
"2017-10-15",50
"2017-10-22",52
"2017-10-29",49
"2017-11-05",59
"2017-11-12",70
"2017-11-19",99
"2017-11-26",100
"2017-12-03",92
"2017-12-10",88
"2017-12-17",92
"2017-12-24",87
"2017-12-31",75
"2018-01-07",65
"2018-01-14",69
"2018-01-21",62
"2018-01-28",61
"2018-02-04",61
"2018-02-11",58
"2018-02-18",58
"2018-02-25",59
"2018-03-04",59
"2018-03-11",62
"2018-03-18",63
"2018-03-25",60
"2018-04-01",61
"2018-04-08",58
"2018-04-15",61
"2018-04-22",61
"2018-04-29",56
"2018-05-06",59
"2018-05-13",58
"2018-05-20",59
"2018-05-27",58
"2018-06-03",62
"2018-06-10",63
"2018-06-17",62
"2018-06-24",64
"2018-07-01",63
"2018-07-08",68
"2018-07-15",97
"2018-07-22",65
"2018-07-29",63
"2018-08-05",64
"2018-08-12",66
"2018-08-19",65
"2018-08-26",61
"2018-09-02",61
"2018-09-09",57
"2018-09-16",62
"2018-09-23",61
"2018-09-30",62
"2018-10-07",62
"2018-10-14",61
"2018-10-21",62
"2018-10-28",61
"2018-11-04",63
"2018-11-11",73
"2018-11-18",91
