"date","kentucky"
"2013-12-01",78
"2013-12-08",76
"2013-12-15",71
"2013-12-22",59
"2013-12-29",51
"2014-01-05",48
"2014-01-12",48
"2014-01-19",48
"2014-01-26",46
"2014-02-02",45
"2014-02-09",46
"2014-02-16",44
"2014-02-23",44
"2014-03-02",45
"2014-03-09",46
"2014-03-16",45
"2014-03-23",43
"2014-03-30",45
"2014-04-06",43
"2014-04-13",40
"2014-04-20",45
"2014-04-27",38
"2014-05-04",42
"2014-05-11",45
"2014-05-18",42
"2014-05-25",47
"2014-06-01",47
"2014-06-08",47
"2014-06-15",49
"2014-06-22",46
"2014-06-29",44
"2014-07-06",47
"2014-07-13",47
"2014-07-20",49
"2014-07-27",47
"2014-08-03",51
"2014-08-10",48
"2014-08-17",45
"2014-08-24",44
"2014-08-31",44
"2014-09-07",44
"2014-09-14",44
"2014-09-21",43
"2014-09-28",43
"2014-10-05",45
"2014-10-12",41
"2014-10-19",42
"2014-10-26",44
"2014-11-02",47
"2014-11-09",51
"2014-11-16",55
"2014-11-23",73
"2014-11-30",78
"2014-12-07",72
"2014-12-14",74
"2014-12-21",65
"2014-12-28",57
"2015-01-04",50
"2015-01-11",50
"2015-01-18",48
"2015-01-25",45
"2015-02-01",47
"2015-02-08",49
"2015-02-15",47
"2015-02-22",47
"2015-03-01",47
"2015-03-08",46
"2015-03-15",45
"2015-03-22",44
"2015-03-29",46
"2015-04-05",44
"2015-04-12",43
"2015-04-19",45
"2015-04-26",44
"2015-05-03",44
"2015-05-10",46
"2015-05-17",45
"2015-05-24",45
"2015-05-31",45
"2015-06-07",47
"2015-06-14",50
"2015-06-21",49
"2015-06-28",52
"2015-07-05",61
"2015-07-12",77
"2015-07-19",57
"2015-07-26",54
"2015-08-02",59
"2015-08-09",59
"2015-08-16",60
"2015-08-23",59
"2015-08-30",57
"2015-09-06",55
"2015-09-13",50
"2015-09-20",54
"2015-09-27",58
"2015-10-04",58
"2015-10-11",54
"2015-10-18",58
"2015-10-25",56
"2015-11-01",59
"2015-11-08",61
"2015-11-15",66
"2015-11-22",93
"2015-11-29",100
"2015-12-06",88
"2015-12-13",87
"2015-12-20",80
"2015-12-27",69
"2016-01-03",53
"2016-01-10",48
"2016-01-17",47
"2016-01-24",46
"2016-01-31",46
"2016-02-07",44
"2016-02-14",45
"2016-02-21",47
"2016-02-28",48
"2016-03-06",46
"2016-03-13",47
"2016-03-20",44
"2016-03-27",44
"2016-04-03",46
"2016-04-10",45
"2016-04-17",42
"2016-04-24",45
"2016-05-01",46
"2016-05-08",46
"2016-05-15",48
"2016-05-22",46
"2016-05-29",46
"2016-06-05",48
"2016-06-12",50
"2016-06-19",48
"2016-06-26",48
"2016-07-03",53
"2016-07-10",59
"2016-07-17",51
"2016-07-24",47
"2016-07-31",51
"2016-08-07",48
"2016-08-14",49
"2016-08-21",51
"2016-08-28",47
"2016-09-04",48
"2016-09-11",47
"2016-09-18",44
"2016-09-25",47
"2016-10-02",45
"2016-10-09",48
"2016-10-16",50
"2016-10-23",46
"2016-10-30",47
"2016-11-06",49
"2016-11-13",58
"2016-11-20",82
"2016-11-27",84
"2016-12-04",74
"2016-12-11",80
"2016-12-18",73
"2016-12-25",66
"2017-01-01",58
"2017-01-08",55
"2017-01-15",56
"2017-01-22",51
"2017-01-29",51
"2017-02-05",50
"2017-02-12",46
"2017-02-19",48
"2017-02-26",50
"2017-03-05",51
"2017-03-12",49
"2017-03-19",50
"2017-03-26",50
"2017-04-02",50
"2017-04-09",52
"2017-04-16",50
"2017-04-23",54
"2017-04-30",56
"2017-05-07",58
"2017-05-14",55
"2017-05-21",56
"2017-05-28",54
"2017-06-04",57
"2017-06-11",56
"2017-06-18",55
"2017-06-25",57
"2017-07-02",56
"2017-07-09",76
"2017-07-16",56
"2017-07-23",59
"2017-07-30",62
"2017-08-06",63
"2017-08-13",61
"2017-08-20",56
"2017-08-27",58
"2017-09-03",56
"2017-09-10",57
"2017-09-17",58
"2017-09-24",57
"2017-10-01",56
"2017-10-08",59
"2017-10-15",63
"2017-10-22",62
"2017-10-29",56
"2017-11-05",63
"2017-11-12",68
"2017-11-19",87
"2017-11-26",92
"2017-12-03",86
"2017-12-10",89
"2017-12-17",86
"2017-12-24",76
"2017-12-31",68
"2018-01-07",61
"2018-01-14",63
"2018-01-21",57
"2018-01-28",59
"2018-02-04",56
"2018-02-11",53
"2018-02-18",56
"2018-02-25",59
"2018-03-04",60
"2018-03-11",57
"2018-03-18",56
"2018-03-25",54
"2018-04-01",56
"2018-04-08",53
"2018-04-15",54
"2018-04-22",55
"2018-04-29",55
"2018-05-06",56
"2018-05-13",56
"2018-05-20",56
"2018-05-27",58
"2018-06-03",56
"2018-06-10",58
"2018-06-17",56
"2018-06-24",58
"2018-07-01",59
"2018-07-08",61
"2018-07-15",87
"2018-07-22",63
"2018-07-29",64
"2018-08-05",64
"2018-08-12",61
"2018-08-19",59
"2018-08-26",57
"2018-09-02",58
"2018-09-09",55
"2018-09-16",57
"2018-09-23",55
"2018-09-30",61
"2018-10-07",60
"2018-10-14",58
"2018-10-21",58
"2018-10-28",59
"2018-11-04",64
"2018-11-11",72
"2018-11-18",91
