"date","louisiana"
"2013-12-01",83
"2013-12-08",71
"2013-12-15",77
"2013-12-22",70
"2013-12-29",56
"2014-01-05",51
"2014-01-12",51
"2014-01-19",50
"2014-01-26",45
"2014-02-02",46
"2014-02-09",45
"2014-02-16",46
"2014-02-23",47
"2014-03-02",45
"2014-03-09",43
"2014-03-16",45
"2014-03-23",42
"2014-03-30",43
"2014-04-06",45
"2014-04-13",46
"2014-04-20",42
"2014-04-27",41
"2014-05-04",41
"2014-05-11",41
"2014-05-18",41
"2014-05-25",43
"2014-06-01",44
"2014-06-08",47
"2014-06-15",48
"2014-06-22",45
"2014-06-29",46
"2014-07-06",46
"2014-07-13",48
"2014-07-20",46
"2014-07-27",49
"2014-08-03",49
"2014-08-10",48
"2014-08-17",52
"2014-08-24",52
"2014-08-31",48
"2014-09-07",51
"2014-09-14",48
"2014-09-21",47
"2014-09-28",49
"2014-10-05",47
"2014-10-12",48
"2014-10-19",48
"2014-10-26",48
"2014-11-02",50
"2014-11-09",55
"2014-11-16",61
"2014-11-23",74
"2014-11-30",78
"2014-12-07",77
"2014-12-14",80
"2014-12-21",72
"2014-12-28",62
"2015-01-04",57
"2015-01-11",55
"2015-01-18",55
"2015-01-25",50
"2015-02-01",52
"2015-02-08",53
"2015-02-15",57
"2015-02-22",51
"2015-03-01",54
"2015-03-08",54
"2015-03-15",53
"2015-03-22",48
"2015-03-29",54
"2015-04-05",51
"2015-04-12",50
"2015-04-19",50
"2015-04-26",48
"2015-05-03",51
"2015-05-10",52
"2015-05-17",52
"2015-05-24",55
"2015-05-31",49
"2015-06-07",55
"2015-06-14",58
"2015-06-21",59
"2015-06-28",61
"2015-07-05",62
"2015-07-12",81
"2015-07-19",63
"2015-07-26",63
"2015-08-02",65
"2015-08-09",64
"2015-08-16",64
"2015-08-23",63
"2015-08-30",58
"2015-09-06",59
"2015-09-13",55
"2015-09-20",58
"2015-09-27",56
"2015-10-04",60
"2015-10-11",58
"2015-10-18",62
"2015-10-25",62
"2015-11-01",62
"2015-11-08",64
"2015-11-15",69
"2015-11-22",97
"2015-11-29",100
"2015-12-06",91
"2015-12-13",97
"2015-12-20",87
"2015-12-27",73
"2016-01-03",53
"2016-01-10",50
"2016-01-17",51
"2016-01-24",49
"2016-01-31",48
"2016-02-07",50
"2016-02-14",50
"2016-02-21",49
"2016-02-28",49
"2016-03-06",48
"2016-03-13",48
"2016-03-20",47
"2016-03-27",50
"2016-04-03",46
"2016-04-10",46
"2016-04-17",47
"2016-04-24",46
"2016-05-01",49
"2016-05-08",47
"2016-05-15",48
"2016-05-22",48
"2016-05-29",52
"2016-06-05",52
"2016-06-12",48
"2016-06-19",51
"2016-06-26",49
"2016-07-03",50
"2016-07-10",64
"2016-07-17",52
"2016-07-24",54
"2016-07-31",51
"2016-08-07",49
"2016-08-14",47
"2016-08-21",53
"2016-08-28",50
"2016-09-04",50
"2016-09-11",48
"2016-09-18",48
"2016-09-25",46
"2016-10-02",48
"2016-10-09",48
"2016-10-16",49
"2016-10-23",48
"2016-10-30",49
"2016-11-06",48
"2016-11-13",57
"2016-11-20",80
"2016-11-27",78
"2016-12-04",74
"2016-12-11",78
"2016-12-18",75
"2016-12-25",67
"2017-01-01",58
"2017-01-08",55
"2017-01-15",52
"2017-01-22",49
"2017-01-29",51
"2017-02-05",50
"2017-02-12",48
"2017-02-19",49
"2017-02-26",53
"2017-03-05",53
"2017-03-12",50
"2017-03-19",51
"2017-03-26",50
"2017-04-02",51
"2017-04-09",50
"2017-04-16",50
"2017-04-23",56
"2017-04-30",55
"2017-05-07",56
"2017-05-14",53
"2017-05-21",53
"2017-05-28",54
"2017-06-04",54
"2017-06-11",57
"2017-06-18",54
"2017-06-25",57
"2017-07-02",58
"2017-07-09",72
"2017-07-16",58
"2017-07-23",58
"2017-07-30",64
"2017-08-06",61
"2017-08-13",61
"2017-08-20",57
"2017-08-27",55
"2017-09-03",55
"2017-09-10",57
"2017-09-17",55
"2017-09-24",59
"2017-10-01",56
"2017-10-08",56
"2017-10-15",58
"2017-10-22",60
"2017-10-29",54
"2017-11-05",60
"2017-11-12",65
"2017-11-19",84
"2017-11-26",87
"2017-12-03",82
"2017-12-10",85
"2017-12-17",80
"2017-12-24",75
"2017-12-31",63
"2018-01-07",62
"2018-01-14",61
"2018-01-21",59
"2018-01-28",59
"2018-02-04",55
"2018-02-11",55
"2018-02-18",56
"2018-02-25",60
"2018-03-04",58
"2018-03-11",56
"2018-03-18",56
"2018-03-25",57
"2018-04-01",54
"2018-04-08",54
"2018-04-15",53
"2018-04-22",56
"2018-04-29",55
"2018-05-06",57
"2018-05-13",55
"2018-05-20",56
"2018-05-27",58
"2018-06-03",59
"2018-06-10",54
"2018-06-17",57
"2018-06-24",59
"2018-07-01",59
"2018-07-08",63
"2018-07-15",84
"2018-07-22",59
"2018-07-29",62
"2018-08-05",60
"2018-08-12",59
"2018-08-19",60
"2018-08-26",57
"2018-09-02",56
"2018-09-09",55
"2018-09-16",56
"2018-09-23",55
"2018-09-30",59
"2018-10-07",56
"2018-10-14",56
"2018-10-21",56
"2018-10-28",54
"2018-11-04",59
"2018-11-11",66
"2018-11-18",80
