"date","maine"
"2013-12-01",93
"2013-12-08",83
"2013-12-15",76
"2013-12-22",77
"2013-12-29",68
"2014-01-05",57
"2014-01-12",56
"2014-01-19",52
"2014-01-26",51
"2014-02-02",48
"2014-02-09",52
"2014-02-16",54
"2014-02-23",50
"2014-03-02",49
"2014-03-09",50
"2014-03-16",49
"2014-03-23",52
"2014-03-30",46
"2014-04-06",49
"2014-04-13",50
"2014-04-20",57
"2014-04-27",48
"2014-05-04",48
"2014-05-11",48
"2014-05-18",51
"2014-05-25",47
"2014-06-01",52
"2014-06-08",54
"2014-06-15",59
"2014-06-22",51
"2014-06-29",56
"2014-07-06",51
"2014-07-13",56
"2014-07-20",55
"2014-07-27",56
"2014-08-03",67
"2014-08-10",62
"2014-08-17",59
"2014-08-24",62
"2014-08-31",60
"2014-09-07",55
"2014-09-14",60
"2014-09-21",49
"2014-09-28",54
"2014-10-05",53
"2014-10-12",48
"2014-10-19",51
"2014-10-26",53
"2014-11-02",55
"2014-11-09",63
"2014-11-16",70
"2014-11-23",88
"2014-11-30",93
"2014-12-07",80
"2014-12-14",87
"2014-12-21",80
"2014-12-28",74
"2015-01-04",60
"2015-01-11",62
"2015-01-18",61
"2015-01-25",55
"2015-02-01",50
"2015-02-08",55
"2015-02-15",56
"2015-02-22",55
"2015-03-01",57
"2015-03-08",56
"2015-03-15",54
"2015-03-22",57
"2015-03-29",55
"2015-04-05",52
"2015-04-12",48
"2015-04-19",57
"2015-04-26",54
"2015-05-03",50
"2015-05-10",56
"2015-05-17",54
"2015-05-24",53
"2015-05-31",55
"2015-06-07",51
"2015-06-14",59
"2015-06-21",60
"2015-06-28",55
"2015-07-05",63
"2015-07-12",71
"2015-07-19",59
"2015-07-26",59
"2015-08-02",60
"2015-08-09",62
"2015-08-16",64
"2015-08-23",63
"2015-08-30",64
"2015-09-06",60
"2015-09-13",52
"2015-09-20",58
"2015-09-27",56
"2015-10-04",61
"2015-10-11",60
"2015-10-18",59
"2015-10-25",60
"2015-11-01",63
"2015-11-08",70
"2015-11-15",72
"2015-11-22",93
"2015-11-29",100
"2015-12-06",93
"2015-12-13",96
"2015-12-20",85
"2015-12-27",80
"2016-01-03",58
"2016-01-10",50
"2016-01-17",53
"2016-01-24",48
"2016-01-31",47
"2016-02-07",48
"2016-02-14",52
"2016-02-21",48
"2016-02-28",52
"2016-03-06",53
"2016-03-13",48
"2016-03-20",46
"2016-03-27",52
"2016-04-03",51
"2016-04-10",46
"2016-04-17",51
"2016-04-24",49
"2016-05-01",49
"2016-05-08",46
"2016-05-15",51
"2016-05-22",47
"2016-05-29",54
"2016-06-05",50
"2016-06-12",52
"2016-06-19",56
"2016-06-26",57
"2016-07-03",52
"2016-07-10",57
"2016-07-17",54
"2016-07-24",52
"2016-07-31",54
"2016-08-07",53
"2016-08-14",52
"2016-08-21",59
"2016-08-28",54
"2016-09-04",52
"2016-09-11",52
"2016-09-18",50
"2016-09-25",49
"2016-10-02",48
"2016-10-09",52
"2016-10-16",53
"2016-10-23",52
"2016-10-30",49
"2016-11-06",49
"2016-11-13",57
"2016-11-20",83
"2016-11-27",81
"2016-12-04",80
"2016-12-11",82
"2016-12-18",70
"2016-12-25",76
"2017-01-01",66
"2017-01-08",56
"2017-01-15",55
"2017-01-22",55
"2017-01-29",54
"2017-02-05",51
"2017-02-12",52
"2017-02-19",50
"2017-02-26",55
"2017-03-05",56
"2017-03-12",54
"2017-03-19",53
"2017-03-26",54
"2017-04-02",52
"2017-04-09",47
"2017-04-16",50
"2017-04-23",52
"2017-04-30",56
"2017-05-07",54
"2017-05-14",53
"2017-05-21",52
"2017-05-28",55
"2017-06-04",56
"2017-06-11",56
"2017-06-18",57
"2017-06-25",55
"2017-07-02",54
"2017-07-09",72
"2017-07-16",51
"2017-07-23",56
"2017-07-30",56
"2017-08-06",61
"2017-08-13",58
"2017-08-20",60
"2017-08-27",63
"2017-09-03",60
"2017-09-10",57
"2017-09-17",61
"2017-09-24",55
"2017-10-01",55
"2017-10-08",58
"2017-10-15",61
"2017-10-22",64
"2017-10-29",53
"2017-11-05",64
"2017-11-12",72
"2017-11-19",93
"2017-11-26",99
"2017-12-03",93
"2017-12-10",96
"2017-12-17",82
"2017-12-24",85
"2017-12-31",68
"2018-01-07",63
"2018-01-14",63
"2018-01-21",64
"2018-01-28",59
"2018-02-04",57
"2018-02-11",58
"2018-02-18",64
"2018-02-25",57
"2018-03-04",60
"2018-03-11",58
"2018-03-18",60
"2018-03-25",56
"2018-04-01",59
"2018-04-08",58
"2018-04-15",61
"2018-04-22",57
"2018-04-29",55
"2018-05-06",58
"2018-05-13",55
"2018-05-20",54
"2018-05-27",51
"2018-06-03",55
"2018-06-10",57
"2018-06-17",57
"2018-06-24",58
"2018-07-01",60
"2018-07-08",64
"2018-07-15",81
"2018-07-22",56
"2018-07-29",58
"2018-08-05",57
"2018-08-12",59
"2018-08-19",62
"2018-08-26",63
"2018-09-02",59
"2018-09-09",62
"2018-09-16",55
"2018-09-23",56
"2018-09-30",60
"2018-10-07",57
"2018-10-14",55
"2018-10-21",57
"2018-10-28",57
"2018-11-04",60
"2018-11-11",63
"2018-11-18",86
