"date","michigan"
"2013-12-01",86
"2013-12-08",73
"2013-12-15",71
"2013-12-22",67
"2013-12-29",59
"2014-01-05",53
"2014-01-12",50
"2014-01-19",48
"2014-01-26",45
"2014-02-02",43
"2014-02-09",45
"2014-02-16",44
"2014-02-23",45
"2014-03-02",47
"2014-03-09",47
"2014-03-16",45
"2014-03-23",44
"2014-03-30",45
"2014-04-06",43
"2014-04-13",43
"2014-04-20",44
"2014-04-27",45
"2014-05-04",46
"2014-05-11",44
"2014-05-18",43
"2014-05-25",44
"2014-06-01",48
"2014-06-08",48
"2014-06-15",50
"2014-06-22",46
"2014-06-29",44
"2014-07-06",45
"2014-07-13",49
"2014-07-20",50
"2014-07-27",49
"2014-08-03",50
"2014-08-10",49
"2014-08-17",53
"2014-08-24",52
"2014-08-31",52
"2014-09-07",47
"2014-09-14",48
"2014-09-21",48
"2014-09-28",49
"2014-10-05",49
"2014-10-12",50
"2014-10-19",51
"2014-10-26",50
"2014-11-02",54
"2014-11-09",57
"2014-11-16",65
"2014-11-23",80
"2014-11-30",86
"2014-12-07",78
"2014-12-14",84
"2014-12-21",75
"2014-12-28",66
"2015-01-04",58
"2015-01-11",55
"2015-01-18",54
"2015-01-25",54
"2015-02-01",51
"2015-02-08",52
"2015-02-15",53
"2015-02-22",50
"2015-03-01",53
"2015-03-08",53
"2015-03-15",51
"2015-03-22",51
"2015-03-29",52
"2015-04-05",50
"2015-04-12",48
"2015-04-19",50
"2015-04-26",46
"2015-05-03",49
"2015-05-10",48
"2015-05-17",47
"2015-05-24",49
"2015-05-31",49
"2015-06-07",51
"2015-06-14",53
"2015-06-21",52
"2015-06-28",48
"2015-07-05",53
"2015-07-12",72
"2015-07-19",55
"2015-07-26",52
"2015-08-02",55
"2015-08-09",54
"2015-08-16",58
"2015-08-23",57
"2015-08-30",56
"2015-09-06",54
"2015-09-13",51
"2015-09-20",54
"2015-09-27",53
"2015-10-04",53
"2015-10-11",52
"2015-10-18",54
"2015-10-25",52
"2015-11-01",54
"2015-11-08",57
"2015-11-15",62
"2015-11-22",90
"2015-11-29",91
"2015-12-06",83
"2015-12-13",85
"2015-12-20",79
"2015-12-27",70
"2016-01-03",53
"2016-01-10",51
"2016-01-17",48
"2016-01-24",48
"2016-01-31",48
"2016-02-07",46
"2016-02-14",49
"2016-02-21",46
"2016-02-28",46
"2016-03-06",47
"2016-03-13",45
"2016-03-20",46
"2016-03-27",47
"2016-04-03",48
"2016-04-10",44
"2016-04-17",44
"2016-04-24",45
"2016-05-01",48
"2016-05-08",46
"2016-05-15",47
"2016-05-22",44
"2016-05-29",44
"2016-06-05",46
"2016-06-12",48
"2016-06-19",46
"2016-06-26",47
"2016-07-03",49
"2016-07-10",59
"2016-07-17",50
"2016-07-24",50
"2016-07-31",53
"2016-08-07",48
"2016-08-14",49
"2016-08-21",52
"2016-08-28",53
"2016-09-04",52
"2016-09-11",50
"2016-09-18",47
"2016-09-25",47
"2016-10-02",46
"2016-10-09",47
"2016-10-16",48
"2016-10-23",48
"2016-10-30",48
"2016-11-06",46
"2016-11-13",58
"2016-11-20",81
"2016-11-27",85
"2016-12-04",76
"2016-12-11",79
"2016-12-18",74
"2016-12-25",72
"2017-01-01",60
"2017-01-08",57
"2017-01-15",53
"2017-01-22",50
"2017-01-29",51
"2017-02-05",50
"2017-02-12",50
"2017-02-19",53
"2017-02-26",54
"2017-03-05",52
"2017-03-12",52
"2017-03-19",51
"2017-03-26",52
"2017-04-02",54
"2017-04-09",51
"2017-04-16",53
"2017-04-23",55
"2017-04-30",56
"2017-05-07",58
"2017-05-14",56
"2017-05-21",54
"2017-05-28",56
"2017-06-04",55
"2017-06-11",58
"2017-06-18",57
"2017-06-25",56
"2017-07-02",58
"2017-07-09",79
"2017-07-16",57
"2017-07-23",59
"2017-07-30",62
"2017-08-06",62
"2017-08-13",61
"2017-08-20",60
"2017-08-27",64
"2017-09-03",59
"2017-09-10",60
"2017-09-17",59
"2017-09-24",58
"2017-10-01",59
"2017-10-08",60
"2017-10-15",63
"2017-10-22",65
"2017-10-29",63
"2017-11-05",66
"2017-11-12",72
"2017-11-19",96
"2017-11-26",100
"2017-12-03",90
"2017-12-10",92
"2017-12-17",91
"2017-12-24",85
"2017-12-31",73
"2018-01-07",67
"2018-01-14",67
"2018-01-21",64
"2018-01-28",62
"2018-02-04",62
"2018-02-11",61
"2018-02-18",61
"2018-02-25",62
"2018-03-04",64
"2018-03-11",61
"2018-03-18",63
"2018-03-25",62
"2018-04-01",63
"2018-04-08",61
"2018-04-15",60
"2018-04-22",61
"2018-04-29",60
"2018-05-06",62
"2018-05-13",57
"2018-05-20",58
"2018-05-27",58
"2018-06-03",61
"2018-06-10",62
"2018-06-17",60
"2018-06-24",64
"2018-07-01",61
"2018-07-08",66
"2018-07-15",91
"2018-07-22",64
"2018-07-29",62
"2018-08-05",64
"2018-08-12",64
"2018-08-19",66
"2018-08-26",62
"2018-09-02",63
"2018-09-09",61
"2018-09-16",63
"2018-09-23",60
"2018-09-30",65
"2018-10-07",64
"2018-10-14",63
"2018-10-21",66
"2018-10-28",63
"2018-11-04",67
"2018-11-11",77
"2018-11-18",92
