"date","MN"
"2013-12-01",80
"2013-12-08",69
"2013-12-15",69
"2013-12-22",63
"2013-12-29",55
"2014-01-05",52
"2014-01-12",48
"2014-01-19",46
"2014-01-26",45
"2014-02-02",45
"2014-02-09",45
"2014-02-16",45
"2014-02-23",45
"2014-03-02",44
"2014-03-09",46
"2014-03-16",46
"2014-03-23",46
"2014-03-30",47
"2014-04-06",45
"2014-04-13",44
"2014-04-20",45
"2014-04-27",46
"2014-05-04",45
"2014-05-11",43
"2014-05-18",45
"2014-05-25",46
"2014-06-01",46
"2014-06-08",46
"2014-06-15",49
"2014-06-22",46
"2014-06-29",46
"2014-07-06",50
"2014-07-13",48
"2014-07-20",50
"2014-07-27",51
"2014-08-03",49
"2014-08-10",52
"2014-08-17",54
"2014-08-24",54
"2014-08-31",50
"2014-09-07",50
"2014-09-14",50
"2014-09-21",51
"2014-09-28",51
"2014-10-05",50
"2014-10-12",50
"2014-10-19",49
"2014-10-26",47
"2014-11-02",49
"2014-11-09",52
"2014-11-16",60
"2014-11-23",77
"2014-11-30",81
"2014-12-07",74
"2014-12-14",78
"2014-12-21",68
"2014-12-28",66
"2015-01-04",52
"2015-01-11",54
"2015-01-18",54
"2015-01-25",51
"2015-02-01",51
"2015-02-08",50
"2015-02-15",50
"2015-02-22",48
"2015-03-01",51
"2015-03-08",49
"2015-03-15",51
"2015-03-22",51
"2015-03-29",53
"2015-04-05",49
"2015-04-12",48
"2015-04-19",50
"2015-04-26",49
"2015-05-03",47
"2015-05-10",49
"2015-05-17",47
"2015-05-24",53
"2015-05-31",51
"2015-06-07",54
"2015-06-14",55
"2015-06-21",52
"2015-06-28",54
"2015-07-05",61
"2015-07-12",79
"2015-07-19",57
"2015-07-26",60
"2015-08-02",59
"2015-08-09",60
"2015-08-16",63
"2015-08-23",63
"2015-08-30",58
"2015-09-06",55
"2015-09-13",54
"2015-09-20",56
"2015-09-27",53
"2015-10-04",57
"2015-10-11",57
"2015-10-18",59
"2015-10-25",58
"2015-11-01",56
"2015-11-08",61
"2015-11-15",65
"2015-11-22",92
"2015-11-29",92
"2015-12-06",86
"2015-12-13",89
"2015-12-20",85
"2015-12-27",72
"2016-01-03",53
"2016-01-10",53
"2016-01-17",51
"2016-01-24",48
"2016-01-31",46
"2016-02-07",47
"2016-02-14",47
"2016-02-21",46
"2016-02-28",46
"2016-03-06",48
"2016-03-13",47
"2016-03-20",47
"2016-03-27",47
"2016-04-03",49
"2016-04-10",45
"2016-04-17",45
"2016-04-24",47
"2016-05-01",45
"2016-05-08",46
"2016-05-15",48
"2016-05-22",48
"2016-05-29",49
"2016-06-05",49
"2016-06-12",50
"2016-06-19",50
"2016-06-26",50
"2016-07-03",49
"2016-07-10",63
"2016-07-17",52
"2016-07-24",54
"2016-07-31",50
"2016-08-07",51
"2016-08-14",54
"2016-08-21",56
"2016-08-28",53
"2016-09-04",52
"2016-09-11",50
"2016-09-18",49
"2016-09-25",50
"2016-10-02",49
"2016-10-09",50
"2016-10-16",52
"2016-10-23",55
"2016-10-30",50
"2016-11-06",49
"2016-11-13",62
"2016-11-20",83
"2016-11-27",88
"2016-12-04",79
"2016-12-11",80
"2016-12-18",73
"2016-12-25",71
"2017-01-01",62
"2017-01-08",61
"2017-01-15",57
"2017-01-22",56
"2017-01-29",54
"2017-02-05",53
"2017-02-12",51
"2017-02-19",54
"2017-02-26",57
"2017-03-05",53
"2017-03-12",54
"2017-03-19",54
"2017-03-26",54
"2017-04-02",56
"2017-04-09",54
"2017-04-16",53
"2017-04-23",58
"2017-04-30",59
"2017-05-07",59
"2017-05-14",57
"2017-05-21",58
"2017-05-28",56
"2017-06-04",58
"2017-06-11",60
"2017-06-18",61
"2017-06-25",62
"2017-07-02",60
"2017-07-09",82
"2017-07-16",60
"2017-07-23",64
"2017-07-30",62
"2017-08-06",67
"2017-08-13",68
"2017-08-20",65
"2017-08-27",65
"2017-09-03",63
"2017-09-10",60
"2017-09-17",61
"2017-09-24",61
"2017-10-01",60
"2017-10-08",60
"2017-10-15",62
"2017-10-22",61
"2017-10-29",58
"2017-11-05",66
"2017-11-12",73
"2017-11-19",94
"2017-11-26",100
"2017-12-03",89
"2017-12-10",93
"2017-12-17",85
"2017-12-24",85
"2017-12-31",70
"2018-01-07",66
"2018-01-14",63
"2018-01-21",58
"2018-01-28",61
"2018-02-04",60
"2018-02-11",58
"2018-02-18",57
"2018-02-25",58
"2018-03-04",61
"2018-03-11",60
"2018-03-18",61
"2018-03-25",61
"2018-04-01",61
"2018-04-08",57
"2018-04-15",58
"2018-04-22",59
"2018-04-29",59
"2018-05-06",60
"2018-05-13",55
"2018-05-20",58
"2018-05-27",57
"2018-06-03",61
"2018-06-10",61
"2018-06-17",59
"2018-06-24",61
"2018-07-01",58
"2018-07-08",62
"2018-07-15",88
"2018-07-22",61
"2018-07-29",63
"2018-08-05",61
"2018-08-12",61
"2018-08-19",64
"2018-08-26",61
"2018-09-02",60
"2018-09-09",59
"2018-09-16",60
"2018-09-23",57
"2018-09-30",62
"2018-10-07",60
"2018-10-14",60
"2018-10-21",60
"2018-10-28",57
"2018-11-04",61
"2018-11-11",70
"2018-11-18",88
