"date","missouri"
"2013-12-01",82
"2013-12-08",73
"2013-12-15",70
"2013-12-22",69
"2013-12-29",58
"2014-01-05",53
"2014-01-12",50
"2014-01-19",48
"2014-01-26",46
"2014-02-02",45
"2014-02-09",45
"2014-02-16",45
"2014-02-23",45
"2014-03-02",48
"2014-03-09",48
"2014-03-16",44
"2014-03-23",45
"2014-03-30",44
"2014-04-06",44
"2014-04-13",44
"2014-04-20",43
"2014-04-27",42
"2014-05-04",45
"2014-05-11",46
"2014-05-18",46
"2014-05-25",50
"2014-06-01",47
"2014-06-08",46
"2014-06-15",49
"2014-06-22",44
"2014-06-29",45
"2014-07-06",47
"2014-07-13",48
"2014-07-20",51
"2014-07-27",52
"2014-08-03",53
"2014-08-10",48
"2014-08-17",51
"2014-08-24",50
"2014-08-31",49
"2014-09-07",47
"2014-09-14",48
"2014-09-21",49
"2014-09-28",48
"2014-10-05",49
"2014-10-12",48
"2014-10-19",51
"2014-10-26",48
"2014-11-02",57
"2014-11-09",64
"2014-11-16",62
"2014-11-23",82
"2014-11-30",85
"2014-12-07",79
"2014-12-14",83
"2014-12-21",77
"2014-12-28",73
"2015-01-04",60
"2015-01-11",54
"2015-01-18",55
"2015-01-25",54
"2015-02-01",54
"2015-02-08",54
"2015-02-15",56
"2015-02-22",55
"2015-03-01",54
"2015-03-08",52
"2015-03-15",51
"2015-03-22",53
"2015-03-29",53
"2015-04-05",47
"2015-04-12",51
"2015-04-19",50
"2015-04-26",51
"2015-05-03",49
"2015-05-10",50
"2015-05-17",53
"2015-05-24",55
"2015-05-31",55
"2015-06-07",53
"2015-06-14",56
"2015-06-21",57
"2015-06-28",53
"2015-07-05",59
"2015-07-12",82
"2015-07-19",59
"2015-07-26",59
"2015-08-02",61
"2015-08-09",61
"2015-08-16",62
"2015-08-23",58
"2015-08-30",55
"2015-09-06",54
"2015-09-13",51
"2015-09-20",56
"2015-09-27",53
"2015-10-04",57
"2015-10-11",55
"2015-10-18",56
"2015-10-25",55
"2015-11-01",60
"2015-11-08",63
"2015-11-15",68
"2015-11-22",97
"2015-11-29",100
"2015-12-06",87
"2015-12-13",91
"2015-12-20",86
"2015-12-27",75
"2016-01-03",54
"2016-01-10",53
"2016-01-17",51
"2016-01-24",46
"2016-01-31",49
"2016-02-07",47
"2016-02-14",49
"2016-02-21",48
"2016-02-28",46
"2016-03-06",48
"2016-03-13",45
"2016-03-20",48
"2016-03-27",48
"2016-04-03",46
"2016-04-10",46
"2016-04-17",45
"2016-04-24",47
"2016-05-01",48
"2016-05-08",47
"2016-05-15",48
"2016-05-22",48
"2016-05-29",50
"2016-06-05",49
"2016-06-12",48
"2016-06-19",49
"2016-06-26",52
"2016-07-03",50
"2016-07-10",64
"2016-07-17",54
"2016-07-24",52
"2016-07-31",54
"2016-08-07",50
"2016-08-14",53
"2016-08-21",53
"2016-08-28",53
"2016-09-04",51
"2016-09-11",48
"2016-09-18",48
"2016-09-25",49
"2016-10-02",49
"2016-10-09",49
"2016-10-16",53
"2016-10-23",50
"2016-10-30",50
"2016-11-06",50
"2016-11-13",60
"2016-11-20",83
"2016-11-27",89
"2016-12-04",77
"2016-12-11",83
"2016-12-18",78
"2016-12-25",73
"2017-01-01",62
"2017-01-08",57
"2017-01-15",56
"2017-01-22",56
"2017-01-29",53
"2017-02-05",50
"2017-02-12",50
"2017-02-19",54
"2017-02-26",55
"2017-03-05",50
"2017-03-12",52
"2017-03-19",55
"2017-03-26",53
"2017-04-02",52
"2017-04-09",53
"2017-04-16",54
"2017-04-23",58
"2017-04-30",56
"2017-05-07",59
"2017-05-14",56
"2017-05-21",56
"2017-05-28",58
"2017-06-04",57
"2017-06-11",60
"2017-06-18",57
"2017-06-25",58
"2017-07-02",58
"2017-07-09",78
"2017-07-16",60
"2017-07-23",62
"2017-07-30",64
"2017-08-06",65
"2017-08-13",67
"2017-08-20",58
"2017-08-27",59
"2017-09-03",55
"2017-09-10",56
"2017-09-17",59
"2017-09-24",58
"2017-10-01",59
"2017-10-08",61
"2017-10-15",65
"2017-10-22",65
"2017-10-29",60
"2017-11-05",67
"2017-11-12",72
"2017-11-19",90
"2017-11-26",98
"2017-12-03",90
"2017-12-10",94
"2017-12-17",87
"2017-12-24",84
"2017-12-31",70
"2018-01-07",67
"2018-01-14",67
"2018-01-21",60
"2018-01-28",60
"2018-02-04",62
"2018-02-11",57
"2018-02-18",57
"2018-02-25",63
"2018-03-04",63
"2018-03-11",59
"2018-03-18",61
"2018-03-25",60
"2018-04-01",61
"2018-04-08",56
"2018-04-15",58
"2018-04-22",59
"2018-04-29",57
"2018-05-06",60
"2018-05-13",57
"2018-05-20",60
"2018-05-27",58
"2018-06-03",59
"2018-06-10",59
"2018-06-17",61
"2018-06-24",63
"2018-07-01",61
"2018-07-08",64
"2018-07-15",90
"2018-07-22",63
"2018-07-29",65
"2018-08-05",64
"2018-08-12",63
"2018-08-19",61
"2018-08-26",60
"2018-09-02",62
"2018-09-09",59
"2018-09-16",59
"2018-09-23",58
"2018-09-30",60
"2018-10-07",61
"2018-10-14",61
"2018-10-21",63
"2018-10-28",61
"2018-11-04",62
"2018-11-11",71
"2018-11-18",93
