"date","montana"
"2013-12-01",77
"2013-12-08",82
"2013-12-15",72
"2013-12-22",70
"2013-12-29",65
"2014-01-05",61
"2014-01-12",49
"2014-01-19",49
"2014-01-26",43
"2014-02-02",48
"2014-02-09",48
"2014-02-16",51
"2014-02-23",49
"2014-03-02",45
"2014-03-09",52
"2014-03-16",53
"2014-03-23",47
"2014-03-30",45
"2014-04-06",46
"2014-04-13",50
"2014-04-20",53
"2014-04-27",50
"2014-05-04",53
"2014-05-11",46
"2014-05-18",49
"2014-05-25",48
"2014-06-01",58
"2014-06-08",52
"2014-06-15",61
"2014-06-22",51
"2014-06-29",48
"2014-07-06",60
"2014-07-13",53
"2014-07-20",49
"2014-07-27",50
"2014-08-03",51
"2014-08-10",55
"2014-08-17",64
"2014-08-24",63
"2014-08-31",63
"2014-09-07",54
"2014-09-14",48
"2014-09-21",52
"2014-09-28",54
"2014-10-05",55
"2014-10-12",52
"2014-10-19",59
"2014-10-26",59
"2014-11-02",57
"2014-11-09",56
"2014-11-16",62
"2014-11-23",73
"2014-11-30",83
"2014-12-07",83
"2014-12-14",81
"2014-12-21",86
"2014-12-28",64
"2015-01-04",69
"2015-01-11",49
"2015-01-18",62
"2015-01-25",60
"2015-02-01",53
"2015-02-08",54
"2015-02-15",59
"2015-02-22",61
"2015-03-01",56
"2015-03-08",56
"2015-03-15",54
"2015-03-22",45
"2015-03-29",59
"2015-04-05",59
"2015-04-12",57
"2015-04-19",54
"2015-04-26",45
"2015-05-03",53
"2015-05-10",54
"2015-05-17",54
"2015-05-24",58
"2015-05-31",55
"2015-06-07",55
"2015-06-14",56
"2015-06-21",45
"2015-06-28",58
"2015-07-05",59
"2015-07-12",81
"2015-07-19",64
"2015-07-26",57
"2015-08-02",54
"2015-08-09",57
"2015-08-16",57
"2015-08-23",70
"2015-08-30",59
"2015-09-06",59
"2015-09-13",54
"2015-09-20",55
"2015-09-27",59
"2015-10-04",58
"2015-10-11",62
"2015-10-18",57
"2015-10-25",65
"2015-11-01",64
"2015-11-08",69
"2015-11-15",74
"2015-11-22",86
"2015-11-29",96
"2015-12-06",97
"2015-12-13",90
"2015-12-20",88
"2015-12-27",78
"2016-01-03",62
"2016-01-10",59
"2016-01-17",55
"2016-01-24",56
"2016-01-31",52
"2016-02-07",52
"2016-02-14",51
"2016-02-21",51
"2016-02-28",48
"2016-03-06",55
"2016-03-13",47
"2016-03-20",53
"2016-03-27",49
"2016-04-03",48
"2016-04-10",49
"2016-04-17",49
"2016-04-24",51
"2016-05-01",48
"2016-05-08",51
"2016-05-15",47
"2016-05-22",51
"2016-05-29",53
"2016-06-05",51
"2016-06-12",53
"2016-06-19",53
"2016-06-26",51
"2016-07-03",52
"2016-07-10",60
"2016-07-17",49
"2016-07-24",55
"2016-07-31",51
"2016-08-07",47
"2016-08-14",52
"2016-08-21",53
"2016-08-28",51
"2016-09-04",51
"2016-09-11",51
"2016-09-18",53
"2016-09-25",47
"2016-10-02",51
"2016-10-09",56
"2016-10-16",55
"2016-10-23",56
"2016-10-30",49
"2016-11-06",52
"2016-11-13",62
"2016-11-20",77
"2016-11-27",83
"2016-12-04",82
"2016-12-11",77
"2016-12-18",75
"2016-12-25",69
"2017-01-01",68
"2017-01-08",59
"2017-01-15",58
"2017-01-22",53
"2017-01-29",57
"2017-02-05",51
"2017-02-12",48
"2017-02-19",50
"2017-02-26",60
"2017-03-05",54
"2017-03-12",54
"2017-03-19",54
"2017-03-26",58
"2017-04-02",59
"2017-04-09",55
"2017-04-16",54
"2017-04-23",50
"2017-04-30",54
"2017-05-07",53
"2017-05-14",56
"2017-05-21",58
"2017-05-28",50
"2017-06-04",61
"2017-06-11",54
"2017-06-18",57
"2017-06-25",59
"2017-07-02",55
"2017-07-09",65
"2017-07-16",58
"2017-07-23",58
"2017-07-30",59
"2017-08-06",64
"2017-08-13",62
"2017-08-20",58
"2017-08-27",59
"2017-09-03",64
"2017-09-10",58
"2017-09-17",67
"2017-09-24",58
"2017-10-01",60
"2017-10-08",69
"2017-10-15",60
"2017-10-22",62
"2017-10-29",54
"2017-11-05",71
"2017-11-12",67
"2017-11-19",97
"2017-11-26",100
"2017-12-03",85
"2017-12-10",85
"2017-12-17",75
"2017-12-24",84
"2017-12-31",68
"2018-01-07",64
"2018-01-14",63
"2018-01-21",61
"2018-01-28",59
"2018-02-04",57
"2018-02-11",59
"2018-02-18",55
"2018-02-25",53
"2018-03-04",59
"2018-03-11",64
"2018-03-18",54
"2018-03-25",62
"2018-04-01",58
"2018-04-08",54
"2018-04-15",55
"2018-04-22",57
"2018-04-29",59
"2018-05-06",54
"2018-05-13",58
"2018-05-20",57
"2018-05-27",60
"2018-06-03",64
"2018-06-10",58
"2018-06-17",54
"2018-06-24",58
"2018-07-01",56
"2018-07-08",54
"2018-07-15",72
"2018-07-22",54
"2018-07-29",64
"2018-08-05",55
"2018-08-12",65
"2018-08-19",67
"2018-08-26",58
"2018-09-02",62
"2018-09-09",56
"2018-09-16",56
"2018-09-23",58
"2018-09-30",57
"2018-10-07",59
"2018-10-14",51
"2018-10-21",55
"2018-10-28",54
"2018-11-04",61
"2018-11-11",71
"2018-11-18",83
