"date","nebraska"
"2013-12-01",97
"2013-12-08",77
"2013-12-15",74
"2013-12-22",77
"2013-12-29",72
"2014-01-05",57
"2014-01-12",55
"2014-01-19",55
"2014-01-26",52
"2014-02-02",47
"2014-02-09",52
"2014-02-16",48
"2014-02-23",46
"2014-03-02",50
"2014-03-09",46
"2014-03-16",46
"2014-03-23",50
"2014-03-30",50
"2014-04-06",49
"2014-04-13",45
"2014-04-20",47
"2014-04-27",48
"2014-05-04",45
"2014-05-11",47
"2014-05-18",47
"2014-05-25",50
"2014-06-01",47
"2014-06-08",53
"2014-06-15",53
"2014-06-22",48
"2014-06-29",45
"2014-07-06",54
"2014-07-13",50
"2014-07-20",47
"2014-07-27",50
"2014-08-03",55
"2014-08-10",54
"2014-08-17",57
"2014-08-24",57
"2014-08-31",55
"2014-09-07",50
"2014-09-14",53
"2014-09-21",53
"2014-09-28",52
"2014-10-05",51
"2014-10-12",51
"2014-10-19",52
"2014-10-26",50
"2014-11-02",54
"2014-11-09",58
"2014-11-16",63
"2014-11-23",91
"2014-11-30",89
"2014-12-07",80
"2014-12-14",84
"2014-12-21",72
"2014-12-28",68
"2015-01-04",60
"2015-01-11",63
"2015-01-18",55
"2015-01-25",58
"2015-02-01",50
"2015-02-08",49
"2015-02-15",54
"2015-02-22",50
"2015-03-01",53
"2015-03-08",56
"2015-03-15",48
"2015-03-22",52
"2015-03-29",55
"2015-04-05",56
"2015-04-12",52
"2015-04-19",51
"2015-04-26",51
"2015-05-03",50
"2015-05-10",51
"2015-05-17",56
"2015-05-24",57
"2015-05-31",55
"2015-06-07",57
"2015-06-14",58
"2015-06-21",56
"2015-06-28",51
"2015-07-05",58
"2015-07-12",84
"2015-07-19",57
"2015-07-26",58
"2015-08-02",58
"2015-08-09",62
"2015-08-16",57
"2015-08-23",59
"2015-08-30",59
"2015-09-06",53
"2015-09-13",56
"2015-09-20",56
"2015-09-27",58
"2015-10-04",57
"2015-10-11",57
"2015-10-18",63
"2015-10-25",56
"2015-11-01",61
"2015-11-08",64
"2015-11-15",70
"2015-11-22",97
"2015-11-29",100
"2015-12-06",95
"2015-12-13",93
"2015-12-20",88
"2015-12-27",74
"2016-01-03",57
"2016-01-10",52
"2016-01-17",53
"2016-01-24",47
"2016-01-31",55
"2016-02-07",50
"2016-02-14",46
"2016-02-21",51
"2016-02-28",47
"2016-03-06",50
"2016-03-13",49
"2016-03-20",48
"2016-03-27",49
"2016-04-03",45
"2016-04-10",45
"2016-04-17",48
"2016-04-24",51
"2016-05-01",49
"2016-05-08",46
"2016-05-15",50
"2016-05-22",49
"2016-05-29",48
"2016-06-05",50
"2016-06-12",51
"2016-06-19",49
"2016-06-26",52
"2016-07-03",52
"2016-07-10",59
"2016-07-17",50
"2016-07-24",51
"2016-07-31",51
"2016-08-07",49
"2016-08-14",55
"2016-08-21",53
"2016-08-28",50
"2016-09-04",49
"2016-09-11",48
"2016-09-18",46
"2016-09-25",47
"2016-10-02",50
"2016-10-09",47
"2016-10-16",51
"2016-10-23",49
"2016-10-30",52
"2016-11-06",51
"2016-11-13",59
"2016-11-20",87
"2016-11-27",88
"2016-12-04",80
"2016-12-11",85
"2016-12-18",75
"2016-12-25",77
"2017-01-01",67
"2017-01-08",60
"2017-01-15",55
"2017-01-22",53
"2017-01-29",52
"2017-02-05",49
"2017-02-12",49
"2017-02-19",52
"2017-02-26",51
"2017-03-05",54
"2017-03-12",49
"2017-03-19",50
"2017-03-26",55
"2017-04-02",52
"2017-04-09",55
"2017-04-16",54
"2017-04-23",60
"2017-04-30",58
"2017-05-07",56
"2017-05-14",57
"2017-05-21",56
"2017-05-28",54
"2017-06-04",56
"2017-06-11",55
"2017-06-18",59
"2017-06-25",55
"2017-07-02",56
"2017-07-09",79
"2017-07-16",58
"2017-07-23",59
"2017-07-30",61
"2017-08-06",63
"2017-08-13",63
"2017-08-20",57
"2017-08-27",60
"2017-09-03",55
"2017-09-10",59
"2017-09-17",54
"2017-09-24",54
"2017-10-01",56
"2017-10-08",58
"2017-10-15",58
"2017-10-22",60
"2017-10-29",56
"2017-11-05",62
"2017-11-12",66
"2017-11-19",87
"2017-11-26",94
"2017-12-03",87
"2017-12-10",90
"2017-12-17",86
"2017-12-24",86
"2017-12-31",69
"2018-01-07",65
"2018-01-14",61
"2018-01-21",59
"2018-01-28",61
"2018-02-04",56
"2018-02-11",55
"2018-02-18",55
"2018-02-25",59
"2018-03-04",61
"2018-03-11",56
"2018-03-18",61
"2018-03-25",58
"2018-04-01",58
"2018-04-08",55
"2018-04-15",60
"2018-04-22",58
"2018-04-29",54
"2018-05-06",57
"2018-05-13",55
"2018-05-20",55
"2018-05-27",56
"2018-06-03",58
"2018-06-10",55
"2018-06-17",57
"2018-06-24",55
"2018-07-01",59
"2018-07-08",63
"2018-07-15",90
"2018-07-22",62
"2018-07-29",61
"2018-08-05",55
"2018-08-12",60
"2018-08-19",60
"2018-08-26",58
"2018-09-02",55
"2018-09-09",58
"2018-09-16",57
"2018-09-23",52
"2018-09-30",59
"2018-10-07",57
"2018-10-14",56
"2018-10-21",53
"2018-10-28",57
"2018-11-04",63
"2018-11-11",72
"2018-11-18",90
