"date","nevada"
"2013-12-01",86
"2013-12-08",78
"2013-12-15",80
"2013-12-22",71
"2013-12-29",62
"2014-01-05",59
"2014-01-12",54
"2014-01-19",55
"2014-01-26",50
"2014-02-02",57
"2014-02-09",53
"2014-02-16",50
"2014-02-23",48
"2014-03-02",50
"2014-03-09",51
"2014-03-16",49
"2014-03-23",52
"2014-03-30",52
"2014-04-06",49
"2014-04-13",49
"2014-04-20",51
"2014-04-27",49
"2014-05-04",48
"2014-05-11",47
"2014-05-18",50
"2014-05-25",49
"2014-06-01",50
"2014-06-08",52
"2014-06-15",57
"2014-06-22",55
"2014-06-29",53
"2014-07-06",53
"2014-07-13",50
"2014-07-20",52
"2014-07-27",53
"2014-08-03",55
"2014-08-10",55
"2014-08-17",57
"2014-08-24",60
"2014-08-31",54
"2014-09-07",53
"2014-09-14",51
"2014-09-21",52
"2014-09-28",55
"2014-10-05",56
"2014-10-12",56
"2014-10-19",57
"2014-10-26",57
"2014-11-02",57
"2014-11-09",67
"2014-11-16",71
"2014-11-23",84
"2014-11-30",85
"2014-12-07",81
"2014-12-14",80
"2014-12-21",78
"2014-12-28",71
"2015-01-04",65
"2015-01-11",61
"2015-01-18",67
"2015-01-25",63
"2015-02-01",59
"2015-02-08",56
"2015-02-15",56
"2015-02-22",60
"2015-03-01",57
"2015-03-08",57
"2015-03-15",60
"2015-03-22",57
"2015-03-29",61
"2015-04-05",55
"2015-04-12",55
"2015-04-19",58
"2015-04-26",58
"2015-05-03",56
"2015-05-10",57
"2015-05-17",56
"2015-05-24",55
"2015-05-31",61
"2015-06-07",61
"2015-06-14",61
"2015-06-21",63
"2015-06-28",57
"2015-07-05",64
"2015-07-12",77
"2015-07-19",59
"2015-07-26",62
"2015-08-02",65
"2015-08-09",65
"2015-08-16",65
"2015-08-23",65
"2015-08-30",63
"2015-09-06",61
"2015-09-13",59
"2015-09-20",61
"2015-09-27",58
"2015-10-04",61
"2015-10-11",60
"2015-10-18",65
"2015-10-25",62
"2015-11-01",65
"2015-11-08",73
"2015-11-15",76
"2015-11-22",94
"2015-11-29",100
"2015-12-06",83
"2015-12-13",90
"2015-12-20",86
"2015-12-27",73
"2016-01-03",55
"2016-01-10",51
"2016-01-17",55
"2016-01-24",52
"2016-01-31",54
"2016-02-07",52
"2016-02-14",52
"2016-02-21",51
"2016-02-28",49
"2016-03-06",50
"2016-03-13",48
"2016-03-20",53
"2016-03-27",50
"2016-04-03",50
"2016-04-10",49
"2016-04-17",54
"2016-04-24",52
"2016-05-01",51
"2016-05-08",52
"2016-05-15",48
"2016-05-22",49
"2016-05-29",51
"2016-06-05",52
"2016-06-12",51
"2016-06-19",52
"2016-06-26",51
"2016-07-03",52
"2016-07-10",59
"2016-07-17",54
"2016-07-24",52
"2016-07-31",54
"2016-08-07",49
"2016-08-14",54
"2016-08-21",55
"2016-08-28",53
"2016-09-04",54
"2016-09-11",52
"2016-09-18",50
"2016-09-25",49
"2016-10-02",52
"2016-10-09",50
"2016-10-16",53
"2016-10-23",50
"2016-10-30",48
"2016-11-06",49
"2016-11-13",58
"2016-11-20",75
"2016-11-27",87
"2016-12-04",73
"2016-12-11",79
"2016-12-18",75
"2016-12-25",70
"2017-01-01",62
"2017-01-08",61
"2017-01-15",56
"2017-01-22",54
"2017-01-29",51
"2017-02-05",55
"2017-02-12",53
"2017-02-19",55
"2017-02-26",58
"2017-03-05",53
"2017-03-12",53
"2017-03-19",54
"2017-03-26",53
"2017-04-02",56
"2017-04-09",54
"2017-04-16",54
"2017-04-23",57
"2017-04-30",57
"2017-05-07",58
"2017-05-14",58
"2017-05-21",58
"2017-05-28",56
"2017-06-04",58
"2017-06-11",59
"2017-06-18",56
"2017-06-25",56
"2017-07-02",61
"2017-07-09",76
"2017-07-16",60
"2017-07-23",64
"2017-07-30",65
"2017-08-06",63
"2017-08-13",61
"2017-08-20",60
"2017-08-27",62
"2017-09-03",59
"2017-09-10",59
"2017-09-17",59
"2017-09-24",58
"2017-10-01",59
"2017-10-08",60
"2017-10-15",63
"2017-10-22",67
"2017-10-29",59
"2017-11-05",70
"2017-11-12",74
"2017-11-19",89
"2017-11-26",97
"2017-12-03",83
"2017-12-10",87
"2017-12-17",84
"2017-12-24",75
"2017-12-31",70
"2018-01-07",69
"2018-01-14",67
"2018-01-21",65
"2018-01-28",66
"2018-02-04",61
"2018-02-11",60
"2018-02-18",61
"2018-02-25",63
"2018-03-04",62
"2018-03-11",60
"2018-03-18",61
"2018-03-25",61
"2018-04-01",61
"2018-04-08",56
"2018-04-15",59
"2018-04-22",60
"2018-04-29",56
"2018-05-06",60
"2018-05-13",56
"2018-05-20",57
"2018-05-27",58
"2018-06-03",60
"2018-06-10",60
"2018-06-17",61
"2018-06-24",61
"2018-07-01",60
"2018-07-08",62
"2018-07-15",83
"2018-07-22",63
"2018-07-29",65
"2018-08-05",63
"2018-08-12",59
"2018-08-19",62
"2018-08-26",65
"2018-09-02",60
"2018-09-09",61
"2018-09-16",59
"2018-09-23",61
"2018-09-30",61
"2018-10-07",62
"2018-10-14",63
"2018-10-21",61
"2018-10-28",56
"2018-11-04",62
"2018-11-11",73
"2018-11-18",85
