"date","new jersey"
"2013-12-01",86
"2013-12-08",77
"2013-12-15",75
"2013-12-22",70
"2013-12-29",56
"2014-01-05",51
"2014-01-12",51
"2014-01-19",51
"2014-01-26",48
"2014-02-02",47
"2014-02-09",49
"2014-02-16",47
"2014-02-23",47
"2014-03-02",46
"2014-03-09",45
"2014-03-16",46
"2014-03-23",46
"2014-03-30",47
"2014-04-06",48
"2014-04-13",48
"2014-04-20",47
"2014-04-27",48
"2014-05-04",46
"2014-05-11",45
"2014-05-18",49
"2014-05-25",49
"2014-06-01",48
"2014-06-08",49
"2014-06-15",52
"2014-06-22",49
"2014-06-29",48
"2014-07-06",50
"2014-07-13",50
"2014-07-20",53
"2014-07-27",55
"2014-08-03",55
"2014-08-10",51
"2014-08-17",56
"2014-08-24",57
"2014-08-31",58
"2014-09-07",54
"2014-09-14",53
"2014-09-21",53
"2014-09-28",52
"2014-10-05",52
"2014-10-12",53
"2014-10-19",54
"2014-10-26",54
"2014-11-02",56
"2014-11-09",58
"2014-11-16",61
"2014-11-23",80
"2014-11-30",86
"2014-12-07",78
"2014-12-14",81
"2014-12-21",73
"2014-12-28",65
"2015-01-04",58
"2015-01-11",57
"2015-01-18",58
"2015-01-25",53
"2015-02-01",54
"2015-02-08",53
"2015-02-15",53
"2015-02-22",52
"2015-03-01",53
"2015-03-08",51
"2015-03-15",52
"2015-03-22",53
"2015-03-29",55
"2015-04-05",50
"2015-04-12",50
"2015-04-19",52
"2015-04-26",51
"2015-05-03",53
"2015-05-10",52
"2015-05-17",53
"2015-05-24",53
"2015-05-31",55
"2015-06-07",54
"2015-06-14",57
"2015-06-21",55
"2015-06-28",56
"2015-07-05",59
"2015-07-12",81
"2015-07-19",60
"2015-07-26",56
"2015-08-02",61
"2015-08-09",63
"2015-08-16",63
"2015-08-23",65
"2015-08-30",63
"2015-09-06",59
"2015-09-13",55
"2015-09-20",57
"2015-09-27",56
"2015-10-04",56
"2015-10-11",59
"2015-10-18",60
"2015-10-25",58
"2015-11-01",61
"2015-11-08",63
"2015-11-15",66
"2015-11-22",90
"2015-11-29",100
"2015-12-06",86
"2015-12-13",91
"2015-12-20",83
"2015-12-27",72
"2016-01-03",53
"2016-01-10",48
"2016-01-17",51
"2016-01-24",49
"2016-01-31",49
"2016-02-07",48
"2016-02-14",47
"2016-02-21",47
"2016-02-28",46
"2016-03-06",46
"2016-03-13",47
"2016-03-20",47
"2016-03-27",45
"2016-04-03",46
"2016-04-10",46
"2016-04-17",47
"2016-04-24",47
"2016-05-01",47
"2016-05-08",47
"2016-05-15",47
"2016-05-22",48
"2016-05-29",49
"2016-06-05",47
"2016-06-12",50
"2016-06-19",50
"2016-06-26",52
"2016-07-03",52
"2016-07-10",66
"2016-07-17",51
"2016-07-24",52
"2016-07-31",54
"2016-08-07",50
"2016-08-14",52
"2016-08-21",55
"2016-08-28",57
"2016-09-04",56
"2016-09-11",52
"2016-09-18",51
"2016-09-25",50
"2016-10-02",48
"2016-10-09",54
"2016-10-16",52
"2016-10-23",54
"2016-10-30",52
"2016-11-06",51
"2016-11-13",58
"2016-11-20",78
"2016-11-27",84
"2016-12-04",77
"2016-12-11",80
"2016-12-18",76
"2016-12-25",75
"2017-01-01",62
"2017-01-08",59
"2017-01-15",56
"2017-01-22",54
"2017-01-29",53
"2017-02-05",53
"2017-02-12",51
"2017-02-19",51
"2017-02-26",53
"2017-03-05",52
"2017-03-12",52
"2017-03-19",52
"2017-03-26",56
"2017-04-02",54
"2017-04-09",51
"2017-04-16",52
"2017-04-23",54
"2017-04-30",55
"2017-05-07",57
"2017-05-14",53
"2017-05-21",53
"2017-05-28",56
"2017-06-04",56
"2017-06-11",61
"2017-06-18",61
"2017-06-25",60
"2017-07-02",60
"2017-07-09",79
"2017-07-16",61
"2017-07-23",64
"2017-07-30",66
"2017-08-06",63
"2017-08-13",64
"2017-08-20",62
"2017-08-27",66
"2017-09-03",62
"2017-09-10",60
"2017-09-17",59
"2017-09-24",58
"2017-10-01",60
"2017-10-08",62
"2017-10-15",62
"2017-10-22",66
"2017-10-29",61
"2017-11-05",65
"2017-11-12",69
"2017-11-19",86
"2017-11-26",93
"2017-12-03",85
"2017-12-10",87
"2017-12-17",90
"2017-12-24",76
"2017-12-31",68
"2018-01-07",64
"2018-01-14",64
"2018-01-21",64
"2018-01-28",62
"2018-02-04",58
"2018-02-11",59
"2018-02-18",60
"2018-02-25",60
"2018-03-04",60
"2018-03-11",59
"2018-03-18",57
"2018-03-25",57
"2018-04-01",59
"2018-04-08",55
"2018-04-15",58
"2018-04-22",60
"2018-04-29",58
"2018-05-06",57
"2018-05-13",57
"2018-05-20",57
"2018-05-27",57
"2018-06-03",58
"2018-06-10",60
"2018-06-17",58
"2018-06-24",61
"2018-07-01",62
"2018-07-08",65
"2018-07-15",93
"2018-07-22",65
"2018-07-29",64
"2018-08-05",63
"2018-08-12",63
"2018-08-19",65
"2018-08-26",64
"2018-09-02",64
"2018-09-09",61
"2018-09-16",61
"2018-09-23",59
"2018-09-30",60
"2018-10-07",63
"2018-10-14",63
"2018-10-21",64
"2018-10-28",61
"2018-11-04",65
"2018-11-11",72
"2018-11-18",84
