"date","new mexico"
"2013-12-01",90
"2013-12-08",85
"2013-12-15",80
"2013-12-22",85
"2013-12-29",68
"2014-01-05",61
"2014-01-12",62
"2014-01-19",60
"2014-01-26",55
"2014-02-02",54
"2014-02-09",56
"2014-02-16",60
"2014-02-23",59
"2014-03-02",56
"2014-03-09",60
"2014-03-16",58
"2014-03-23",56
"2014-03-30",57
"2014-04-06",56
"2014-04-13",57
"2014-04-20",56
"2014-04-27",54
"2014-05-04",57
"2014-05-11",54
"2014-05-18",58
"2014-05-25",57
"2014-06-01",56
"2014-06-08",58
"2014-06-15",61
"2014-06-22",55
"2014-06-29",57
"2014-07-06",61
"2014-07-13",58
"2014-07-20",63
"2014-07-27",65
"2014-08-03",65
"2014-08-10",64
"2014-08-17",60
"2014-08-24",63
"2014-08-31",60
"2014-09-07",56
"2014-09-14",57
"2014-09-21",58
"2014-09-28",60
"2014-10-05",59
"2014-10-12",60
"2014-10-19",61
"2014-10-26",55
"2014-11-02",61
"2014-11-09",65
"2014-11-16",66
"2014-11-23",86
"2014-11-30",87
"2014-12-07",84
"2014-12-14",89
"2014-12-21",87
"2014-12-28",72
"2015-01-04",71
"2015-01-11",62
"2015-01-18",63
"2015-01-25",59
"2015-02-01",59
"2015-02-08",57
"2015-02-15",55
"2015-02-22",61
"2015-03-01",59
"2015-03-08",62
"2015-03-15",59
"2015-03-22",64
"2015-03-29",61
"2015-04-05",57
"2015-04-12",56
"2015-04-19",58
"2015-04-26",61
"2015-05-03",62
"2015-05-10",57
"2015-05-17",62
"2015-05-24",67
"2015-05-31",64
"2015-06-07",63
"2015-06-14",67
"2015-06-21",62
"2015-06-28",72
"2015-07-05",67
"2015-07-12",84
"2015-07-19",72
"2015-07-26",74
"2015-08-02",72
"2015-08-09",73
"2015-08-16",74
"2015-08-23",68
"2015-08-30",68
"2015-09-06",64
"2015-09-13",61
"2015-09-20",68
"2015-09-27",64
"2015-10-04",65
"2015-10-11",66
"2015-10-18",66
"2015-10-25",63
"2015-11-01",68
"2015-11-08",65
"2015-11-15",79
"2015-11-22",94
"2015-11-29",100
"2015-12-06",92
"2015-12-13",97
"2015-12-20",87
"2015-12-27",77
"2016-01-03",57
"2016-01-10",51
"2016-01-17",54
"2016-01-24",51
"2016-01-31",51
"2016-02-07",50
"2016-02-14",48
"2016-02-21",48
"2016-02-28",47
"2016-03-06",45
"2016-03-13",47
"2016-03-20",47
"2016-03-27",52
"2016-04-03",49
"2016-04-10",47
"2016-04-17",52
"2016-04-24",52
"2016-05-01",51
"2016-05-08",50
"2016-05-15",53
"2016-05-22",51
"2016-05-29",51
"2016-06-05",53
"2016-06-12",54
"2016-06-19",54
"2016-06-26",52
"2016-07-03",52
"2016-07-10",63
"2016-07-17",55
"2016-07-24",54
"2016-07-31",54
"2016-08-07",52
"2016-08-14",54
"2016-08-21",56
"2016-08-28",53
"2016-09-04",52
"2016-09-11",50
"2016-09-18",47
"2016-09-25",50
"2016-10-02",50
"2016-10-09",53
"2016-10-16",54
"2016-10-23",52
"2016-10-30",53
"2016-11-06",52
"2016-11-13",61
"2016-11-20",77
"2016-11-27",83
"2016-12-04",70
"2016-12-11",79
"2016-12-18",73
"2016-12-25",66
"2017-01-01",65
"2017-01-08",58
"2017-01-15",59
"2017-01-22",54
"2017-01-29",55
"2017-02-05",58
"2017-02-12",53
"2017-02-19",53
"2017-02-26",56
"2017-03-05",56
"2017-03-12",51
"2017-03-19",57
"2017-03-26",55
"2017-04-02",54
"2017-04-09",52
"2017-04-16",52
"2017-04-23",57
"2017-04-30",63
"2017-05-07",62
"2017-05-14",56
"2017-05-21",57
"2017-05-28",57
"2017-06-04",55
"2017-06-11",56
"2017-06-18",56
"2017-06-25",58
"2017-07-02",59
"2017-07-09",72
"2017-07-16",60
"2017-07-23",60
"2017-07-30",61
"2017-08-06",60
"2017-08-13",63
"2017-08-20",64
"2017-08-27",60
"2017-09-03",62
"2017-09-10",59
"2017-09-17",60
"2017-09-24",55
"2017-10-01",59
"2017-10-08",58
"2017-10-15",61
"2017-10-22",64
"2017-10-29",58
"2017-11-05",60
"2017-11-12",64
"2017-11-19",81
"2017-11-26",90
"2017-12-03",80
"2017-12-10",83
"2017-12-17",76
"2017-12-24",76
"2017-12-31",66
"2018-01-07",63
"2018-01-14",66
"2018-01-21",60
"2018-01-28",58
"2018-02-04",58
"2018-02-11",58
"2018-02-18",58
"2018-02-25",57
"2018-03-04",57
"2018-03-11",57
"2018-03-18",59
"2018-03-25",54
"2018-04-01",55
"2018-04-08",54
"2018-04-15",55
"2018-04-22",58
"2018-04-29",56
"2018-05-06",56
"2018-05-13",54
"2018-05-20",58
"2018-05-27",57
"2018-06-03",57
"2018-06-10",60
"2018-06-17",55
"2018-06-24",58
"2018-07-01",59
"2018-07-08",63
"2018-07-15",80
"2018-07-22",57
"2018-07-29",62
"2018-08-05",62
"2018-08-12",58
"2018-08-19",57
"2018-08-26",59
"2018-09-02",54
"2018-09-09",56
"2018-09-16",59
"2018-09-23",56
"2018-09-30",55
"2018-10-07",54
"2018-10-14",58
"2018-10-21",53
"2018-10-28",53
"2018-11-04",57
"2018-11-11",62
"2018-11-18",82
