"date","NY"
"2013-12-01",83
"2013-12-08",74
"2013-12-15",75
"2013-12-22",70
"2013-12-29",61
"2014-01-05",56
"2014-01-12",54
"2014-01-19",53
"2014-01-26",54
"2014-02-02",51
"2014-02-09",50
"2014-02-16",51
"2014-02-23",49
"2014-03-02",50
"2014-03-09",50
"2014-03-16",50
"2014-03-23",51
"2014-03-30",51
"2014-04-06",50
"2014-04-13",50
"2014-04-20",50
"2014-04-27",49
"2014-05-04",50
"2014-05-11",48
"2014-05-18",50
"2014-05-25",51
"2014-06-01",52
"2014-06-08",52
"2014-06-15",55
"2014-06-22",52
"2014-06-29",54
"2014-07-06",51
"2014-07-13",53
"2014-07-20",53
"2014-07-27",56
"2014-08-03",56
"2014-08-10",56
"2014-08-17",56
"2014-08-24",61
"2014-08-31",61
"2014-09-07",56
"2014-09-14",57
"2014-09-21",56
"2014-09-28",56
"2014-10-05",54
"2014-10-12",57
"2014-10-19",58
"2014-10-26",57
"2014-11-02",58
"2014-11-09",58
"2014-11-16",63
"2014-11-23",80
"2014-11-30",83
"2014-12-07",79
"2014-12-14",82
"2014-12-21",75
"2014-12-28",68
"2015-01-04",62
"2015-01-11",58
"2015-01-18",59
"2015-01-25",56
"2015-02-01",56
"2015-02-08",56
"2015-02-15",58
"2015-02-22",56
"2015-03-01",56
"2015-03-08",55
"2015-03-15",53
"2015-03-22",55
"2015-03-29",58
"2015-04-05",54
"2015-04-12",53
"2015-04-19",54
"2015-04-26",54
"2015-05-03",53
"2015-05-10",54
"2015-05-17",55
"2015-05-24",55
"2015-05-31",56
"2015-06-07",56
"2015-06-14",58
"2015-06-21",58
"2015-06-28",59
"2015-07-05",60
"2015-07-12",81
"2015-07-19",61
"2015-07-26",60
"2015-08-02",61
"2015-08-09",62
"2015-08-16",65
"2015-08-23",67
"2015-08-30",65
"2015-09-06",61
"2015-09-13",60
"2015-09-20",59
"2015-09-27",60
"2015-10-04",61
"2015-10-11",62
"2015-10-18",63
"2015-10-25",64
"2015-11-01",62
"2015-11-08",65
"2015-11-15",68
"2015-11-22",91
"2015-11-29",99
"2015-12-06",91
"2015-12-13",90
"2015-12-20",88
"2015-12-27",77
"2016-01-03",59
"2016-01-10",55
"2016-01-17",57
"2016-01-24",55
"2016-01-31",55
"2016-02-07",55
"2016-02-14",55
"2016-02-21",53
"2016-02-28",52
"2016-03-06",53
"2016-03-13",52
"2016-03-20",52
"2016-03-27",51
"2016-04-03",53
"2016-04-10",52
"2016-04-17",50
"2016-04-24",52
"2016-05-01",52
"2016-05-08",52
"2016-05-15",52
"2016-05-22",53
"2016-05-29",52
"2016-06-05",52
"2016-06-12",53
"2016-06-19",52
"2016-06-26",55
"2016-07-03",56
"2016-07-10",69
"2016-07-17",56
"2016-07-24",57
"2016-07-31",58
"2016-08-07",56
"2016-08-14",56
"2016-08-21",60
"2016-08-28",60
"2016-09-04",58
"2016-09-11",56
"2016-09-18",54
"2016-09-25",53
"2016-10-02",54
"2016-10-09",55
"2016-10-16",55
"2016-10-23",56
"2016-10-30",54
"2016-11-06",52
"2016-11-13",61
"2016-11-20",80
"2016-11-27",85
"2016-12-04",80
"2016-12-11",83
"2016-12-18",79
"2016-12-25",73
"2017-01-01",66
"2017-01-08",62
"2017-01-15",63
"2017-01-22",62
"2017-01-29",63
"2017-02-05",57
"2017-02-12",55
"2017-02-19",57
"2017-02-26",60
"2017-03-05",62
"2017-03-12",56
"2017-03-19",55
"2017-03-26",58
"2017-04-02",60
"2017-04-09",56
"2017-04-16",56
"2017-04-23",59
"2017-04-30",64
"2017-05-07",62
"2017-05-14",58
"2017-05-21",59
"2017-05-28",60
"2017-06-04",64
"2017-06-11",66
"2017-06-18",63
"2017-06-25",62
"2017-07-02",66
"2017-07-09",81
"2017-07-16",64
"2017-07-23",68
"2017-07-30",71
"2017-08-06",68
"2017-08-13",67
"2017-08-20",66
"2017-08-27",71
"2017-09-03",71
"2017-09-10",67
"2017-09-17",64
"2017-09-24",63
"2017-10-01",64
"2017-10-08",69
"2017-10-15",69
"2017-10-22",72
"2017-10-29",65
"2017-11-05",71
"2017-11-12",75
"2017-11-19",93
"2017-11-26",100
"2017-12-03",90
"2017-12-10",96
"2017-12-17",97
"2017-12-24",86
"2017-12-31",78
"2018-01-07",73
"2018-01-14",73
"2018-01-21",69
"2018-01-28",71
"2018-02-04",73
"2018-02-11",64
"2018-02-18",67
"2018-02-25",69
"2018-03-04",71
"2018-03-11",67
"2018-03-18",67
"2018-03-25",67
"2018-04-01",70
"2018-04-08",63
"2018-04-15",64
"2018-04-22",65
"2018-04-29",65
"2018-05-06",69
"2018-05-13",62
"2018-05-20",62
"2018-05-27",71
"2018-06-03",65
"2018-06-10",64
"2018-06-17",64
"2018-06-24",69
"2018-07-01",73
"2018-07-08",70
"2018-07-15",98
"2018-07-22",70
"2018-07-29",70
"2018-08-05",72
"2018-08-12",71
"2018-08-19",70
"2018-08-26",71
"2018-09-02",71
"2018-09-09",69
"2018-09-16",68
"2018-09-23",66
"2018-09-30",72
"2018-10-07",68
"2018-10-14",68
"2018-10-21",71
"2018-10-28",68
"2018-11-04",75
"2018-11-11",85
"2018-11-18",95
