"date","NC"
"2013-12-01",89
"2013-12-08",82
"2013-12-15",81
"2013-12-22",77
"2013-12-29",64
"2014-01-05",60
"2014-01-12",54
"2014-01-19",55
"2014-01-26",50
"2014-02-02",49
"2014-02-09",52
"2014-02-16",50
"2014-02-23",50
"2014-03-02",50
"2014-03-09",50
"2014-03-16",50
"2014-03-23",49
"2014-03-30",51
"2014-04-06",50
"2014-04-13",49
"2014-04-20",48
"2014-04-27",47
"2014-05-04",48
"2014-05-11",49
"2014-05-18",49
"2014-05-25",52
"2014-06-01",50
"2014-06-08",54
"2014-06-15",58
"2014-06-22",54
"2014-06-29",52
"2014-07-06",54
"2014-07-13",53
"2014-07-20",58
"2014-07-27",58
"2014-08-03",59
"2014-08-10",58
"2014-08-17",60
"2014-08-24",56
"2014-08-31",55
"2014-09-07",57
"2014-09-14",54
"2014-09-21",52
"2014-09-28",54
"2014-10-05",52
"2014-10-12",54
"2014-10-19",54
"2014-10-26",54
"2014-11-02",58
"2014-11-09",60
"2014-11-16",65
"2014-11-23",86
"2014-11-30",88
"2014-12-07",83
"2014-12-14",89
"2014-12-21",80
"2014-12-28",76
"2015-01-04",62
"2015-01-11",60
"2015-01-18",61
"2015-01-25",56
"2015-02-01",54
"2015-02-08",56
"2015-02-15",54
"2015-02-22",54
"2015-03-01",54
"2015-03-08",52
"2015-03-15",49
"2015-03-22",52
"2015-03-29",53
"2015-04-05",52
"2015-04-12",51
"2015-04-19",53
"2015-04-26",51
"2015-05-03",51
"2015-05-10",55
"2015-05-17",51
"2015-05-24",54
"2015-05-31",56
"2015-06-07",57
"2015-06-14",58
"2015-06-21",59
"2015-06-28",58
"2015-07-05",61
"2015-07-12",86
"2015-07-19",63
"2015-07-26",64
"2015-08-02",64
"2015-08-09",66
"2015-08-16",69
"2015-08-23",62
"2015-08-30",59
"2015-09-06",59
"2015-09-13",57
"2015-09-20",58
"2015-09-27",59
"2015-10-04",59
"2015-10-11",59
"2015-10-18",59
"2015-10-25",57
"2015-11-01",62
"2015-11-08",67
"2015-11-15",67
"2015-11-22",98
"2015-11-29",98
"2015-12-06",91
"2015-12-13",97
"2015-12-20",92
"2015-12-27",78
"2016-01-03",55
"2016-01-10",52
"2016-01-17",52
"2016-01-24",50
"2016-01-31",52
"2016-02-07",50
"2016-02-14",49
"2016-02-21",49
"2016-02-28",49
"2016-03-06",47
"2016-03-13",44
"2016-03-20",49
"2016-03-27",49
"2016-04-03",47
"2016-04-10",48
"2016-04-17",45
"2016-04-24",48
"2016-05-01",50
"2016-05-08",49
"2016-05-15",52
"2016-05-22",49
"2016-05-29",51
"2016-06-05",51
"2016-06-12",53
"2016-06-19",53
"2016-06-26",52
"2016-07-03",55
"2016-07-10",67
"2016-07-17",54
"2016-07-24",56
"2016-07-31",56
"2016-08-07",54
"2016-08-14",57
"2016-08-21",58
"2016-08-28",55
"2016-09-04",54
"2016-09-11",51
"2016-09-18",50
"2016-09-25",49
"2016-10-02",48
"2016-10-09",50
"2016-10-16",53
"2016-10-23",52
"2016-10-30",52
"2016-11-06",54
"2016-11-13",63
"2016-11-20",86
"2016-11-27",86
"2016-12-04",81
"2016-12-11",88
"2016-12-18",81
"2016-12-25",78
"2017-01-01",65
"2017-01-08",64
"2017-01-15",58
"2017-01-22",54
"2017-01-29",55
"2017-02-05",52
"2017-02-12",51
"2017-02-19",52
"2017-02-26",59
"2017-03-05",54
"2017-03-12",55
"2017-03-19",53
"2017-03-26",55
"2017-04-02",55
"2017-04-09",54
"2017-04-16",53
"2017-04-23",60
"2017-04-30",58
"2017-05-07",61
"2017-05-14",57
"2017-05-21",58
"2017-05-28",60
"2017-06-04",60
"2017-06-11",67
"2017-06-18",61
"2017-06-25",62
"2017-07-02",63
"2017-07-09",84
"2017-07-16",64
"2017-07-23",65
"2017-07-30",68
"2017-08-06",67
"2017-08-13",71
"2017-08-20",64
"2017-08-27",63
"2017-09-03",60
"2017-09-10",62
"2017-09-17",61
"2017-09-24",61
"2017-10-01",61
"2017-10-08",63
"2017-10-15",66
"2017-10-22",67
"2017-10-29",63
"2017-11-05",69
"2017-11-12",72
"2017-11-19",96
"2017-11-26",99
"2017-12-03",94
"2017-12-10",97
"2017-12-17",95
"2017-12-24",90
"2017-12-31",76
"2018-01-07",68
"2018-01-14",73
"2018-01-21",65
"2018-01-28",66
"2018-02-04",63
"2018-02-11",58
"2018-02-18",61
"2018-02-25",65
"2018-03-04",65
"2018-03-11",59
"2018-03-18",62
"2018-03-25",63
"2018-04-01",64
"2018-04-08",58
"2018-04-15",58
"2018-04-22",61
"2018-04-29",59
"2018-05-06",63
"2018-05-13",62
"2018-05-20",61
"2018-05-27",63
"2018-06-03",65
"2018-06-10",66
"2018-06-17",63
"2018-06-24",66
"2018-07-01",66
"2018-07-08",70
"2018-07-15",100
"2018-07-22",68
"2018-07-29",71
"2018-08-05",71
"2018-08-12",71
"2018-08-19",70
"2018-08-26",65
"2018-09-02",66
"2018-09-09",58
"2018-09-16",60
"2018-09-23",62
"2018-09-30",66
"2018-10-07",64
"2018-10-14",64
"2018-10-21",65
"2018-10-28",64
"2018-11-04",67
"2018-11-11",76
"2018-11-18",93
