"date","ohio"
"2013-12-01",88
"2013-12-08",81
"2013-12-15",75
"2013-12-22",72
"2013-12-29",59
"2014-01-05",56
"2014-01-12",54
"2014-01-19",53
"2014-01-26",50
"2014-02-02",46
"2014-02-09",49
"2014-02-16",46
"2014-02-23",45
"2014-03-02",47
"2014-03-09",50
"2014-03-16",46
"2014-03-23",47
"2014-03-30",49
"2014-04-06",47
"2014-04-13",48
"2014-04-20",47
"2014-04-27",48
"2014-05-04",47
"2014-05-11",47
"2014-05-18",45
"2014-05-25",46
"2014-06-01",49
"2014-06-08",52
"2014-06-15",55
"2014-06-22",50
"2014-06-29",49
"2014-07-06",51
"2014-07-13",51
"2014-07-20",54
"2014-07-27",55
"2014-08-03",54
"2014-08-10",56
"2014-08-17",55
"2014-08-24",57
"2014-08-31",54
"2014-09-07",50
"2014-09-14",50
"2014-09-21",49
"2014-09-28",50
"2014-10-05",50
"2014-10-12",51
"2014-10-19",52
"2014-10-26",50
"2014-11-02",55
"2014-11-09",58
"2014-11-16",65
"2014-11-23",84
"2014-11-30",89
"2014-12-07",83
"2014-12-14",85
"2014-12-21",79
"2014-12-28",72
"2015-01-04",61
"2015-01-11",57
"2015-01-18",56
"2015-01-25",55
"2015-02-01",53
"2015-02-08",54
"2015-02-15",55
"2015-02-22",52
"2015-03-01",54
"2015-03-08",52
"2015-03-15",53
"2015-03-22",51
"2015-03-29",56
"2015-04-05",51
"2015-04-12",51
"2015-04-19",51
"2015-04-26",51
"2015-05-03",53
"2015-05-10",52
"2015-05-17",53
"2015-05-24",55
"2015-05-31",56
"2015-06-07",56
"2015-06-14",56
"2015-06-21",58
"2015-06-28",58
"2015-07-05",60
"2015-07-12",83
"2015-07-19",61
"2015-07-26",57
"2015-08-02",60
"2015-08-09",59
"2015-08-16",62
"2015-08-23",62
"2015-08-30",58
"2015-09-06",55
"2015-09-13",53
"2015-09-20",56
"2015-09-27",56
"2015-10-04",54
"2015-10-11",56
"2015-10-18",58
"2015-10-25",58
"2015-11-01",57
"2015-11-08",64
"2015-11-15",71
"2015-11-22",99
"2015-11-29",100
"2015-12-06",88
"2015-12-13",94
"2015-12-20",86
"2015-12-27",79
"2016-01-03",54
"2016-01-10",51
"2016-01-17",51
"2016-01-24",50
"2016-01-31",47
"2016-02-07",49
"2016-02-14",48
"2016-02-21",47
"2016-02-28",47
"2016-03-06",46
"2016-03-13",44
"2016-03-20",48
"2016-03-27",46
"2016-04-03",46
"2016-04-10",46
"2016-04-17",45
"2016-04-24",46
"2016-05-01",48
"2016-05-08",48
"2016-05-15",47
"2016-05-22",47
"2016-05-29",48
"2016-06-05",48
"2016-06-12",49
"2016-06-19",47
"2016-06-26",50
"2016-07-03",50
"2016-07-10",64
"2016-07-17",49
"2016-07-24",52
"2016-07-31",51
"2016-08-07",51
"2016-08-14",52
"2016-08-21",54
"2016-08-28",51
"2016-09-04",51
"2016-09-11",49
"2016-09-18",47
"2016-09-25",48
"2016-10-02",47
"2016-10-09",46
"2016-10-16",49
"2016-10-23",49
"2016-10-30",49
"2016-11-06",52
"2016-11-13",61
"2016-11-20",83
"2016-11-27",85
"2016-12-04",80
"2016-12-11",85
"2016-12-18",77
"2016-12-25",76
"2017-01-01",63
"2017-01-08",62
"2017-01-15",55
"2017-01-22",53
"2017-01-29",53
"2017-02-05",53
"2017-02-12",52
"2017-02-19",53
"2017-02-26",55
"2017-03-05",55
"2017-03-12",55
"2017-03-19",53
"2017-03-26",55
"2017-04-02",54
"2017-04-09",51
"2017-04-16",52
"2017-04-23",57
"2017-04-30",58
"2017-05-07",58
"2017-05-14",56
"2017-05-21",54
"2017-05-28",55
"2017-06-04",57
"2017-06-11",61
"2017-06-18",59
"2017-06-25",57
"2017-07-02",60
"2017-07-09",82
"2017-07-16",61
"2017-07-23",63
"2017-07-30",65
"2017-08-06",63
"2017-08-13",66
"2017-08-20",62
"2017-08-27",63
"2017-09-03",60
"2017-09-10",57
"2017-09-17",58
"2017-09-24",58
"2017-10-01",58
"2017-10-08",60
"2017-10-15",62
"2017-10-22",65
"2017-10-29",61
"2017-11-05",65
"2017-11-12",70
"2017-11-19",92
"2017-11-26",96
"2017-12-03",85
"2017-12-10",91
"2017-12-17",88
"2017-12-24",85
"2017-12-31",70
"2018-01-07",64
"2018-01-14",65
"2018-01-21",60
"2018-01-28",62
"2018-02-04",59
"2018-02-11",57
"2018-02-18",59
"2018-02-25",60
"2018-03-04",60
"2018-03-11",59
"2018-03-18",59
"2018-03-25",60
"2018-04-01",60
"2018-04-08",58
"2018-04-15",58
"2018-04-22",58
"2018-04-29",56
"2018-05-06",56
"2018-05-13",56
"2018-05-20",56
"2018-05-27",55
"2018-06-03",58
"2018-06-10",60
"2018-06-17",59
"2018-06-24",61
"2018-07-01",60
"2018-07-08",62
"2018-07-15",87
"2018-07-22",60
"2018-07-29",62
"2018-08-05",62
"2018-08-12",63
"2018-08-19",61
"2018-08-26",59
"2018-09-02",59
"2018-09-09",56
"2018-09-16",56
"2018-09-23",53
"2018-09-30",59
"2018-10-07",59
"2018-10-14",60
"2018-10-21",60
"2018-10-28",58
"2018-11-04",64
"2018-11-11",71
"2018-11-18",88
