"date","oregon"
"2013-12-01",45
"2013-12-08",42
"2013-12-15",45
"2013-12-22",41
"2013-12-29",36
"2014-01-05",34
"2014-01-12",33
"2014-01-19",33
"2014-01-26",32
"2014-02-02",28
"2014-02-09",29
"2014-02-16",30
"2014-02-23",29
"2014-03-02",52
"2014-03-09",52
"2014-03-16",50
"2014-03-23",57
"2014-03-30",43
"2014-04-06",34
"2014-04-13",35
"2014-04-20",35
"2014-04-27",33
"2014-05-04",36
"2014-05-11",32
"2014-05-18",35
"2014-05-25",33
"2014-06-01",32
"2014-06-08",34
"2014-06-15",35
"2014-06-22",34
"2014-06-29",32
"2014-07-06",34
"2014-07-13",36
"2014-07-20",33
"2014-07-27",37
"2014-08-03",35
"2014-08-10",36
"2014-08-17",36
"2014-08-24",36
"2014-08-31",34
"2014-09-07",34
"2014-09-14",36
"2014-09-21",36
"2014-09-28",31
"2014-10-05",30
"2014-10-12",30
"2014-10-19",29
"2014-10-26",29
"2014-11-02",29
"2014-11-09",32
"2014-11-16",34
"2014-11-23",43
"2014-11-30",46
"2014-12-07",43
"2014-12-14",44
"2014-12-21",41
"2014-12-28",38
"2015-01-04",34
"2015-01-11",33
"2015-01-18",30
"2015-01-25",31
"2015-02-01",31
"2015-02-08",31
"2015-02-15",31
"2015-02-22",31
"2015-03-01",30
"2015-03-08",31
"2015-03-15",29
"2015-03-22",31
"2015-03-29",33
"2015-04-05",30
"2015-04-12",30
"2015-04-19",31
"2015-04-26",31
"2015-05-03",35
"2015-05-10",39
"2015-05-17",43
"2015-05-24",50
"2015-05-31",52
"2015-06-07",53
"2015-06-14",56
"2015-06-21",54
"2015-06-28",57
"2015-07-05",58
"2015-07-12",78
"2015-07-19",62
"2015-07-26",61
"2015-08-02",59
"2015-08-09",63
"2015-08-16",64
"2015-08-23",65
"2015-08-30",63
"2015-09-06",58
"2015-09-13",59
"2015-09-20",62
"2015-09-27",64
"2015-10-04",63
"2015-10-11",63
"2015-10-18",68
"2015-10-25",64
"2015-11-01",66
"2015-11-08",69
"2015-11-15",74
"2015-11-22",92
"2015-11-29",100
"2015-12-06",89
"2015-12-13",97
"2015-12-20",90
"2015-12-27",79
"2016-01-03",54
"2016-01-10",51
"2016-01-17",53
"2016-01-24",50
"2016-01-31",49
"2016-02-07",48
"2016-02-14",51
"2016-02-21",52
"2016-02-28",50
"2016-03-06",49
"2016-03-13",50
"2016-03-20",51
"2016-03-27",49
"2016-04-03",48
"2016-04-10",46
"2016-04-17",48
"2016-04-24",51
"2016-05-01",49
"2016-05-08",50
"2016-05-15",53
"2016-05-22",50
"2016-05-29",52
"2016-06-05",51
"2016-06-12",55
"2016-06-19",55
"2016-06-26",57
"2016-07-03",56
"2016-07-10",65
"2016-07-17",49
"2016-07-24",52
"2016-07-31",51
"2016-08-07",48
"2016-08-14",49
"2016-08-21",51
"2016-08-28",47
"2016-09-04",38
"2016-09-11",36
"2016-09-18",47
"2016-09-25",52
"2016-10-02",53
"2016-10-09",52
"2016-10-16",56
"2016-10-23",56
"2016-10-30",55
"2016-11-06",51
"2016-11-13",64
"2016-11-20",82
"2016-11-27",85
"2016-12-04",74
"2016-12-11",77
"2016-12-18",75
"2016-12-25",73
"2017-01-01",64
"2017-01-08",60
"2017-01-15",54
"2017-01-22",54
"2017-01-29",52
"2017-02-05",50
"2017-02-12",50
"2017-02-19",53
"2017-02-26",55
"2017-03-05",57
"2017-03-12",54
"2017-03-19",55
"2017-03-26",54
"2017-04-02",55
"2017-04-09",55
"2017-04-16",53
"2017-04-23",56
"2017-04-30",59
"2017-05-07",57
"2017-05-14",55
"2017-05-21",53
"2017-05-28",52
"2017-06-04",55
"2017-06-11",60
"2017-06-18",58
"2017-06-25",56
"2017-07-02",58
"2017-07-09",73
"2017-07-16",59
"2017-07-23",59
"2017-07-30",62
"2017-08-06",58
"2017-08-13",62
"2017-08-20",57
"2017-08-27",62
"2017-09-03",57
"2017-09-10",59
"2017-09-17",59
"2017-09-24",59
"2017-10-01",59
"2017-10-08",64
"2017-10-15",61
"2017-10-22",57
"2017-10-29",54
"2017-11-05",61
"2017-11-12",66
"2017-11-19",83
"2017-11-26",90
"2017-12-03",79
"2017-12-10",84
"2017-12-17",81
"2017-12-24",76
"2017-12-31",67
"2018-01-07",62
"2018-01-14",61
"2018-01-21",61
"2018-01-28",59
"2018-02-04",56
"2018-02-11",55
"2018-02-18",56
"2018-02-25",60
"2018-03-04",59
"2018-03-11",59
"2018-03-18",54
"2018-03-25",59
"2018-04-01",59
"2018-04-08",57
"2018-04-15",53
"2018-04-22",56
"2018-04-29",56
"2018-05-06",55
"2018-05-13",57
"2018-05-20",52
"2018-05-27",51
"2018-06-03",54
"2018-06-10",55
"2018-06-17",57
"2018-06-24",59
"2018-07-01",58
"2018-07-08",62
"2018-07-15",80
"2018-07-22",62
"2018-07-29",67
"2018-08-05",64
"2018-08-12",65
"2018-08-19",68
"2018-08-26",68
"2018-09-02",64
"2018-09-09",67
"2018-09-16",68
"2018-09-23",65
"2018-09-30",66
"2018-10-07",65
"2018-10-14",63
"2018-10-21",68
"2018-10-28",67
"2018-11-04",67
"2018-11-11",71
"2018-11-18",90
