"date","pennsylvania"
"2013-12-01",83
"2013-12-08",76
"2013-12-15",72
"2013-12-22",67
"2013-12-29",58
"2014-01-05",51
"2014-01-12",51
"2014-01-19",49
"2014-01-26",46
"2014-02-02",43
"2014-02-09",45
"2014-02-16",44
"2014-02-23",43
"2014-03-02",45
"2014-03-09",46
"2014-03-16",44
"2014-03-23",46
"2014-03-30",44
"2014-04-06",43
"2014-04-13",44
"2014-04-20",43
"2014-04-27",43
"2014-05-04",44
"2014-05-11",43
"2014-05-18",45
"2014-05-25",45
"2014-06-01",46
"2014-06-08",49
"2014-06-15",52
"2014-06-22",47
"2014-06-29",47
"2014-07-06",48
"2014-07-13",47
"2014-07-20",49
"2014-07-27",51
"2014-08-03",54
"2014-08-10",50
"2014-08-17",52
"2014-08-24",55
"2014-08-31",53
"2014-09-07",50
"2014-09-14",50
"2014-09-21",50
"2014-09-28",49
"2014-10-05",51
"2014-10-12",52
"2014-10-19",51
"2014-10-26",49
"2014-11-02",54
"2014-11-09",56
"2014-11-16",60
"2014-11-23",77
"2014-11-30",85
"2014-12-07",77
"2014-12-14",79
"2014-12-21",71
"2014-12-28",64
"2015-01-04",57
"2015-01-11",57
"2015-01-18",55
"2015-01-25",53
"2015-02-01",51
"2015-02-08",51
"2015-02-15",52
"2015-02-22",50
"2015-03-01",52
"2015-03-08",51
"2015-03-15",50
"2015-03-22",51
"2015-03-29",52
"2015-04-05",51
"2015-04-12",51
"2015-04-19",53
"2015-04-26",50
"2015-05-03",52
"2015-05-10",51
"2015-05-17",52
"2015-05-24",53
"2015-05-31",51
"2015-06-07",53
"2015-06-14",55
"2015-06-21",57
"2015-06-28",55
"2015-07-05",58
"2015-07-12",80
"2015-07-19",57
"2015-07-26",59
"2015-08-02",60
"2015-08-09",59
"2015-08-16",62
"2015-08-23",65
"2015-08-30",60
"2015-09-06",55
"2015-09-13",54
"2015-09-20",55
"2015-09-27",56
"2015-10-04",57
"2015-10-11",58
"2015-10-18",57
"2015-10-25",57
"2015-11-01",59
"2015-11-08",64
"2015-11-15",68
"2015-11-22",94
"2015-11-29",100
"2015-12-06",88
"2015-12-13",91
"2015-12-20",83
"2015-12-27",71
"2016-01-03",52
"2016-01-10",49
"2016-01-17",49
"2016-01-24",47
"2016-01-31",47
"2016-02-07",45
"2016-02-14",46
"2016-02-21",46
"2016-02-28",45
"2016-03-06",46
"2016-03-13",45
"2016-03-20",46
"2016-03-27",45
"2016-04-03",46
"2016-04-10",44
"2016-04-17",44
"2016-04-24",45
"2016-05-01",47
"2016-05-08",46
"2016-05-15",47
"2016-05-22",46
"2016-05-29",46
"2016-06-05",48
"2016-06-12",49
"2016-06-19",48
"2016-06-26",49
"2016-07-03",50
"2016-07-10",62
"2016-07-17",48
"2016-07-24",50
"2016-07-31",51
"2016-08-07",50
"2016-08-14",50
"2016-08-21",55
"2016-08-28",52
"2016-09-04",50
"2016-09-11",49
"2016-09-18",46
"2016-09-25",48
"2016-10-02",49
"2016-10-09",49
"2016-10-16",49
"2016-10-23",51
"2016-10-30",48
"2016-11-06",48
"2016-11-13",56
"2016-11-20",76
"2016-11-27",85
"2016-12-04",77
"2016-12-11",79
"2016-12-18",73
"2016-12-25",72
"2017-01-01",58
"2017-01-08",55
"2017-01-15",54
"2017-01-22",51
"2017-01-29",50
"2017-02-05",49
"2017-02-12",48
"2017-02-19",50
"2017-02-26",52
"2017-03-05",52
"2017-03-12",48
"2017-03-19",51
"2017-03-26",52
"2017-04-02",51
"2017-04-09",50
"2017-04-16",50
"2017-04-23",52
"2017-04-30",53
"2017-05-07",55
"2017-05-14",52
"2017-05-21",51
"2017-05-28",53
"2017-06-04",57
"2017-06-11",58
"2017-06-18",57
"2017-06-25",58
"2017-07-02",57
"2017-07-09",77
"2017-07-16",57
"2017-07-23",60
"2017-07-30",62
"2017-08-06",60
"2017-08-13",62
"2017-08-20",63
"2017-08-27",63
"2017-09-03",59
"2017-09-10",60
"2017-09-17",59
"2017-09-24",58
"2017-10-01",57
"2017-10-08",60
"2017-10-15",62
"2017-10-22",61
"2017-10-29",59
"2017-11-05",64
"2017-11-12",69
"2017-11-19",88
"2017-11-26",95
"2017-12-03",85
"2017-12-10",90
"2017-12-17",85
"2017-12-24",80
"2017-12-31",66
"2018-01-07",63
"2018-01-14",66
"2018-01-21",62
"2018-01-28",59
"2018-02-04",56
"2018-02-11",56
"2018-02-18",57
"2018-02-25",59
"2018-03-04",59
"2018-03-11",57
"2018-03-18",57
"2018-03-25",58
"2018-04-01",56
"2018-04-08",54
"2018-04-15",56
"2018-04-22",56
"2018-04-29",56
"2018-05-06",56
"2018-05-13",57
"2018-05-20",55
"2018-05-27",55
"2018-06-03",58
"2018-06-10",58
"2018-06-17",58
"2018-06-24",59
"2018-07-01",59
"2018-07-08",63
"2018-07-15",88
"2018-07-22",62
"2018-07-29",61
"2018-08-05",62
"2018-08-12",61
"2018-08-19",63
"2018-08-26",62
"2018-09-02",61
"2018-09-09",57
"2018-09-16",55
"2018-09-23",56
"2018-09-30",58
"2018-10-07",56
"2018-10-14",59
"2018-10-21",60
"2018-10-28",58
"2018-11-04",63
"2018-11-11",68
"2018-11-18",87
