"date","south carolina"
"2013-12-01",94
"2013-12-08",90
"2013-12-15",89
"2013-12-22",77
"2013-12-29",67
"2014-01-05",61
"2014-01-12",60
"2014-01-19",52
"2014-01-26",52
"2014-02-02",50
"2014-02-09",51
"2014-02-16",50
"2014-02-23",52
"2014-03-02",54
"2014-03-09",54
"2014-03-16",50
"2014-03-23",51
"2014-03-30",48
"2014-04-06",47
"2014-04-13",51
"2014-04-20",46
"2014-04-27",47
"2014-05-04",51
"2014-05-11",51
"2014-05-18",51
"2014-05-25",53
"2014-06-01",52
"2014-06-08",53
"2014-06-15",52
"2014-06-22",50
"2014-06-29",43
"2014-07-06",49
"2014-07-13",53
"2014-07-20",55
"2014-07-27",56
"2014-08-03",54
"2014-08-10",57
"2014-08-17",57
"2014-08-24",55
"2014-08-31",49
"2014-09-07",49
"2014-09-14",50
"2014-09-21",51
"2014-09-28",53
"2014-10-05",52
"2014-10-12",52
"2014-10-19",54
"2014-10-26",50
"2014-11-02",56
"2014-11-09",59
"2014-11-16",65
"2014-11-23",81
"2014-11-30",86
"2014-12-07",80
"2014-12-14",85
"2014-12-21",83
"2014-12-28",70
"2015-01-04",61
"2015-01-11",61
"2015-01-18",57
"2015-01-25",55
"2015-02-01",54
"2015-02-08",54
"2015-02-15",58
"2015-02-22",57
"2015-03-01",58
"2015-03-08",56
"2015-03-15",53
"2015-03-22",53
"2015-03-29",56
"2015-04-05",52
"2015-04-12",52
"2015-04-19",52
"2015-04-26",51
"2015-05-03",52
"2015-05-10",55
"2015-05-17",57
"2015-05-24",56
"2015-05-31",58
"2015-06-07",58
"2015-06-14",58
"2015-06-21",56
"2015-06-28",51
"2015-07-05",54
"2015-07-12",69
"2015-07-19",55
"2015-07-26",54
"2015-08-02",56
"2015-08-09",57
"2015-08-16",57
"2015-08-23",57
"2015-08-30",55
"2015-09-06",53
"2015-09-13",53
"2015-09-20",54
"2015-09-27",55
"2015-10-04",56
"2015-10-11",59
"2015-10-18",59
"2015-10-25",61
"2015-11-01",64
"2015-11-08",68
"2015-11-15",70
"2015-11-22",96
"2015-11-29",98
"2015-12-06",95
"2015-12-13",97
"2015-12-20",99
"2015-12-27",81
"2016-01-03",56
"2016-01-10",55
"2016-01-17",53
"2016-01-24",51
"2016-01-31",50
"2016-02-07",50
"2016-02-14",53
"2016-02-21",50
"2016-02-28",52
"2016-03-06",51
"2016-03-13",49
"2016-03-20",51
"2016-03-27",53
"2016-04-03",49
"2016-04-10",47
"2016-04-17",49
"2016-04-24",53
"2016-05-01",51
"2016-05-08",52
"2016-05-15",52
"2016-05-22",51
"2016-05-29",53
"2016-06-05",54
"2016-06-12",55
"2016-06-19",55
"2016-06-26",55
"2016-07-03",56
"2016-07-10",68
"2016-07-17",56
"2016-07-24",56
"2016-07-31",57
"2016-08-07",54
"2016-08-14",57
"2016-08-21",58
"2016-08-28",55
"2016-09-04",52
"2016-09-11",51
"2016-09-18",50
"2016-09-25",50
"2016-10-02",47
"2016-10-09",51
"2016-10-16",55
"2016-10-23",53
"2016-10-30",54
"2016-11-06",54
"2016-11-13",61
"2016-11-20",85
"2016-11-27",86
"2016-12-04",80
"2016-12-11",90
"2016-12-18",84
"2016-12-25",77
"2017-01-01",63
"2017-01-08",61
"2017-01-15",60
"2017-01-22",56
"2017-01-29",56
"2017-02-05",54
"2017-02-12",52
"2017-02-19",57
"2017-02-26",59
"2017-03-05",58
"2017-03-12",56
"2017-03-19",57
"2017-03-26",56
"2017-04-02",55
"2017-04-09",57
"2017-04-16",55
"2017-04-23",60
"2017-04-30",63
"2017-05-07",62
"2017-05-14",64
"2017-05-21",58
"2017-05-28",58
"2017-06-04",60
"2017-06-11",65
"2017-06-18",62
"2017-06-25",62
"2017-07-02",64
"2017-07-09",82
"2017-07-16",64
"2017-07-23",65
"2017-07-30",71
"2017-08-06",73
"2017-08-13",71
"2017-08-20",67
"2017-08-27",64
"2017-09-03",59
"2017-09-10",57
"2017-09-17",63
"2017-09-24",57
"2017-10-01",61
"2017-10-08",63
"2017-10-15",66
"2017-10-22",66
"2017-10-29",62
"2017-11-05",69
"2017-11-12",73
"2017-11-19",94
"2017-11-26",99
"2017-12-03",91
"2017-12-10",100
"2017-12-17",94
"2017-12-24",87
"2017-12-31",75
"2018-01-07",66
"2018-01-14",67
"2018-01-21",64
"2018-01-28",65
"2018-02-04",63
"2018-02-11",63
"2018-02-18",61
"2018-02-25",66
"2018-03-04",65
"2018-03-11",64
"2018-03-18",63
"2018-03-25",64
"2018-04-01",64
"2018-04-08",60
"2018-04-15",59
"2018-04-22",63
"2018-04-29",61
"2018-05-06",66
"2018-05-13",63
"2018-05-20",62
"2018-05-27",64
"2018-06-03",61
"2018-06-10",63
"2018-06-17",65
"2018-06-24",66
"2018-07-01",67
"2018-07-08",71
"2018-07-15",96
"2018-07-22",70
"2018-07-29",70
"2018-08-05",71
"2018-08-12",70
"2018-08-19",69
"2018-08-26",68
"2018-09-02",63
"2018-09-09",53
"2018-09-16",65
"2018-09-23",60
"2018-09-30",62
"2018-10-07",61
"2018-10-14",66
"2018-10-21",64
"2018-10-28",64
"2018-11-04",68
"2018-11-11",77
"2018-11-18",96
