"date","south dakota"
"2013-12-01",86
"2013-12-08",64
"2013-12-15",68
"2013-12-22",64
"2013-12-29",57
"2014-01-05",56
"2014-01-12",51
"2014-01-19",50
"2014-01-26",48
"2014-02-02",42
"2014-02-09",46
"2014-02-16",46
"2014-02-23",47
"2014-03-02",42
"2014-03-09",51
"2014-03-16",44
"2014-03-23",48
"2014-03-30",48
"2014-04-06",48
"2014-04-13",44
"2014-04-20",49
"2014-04-27",50
"2014-05-04",50
"2014-05-11",43
"2014-05-18",49
"2014-05-25",54
"2014-06-01",47
"2014-06-08",48
"2014-06-15",47
"2014-06-22",48
"2014-06-29",49
"2014-07-06",55
"2014-07-13",53
"2014-07-20",53
"2014-07-27",53
"2014-08-03",55
"2014-08-10",53
"2014-08-17",60
"2014-08-24",59
"2014-08-31",47
"2014-09-07",47
"2014-09-14",49
"2014-09-21",53
"2014-09-28",45
"2014-10-05",53
"2014-10-12",55
"2014-10-19",55
"2014-10-26",53
"2014-11-02",52
"2014-11-09",55
"2014-11-16",57
"2014-11-23",91
"2014-11-30",87
"2014-12-07",77
"2014-12-14",72
"2014-12-21",66
"2014-12-28",73
"2015-01-04",62
"2015-01-11",58
"2015-01-18",57
"2015-01-25",56
"2015-02-01",53
"2015-02-08",50
"2015-02-15",57
"2015-02-22",50
"2015-03-01",57
"2015-03-08",48
"2015-03-15",53
"2015-03-22",50
"2015-03-29",56
"2015-04-05",50
"2015-04-12",57
"2015-04-19",54
"2015-04-26",47
"2015-05-03",53
"2015-05-10",50
"2015-05-17",49
"2015-05-24",56
"2015-05-31",56
"2015-06-07",56
"2015-06-14",62
"2015-06-21",56
"2015-06-28",57
"2015-07-05",58
"2015-07-12",80
"2015-07-19",54
"2015-07-26",61
"2015-08-02",65
"2015-08-09",67
"2015-08-16",68
"2015-08-23",67
"2015-08-30",64
"2015-09-06",56
"2015-09-13",58
"2015-09-20",60
"2015-09-27",58
"2015-10-04",53
"2015-10-11",57
"2015-10-18",56
"2015-10-25",58
"2015-11-01",65
"2015-11-08",66
"2015-11-15",69
"2015-11-22",100
"2015-11-29",100
"2015-12-06",85
"2015-12-13",84
"2015-12-20",80
"2015-12-27",76
"2016-01-03",52
"2016-01-10",49
"2016-01-17",51
"2016-01-24",47
"2016-01-31",47
"2016-02-07",49
"2016-02-14",49
"2016-02-21",47
"2016-02-28",48
"2016-03-06",46
"2016-03-13",45
"2016-03-20",48
"2016-03-27",42
"2016-04-03",42
"2016-04-10",49
"2016-04-17",51
"2016-04-24",49
"2016-05-01",48
"2016-05-08",47
"2016-05-15",47
"2016-05-22",52
"2016-05-29",48
"2016-06-05",50
"2016-06-12",47
"2016-06-19",49
"2016-06-26",47
"2016-07-03",50
"2016-07-10",62
"2016-07-17",52
"2016-07-24",52
"2016-07-31",53
"2016-08-07",51
"2016-08-14",50
"2016-08-21",57
"2016-08-28",53
"2016-09-04",46
"2016-09-11",46
"2016-09-18",46
"2016-09-25",42
"2016-10-02",48
"2016-10-09",45
"2016-10-16",55
"2016-10-23",52
"2016-10-30",46
"2016-11-06",46
"2016-11-13",55
"2016-11-20",83
"2016-11-27",90
"2016-12-04",79
"2016-12-11",81
"2016-12-18",72
"2016-12-25",66
"2017-01-01",64
"2017-01-08",60
"2017-01-15",51
"2017-01-22",54
"2017-01-29",53
"2017-02-05",50
"2017-02-12",46
"2017-02-19",49
"2017-02-26",48
"2017-03-05",50
"2017-03-12",48
"2017-03-19",52
"2017-03-26",51
"2017-04-02",52
"2017-04-09",48
"2017-04-16",51
"2017-04-23",52
"2017-04-30",57
"2017-05-07",62
"2017-05-14",63
"2017-05-21",52
"2017-05-28",57
"2017-06-04",52
"2017-06-11",57
"2017-06-18",56
"2017-06-25",53
"2017-07-02",50
"2017-07-09",70
"2017-07-16",55
"2017-07-23",62
"2017-07-30",69
"2017-08-06",62
"2017-08-13",60
"2017-08-20",63
"2017-08-27",54
"2017-09-03",56
"2017-09-10",53
"2017-09-17",56
"2017-09-24",52
"2017-10-01",60
"2017-10-08",57
"2017-10-15",57
"2017-10-22",61
"2017-10-29",63
"2017-11-05",63
"2017-11-12",71
"2017-11-19",90
"2017-11-26",94
"2017-12-03",90
"2017-12-10",85
"2017-12-17",87
"2017-12-24",78
"2017-12-31",69
"2018-01-07",67
"2018-01-14",65
"2018-01-21",66
"2018-01-28",60
"2018-02-04",60
"2018-02-11",58
"2018-02-18",56
"2018-02-25",67
"2018-03-04",66
"2018-03-11",52
"2018-03-18",58
"2018-03-25",60
"2018-04-01",57
"2018-04-08",59
"2018-04-15",58
"2018-04-22",54
"2018-04-29",50
"2018-05-06",58
"2018-05-13",51
"2018-05-20",55
"2018-05-27",55
"2018-06-03",55
"2018-06-10",57
"2018-06-17",60
"2018-06-24",60
"2018-07-01",57
"2018-07-08",65
"2018-07-15",90
"2018-07-22",61
"2018-07-29",59
"2018-08-05",64
"2018-08-12",62
"2018-08-19",65
"2018-08-26",59
"2018-09-02",52
"2018-09-09",56
"2018-09-16",54
"2018-09-23",49
"2018-09-30",56
"2018-10-07",61
"2018-10-14",54
"2018-10-21",61
"2018-10-28",55
"2018-11-04",59
"2018-11-11",73
"2018-11-18",95
