"date","tennessee"
"2013-12-01",95
"2013-12-08",86
"2013-12-15",84
"2013-12-22",81
"2013-12-29",70
"2014-01-05",59
"2014-01-12",58
"2014-01-19",56
"2014-01-26",49
"2014-02-02",49
"2014-02-09",51
"2014-02-16",53
"2014-02-23",51
"2014-03-02",49
"2014-03-09",48
"2014-03-16",47
"2014-03-23",48
"2014-03-30",45
"2014-04-06",48
"2014-04-13",44
"2014-04-20",45
"2014-04-27",47
"2014-05-04",48
"2014-05-11",50
"2014-05-18",50
"2014-05-25",51
"2014-06-01",51
"2014-06-08",53
"2014-06-15",55
"2014-06-22",51
"2014-06-29",49
"2014-07-06",50
"2014-07-13",52
"2014-07-20",53
"2014-07-27",56
"2014-08-03",56
"2014-08-10",56
"2014-08-17",57
"2014-08-24",60
"2014-08-31",53
"2014-09-07",53
"2014-09-14",53
"2014-09-21",53
"2014-09-28",53
"2014-10-05",54
"2014-10-12",56
"2014-10-19",56
"2014-10-26",57
"2014-11-02",57
"2014-11-09",61
"2014-11-16",66
"2014-11-23",84
"2014-11-30",90
"2014-12-07",85
"2014-12-14",90
"2014-12-21",76
"2014-12-28",68
"2015-01-04",62
"2015-01-11",60
"2015-01-18",59
"2015-01-25",58
"2015-02-01",57
"2015-02-08",57
"2015-02-15",56
"2015-02-22",56
"2015-03-01",53
"2015-03-08",53
"2015-03-15",52
"2015-03-22",53
"2015-03-29",54
"2015-04-05",49
"2015-04-12",51
"2015-04-19",51
"2015-04-26",50
"2015-05-03",51
"2015-05-10",50
"2015-05-17",54
"2015-05-24",54
"2015-05-31",54
"2015-06-07",55
"2015-06-14",56
"2015-06-21",56
"2015-06-28",57
"2015-07-05",61
"2015-07-12",80
"2015-07-19",61
"2015-07-26",60
"2015-08-02",63
"2015-08-09",63
"2015-08-16",67
"2015-08-23",64
"2015-08-30",60
"2015-09-06",58
"2015-09-13",57
"2015-09-20",58
"2015-09-27",58
"2015-10-04",57
"2015-10-11",59
"2015-10-18",60
"2015-10-25",60
"2015-11-01",63
"2015-11-08",67
"2015-11-15",72
"2015-11-22",98
"2015-11-29",100
"2015-12-06",93
"2015-12-13",99
"2015-12-20",89
"2015-12-27",73
"2016-01-03",55
"2016-01-10",52
"2016-01-17",53
"2016-01-24",52
"2016-01-31",50
"2016-02-07",51
"2016-02-14",50
"2016-02-21",50
"2016-02-28",48
"2016-03-06",47
"2016-03-13",47
"2016-03-20",51
"2016-03-27",48
"2016-04-03",49
"2016-04-10",48
"2016-04-17",47
"2016-04-24",48
"2016-05-01",48
"2016-05-08",49
"2016-05-15",51
"2016-05-22",51
"2016-05-29",51
"2016-06-05",52
"2016-06-12",52
"2016-06-19",52
"2016-06-26",52
"2016-07-03",52
"2016-07-10",64
"2016-07-17",52
"2016-07-24",53
"2016-07-31",55
"2016-08-07",51
"2016-08-14",55
"2016-08-21",54
"2016-08-28",52
"2016-09-04",50
"2016-09-11",49
"2016-09-18",49
"2016-09-25",50
"2016-10-02",50
"2016-10-09",53
"2016-10-16",54
"2016-10-23",50
"2016-10-30",48
"2016-11-06",53
"2016-11-13",60
"2016-11-20",83
"2016-11-27",83
"2016-12-04",79
"2016-12-11",82
"2016-12-18",80
"2016-12-25",74
"2017-01-01",65
"2017-01-08",61
"2017-01-15",59
"2017-01-22",54
"2017-01-29",56
"2017-02-05",54
"2017-02-12",53
"2017-02-19",56
"2017-02-26",57
"2017-03-05",56
"2017-03-12",56
"2017-03-19",53
"2017-03-26",53
"2017-04-02",54
"2017-04-09",56
"2017-04-16",54
"2017-04-23",57
"2017-04-30",59
"2017-05-07",62
"2017-05-14",57
"2017-05-21",58
"2017-05-28",57
"2017-06-04",58
"2017-06-11",61
"2017-06-18",61
"2017-06-25",59
"2017-07-02",62
"2017-07-09",78
"2017-07-16",61
"2017-07-23",62
"2017-07-30",64
"2017-08-06",65
"2017-08-13",64
"2017-08-20",62
"2017-08-27",63
"2017-09-03",58
"2017-09-10",60
"2017-09-17",60
"2017-09-24",61
"2017-10-01",59
"2017-10-08",61
"2017-10-15",65
"2017-10-22",64
"2017-10-29",60
"2017-11-05",66
"2017-11-12",73
"2017-11-19",91
"2017-11-26",95
"2017-12-03",86
"2017-12-10",98
"2017-12-17",93
"2017-12-24",85
"2017-12-31",70
"2018-01-07",67
"2018-01-14",70
"2018-01-21",63
"2018-01-28",64
"2018-02-04",63
"2018-02-11",58
"2018-02-18",60
"2018-02-25",65
"2018-03-04",64
"2018-03-11",59
"2018-03-18",62
"2018-03-25",60
"2018-04-01",60
"2018-04-08",59
"2018-04-15",58
"2018-04-22",59
"2018-04-29",57
"2018-05-06",59
"2018-05-13",60
"2018-05-20",59
"2018-05-27",61
"2018-06-03",59
"2018-06-10",61
"2018-06-17",60
"2018-06-24",62
"2018-07-01",61
"2018-07-08",67
"2018-07-15",88
"2018-07-22",63
"2018-07-29",65
"2018-08-05",64
"2018-08-12",62
"2018-08-19",64
"2018-08-26",63
"2018-09-02",61
"2018-09-09",60
"2018-09-16",59
"2018-09-23",58
"2018-09-30",61
"2018-10-07",63
"2018-10-14",63
"2018-10-21",64
"2018-10-28",62
"2018-11-04",68
"2018-11-11",82
"2018-11-18",92
