"date","texas"
"2013-12-01",84
"2013-12-08",76
"2013-12-15",76
"2013-12-22",72
"2013-12-29",60
"2014-01-05",56
"2014-01-12",57
"2014-01-19",54
"2014-01-26",51
"2014-02-02",51
"2014-02-09",50
"2014-02-16",49
"2014-02-23",51
"2014-03-02",49
"2014-03-09",53
"2014-03-16",50
"2014-03-23",51
"2014-03-30",50
"2014-04-06",49
"2014-04-13",50
"2014-04-20",51
"2014-04-27",51
"2014-05-04",50
"2014-05-11",49
"2014-05-18",52
"2014-05-25",53
"2014-06-01",53
"2014-06-08",53
"2014-06-15",56
"2014-06-22",52
"2014-06-29",51
"2014-07-06",53
"2014-07-13",55
"2014-07-20",56
"2014-07-27",56
"2014-08-03",58
"2014-08-10",58
"2014-08-17",59
"2014-08-24",59
"2014-08-31",59
"2014-09-07",57
"2014-09-14",58
"2014-09-21",56
"2014-09-28",54
"2014-10-05",55
"2014-10-12",56
"2014-10-19",57
"2014-10-26",54
"2014-11-02",59
"2014-11-09",61
"2014-11-16",66
"2014-11-23",84
"2014-11-30",87
"2014-12-07",83
"2014-12-14",89
"2014-12-21",82
"2014-12-28",75
"2015-01-04",64
"2015-01-11",62
"2015-01-18",62
"2015-01-25",59
"2015-02-01",59
"2015-02-08",57
"2015-02-15",58
"2015-02-22",59
"2015-03-01",58
"2015-03-08",58
"2015-03-15",57
"2015-03-22",58
"2015-03-29",60
"2015-04-05",56
"2015-04-12",57
"2015-04-19",55
"2015-04-26",55
"2015-05-03",56
"2015-05-10",56
"2015-05-17",57
"2015-05-24",56
"2015-05-31",60
"2015-06-07",59
"2015-06-14",58
"2015-06-21",59
"2015-06-28",56
"2015-07-05",59
"2015-07-12",80
"2015-07-19",60
"2015-07-26",58
"2015-08-02",61
"2015-08-09",62
"2015-08-16",63
"2015-08-23",65
"2015-08-30",59
"2015-09-06",56
"2015-09-13",55
"2015-09-20",57
"2015-09-27",56
"2015-10-04",57
"2015-10-11",59
"2015-10-18",61
"2015-10-25",59
"2015-11-01",61
"2015-11-08",61
"2015-11-15",66
"2015-11-22",88
"2015-11-29",91
"2015-12-06",85
"2015-12-13",92
"2015-12-20",87
"2015-12-27",75
"2016-01-03",58
"2016-01-10",53
"2016-01-17",57
"2016-01-24",54
"2016-01-31",52
"2016-02-07",50
"2016-02-14",51
"2016-02-21",52
"2016-02-28",49
"2016-03-06",52
"2016-03-13",52
"2016-03-20",50
"2016-03-27",50
"2016-04-03",51
"2016-04-10",50
"2016-04-17",50
"2016-04-24",50
"2016-05-01",51
"2016-05-08",51
"2016-05-15",53
"2016-05-22",53
"2016-05-29",54
"2016-06-05",55
"2016-06-12",55
"2016-06-19",54
"2016-06-26",56
"2016-07-03",54
"2016-07-10",66
"2016-07-17",56
"2016-07-24",57
"2016-07-31",56
"2016-08-07",54
"2016-08-14",56
"2016-08-21",59
"2016-08-28",56
"2016-09-04",55
"2016-09-11",53
"2016-09-18",53
"2016-09-25",52
"2016-10-02",53
"2016-10-09",53
"2016-10-16",56
"2016-10-23",55
"2016-10-30",52
"2016-11-06",53
"2016-11-13",61
"2016-11-20",79
"2016-11-27",85
"2016-12-04",78
"2016-12-11",81
"2016-12-18",79
"2016-12-25",75
"2017-01-01",65
"2017-01-08",63
"2017-01-15",61
"2017-01-22",57
"2017-01-29",56
"2017-02-05",55
"2017-02-12",54
"2017-02-19",56
"2017-02-26",59
"2017-03-05",56
"2017-03-12",57
"2017-03-19",55
"2017-03-26",57
"2017-04-02",57
"2017-04-09",57
"2017-04-16",58
"2017-04-23",60
"2017-04-30",62
"2017-05-07",63
"2017-05-14",62
"2017-05-21",62
"2017-05-28",64
"2017-06-04",62
"2017-06-11",64
"2017-06-18",64
"2017-06-25",64
"2017-07-02",64
"2017-07-09",83
"2017-07-16",66
"2017-07-23",65
"2017-07-30",70
"2017-08-06",66
"2017-08-13",66
"2017-08-20",65
"2017-08-27",59
"2017-09-03",61
"2017-09-10",62
"2017-09-17",63
"2017-09-24",64
"2017-10-01",59
"2017-10-08",64
"2017-10-15",69
"2017-10-22",70
"2017-10-29",63
"2017-11-05",68
"2017-11-12",74
"2017-11-19",95
"2017-11-26",100
"2017-12-03",91
"2017-12-10",95
"2017-12-17",94
"2017-12-24",86
"2017-12-31",76
"2018-01-07",72
"2018-01-14",76
"2018-01-21",69
"2018-01-28",71
"2018-02-04",67
"2018-02-11",65
"2018-02-18",66
"2018-02-25",68
"2018-03-04",67
"2018-03-11",67
"2018-03-18",65
"2018-03-25",67
"2018-04-01",65
"2018-04-08",63
"2018-04-15",63
"2018-04-22",64
"2018-04-29",64
"2018-05-06",65
"2018-05-13",64
"2018-05-20",62
"2018-05-27",64
"2018-06-03",68
"2018-06-10",67
"2018-06-17",64
"2018-06-24",69
"2018-07-01",67
"2018-07-08",73
"2018-07-15",100
"2018-07-22",70
"2018-07-29",70
"2018-08-05",73
"2018-08-12",70
"2018-08-19",70
"2018-08-26",67
"2018-09-02",67
"2018-09-09",66
"2018-09-16",64
"2018-09-23",63
"2018-09-30",67
"2018-10-07",66
"2018-10-14",66
"2018-10-21",64
"2018-10-28",63
"2018-11-04",68
"2018-11-11",75
"2018-11-18",90
