"date","utah"
"2013-12-01",87
"2013-12-08",80
"2013-12-15",81
"2013-12-22",79
"2013-12-29",63
"2014-01-05",60
"2014-01-12",53
"2014-01-19",56
"2014-01-26",50
"2014-02-02",48
"2014-02-09",49
"2014-02-16",46
"2014-02-23",53
"2014-03-02",49
"2014-03-09",54
"2014-03-16",50
"2014-03-23",50
"2014-03-30",56
"2014-04-06",52
"2014-04-13",49
"2014-04-20",51
"2014-04-27",51
"2014-05-04",56
"2014-05-11",50
"2014-05-18",50
"2014-05-25",48
"2014-06-01",51
"2014-06-08",57
"2014-06-15",60
"2014-06-22",54
"2014-06-29",53
"2014-07-06",53
"2014-07-13",55
"2014-07-20",54
"2014-07-27",56
"2014-08-03",60
"2014-08-10",59
"2014-08-17",57
"2014-08-24",61
"2014-08-31",58
"2014-09-07",52
"2014-09-14",52
"2014-09-21",54
"2014-09-28",56
"2014-10-05",55
"2014-10-12",56
"2014-10-19",58
"2014-10-26",53
"2014-11-02",62
"2014-11-09",64
"2014-11-16",68
"2014-11-23",88
"2014-11-30",89
"2014-12-07",80
"2014-12-14",84
"2014-12-21",75
"2014-12-28",67
"2015-01-04",60
"2015-01-11",60
"2015-01-18",56
"2015-01-25",55
"2015-02-01",55
"2015-02-08",52
"2015-02-15",55
"2015-02-22",56
"2015-03-01",54
"2015-03-08",54
"2015-03-15",52
"2015-03-22",53
"2015-03-29",55
"2015-04-05",54
"2015-04-12",51
"2015-04-19",54
"2015-04-26",54
"2015-05-03",57
"2015-05-10",53
"2015-05-17",53
"2015-05-24",56
"2015-05-31",55
"2015-06-07",59
"2015-06-14",62
"2015-06-21",57
"2015-06-28",57
"2015-07-05",59
"2015-07-12",85
"2015-07-19",64
"2015-07-26",65
"2015-08-02",62
"2015-08-09",62
"2015-08-16",63
"2015-08-23",64
"2015-08-30",63
"2015-09-06",59
"2015-09-13",55
"2015-09-20",58
"2015-09-27",58
"2015-10-04",59
"2015-10-11",60
"2015-10-18",62
"2015-10-25",57
"2015-11-01",61
"2015-11-08",66
"2015-11-15",68
"2015-11-22",92
"2015-11-29",100
"2015-12-06",89
"2015-12-13",89
"2015-12-20",90
"2015-12-27",79
"2016-01-03",59
"2016-01-10",55
"2016-01-17",54
"2016-01-24",51
"2016-01-31",52
"2016-02-07",50
"2016-02-14",51
"2016-02-21",49
"2016-02-28",50
"2016-03-06",50
"2016-03-13",48
"2016-03-20",46
"2016-03-27",49
"2016-04-03",49
"2016-04-10",48
"2016-04-17",49
"2016-04-24",49
"2016-05-01",53
"2016-05-08",51
"2016-05-15",49
"2016-05-22",49
"2016-05-29",51
"2016-06-05",52
"2016-06-12",54
"2016-06-19",50
"2016-06-26",55
"2016-07-03",54
"2016-07-10",64
"2016-07-17",52
"2016-07-24",56
"2016-07-31",56
"2016-08-07",52
"2016-08-14",56
"2016-08-21",58
"2016-08-28",55
"2016-09-04",51
"2016-09-11",52
"2016-09-18",49
"2016-09-25",49
"2016-10-02",53
"2016-10-09",50
"2016-10-16",53
"2016-10-23",50
"2016-10-30",51
"2016-11-06",50
"2016-11-13",62
"2016-11-20",83
"2016-11-27",85
"2016-12-04",79
"2016-12-11",80
"2016-12-18",74
"2016-12-25",71
"2017-01-01",61
"2017-01-08",59
"2017-01-15",56
"2017-01-22",54
"2017-01-29",50
"2017-02-05",50
"2017-02-12",50
"2017-02-19",51
"2017-02-26",54
"2017-03-05",51
"2017-03-12",49
"2017-03-19",49
"2017-03-26",52
"2017-04-02",53
"2017-04-09",50
"2017-04-16",50
"2017-04-23",56
"2017-04-30",58
"2017-05-07",56
"2017-05-14",52
"2017-05-21",52
"2017-05-28",55
"2017-06-04",57
"2017-06-11",59
"2017-06-18",56
"2017-06-25",59
"2017-07-02",56
"2017-07-09",73
"2017-07-16",56
"2017-07-23",57
"2017-07-30",61
"2017-08-06",59
"2017-08-13",62
"2017-08-20",56
"2017-08-27",59
"2017-09-03",55
"2017-09-10",57
"2017-09-17",56
"2017-09-24",58
"2017-10-01",57
"2017-10-08",59
"2017-10-15",61
"2017-10-22",59
"2017-10-29",56
"2017-11-05",63
"2017-11-12",68
"2017-11-19",86
"2017-11-26",94
"2017-12-03",84
"2017-12-10",84
"2017-12-17",84
"2017-12-24",76
"2017-12-31",63
"2018-01-07",63
"2018-01-14",62
"2018-01-21",59
"2018-01-28",56
"2018-02-04",55
"2018-02-11",53
"2018-02-18",58
"2018-02-25",56
"2018-03-04",58
"2018-03-11",56
"2018-03-18",56
"2018-03-25",53
"2018-04-01",52
"2018-04-08",51
"2018-04-15",51
"2018-04-22",55
"2018-04-29",55
"2018-05-06",56
"2018-05-13",54
"2018-05-20",54
"2018-05-27",54
"2018-06-03",56
"2018-06-10",56
"2018-06-17",54
"2018-06-24",58
"2018-07-01",53
"2018-07-08",59
"2018-07-15",80
"2018-07-22",55
"2018-07-29",61
"2018-08-05",60
"2018-08-12",61
"2018-08-19",60
"2018-08-26",58
"2018-09-02",57
"2018-09-09",54
"2018-09-16",55
"2018-09-23",57
"2018-09-30",56
"2018-10-07",53
"2018-10-14",56
"2018-10-21",57
"2018-10-28",53
"2018-11-04",60
"2018-11-11",65
"2018-11-18",84
