"date","VA"
"2013-12-01",82
"2013-12-08",76
"2013-12-15",74
"2013-12-22",71
"2013-12-29",61
"2014-01-05",52
"2014-01-12",50
"2014-01-19",50
"2014-01-26",47
"2014-02-02",47
"2014-02-09",47
"2014-02-16",47
"2014-02-23",48
"2014-03-02",50
"2014-03-09",50
"2014-03-16",46
"2014-03-23",47
"2014-03-30",43
"2014-04-06",39
"2014-04-13",40
"2014-04-20",39
"2014-04-27",39
"2014-05-04",39
"2014-05-11",38
"2014-05-18",39
"2014-05-25",39
"2014-06-01",40
"2014-06-08",42
"2014-06-15",46
"2014-06-22",41
"2014-06-29",42
"2014-07-06",35
"2014-07-13",30
"2014-07-20",31
"2014-07-27",32
"2014-08-03",32
"2014-08-10",32
"2014-08-17",34
"2014-08-24",34
"2014-08-31",32
"2014-09-07",31
"2014-09-14",32
"2014-09-21",32
"2014-09-28",33
"2014-10-05",35
"2014-10-12",32
"2014-10-19",33
"2014-10-26",30
"2014-11-02",31
"2014-11-09",34
"2014-11-16",36
"2014-11-23",44
"2014-11-30",49
"2014-12-07",45
"2014-12-14",45
"2014-12-21",39
"2014-12-28",34
"2015-01-04",32
"2015-01-11",30
"2015-01-18",30
"2015-01-25",28
"2015-02-01",28
"2015-02-08",26
"2015-02-15",27
"2015-02-22",26
"2015-03-01",26
"2015-03-08",25
"2015-03-15",24
"2015-03-22",25
"2015-03-29",26
"2015-04-05",25
"2015-04-12",25
"2015-04-19",27
"2015-04-26",26
"2015-05-03",31
"2015-05-10",28
"2015-05-17",27
"2015-05-24",28
"2015-05-31",29
"2015-06-07",29
"2015-06-14",28
"2015-06-21",35
"2015-06-28",58
"2015-07-05",58
"2015-07-12",84
"2015-07-19",62
"2015-07-26",62
"2015-08-02",62
"2015-08-09",63
"2015-08-16",66
"2015-08-23",66
"2015-08-30",63
"2015-09-06",58
"2015-09-13",57
"2015-09-20",62
"2015-09-27",61
"2015-10-04",60
"2015-10-11",61
"2015-10-18",63
"2015-10-25",61
"2015-11-01",61
"2015-11-08",66
"2015-11-15",70
"2015-11-22",95
"2015-11-29",100
"2015-12-06",92
"2015-12-13",95
"2015-12-20",90
"2015-12-27",75
"2016-01-03",57
"2016-01-10",54
"2016-01-17",54
"2016-01-24",52
"2016-01-31",52
"2016-02-07",52
"2016-02-14",50
"2016-02-21",50
"2016-02-28",50
"2016-03-06",48
"2016-03-13",47
"2016-03-20",49
"2016-03-27",50
"2016-04-03",50
"2016-04-10",50
"2016-04-17",49
"2016-04-24",51
"2016-05-01",52
"2016-05-08",51
"2016-05-15",53
"2016-05-22",51
"2016-05-29",52
"2016-06-05",52
"2016-06-12",51
"2016-06-19",53
"2016-06-26",53
"2016-07-03",54
"2016-07-10",65
"2016-07-17",52
"2016-07-24",53
"2016-07-31",54
"2016-08-07",52
"2016-08-14",53
"2016-08-21",59
"2016-08-28",57
"2016-09-04",52
"2016-09-11",52
"2016-09-18",52
"2016-09-25",50
"2016-10-02",51
"2016-10-09",51
"2016-10-16",51
"2016-10-23",52
"2016-10-30",48
"2016-11-06",49
"2016-11-13",59
"2016-11-20",78
"2016-11-27",83
"2016-12-04",77
"2016-12-11",79
"2016-12-18",80
"2016-12-25",73
"2017-01-01",61
"2017-01-08",58
"2017-01-15",54
"2017-01-22",53
"2017-01-29",52
"2017-02-05",51
"2017-02-12",50
"2017-02-19",53
"2017-02-26",53
"2017-03-05",52
"2017-03-12",51
"2017-03-19",52
"2017-03-26",53
"2017-04-02",52
"2017-04-09",52
"2017-04-16",52
"2017-04-23",55
"2017-04-30",56
"2017-05-07",59
"2017-05-14",54
"2017-05-21",54
"2017-05-28",55
"2017-06-04",55
"2017-06-11",59
"2017-06-18",58
"2017-06-25",57
"2017-07-02",59
"2017-07-09",78
"2017-07-16",62
"2017-07-23",63
"2017-07-30",65
"2017-08-06",63
"2017-08-13",63
"2017-08-20",62
"2017-08-27",66
"2017-09-03",61
"2017-09-10",61
"2017-09-17",60
"2017-09-24",60
"2017-10-01",59
"2017-10-08",62
"2017-10-15",62
"2017-10-22",63
"2017-10-29",59
"2017-11-05",64
"2017-11-12",69
"2017-11-19",87
"2017-11-26",91
"2017-12-03",82
"2017-12-10",88
"2017-12-17",90
"2017-12-24",83
"2017-12-31",71
"2018-01-07",67
"2018-01-14",68
"2018-01-21",63
"2018-01-28",64
"2018-02-04",63
"2018-02-11",59
"2018-02-18",60
"2018-02-25",63
"2018-03-04",63
"2018-03-11",58
"2018-03-18",60
"2018-03-25",60
"2018-04-01",62
"2018-04-08",56
"2018-04-15",59
"2018-04-22",60
"2018-04-29",59
"2018-05-06",61
"2018-05-13",61
"2018-05-20",61
"2018-05-27",59
"2018-06-03",60
"2018-06-10",62
"2018-06-17",62
"2018-06-24",63
"2018-07-01",63
"2018-07-08",66
"2018-07-15",93
"2018-07-22",67
"2018-07-29",67
"2018-08-05",67
"2018-08-12",70
"2018-08-19",69
"2018-08-26",66
"2018-09-02",65
"2018-09-09",63
"2018-09-16",63
"2018-09-23",61
"2018-09-30",63
"2018-10-07",61
"2018-10-14",62
"2018-10-21",65
"2018-10-28",62
"2018-11-04",70
"2018-11-11",81
"2018-11-18",91
