"date","west virginia"
"2013-12-01",85
"2013-12-08",78
"2013-12-15",78
"2013-12-22",74
"2013-12-29",64
"2014-01-05",54
"2014-01-12",49
"2014-01-19",47
"2014-01-26",49
"2014-02-02",46
"2014-02-09",48
"2014-02-16",45
"2014-02-23",43
"2014-03-02",52
"2014-03-09",46
"2014-03-16",45
"2014-03-23",43
"2014-03-30",48
"2014-04-06",42
"2014-04-13",45
"2014-04-20",46
"2014-04-27",45
"2014-05-04",39
"2014-05-11",40
"2014-05-18",42
"2014-05-25",43
"2014-06-01",41
"2014-06-08",51
"2014-06-15",50
"2014-06-22",47
"2014-06-29",46
"2014-07-06",51
"2014-07-13",49
"2014-07-20",51
"2014-07-27",52
"2014-08-03",52
"2014-08-10",56
"2014-08-17",52
"2014-08-24",51
"2014-08-31",54
"2014-09-07",48
"2014-09-14",49
"2014-09-21",50
"2014-09-28",49
"2014-10-05",49
"2014-10-12",48
"2014-10-19",52
"2014-10-26",51
"2014-11-02",56
"2014-11-09",61
"2014-11-16",65
"2014-11-23",80
"2014-11-30",84
"2014-12-07",77
"2014-12-14",78
"2014-12-21",74
"2014-12-28",65
"2015-01-04",58
"2015-01-11",54
"2015-01-18",54
"2015-01-25",53
"2015-02-01",54
"2015-02-08",59
"2015-02-15",54
"2015-02-22",51
"2015-03-01",56
"2015-03-08",52
"2015-03-15",51
"2015-03-22",54
"2015-03-29",53
"2015-04-05",48
"2015-04-12",54
"2015-04-19",51
"2015-04-26",51
"2015-05-03",45
"2015-05-10",48
"2015-05-17",53
"2015-05-24",48
"2015-05-31",53
"2015-06-07",51
"2015-06-14",56
"2015-06-21",56
"2015-06-28",58
"2015-07-05",62
"2015-07-12",76
"2015-07-19",59
"2015-07-26",57
"2015-08-02",60
"2015-08-09",55
"2015-08-16",62
"2015-08-23",54
"2015-08-30",58
"2015-09-06",50
"2015-09-13",53
"2015-09-20",53
"2015-09-27",56
"2015-10-04",53
"2015-10-11",60
"2015-10-18",56
"2015-10-25",54
"2015-11-01",57
"2015-11-08",62
"2015-11-15",64
"2015-11-22",100
"2015-11-29",98
"2015-12-06",92
"2015-12-13",86
"2015-12-20",77
"2015-12-27",72
"2016-01-03",53
"2016-01-10",49
"2016-01-17",46
"2016-01-24",48
"2016-01-31",44
"2016-02-07",47
"2016-02-14",46
"2016-02-21",46
"2016-02-28",46
"2016-03-06",45
"2016-03-13",43
"2016-03-20",43
"2016-03-27",46
"2016-04-03",43
"2016-04-10",42
"2016-04-17",42
"2016-04-24",43
"2016-05-01",46
"2016-05-08",45
"2016-05-15",45
"2016-05-22",42
"2016-05-29",44
"2016-06-05",46
"2016-06-12",45
"2016-06-19",48
"2016-06-26",50
"2016-07-03",55
"2016-07-10",60
"2016-07-17",48
"2016-07-24",48
"2016-07-31",48
"2016-08-07",51
"2016-08-14",53
"2016-08-21",50
"2016-08-28",46
"2016-09-04",52
"2016-09-11",47
"2016-09-18",45
"2016-09-25",46
"2016-10-02",42
"2016-10-09",47
"2016-10-16",45
"2016-10-23",48
"2016-10-30",43
"2016-11-06",49
"2016-11-13",57
"2016-11-20",80
"2016-11-27",77
"2016-12-04",75
"2016-12-11",69
"2016-12-18",74
"2016-12-25",69
"2017-01-01",58
"2017-01-08",56
"2017-01-15",50
"2017-01-22",50
"2017-01-29",51
"2017-02-05",48
"2017-02-12",47
"2017-02-19",50
"2017-02-26",56
"2017-03-05",51
"2017-03-12",49
"2017-03-19",47
"2017-03-26",50
"2017-04-02",50
"2017-04-09",50
"2017-04-16",50
"2017-04-23",51
"2017-04-30",53
"2017-05-07",54
"2017-05-14",57
"2017-05-21",56
"2017-05-28",52
"2017-06-04",55
"2017-06-11",54
"2017-06-18",51
"2017-06-25",51
"2017-07-02",58
"2017-07-09",75
"2017-07-16",56
"2017-07-23",57
"2017-07-30",60
"2017-08-06",60
"2017-08-13",64
"2017-08-20",53
"2017-08-27",54
"2017-09-03",51
"2017-09-10",53
"2017-09-17",53
"2017-09-24",52
"2017-10-01",54
"2017-10-08",60
"2017-10-15",58
"2017-10-22",57
"2017-10-29",59
"2017-11-05",59
"2017-11-12",63
"2017-11-19",83
"2017-11-26",88
"2017-12-03",89
"2017-12-10",84
"2017-12-17",78
"2017-12-24",79
"2017-12-31",69
"2018-01-07",58
"2018-01-14",64
"2018-01-21",55
"2018-01-28",54
"2018-02-04",55
"2018-02-11",49
"2018-02-18",51
"2018-02-25",55
"2018-03-04",56
"2018-03-11",59
"2018-03-18",57
"2018-03-25",54
"2018-04-01",52
"2018-04-08",51
"2018-04-15",52
"2018-04-22",54
"2018-04-29",49
"2018-05-06",55
"2018-05-13",53
"2018-05-20",54
"2018-05-27",55
"2018-06-03",58
"2018-06-10",57
"2018-06-17",54
"2018-06-24",58
"2018-07-01",56
"2018-07-08",61
"2018-07-15",80
"2018-07-22",61
"2018-07-29",61
"2018-08-05",61
"2018-08-12",63
"2018-08-19",62
"2018-08-26",60
"2018-09-02",54
"2018-09-09",54
"2018-09-16",56
"2018-09-23",53
"2018-09-30",57
"2018-10-07",57
"2018-10-14",56
"2018-10-21",57
"2018-10-28",56
"2018-11-04",63
"2018-11-11",73
"2018-11-18",89
