"date","wyoming"
"2013-12-01",82
"2013-12-08",62
"2013-12-15",79
"2013-12-22",76
"2013-12-29",62
"2014-01-05",70
"2014-01-12",56
"2014-01-19",55
"2014-01-26",56
"2014-02-02",53
"2014-02-09",54
"2014-02-16",55
"2014-02-23",56
"2014-03-02",53
"2014-03-09",52
"2014-03-16",52
"2014-03-23",50
"2014-03-30",50
"2014-04-06",47
"2014-04-13",44
"2014-04-20",48
"2014-04-27",54
"2014-05-04",49
"2014-05-11",48
"2014-05-18",53
"2014-05-25",54
"2014-06-01",54
"2014-06-08",51
"2014-06-15",57
"2014-06-22",61
"2014-06-29",51
"2014-07-06",59
"2014-07-13",57
"2014-07-20",54
"2014-07-27",54
"2014-08-03",57
"2014-08-10",54
"2014-08-17",58
"2014-08-24",63
"2014-08-31",57
"2014-09-07",57
"2014-09-14",51
"2014-09-21",57
"2014-09-28",59
"2014-10-05",59
"2014-10-12",62
"2014-10-19",56
"2014-10-26",54
"2014-11-02",63
"2014-11-09",60
"2014-11-16",76
"2014-11-23",87
"2014-11-30",86
"2014-12-07",92
"2014-12-14",75
"2014-12-21",82
"2014-12-28",71
"2015-01-04",64
"2015-01-11",66
"2015-01-18",65
"2015-01-25",67
"2015-02-01",67
"2015-02-08",61
"2015-02-15",55
"2015-02-22",52
"2015-03-01",57
"2015-03-08",52
"2015-03-15",59
"2015-03-22",58
"2015-03-29",63
"2015-04-05",62
"2015-04-12",58
"2015-04-19",59
"2015-04-26",61
"2015-05-03",59
"2015-05-10",56
"2015-05-17",55
"2015-05-24",57
"2015-05-31",53
"2015-06-07",56
"2015-06-14",62
"2015-06-21",63
"2015-06-28",67
"2015-07-05",64
"2015-07-12",76
"2015-07-19",56
"2015-07-26",70
"2015-08-02",57
"2015-08-09",62
"2015-08-16",64
"2015-08-23",68
"2015-08-30",59
"2015-09-06",61
"2015-09-13",56
"2015-09-20",62
"2015-09-27",59
"2015-10-04",68
"2015-10-11",60
"2015-10-18",64
"2015-10-25",69
"2015-11-01",69
"2015-11-08",74
"2015-11-15",69
"2015-11-22",99
"2015-11-29",96
"2015-12-06",99
"2015-12-13",88
"2015-12-20",85
"2015-12-27",72
"2016-01-03",55
"2016-01-10",51
"2016-01-17",49
"2016-01-24",52
"2016-01-31",52
"2016-02-07",56
"2016-02-14",42
"2016-02-21",56
"2016-02-28",60
"2016-03-06",47
"2016-03-13",50
"2016-03-20",53
"2016-03-27",49
"2016-04-03",47
"2016-04-10",52
"2016-04-17",50
"2016-04-24",51
"2016-05-01",51
"2016-05-08",56
"2016-05-15",56
"2016-05-22",45
"2016-05-29",56
"2016-06-05",53
"2016-06-12",53
"2016-06-19",52
"2016-06-26",48
"2016-07-03",55
"2016-07-10",65
"2016-07-17",49
"2016-07-24",57
"2016-07-31",54
"2016-08-07",56
"2016-08-14",58
"2016-08-21",60
"2016-08-28",55
"2016-09-04",56
"2016-09-11",57
"2016-09-18",48
"2016-09-25",51
"2016-10-02",48
"2016-10-09",56
"2016-10-16",45
"2016-10-23",52
"2016-10-30",54
"2016-11-06",53
"2016-11-13",58
"2016-11-20",82
"2016-11-27",81
"2016-12-04",75
"2016-12-11",82
"2016-12-18",71
"2016-12-25",69
"2017-01-01",59
"2017-01-08",62
"2017-01-15",56
"2017-01-22",56
"2017-01-29",53
"2017-02-05",54
"2017-02-12",51
"2017-02-19",49
"2017-02-26",60
"2017-03-05",58
"2017-03-12",51
"2017-03-19",55
"2017-03-26",55
"2017-04-02",54
"2017-04-09",56
"2017-04-16",58
"2017-04-23",56
"2017-04-30",57
"2017-05-07",57
"2017-05-14",47
"2017-05-21",57
"2017-05-28",56
"2017-06-04",54
"2017-06-11",58
"2017-06-18",56
"2017-06-25",54
"2017-07-02",54
"2017-07-09",65
"2017-07-16",54
"2017-07-23",64
"2017-07-30",56
"2017-08-06",61
"2017-08-13",63
"2017-08-20",55
"2017-08-27",59
"2017-09-03",56
"2017-09-10",64
"2017-09-17",63
"2017-09-24",55
"2017-10-01",59
"2017-10-08",64
"2017-10-15",60
"2017-10-22",60
"2017-10-29",62
"2017-11-05",62
"2017-11-12",73
"2017-11-19",89
"2017-11-26",100
"2017-12-03",95
"2017-12-10",90
"2017-12-17",76
"2017-12-24",77
"2017-12-31",70
"2018-01-07",62
"2018-01-14",63
"2018-01-21",60
"2018-01-28",62
"2018-02-04",61
"2018-02-11",54
"2018-02-18",59
"2018-02-25",61
"2018-03-04",62
"2018-03-11",60
"2018-03-18",60
"2018-03-25",60
"2018-04-01",56
"2018-04-08",59
"2018-04-15",58
"2018-04-22",60
"2018-04-29",55
"2018-05-06",62
"2018-05-13",61
"2018-05-20",60
"2018-05-27",56
"2018-06-03",63
"2018-06-10",54
"2018-06-17",54
"2018-06-24",65
"2018-07-01",61
"2018-07-08",66
"2018-07-15",79
"2018-07-22",59
"2018-07-29",59
"2018-08-05",61
"2018-08-12",61
"2018-08-19",58
"2018-08-26",60
"2018-09-02",58
"2018-09-09",65
"2018-09-16",52
"2018-09-23",61
"2018-09-30",57
"2018-10-07",57
"2018-10-14",59
"2018-10-21",63
"2018-10-28",61
"2018-11-04",68
"2018-11-11",75
"2018-11-18",91
