"date","kentucky"
"2013-12-01","16"
"2013-12-08","11"
"2013-12-15","13"
"2013-12-22","7"
"2013-12-29","7"
"2014-01-05","7"
"2014-01-12","7"
"2014-01-19","7"
"2014-01-26","8"
"2014-02-02","6"
"2014-02-09","5"
"2014-02-16","4"
"2014-02-23","13"
"2014-03-02","10"
"2014-03-09","5"
"2014-03-16","5"
"2014-03-23","7"
"2014-03-30","4"
"2014-04-06","3"
"2014-04-13","4"
"2014-04-20","4"
"2014-04-27","3"
"2014-05-04","2"
"2014-05-11","3"
"2014-05-18","3"
"2014-05-25","1"
"2014-06-01","3"
"2014-06-08","3"
"2014-06-15","4"
"2014-06-22","3"
"2014-06-29","2"
"2014-07-06","5"
"2014-07-13","3"
"2014-07-20","3"
"2014-07-27","2"
"2014-08-03","2"
"2014-08-10","1"
"2014-08-17","5"
"2014-08-24","3"
"2014-08-31","1"
"2014-09-07","3"
"2014-09-14","4"
"2014-09-21","3"
"2014-09-28","4"
"2014-10-05","2"
"2014-10-12","3"
"2014-10-19","3"
"2014-10-26","2"
"2014-11-02","4"
"2014-11-09","3"
"2014-11-16","2"
"2014-11-23","3"
"2014-11-30","2"
"2014-12-07","2"
"2014-12-14","4"
"2014-12-21","5"
"2014-12-28","2"
"2015-01-04","3"
"2015-01-11","4"
"2015-01-18","1"
"2015-01-25","2"
"2015-02-01","3"
"2015-02-08","2"
"2015-02-15","2"
"2015-02-22","4"
"2015-03-01","3"
"2015-03-08","2"
"2015-03-15","3"
"2015-03-22","2"
"2015-03-29","2"
"2015-04-05","2"
"2015-04-12","4"
"2015-04-19","2"
"2015-04-26","2"
"2015-05-03","2"
"2015-05-10","2"
"2015-05-17","3"
"2015-05-24","3"
"2015-05-31","1"
"2015-06-07","2"
"2015-06-14","6"
"2015-06-21","3"
"2015-06-28","3"
"2015-07-05","5"
"2015-07-12","2"
"2015-07-19","2"
"2015-07-26","1"
"2015-08-02","4"
"2015-08-09","4"
"2015-08-16","3"
"2015-08-23","4"
"2015-08-30","2"
"2015-09-06","2"
"2015-09-13","1"
"2015-09-20","2"
"2015-09-27","2"
"2015-10-04","2"
"2015-10-11","<1"
"2015-10-18","1"
"2015-10-25","3"
"2015-11-01","4"
"2015-11-08","4"
"2015-11-15","5"
"2015-11-22","3"
"2015-11-29","2"
"2015-12-06","5"
"2015-12-13","<1"
"2015-12-20","3"
"2015-12-27","3"
"2016-01-03","3"
"2016-01-10","3"
"2016-01-17","2"
"2016-01-24","4"
"2016-01-31","2"
"2016-02-07","2"
"2016-02-14","5"
"2016-02-21","2"
"2016-02-28","2"
"2016-03-06","2"
"2016-03-13","1"
"2016-03-20","3"
"2016-03-27","2"
"2016-04-03","1"
"2016-04-10","4"
"2016-04-17","3"
"2016-04-24","4"
"2016-05-01","6"
"2016-05-08","3"
"2016-05-15","1"
"2016-05-22","1"
"2016-05-29","4"
"2016-06-05","1"
"2016-06-12","6"
"2016-06-19","4"
"2016-06-26","3"
"2016-07-03","4"
"2016-07-10","4"
"2016-07-17","2"
"2016-07-24","2"
"2016-07-31","2"
"2016-08-07","2"
"2016-08-14","1"
"2016-08-21","2"
"2016-08-28","2"
"2016-09-04","3"
"2016-09-11","3"
"2016-09-18","3"
"2016-09-25","2"
"2016-10-02","3"
"2016-10-09","3"
"2016-10-16","2"
"2016-10-23","3"
"2016-10-30","2"
"2016-11-06","3"
"2016-11-13","3"
"2016-11-20","2"
"2016-11-27","2"
"2016-12-04","3"
"2016-12-11","4"
"2016-12-18","4"
"2016-12-25","6"
"2017-01-01","7"
"2017-01-08","3"
"2017-01-15","4"
"2017-01-22","3"
"2017-01-29","4"
"2017-02-05","4"
"2017-02-12","2"
"2017-02-19","4"
"2017-02-26","4"
"2017-03-05","4"
"2017-03-12","3"
"2017-03-19","5"
"2017-03-26","3"
"2017-04-02","4"
"2017-04-09","2"
"2017-04-16","3"
"2017-04-23","4"
"2017-04-30","5"
"2017-05-07","5"
"2017-05-14","6"
"2017-05-21","15"
"2017-05-28","12"
"2017-06-04","8"
"2017-06-11","10"
"2017-06-18","5"
"2017-06-25","9"
"2017-07-02","6"
"2017-07-09","5"
"2017-07-16","8"
"2017-07-23","7"
"2017-07-30","12"
"2017-08-06","11"
"2017-08-13","13"
"2017-08-20","11"
"2017-08-27","12"
"2017-09-03","11"
"2017-09-10","12"
"2017-09-17","7"
"2017-09-24","8"
"2017-10-01","7"
"2017-10-08","16"
"2017-10-15","13"
"2017-10-22","13"
"2017-10-29","20"
"2017-11-05","22"
"2017-11-12","21"
"2017-11-19","26"
"2017-11-26","67"
"2017-12-03","100"
"2017-12-10","87"
"2017-12-17","94"
"2017-12-24","61"
"2017-12-31","39"
"2018-01-07","40"
"2018-01-14","53"
"2018-01-21","33"
"2018-01-28","29"
"2018-02-04","40"
"2018-02-11","24"
"2018-02-18","18"
"2018-02-25","16"
"2018-03-04","16"
"2018-03-11","12"
"2018-03-18","14"
"2018-03-25","11"
"2018-04-01","13"
"2018-04-08","15"
"2018-04-15","12"
"2018-04-22","14"
"2018-04-29","10"
"2018-05-06","7"
"2018-05-13","11"
"2018-05-20","9"
"2018-05-27","10"
"2018-06-03","8"
"2018-06-10","11"
"2018-06-17","11"
"2018-06-24","9"
"2018-07-01","6"
"2018-07-08","10"
"2018-07-15","7"
"2018-07-22","7"
"2018-07-29","7"
"2018-08-05","10"
"2018-08-12","12"
"2018-08-19","7"
"2018-08-26","8"
"2018-09-02","7"
"2018-09-09","9"
"2018-09-16","5"
"2018-09-23","7"
"2018-09-30","9"
"2018-10-07","8"
"2018-10-14","6"
"2018-10-21","6"
"2018-10-28","4"
"2018-11-04","6"
"2018-11-11","7"
"2018-11-18","10"
