"date","utah"
"2013-12-01","14"
"2013-12-08","8"
"2013-12-15","10"
"2013-12-22","6"
"2013-12-29","7"
"2014-01-05","8"
"2014-01-12","6"
"2014-01-19","13"
"2014-01-26","8"
"2014-02-02","9"
"2014-02-09","7"
"2014-02-16","5"
"2014-02-23","12"
"2014-03-02","10"
"2014-03-09","5"
"2014-03-16","5"
"2014-03-23","6"
"2014-03-30","3"
"2014-04-06","5"
"2014-04-13","5"
"2014-04-20","3"
"2014-04-27","2"
"2014-05-04","2"
"2014-05-11","4"
"2014-05-18","2"
"2014-05-25","2"
"2014-06-01","3"
"2014-06-08","3"
"2014-06-15","3"
"2014-06-22","2"
"2014-06-29","3"
"2014-07-06","2"
"2014-07-13","2"
"2014-07-20","2"
"2014-07-27","2"
"2014-08-03","2"
"2014-08-10","3"
"2014-08-17","2"
"2014-08-24","3"
"2014-08-31","2"
"2014-09-07","2"
"2014-09-14","2"
"2014-09-21","2"
"2014-09-28","2"
"2014-10-05","3"
"2014-10-12","2"
"2014-10-19","2"
"2014-10-26","2"
"2014-11-02","3"
"2014-11-09","3"
"2014-11-16","2"
"2014-11-23","2"
"2014-11-30","1"
"2014-12-07","3"
"2014-12-14","3"
"2014-12-21","2"
"2014-12-28","1"
"2015-01-04","4"
"2015-01-11","4"
"2015-01-18","2"
"2015-01-25","3"
"2015-02-01","4"
"2015-02-08","2"
"2015-02-15","1"
"2015-02-22","2"
"2015-03-01","3"
"2015-03-08","2"
"2015-03-15","2"
"2015-03-22","2"
"2015-03-29","2"
"2015-04-05","1"
"2015-04-12","2"
"2015-04-19","3"
"2015-04-26","1"
"2015-05-03","2"
"2015-05-10","2"
"2015-05-17","2"
"2015-05-24","2"
"2015-05-31","2"
"2015-06-07","4"
"2015-06-14","3"
"2015-06-21","2"
"2015-06-28","3"
"2015-07-05","2"
"2015-07-12","2"
"2015-07-19","2"
"2015-07-26","1"
"2015-08-02","2"
"2015-08-09","2"
"2015-08-16","2"
"2015-08-23","1"
"2015-08-30","1"
"2015-09-06","2"
"2015-09-13","2"
"2015-09-20","<1"
"2015-09-27","1"
"2015-10-04","2"
"2015-10-11","1"
"2015-10-18","2"
"2015-10-25","1"
"2015-11-01","3"
"2015-11-08","2"
"2015-11-15","3"
"2015-11-22","2"
"2015-11-29","2"
"2015-12-06","3"
"2015-12-13","3"
"2015-12-20","2"
"2015-12-27","3"
"2016-01-03","2"
"2016-01-10","2"
"2016-01-17","3"
"2016-01-24","2"
"2016-01-31","2"
"2016-02-07","2"
"2016-02-14","3"
"2016-02-21","2"
"2016-02-28","2"
"2016-03-06","1"
"2016-03-13","1"
"2016-03-20","1"
"2016-03-27","1"
"2016-04-03","2"
"2016-04-10","2"
"2016-04-17","2"
"2016-04-24","1"
"2016-05-01","3"
"2016-05-08","2"
"2016-05-15","2"
"2016-05-22","2"
"2016-05-29","3"
"2016-06-05","2"
"2016-06-12","4"
"2016-06-19","4"
"2016-06-26","2"
"2016-07-03","3"
"2016-07-10","2"
"2016-07-17","2"
"2016-07-24","1"
"2016-07-31","3"
"2016-08-07","2"
"2016-08-14","2"
"2016-08-21","2"
"2016-08-28","1"
"2016-09-04","2"
"2016-09-11","2"
"2016-09-18","1"
"2016-09-25","1"
"2016-10-02","2"
"2016-10-09","2"
"2016-10-16","2"
"2016-10-23","1"
"2016-10-30","2"
"2016-11-06","2"
"2016-11-13","2"
"2016-11-20","1"
"2016-11-27","3"
"2016-12-04","3"
"2016-12-11","2"
"2016-12-18","3"
"2016-12-25","4"
"2017-01-01","7"
"2017-01-08","4"
"2017-01-15","3"
"2017-01-22","3"
"2017-01-29","2"
"2017-02-05","4"
"2017-02-12","4"
"2017-02-19","3"
