"date","wyoming"
"2013-12-01",20
"2013-12-08",16
"2013-12-15",16
"2013-12-22",12
"2013-12-29",12
"2014-01-05",14
"2014-01-12",3
"2014-01-19",8
"2014-01-26",5
"2014-02-02",8
"2014-02-09",11
"2014-02-16",5
"2014-02-23",16
"2014-03-02",11
"2014-03-09",5
"2014-03-16",6
"2014-03-23",6
"2014-03-30",9
"2014-04-06",4
"2014-04-13",6
"2014-04-20",3
"2014-04-27",6
"2014-05-04",5
"2014-05-11",0
"2014-05-18",4
"2014-05-25",10
"2014-06-01",4
"2014-06-08",6
"2014-06-15",12
"2014-06-22",4
"2014-06-29",4
"2014-07-06",0
"2014-07-13",8
"2014-07-20",4
"2014-07-27",4
"2014-08-03",0
"2014-08-10",4
"2014-08-17",4
"2014-08-24",0
"2014-08-31",4
"2014-09-07",0
"2014-09-14",3
"2014-09-21",5
"2014-09-28",3
"2014-10-05",10
"2014-10-12",3
"2014-10-19",7
"2014-10-26",3
"2014-11-02",8
"2014-11-09",5
"2014-11-16",7
"2014-11-23",4
"2014-11-30",0
"2014-12-07",7
"2014-12-14",5
"2014-12-21",10
"2014-12-28",7
"2015-01-04",6
"2015-01-11",8
"2015-01-18",0
"2015-01-25",3
"2015-02-01",5
"2015-02-08",0
"2015-02-15",0
"2015-02-22",12
"2015-03-01",3
"2015-03-08",3
"2015-03-15",5
"2015-03-22",5
"2015-03-29",3
"2015-04-05",3
"2015-04-12",5
"2015-04-19",3
"2015-04-26",5
"2015-05-03",3
"2015-05-10",0
"2015-05-17",3
"2015-05-24",5
"2015-05-31",7
"2015-06-07",11
"2015-06-14",7
"2015-06-21",3
"2015-06-28",4
"2015-07-05",5
"2015-07-12",5
"2015-07-19",5
"2015-07-26",3
"2015-08-02",0
"2015-08-09",3
"2015-08-16",3
"2015-08-23",0
"2015-08-30",0
"2015-09-06",0
"2015-09-13",6
"2015-09-20",6
"2015-09-27",3
"2015-10-04",3
"2015-10-11",3
"2015-10-18",0
"2015-10-25",4
"2015-11-01",8
"2015-11-08",3
"2015-11-15",4
"2015-11-22",3
"2015-11-29",3
"2015-12-06",3
"2015-12-13",3
"2015-12-20",3
"2015-12-27",6
"2016-01-03",5
"2016-01-10",2
"2016-01-17",3
"2016-01-24",0
"2016-01-31",5
"2016-02-07",3
"2016-02-14",5
"2016-02-21",4
"2016-02-28",8
"2016-03-06",3
"2016-03-13",5
"2016-03-20",0
"2016-03-27",3
"2016-04-03",4
"2016-04-10",3
"2016-04-17",0
"2016-04-24",5
"2016-05-01",5
"2016-05-08",4
"2016-05-15",4
"2016-05-22",3
"2016-05-29",0
"2016-06-05",3
"2016-06-12",5
"2016-06-19",3
"2016-06-26",5
"2016-07-03",6
"2016-07-10",0
"2016-07-17",5
"2016-07-24",3
"2016-07-31",5
"2016-08-07",3
"2016-08-14",4
"2016-08-21",3
"2016-08-28",5
"2016-09-04",5
"2016-09-11",0
"2016-09-18",6
"2016-09-25",5
"2016-10-02",0
"2016-10-09",0
"2016-10-16",3
"2016-10-23",0
"2016-10-30",3
"2016-11-06",2
"2016-11-13",2
"2016-11-20",3
"2016-11-27",2
"2016-12-04",3
"2016-12-11",2
"2016-12-18",6
"2016-12-25",9
"2017-01-01",8
"2017-01-08",2
"2017-01-15",2
"2017-01-22",3
"2017-01-29",4
"2017-02-05",4
"2017-02-12",3
"2017-02-19",4
"2017-02-26",2
"2017-03-05",3
"2017-03-12",2
"2017-03-19",3
"2017-03-26",0
"2017-04-02",7
"2017-04-09",5
"2017-04-16",2
"2017-04-23",2
"2017-04-30",7
"2017-05-07",11
"2017-05-14",11
"2017-05-21",16
"2017-05-28",9
"2017-06-04",12
"2017-06-11",6
"2017-06-18",8
"2017-06-25",8
"2017-07-02",13
"2017-07-09",2
"2017-07-16",8
"2017-07-23",8
"2017-07-30",14
"2017-08-06",11
"2017-08-13",11
"2017-08-20",7
"2017-08-27",19
"2017-09-03",12
"2017-09-10",14
"2017-09-17",14
"2017-09-24",9
"2017-10-01",8
"2017-10-08",13
"2017-10-15",6
"2017-10-22",19
"2017-10-29",23
"2017-11-05",29
"2017-11-12",27
"2017-11-19",19
"2017-11-26",47
"2017-12-03",100
"2017-12-10",88
"2017-12-17",96
"2017-12-24",67
"2017-12-31",52
"2018-01-07",35
"2018-01-14",67
"2018-01-21",42
"2018-01-28",40
"2018-02-04",32
"2018-02-11",17
"2018-02-18",15
"2018-02-25",21
"2018-03-04",14
"2018-03-11",12
"2018-03-18",15
"2018-03-25",13
"2018-04-01",15
"2018-04-08",12
"2018-04-15",15
"2018-04-22",11
"2018-04-29",17
"2018-05-06",10
"2018-05-13",10
"2018-05-20",15
"2018-05-27",7
"2018-06-03",9
"2018-06-10",14
"2018-06-17",8
"2018-06-24",14
"2018-07-01",12
"2018-07-08",12
"2018-07-15",11
"2018-07-22",22
"2018-07-29",6
"2018-08-05",13
"2018-08-12",18
"2018-08-19",17
"2018-08-26",13
"2018-09-02",14
"2018-09-09",10
"2018-09-16",8
"2018-09-23",4
"2018-09-30",4
"2018-10-07",6
"2018-10-14",13
"2018-10-21",7
"2018-10-28",3
"2018-11-04",6
"2018-11-11",8
"2018-11-18",14
