"date","alabama"
"2013-12-01",87
"2013-12-08",83
"2013-12-15",87
"2013-12-22",95
"2013-12-29",91
"2014-01-05",83
"2014-01-12",78
"2014-01-19",86
"2014-01-26",90
"2014-02-02",86
"2014-02-09",83
"2014-02-16",83
"2014-02-23",83
"2014-03-02",81
"2014-03-09",80
"2014-03-16",82
"2014-03-23",83
"2014-03-30",79
"2014-04-06",76
"2014-04-13",81
"2014-04-20",81
"2014-04-27",80
"2014-05-04",79
"2014-05-11",81
"2014-05-18",80
"2014-05-25",79
"2014-06-01",80
"2014-06-08",77
"2014-06-15",82
"2014-06-22",79
"2014-06-29",80
"2014-07-06",77
"2014-07-13",77
"2014-07-20",75
"2014-07-27",77
"2014-08-03",79
"2014-08-10",76
"2014-08-17",77
"2014-08-24",74
"2014-08-31",75
"2014-09-07",73
"2014-09-14",73
"2014-09-21",74
"2014-09-28",77
"2014-10-05",73
"2014-10-12",76
"2014-10-19",74
"2014-10-26",73
"2014-11-02",72
"2014-11-09",71
"2014-11-16",70
"2014-11-23",75
"2014-11-30",68
"2014-12-07",70
"2014-12-14",73
"2014-12-21",81
"2014-12-28",76
"2015-01-04",72
"2015-01-11",67
"2015-01-18",67
"2015-01-25",68
"2015-02-01",65
"2015-02-08",67
"2015-02-15",65
"2015-02-22",67
"2015-03-01",65
"2015-03-08",64
"2015-03-15",69
"2015-03-22",71
"2015-03-29",66
"2015-04-05",67
"2015-04-12",66
"2015-04-19",70
"2015-04-26",69
"2015-05-03",69
"2015-05-10",70
"2015-05-17",73
"2015-05-24",73
"2015-05-31",75
"2015-06-07",73
"2015-06-14",73
"2015-06-21",76
"2015-06-28",77
"2015-07-05",73
"2015-07-12",75
"2015-07-19",77
"2015-07-26",74
"2015-08-02",74
"2015-08-09",75
"2015-08-16",72
"2015-08-23",69
"2015-08-30",66
"2015-09-06",66
"2015-09-13",69
"2015-09-20",67
"2015-09-27",72
"2015-10-04",68
"2015-10-11",68
"2015-10-18",67
"2015-10-25",68
"2015-11-01",70
"2015-11-08",70
"2015-11-15",70
"2015-11-22",73
"2015-11-29",64
"2015-12-06",68
"2015-12-13",70
"2015-12-20",78
"2015-12-27",86
"2016-01-03",96
"2016-01-10",93
"2016-01-17",98
"2016-01-24",93
"2016-01-31",93
"2016-02-07",95
"2016-02-14",95
"2016-02-21",92
"2016-02-28",92
"2016-03-06",95
"2016-03-13",97
"2016-03-20",96
"2016-03-27",97
"2016-04-03",94
"2016-04-10",95
"2016-04-17",94
"2016-04-24",91
"2016-05-01",92
"2016-05-08",100
"2016-05-15",98
"2016-05-22",100
"2016-05-29",99
"2016-06-05",96
"2016-06-12",97
"2016-06-19",95
"2016-06-26",92
"2016-07-03",97
"2016-07-10",92
"2016-07-17",93
"2016-07-24",88
"2016-07-31",89
"2016-08-07",89
"2016-08-14",83
"2016-08-21",83
"2016-08-28",80
"2016-09-04",76
"2016-09-11",79
"2016-09-18",79
"2016-09-25",76
"2016-10-02",78
"2016-10-09",80
"2016-10-16",83
"2016-10-23",79
"2016-10-30",78
"2016-11-06",78
"2016-11-13",75
"2016-11-20",77
"2016-11-27",73
"2016-12-04",74
"2016-12-11",76
"2016-12-18",83
"2016-12-25",81
"2017-01-01",77
"2017-01-08",78
"2017-01-15",75
"2017-01-22",75
"2017-01-29",74
"2017-02-05",74
"2017-02-12",75
"2017-02-19",76
"2017-02-26",71
"2017-03-05",71
"2017-03-12",74
"2017-03-19",75
"2017-03-26",78
"2017-04-02",75
"2017-04-09",76
"2017-04-16",81
"2017-04-23",74
"2017-04-30",74
"2017-05-07",78
"2017-05-14",79
"2017-05-21",79
"2017-05-28",80
"2017-06-04",75
"2017-06-11",80
"2017-06-18",75
"2017-06-25",78
"2017-07-02",81
"2017-07-09",77
"2017-07-16",75
"2017-07-23",77
"2017-07-30",76
"2017-08-06",74
"2017-08-13",74
"2017-08-20",73
"2017-08-27",70
"2017-09-03",68
"2017-09-10",71
"2017-09-17",70
"2017-09-24",68
"2017-10-01",68
"2017-10-08",68
"2017-10-15",69
"2017-10-22",65
"2017-10-29",66
"2017-11-05",64
"2017-11-12",63
"2017-11-19",65
"2017-11-26",58
"2017-12-03",61
"2017-12-10",63
"2017-12-17",64
"2017-12-24",67
"2017-12-31",63
"2018-01-07",59
"2018-01-14",62
"2018-01-21",58
"2018-01-28",59
"2018-02-04",57
"2018-02-11",58
"2018-02-18",56
"2018-02-25",54
"2018-03-04",56
"2018-03-11",55
"2018-03-18",57
"2018-03-25",59
"2018-04-01",57
"2018-04-08",55
"2018-04-15",54
"2018-04-22",52
"2018-04-29",53
"2018-05-06",53
"2018-05-13",55
"2018-05-20",55
"2018-05-27",55
"2018-06-03",53
"2018-06-10",55
"2018-06-17",56
"2018-06-24",54
"2018-07-01",55
"2018-07-08",54
"2018-07-15",52
"2018-07-22",54
"2018-07-29",55
"2018-08-05",54
"2018-08-12",52
"2018-08-19",52
"2018-08-26",52
"2018-09-02",51
"2018-09-09",50
"2018-09-16",49
"2018-09-23",50
"2018-09-30",47
"2018-10-07",50
"2018-10-14",50
"2018-10-21",50
"2018-10-28",49
"2018-11-04",46
"2018-11-11",48
"2018-11-18",49
