"date","arizona"
"2013-12-01",85
"2013-12-08",90
"2013-12-15",94
"2013-12-22",100
"2013-12-29",97
"2014-01-05",90
"2014-01-12",88
"2014-01-19",89
"2014-01-26",90
"2014-02-02",92
"2014-02-09",90
"2014-02-16",89
"2014-02-23",85
"2014-03-02",86
"2014-03-09",88
"2014-03-16",88
"2014-03-23",87
"2014-03-30",88
"2014-04-06",88
"2014-04-13",88
"2014-04-20",90
"2014-04-27",90
"2014-05-04",87
"2014-05-11",88
"2014-05-18",90
"2014-05-25",91
"2014-06-01",90
"2014-06-08",88
"2014-06-15",91
"2014-06-22",88
"2014-06-29",91
"2014-07-06",86
"2014-07-13",86
"2014-07-20",86
"2014-07-27",87
"2014-08-03",85
"2014-08-10",86
"2014-08-17",86
"2014-08-24",85
"2014-08-31",87
"2014-09-07",84
"2014-09-14",85
"2014-09-21",86
"2014-09-28",81
"2014-10-05",80
"2014-10-12",82
"2014-10-19",81
"2014-10-26",80
"2014-11-02",80
"2014-11-09",79
"2014-11-16",78
"2014-11-23",80
"2014-11-30",74
"2014-12-07",76
"2014-12-14",76
"2014-12-21",84
"2014-12-28",77
"2015-01-04",74
"2015-01-11",71
"2015-01-18",70
"2015-01-25",73
"2015-02-01",71
"2015-02-08",70
"2015-02-15",71
"2015-02-22",69
"2015-03-01",68
"2015-03-08",71
"2015-03-15",70
"2015-03-22",70
"2015-03-29",71
"2015-04-05",73
"2015-04-12",70
"2015-04-19",70
"2015-04-26",72
"2015-05-03",71
"2015-05-10",72
"2015-05-17",72
"2015-05-24",74
"2015-05-31",74
"2015-06-07",74
"2015-06-14",73
"2015-06-21",76
"2015-06-28",76
"2015-07-05",74
"2015-07-12",72
"2015-07-19",76
"2015-07-26",74
"2015-08-02",72
"2015-08-09",72
"2015-08-16",72
"2015-08-23",69
"2015-08-30",69
"2015-09-06",66
"2015-09-13",67
"2015-09-20",69
"2015-09-27",74
"2015-10-04",69
"2015-10-11",70
"2015-10-18",69
"2015-10-25",69
"2015-11-01",70
"2015-11-08",71
"2015-11-15",70
"2015-11-22",70
"2015-11-29",66
"2015-12-06",68
"2015-12-13",68
"2015-12-20",74
"2015-12-27",77
"2016-01-03",90
"2016-01-10",84
"2016-01-17",87
"2016-01-24",86
"2016-01-31",84
"2016-02-07",82
"2016-02-14",84
"2016-02-21",86
"2016-02-28",81
"2016-03-06",84
"2016-03-13",83
"2016-03-20",83
"2016-03-27",83
"2016-04-03",82
"2016-04-10",85
"2016-04-17",83
"2016-04-24",82
"2016-05-01",83
"2016-05-08",86
"2016-05-15",86
"2016-05-22",87
"2016-05-29",86
"2016-06-05",84
"2016-06-12",83
"2016-06-19",83
"2016-06-26",80
"2016-07-03",82
"2016-07-10",80
"2016-07-17",80
"2016-07-24",81
"2016-07-31",80
"2016-08-07",79
"2016-08-14",77
"2016-08-21",75
"2016-08-28",72
"2016-09-04",70
"2016-09-11",70
"2016-09-18",70
"2016-09-25",71
"2016-10-02",73
"2016-10-09",74
"2016-10-16",70
"2016-10-23",69
"2016-10-30",72
"2016-11-06",70
"2016-11-13",69
"2016-11-20",69
"2016-11-27",66
"2016-12-04",68
"2016-12-11",67
"2016-12-18",69
"2016-12-25",70
"2017-01-01",70
"2017-01-08",68
"2017-01-15",67
"2017-01-22",67
"2017-01-29",66
"2017-02-05",66
"2017-02-12",67
"2017-02-19",64
"2017-02-26",63
"2017-03-05",63
"2017-03-12",66
"2017-03-19",64
"2017-03-26",64
"2017-04-02",63
"2017-04-09",67
"2017-04-16",68
"2017-04-23",65
"2017-04-30",66
"2017-05-07",66
"2017-05-14",68
"2017-05-21",69
"2017-05-28",71
"2017-06-04",70
"2017-06-11",71
"2017-06-18",68
"2017-06-25",68
"2017-07-02",68
"2017-07-09",68
"2017-07-16",66
"2017-07-23",68
"2017-07-30",69
"2017-08-06",68
"2017-08-13",67
"2017-08-20",63
"2017-08-27",63
"2017-09-03",63
"2017-09-10",64
"2017-09-17",61
"2017-09-24",61
"2017-10-01",60
"2017-10-08",60
"2017-10-15",59
"2017-10-22",60
"2017-10-29",60
"2017-11-05",57
"2017-11-12",55
"2017-11-19",55
"2017-11-26",53
"2017-12-03",52
"2017-12-10",54
"2017-12-17",54
"2017-12-24",57
"2017-12-31",55
"2018-01-07",52
"2018-01-14",52
"2018-01-21",50
"2018-01-28",52
"2018-02-04",50
"2018-02-11",52
"2018-02-18",49
"2018-02-25",49
"2018-03-04",48
"2018-03-11",48
"2018-03-18",51
"2018-03-25",50
"2018-04-01",49
"2018-04-08",51
"2018-04-15",47
"2018-04-22",48
"2018-04-29",48
"2018-05-06",47
"2018-05-13",48
"2018-05-20",48
"2018-05-27",48
"2018-06-03",49
"2018-06-10",49
"2018-06-17",50
"2018-06-24",49
"2018-07-01",51
"2018-07-08",50
"2018-07-15",48
"2018-07-22",49
"2018-07-29",49
"2018-08-05",47
"2018-08-12",46
"2018-08-19",46
"2018-08-26",48
"2018-09-02",46
"2018-09-09",46
"2018-09-16",46
"2018-09-23",45
"2018-09-30",46
"2018-10-07",46
"2018-10-14",44
"2018-10-21",44
"2018-10-28",44
"2018-11-04",41
"2018-11-11",44
"2018-11-18",43
