"date","arkansas"
"2013-12-01",71
"2013-12-08",76
"2013-12-15",80
"2013-12-22",86
"2013-12-29",81
"2014-01-05",75
"2014-01-12",75
"2014-01-19",74
"2014-01-26",73
"2014-02-02",71
"2014-02-09",75
"2014-02-16",73
"2014-02-23",72
"2014-03-02",75
"2014-03-09",74
"2014-03-16",74
"2014-03-23",79
"2014-03-30",77
"2014-04-06",76
"2014-04-13",75
"2014-04-20",75
"2014-04-27",76
"2014-05-04",72
"2014-05-11",75
"2014-05-18",75
"2014-05-25",74
"2014-06-01",74
"2014-06-08",75
"2014-06-15",74
"2014-06-22",76
"2014-06-29",79
"2014-07-06",75
"2014-07-13",72
"2014-07-20",71
"2014-07-27",74
"2014-08-03",71
"2014-08-10",69
"2014-08-17",72
"2014-08-24",69
"2014-08-31",72
"2014-09-07",67
"2014-09-14",67
"2014-09-21",70
"2014-09-28",68
"2014-10-05",69
"2014-10-12",70
"2014-10-19",66
"2014-10-26",67
"2014-11-02",65
"2014-11-09",64
"2014-11-16",65
"2014-11-23",67
"2014-11-30",62
"2014-12-07",63
"2014-12-14",64
"2014-12-21",72
"2014-12-28",71
"2015-01-04",63
"2015-01-11",61
"2015-01-18",61
"2015-01-25",64
"2015-02-01",60
"2015-02-08",60
"2015-02-15",63
"2015-02-22",65
"2015-03-01",61
"2015-03-08",61
"2015-03-15",61
"2015-03-22",67
"2015-03-29",63
"2015-04-05",62
"2015-04-12",63
"2015-04-19",62
"2015-04-26",64
"2015-05-03",65
"2015-05-10",67
"2015-05-17",65
"2015-05-24",66
"2015-05-31",67
"2015-06-07",68
"2015-06-14",65
"2015-06-21",71
"2015-06-28",76
"2015-07-05",71
"2015-07-12",71
"2015-07-19",68
"2015-07-26",66
"2015-08-02",66
"2015-08-09",66
"2015-08-16",64
"2015-08-23",62
"2015-08-30",59
"2015-09-06",59
"2015-09-13",59
"2015-09-20",63
"2015-09-27",66
"2015-10-04",63
"2015-10-11",69
"2015-10-18",77
"2015-10-25",72
"2015-11-01",73
"2015-11-08",75
"2015-11-15",69
"2015-11-22",78
"2015-11-29",71
"2015-12-06",72
"2015-12-13",73
"2015-12-20",86
"2015-12-27",88
"2016-01-03",92
"2016-01-10",87
"2016-01-17",92
"2016-01-24",92
"2016-01-31",88
"2016-02-07",89
"2016-02-14",92
"2016-02-21",93
"2016-02-28",91
"2016-03-06",89
"2016-03-13",89
"2016-03-20",97
"2016-03-27",93
"2016-04-03",83
"2016-04-10",93
"2016-04-17",90
"2016-04-24",92
"2016-05-01",90
"2016-05-08",95
"2016-05-15",99
"2016-05-22",100
"2016-05-29",100
"2016-06-05",98
"2016-06-12",99
"2016-06-19",98
"2016-06-26",96
"2016-07-03",94
"2016-07-10",93
"2016-07-17",94
"2016-07-24",91
"2016-07-31",88
"2016-08-07",89
"2016-08-14",89
"2016-08-21",82
"2016-08-28",80
"2016-09-04",80
"2016-09-11",76
"2016-09-18",75
"2016-09-25",71
"2016-10-02",71
"2016-10-09",73
"2016-10-16",71
"2016-10-23",70
"2016-10-30",70
"2016-11-06",68
"2016-11-13",66
"2016-11-20",72
"2016-11-27",64
"2016-12-04",63
"2016-12-11",64
"2016-12-18",73
"2016-12-25",73
"2017-01-01",69
"2017-01-08",69
"2017-01-15",68
"2017-01-22",65
"2017-01-29",68
"2017-02-05",66
"2017-02-12",66
"2017-02-19",66
"2017-02-26",61
"2017-03-05",64
"2017-03-12",64
"2017-03-19",73
"2017-03-26",67
"2017-04-02",65
"2017-04-09",64
"2017-04-16",69
"2017-04-23",67
"2017-04-30",67
"2017-05-07",69
"2017-05-14",72
"2017-05-21",71
"2017-05-28",73
"2017-06-04",70
"2017-06-11",72
"2017-06-18",70
"2017-06-25",71
"2017-07-02",69
"2017-07-09",69
"2017-07-16",69
"2017-07-23",71
"2017-07-30",72
"2017-08-06",66
"2017-08-13",69
"2017-08-20",64
"2017-08-27",63
"2017-09-03",62
"2017-09-10",63
"2017-09-17",62
"2017-09-24",59
"2017-10-01",58
"2017-10-08",58
"2017-10-15",60
"2017-10-22",57
"2017-10-29",56
"2017-11-05",56
"2017-11-12",54
"2017-11-19",57
"2017-11-26",52
"2017-12-03",54
"2017-12-10",52
"2017-12-17",57
"2017-12-24",61
"2017-12-31",57
"2018-01-07",52
"2018-01-14",55
"2018-01-21",52
"2018-01-28",51
"2018-02-04",50
"2018-02-11",50
"2018-02-18",48
"2018-02-25",48
"2018-03-04",46
"2018-03-11",47
"2018-03-18",55
"2018-03-25",49
"2018-04-01",50
"2018-04-08",50
"2018-04-15",48
"2018-04-22",47
"2018-04-29",46
"2018-05-06",47
"2018-05-13",50
"2018-05-20",49
"2018-05-27",52
"2018-06-03",49
"2018-06-10",49
"2018-06-17",50
"2018-06-24",50
"2018-07-01",51
"2018-07-08",50
"2018-07-15",48
"2018-07-22",52
"2018-07-29",51
"2018-08-05",50
"2018-08-12",48
"2018-08-19",45
"2018-08-26",47
"2018-09-02",46
"2018-09-09",46
"2018-09-16",44
"2018-09-23",45
"2018-09-30",44
"2018-10-07",44
"2018-10-14",43
"2018-10-21",43
"2018-10-28",44
"2018-11-04",41
"2018-11-11",42
"2018-11-18",47
