"date","california"
"2013-12-01",89
"2013-12-08",91
"2013-12-15",92
"2013-12-22",100
"2013-12-29",98
"2014-01-05",89
"2014-01-12",87
"2014-01-19",85
"2014-01-26",87
"2014-02-02",91
"2014-02-09",87
"2014-02-16",88
"2014-02-23",86
"2014-03-02",84
"2014-03-09",84
"2014-03-16",85
"2014-03-23",85
"2014-03-30",84
"2014-04-06",85
"2014-04-13",85
"2014-04-20",85
"2014-04-27",82
"2014-05-04",81
"2014-05-11",82
"2014-05-18",81
"2014-05-25",83
"2014-06-01",81
"2014-06-08",82
"2014-06-15",84
"2014-06-22",81
"2014-06-29",82
"2014-07-06",82
"2014-07-13",82
"2014-07-20",85
"2014-07-27",84
"2014-08-03",85
"2014-08-10",83
"2014-08-17",85
"2014-08-24",84
"2014-08-31",85
"2014-09-07",85
"2014-09-14",83
"2014-09-21",88
"2014-09-28",83
"2014-10-05",78
"2014-10-12",81
"2014-10-19",81
"2014-10-26",80
"2014-11-02",77
"2014-11-09",78
"2014-11-16",77
"2014-11-23",78
"2014-11-30",76
"2014-12-07",74
"2014-12-14",76
"2014-12-21",83
"2014-12-28",83
"2015-01-04",75
"2015-01-11",73
"2015-01-18",70
"2015-01-25",74
"2015-02-01",69
"2015-02-08",68
"2015-02-15",71
"2015-02-22",67
"2015-03-01",67
"2015-03-08",68
"2015-03-15",68
"2015-03-22",70
"2015-03-29",69
"2015-04-05",72
"2015-04-12",70
"2015-04-19",72
"2015-04-26",71
"2015-05-03",70
"2015-05-10",70
"2015-05-17",70
"2015-05-24",72
"2015-05-31",71
"2015-06-07",71
"2015-06-14",72
"2015-06-21",74
"2015-06-28",72
"2015-07-05",73
"2015-07-12",72
"2015-07-19",71
"2015-07-26",73
"2015-08-02",73
"2015-08-09",74
"2015-08-16",71
"2015-08-23",71
"2015-08-30",68
"2015-09-06",67
"2015-09-13",68
"2015-09-20",68
"2015-09-27",73
"2015-10-04",69
"2015-10-11",69
"2015-10-18",70
"2015-10-25",71
"2015-11-01",70
"2015-11-08",67
"2015-11-15",69
"2015-11-22",69
"2015-11-29",63
"2015-12-06",62
"2015-12-13",64
"2015-12-20",69
"2015-12-27",76
"2016-01-03",82
"2016-01-10",78
"2016-01-17",81
"2016-01-24",80
"2016-01-31",78
"2016-02-07",79
"2016-02-14",79
"2016-02-21",78
"2016-02-28",75
"2016-03-06",75
"2016-03-13",76
"2016-03-20",79
"2016-03-27",81
"2016-04-03",79
"2016-04-10",79
"2016-04-17",78
"2016-04-24",77
"2016-05-01",77
"2016-05-08",79
"2016-05-15",78
"2016-05-22",79
"2016-05-29",83
"2016-06-05",78
"2016-06-12",79
"2016-06-19",78
"2016-06-26",79
"2016-07-03",80
"2016-07-10",79
"2016-07-17",77
"2016-07-24",77
"2016-07-31",76
"2016-08-07",75
"2016-08-14",71
"2016-08-21",73
"2016-08-28",71
"2016-09-04",64
"2016-09-11",67
"2016-09-18",69
"2016-09-25",68
"2016-10-02",67
"2016-10-09",67
"2016-10-16",68
"2016-10-23",65
"2016-10-30",67
"2016-11-06",66
"2016-11-13",65
"2016-11-20",67
"2016-11-27",62
"2016-12-04",62
"2016-12-11",64
"2016-12-18",65
"2016-12-25",68
"2017-01-01",67
"2017-01-08",63
"2017-01-15",65
"2017-01-22",66
"2017-01-29",64
"2017-02-05",63
"2017-02-12",63
"2017-02-19",63
"2017-02-26",60
"2017-03-05",60
"2017-03-12",60
"2017-03-19",61
"2017-03-26",61
"2017-04-02",60
"2017-04-09",61
"2017-04-16",64
"2017-04-23",60
"2017-04-30",61
"2017-05-07",62
"2017-05-14",61
"2017-05-21",61
"2017-05-28",61
"2017-06-04",60
"2017-06-11",63
"2017-06-18",61
"2017-06-25",63
"2017-07-02",62
"2017-07-09",61
"2017-07-16",61
"2017-07-23",61
"2017-07-30",61
"2017-08-06",60
"2017-08-13",59
"2017-08-20",58
"2017-08-27",56
"2017-09-03",54
"2017-09-10",54
"2017-09-17",55
"2017-09-24",54
"2017-10-01",53
"2017-10-08",52
"2017-10-15",52
"2017-10-22",50
"2017-10-29",51
"2017-11-05",49
"2017-11-12",48
"2017-11-19",50
"2017-11-26",48
"2017-12-03",48
"2017-12-10",48
"2017-12-17",49
"2017-12-24",52
"2017-12-31",51
"2018-01-07",47
"2018-01-14",47
"2018-01-21",46
"2018-01-28",46
"2018-02-04",45
"2018-02-11",46
"2018-02-18",46
"2018-02-25",45
"2018-03-04",43
"2018-03-11",44
"2018-03-18",48
"2018-03-25",48
"2018-04-01",46
"2018-04-08",47
"2018-04-15",43
"2018-04-22",42
"2018-04-29",43
"2018-05-06",42
"2018-05-13",41
"2018-05-20",42
"2018-05-27",43
"2018-06-03",43
"2018-06-10",44
"2018-06-17",45
"2018-06-24",43
"2018-07-01",45
"2018-07-08",44
"2018-07-15",42
"2018-07-22",46
"2018-07-29",45
"2018-08-05",43
"2018-08-12",42
"2018-08-19",42
"2018-08-26",42
"2018-09-02",41
"2018-09-09",41
"2018-09-16",40
"2018-09-23",41
"2018-09-30",40
"2018-10-07",40
"2018-10-14",39
"2018-10-21",37
"2018-10-28",39
"2018-11-04",37
"2018-11-11",39
"2018-11-18",39
