"date","colorado"
"2013-12-01",83
"2013-12-08",83
"2013-12-15",89
"2013-12-22",100
"2013-12-29",92
"2014-01-05",88
"2014-01-12",88
"2014-01-19",88
"2014-01-26",85
"2014-02-02",88
"2014-02-09",88
"2014-02-16",84
"2014-02-23",85
"2014-03-02",85
"2014-03-09",84
"2014-03-16",86
"2014-03-23",87
"2014-03-30",81
"2014-04-06",83
"2014-04-13",84
"2014-04-20",83
"2014-04-27",83
"2014-05-04",80
"2014-05-11",79
"2014-05-18",81
"2014-05-25",81
"2014-06-01",79
"2014-06-08",76
"2014-06-15",83
"2014-06-22",82
"2014-06-29",78
"2014-07-06",80
"2014-07-13",77
"2014-07-20",80
"2014-07-27",79
"2014-08-03",86
"2014-08-10",82
"2014-08-17",86
"2014-08-24",85
"2014-08-31",82
"2014-09-07",78
"2014-09-14",82
"2014-09-21",76
"2014-09-28",75
"2014-10-05",73
"2014-10-12",74
"2014-10-19",73
"2014-10-26",73
"2014-11-02",72
"2014-11-09",70
"2014-11-16",72
"2014-11-23",79
"2014-11-30",75
"2014-12-07",77
"2014-12-14",74
"2014-12-21",81
"2014-12-28",78
"2015-01-04",74
"2015-01-11",70
"2015-01-18",68
"2015-01-25",68
"2015-02-01",66
"2015-02-08",70
"2015-02-15",67
"2015-02-22",65
"2015-03-01",67
"2015-03-08",72
"2015-03-15",70
"2015-03-22",70
"2015-03-29",67
"2015-04-05",67
"2015-04-12",66
"2015-04-19",67
"2015-04-26",67
"2015-05-03",69
"2015-05-10",72
"2015-05-17",69
"2015-05-24",70
"2015-05-31",73
"2015-06-07",72
"2015-06-14",72
"2015-06-21",71
"2015-06-28",73
"2015-07-05",71
"2015-07-12",68
"2015-07-19",69
"2015-07-26",70
"2015-08-02",69
"2015-08-09",69
"2015-08-16",67
"2015-08-23",66
"2015-08-30",64
"2015-09-06",63
"2015-09-13",64
"2015-09-20",66
"2015-09-27",69
"2015-10-04",66
"2015-10-11",65
"2015-10-18",63
"2015-10-25",62
"2015-11-01",62
"2015-11-08",63
"2015-11-15",63
"2015-11-22",65
"2015-11-29",60
"2015-12-06",61
"2015-12-13",62
"2015-12-20",67
"2015-12-27",71
"2016-01-03",79
"2016-01-10",78
"2016-01-17",80
"2016-01-24",79
"2016-01-31",79
"2016-02-07",84
"2016-02-14",78
"2016-02-21",78
"2016-02-28",76
"2016-03-06",76
"2016-03-13",78
"2016-03-20",82
"2016-03-27",80
"2016-04-03",79
"2016-04-10",80
"2016-04-17",76
"2016-04-24",79
"2016-05-01",80
"2016-05-08",79
"2016-05-15",81
"2016-05-22",83
"2016-05-29",82
"2016-06-05",83
"2016-06-12",82
"2016-06-19",79
"2016-06-26",77
"2016-07-03",78
"2016-07-10",78
"2016-07-17",77
"2016-07-24",76
"2016-07-31",75
"2016-08-07",75
"2016-08-14",72
"2016-08-21",73
"2016-08-28",69
"2016-09-04",68
"2016-09-11",66
"2016-09-18",69
"2016-09-25",68
"2016-10-02",67
"2016-10-09",70
"2016-10-16",69
"2016-10-23",68
"2016-10-30",68
"2016-11-06",66
"2016-11-13",67
"2016-11-20",67
"2016-11-27",63
"2016-12-04",63
"2016-12-11",62
"2016-12-18",66
"2016-12-25",67
"2017-01-01",66
"2017-01-08",64
"2017-01-15",64
"2017-01-22",65
"2017-01-29",63
"2017-02-05",61
"2017-02-12",64
"2017-02-19",63
"2017-02-26",61
"2017-03-05",60
"2017-03-12",60
"2017-03-19",59
"2017-03-26",64
"2017-04-02",63
"2017-04-09",61
"2017-04-16",65
"2017-04-23",63
"2017-04-30",61
"2017-05-07",62
"2017-05-14",64
"2017-05-21",66
"2017-05-28",69
"2017-06-04",66
"2017-06-11",68
"2017-06-18",66
"2017-06-25",69
"2017-07-02",66
"2017-07-09",67
"2017-07-16",64
"2017-07-23",65
"2017-07-30",66
"2017-08-06",62
"2017-08-13",64
"2017-08-20",61
"2017-08-27",60
"2017-09-03",60
"2017-09-10",61
"2017-09-17",61
"2017-09-24",59
"2017-10-01",59
"2017-10-08",57
"2017-10-15",57
"2017-10-22",54
"2017-10-29",57
"2017-11-05",55
"2017-11-12",53
"2017-11-19",56
"2017-11-26",51
"2017-12-03",50
"2017-12-10",50
"2017-12-17",53
"2017-12-24",56
"2017-12-31",53
"2018-01-07",50
"2018-01-14",51
"2018-01-21",49
"2018-01-28",50
"2018-02-04",50
"2018-02-11",50
"2018-02-18",49
"2018-02-25",49
"2018-03-04",48
"2018-03-11",48
"2018-03-18",52
"2018-03-25",52
"2018-04-01",50
"2018-04-08",51
"2018-04-15",47
"2018-04-22",49
"2018-04-29",47
"2018-05-06",48
"2018-05-13",48
"2018-05-20",48
"2018-05-27",49
"2018-06-03",49
"2018-06-10",49
"2018-06-17",50
"2018-06-24",48
"2018-07-01",50
"2018-07-08",50
"2018-07-15",48
"2018-07-22",49
"2018-07-29",49
"2018-08-05",48
"2018-08-12",46
"2018-08-19",46
"2018-08-26",45
"2018-09-02",44
"2018-09-09",45
"2018-09-16",46
"2018-09-23",44
"2018-09-30",45
"2018-10-07",45
"2018-10-14",43
"2018-10-21",43
"2018-10-28",43
"2018-11-04",43
"2018-11-11",45
"2018-11-18",46
