"date","delaware"
"2013-12-01",79
"2013-12-08",76
"2013-12-15",85
"2013-12-22",88
"2013-12-29",82
"2014-01-05",83
"2014-01-12",86
"2014-01-19",83
"2014-01-26",84
"2014-02-02",80
"2014-02-09",82
"2014-02-16",78
"2014-02-23",76
"2014-03-02",78
"2014-03-09",79
"2014-03-16",75
"2014-03-23",74
"2014-03-30",75
"2014-04-06",76
"2014-04-13",78
"2014-04-20",79
"2014-04-27",77
"2014-05-04",76
"2014-05-11",69
"2014-05-18",73
"2014-05-25",70
"2014-06-01",77
"2014-06-08",76
"2014-06-15",80
"2014-06-22",75
"2014-06-29",74
"2014-07-06",78
"2014-07-13",75
"2014-07-20",77
"2014-07-27",76
"2014-08-03",78
"2014-08-10",73
"2014-08-17",81
"2014-08-24",80
"2014-08-31",78
"2014-09-07",73
"2014-09-14",77
"2014-09-21",77
"2014-09-28",75
"2014-10-05",72
"2014-10-12",72
"2014-10-19",71
"2014-10-26",73
"2014-11-02",69
"2014-11-09",67
"2014-11-16",65
"2014-11-23",70
"2014-11-30",65
"2014-12-07",69
"2014-12-14",70
"2014-12-21",78
"2014-12-28",75
"2015-01-04",60
"2015-01-11",64
"2015-01-18",68
"2015-01-25",66
"2015-02-01",66
"2015-02-08",63
"2015-02-15",59
"2015-02-22",63
"2015-03-01",63
"2015-03-08",65
"2015-03-15",61
"2015-03-22",68
"2015-03-29",71
"2015-04-05",68
"2015-04-12",66
"2015-04-19",63
"2015-04-26",66
"2015-05-03",64
"2015-05-10",68
"2015-05-17",70
"2015-05-24",71
"2015-05-31",70
"2015-06-07",75
"2015-06-14",73
"2015-06-21",74
"2015-06-28",71
"2015-07-05",69
"2015-07-12",65
"2015-07-19",69
"2015-07-26",69
"2015-08-02",64
"2015-08-09",67
"2015-08-16",71
"2015-08-23",68
"2015-08-30",68
"2015-09-06",67
"2015-09-13",63
"2015-09-20",64
"2015-09-27",71
"2015-10-04",64
"2015-10-11",64
"2015-10-18",67
"2015-10-25",64
"2015-11-01",59
"2015-11-08",63
"2015-11-15",65
"2015-11-22",65
"2015-11-29",60
"2015-12-06",59
"2015-12-13",64
"2015-12-20",71
"2015-12-27",78
"2016-01-03",90
"2016-01-10",89
"2016-01-17",93
"2016-01-24",94
"2016-01-31",95
"2016-02-07",95
"2016-02-14",93
"2016-02-21",90
"2016-02-28",89
"2016-03-06",92
"2016-03-13",93
"2016-03-20",93
"2016-03-27",100
"2016-04-03",94
"2016-04-10",94
"2016-04-17",86
"2016-04-24",90
"2016-05-01",88
"2016-05-08",92
"2016-05-15",91
"2016-05-22",97
"2016-05-29",96
"2016-06-05",96
"2016-06-12",96
"2016-06-19",91
"2016-06-26",94
"2016-07-03",91
"2016-07-10",89
"2016-07-17",94
"2016-07-24",90
"2016-07-31",87
"2016-08-07",84
"2016-08-14",85
"2016-08-21",87
"2016-08-28",86
"2016-09-04",82
"2016-09-11",79
"2016-09-18",77
"2016-09-25",76
"2016-10-02",79
"2016-10-09",80
"2016-10-16",80
"2016-10-23",81
"2016-10-30",80
"2016-11-06",80
"2016-11-13",74
"2016-11-20",80
"2016-11-27",77
"2016-12-04",70
"2016-12-11",70
"2016-12-18",78
"2016-12-25",83
"2017-01-01",75
"2017-01-08",82
"2017-01-15",78
"2017-01-22",81
"2017-01-29",78
"2017-02-05",81
"2017-02-12",76
"2017-02-19",77
"2017-02-26",76
"2017-03-05",73
"2017-03-12",76
"2017-03-19",74
"2017-03-26",78
"2017-04-02",74
"2017-04-09",76
"2017-04-16",84
"2017-04-23",81
"2017-04-30",76
"2017-05-07",75
"2017-05-14",81
"2017-05-21",77
"2017-05-28",78
"2017-06-04",82
"2017-06-11",81
"2017-06-18",81
"2017-06-25",81
"2017-07-02",79
"2017-07-09",83
"2017-07-16",78
"2017-07-23",77
"2017-07-30",78
"2017-08-06",75
"2017-08-13",85
"2017-08-20",78
"2017-08-27",74
"2017-09-03",72
"2017-09-10",72
"2017-09-17",77
"2017-09-24",74
"2017-10-01",74
"2017-10-08",69
"2017-10-15",68
"2017-10-22",71
"2017-10-29",67
"2017-11-05",67
"2017-11-12",65
"2017-11-19",66
"2017-11-26",62
"2017-12-03",60
"2017-12-10",62
"2017-12-17",62
"2017-12-24",69
"2017-12-31",71
"2018-01-07",63
"2018-01-14",63
"2018-01-21",61
"2018-01-28",61
"2018-02-04",63
"2018-02-11",65
"2018-02-18",60
"2018-02-25",59
"2018-03-04",59
"2018-03-11",60
"2018-03-18",64
"2018-03-25",64
"2018-04-01",64
"2018-04-08",61
"2018-04-15",57
"2018-04-22",57
"2018-04-29",56
"2018-05-06",59
"2018-05-13",56
"2018-05-20",58
"2018-05-27",57
"2018-06-03",58
"2018-06-10",58
"2018-06-17",62
"2018-06-24",59
"2018-07-01",60
"2018-07-08",60
"2018-07-15",57
"2018-07-22",59
"2018-07-29",61
"2018-08-05",57
"2018-08-12",55
"2018-08-19",57
"2018-08-26",59
"2018-09-02",56
"2018-09-09",53
"2018-09-16",54
"2018-09-23",54
"2018-09-30",53
"2018-10-07",54
"2018-10-14",51
"2018-10-21",51
"2018-10-28",56
"2018-11-04",55
"2018-11-11",52
"2018-11-18",52
