"date","district of columbia"
"2013-12-01",62
"2013-12-08",60
"2013-12-15",72
"2013-12-22",93
"2013-12-29",79
"2014-01-05",72
"2014-01-12",71
"2014-01-19",85
"2014-01-26",93
"2014-02-02",92
"2014-02-09",85
"2014-02-16",78
"2014-02-23",74
"2014-03-02",77
"2014-03-09",87
"2014-03-16",83
"2014-03-23",77
"2014-03-30",94
"2014-04-06",100
"2014-04-13",92
"2014-04-20",88
"2014-04-27",72
"2014-05-04",64
"2014-05-11",62
"2014-05-18",62
"2014-05-25",62
"2014-06-01",58
"2014-06-08",55
"2014-06-15",54
"2014-06-22",55
"2014-06-29",58
"2014-07-06",59
"2014-07-13",70
"2014-07-20",68
"2014-07-27",66
"2014-08-03",72
"2014-08-10",74
"2014-08-17",77
"2014-08-24",69
"2014-08-31",72
"2014-09-07",68
"2014-09-14",69
"2014-09-21",70
"2014-09-28",65
"2014-10-05",63
"2014-10-12",64
"2014-10-19",60
"2014-10-26",64
"2014-11-02",61
"2014-11-09",60
"2014-11-16",60
"2014-11-23",60
"2014-11-30",57
"2014-12-07",57
"2014-12-14",59
"2014-12-21",63
"2014-12-28",63
"2015-01-04",59
"2015-01-11",56
"2015-01-18",56
"2015-01-25",60
"2015-02-01",54
"2015-02-08",56
"2015-02-15",58
"2015-02-22",58
"2015-03-01",57
"2015-03-08",56
"2015-03-15",53
"2015-03-22",55
"2015-03-29",56
"2015-04-05",56
"2015-04-12",54
"2015-04-19",56
"2015-04-26",57
"2015-05-03",54
"2015-05-10",57
"2015-05-17",55
"2015-05-24",55
"2015-05-31",56
"2015-06-07",54
"2015-06-14",55
"2015-06-21",66
"2015-06-28",78
"2015-07-05",78
"2015-07-12",78
"2015-07-19",80
"2015-07-26",78
"2015-08-02",82
"2015-08-09",79
"2015-08-16",81
"2015-08-23",82
"2015-08-30",83
"2015-09-06",85
"2015-09-13",83
"2015-09-20",83
"2015-09-27",85
"2015-10-04",82
"2015-10-11",79
"2015-10-18",73
"2015-10-25",72
"2015-11-01",73
"2015-11-08",73
"2015-11-15",75
"2015-11-22",76
"2015-11-29",71
"2015-12-06",71
"2015-12-13",71
"2015-12-20",76
"2015-12-27",80
"2016-01-03",76
"2016-01-10",70
"2016-01-17",75
"2016-01-24",73
"2016-01-31",70
"2016-02-07",72
"2016-02-14",71
"2016-02-21",68
"2016-02-28",68
"2016-03-06",70
"2016-03-13",70
"2016-03-20",69
"2016-03-27",69
"2016-04-03",67
"2016-04-10",65
"2016-04-17",67
"2016-04-24",65
"2016-05-01",66
"2016-05-08",67
"2016-05-15",67
"2016-05-22",66
"2016-05-29",67
"2016-06-05",62
"2016-06-12",67
"2016-06-19",70
"2016-06-26",70
"2016-07-03",76
"2016-07-10",76
"2016-07-17",72
"2016-07-24",74
"2016-07-31",73
"2016-08-07",74
"2016-08-14",71
"2016-08-21",71
"2016-08-28",70
"2016-09-04",53
"2016-09-11",63
"2016-09-18",72
"2016-09-25",70
"2016-10-02",64
"2016-10-09",68
"2016-10-16",66
"2016-10-23",70
"2016-10-30",67
"2016-11-06",68
"2016-11-13",70
"2016-11-20",69
"2016-11-27",68
"2016-12-04",73
"2016-12-11",67
"2016-12-18",68
"2016-12-25",73
"2017-01-01",74
"2017-01-08",69
"2017-01-15",65
"2017-01-22",64
"2017-01-29",63
"2017-02-05",63
"2017-02-12",63
"2017-02-19",61
"2017-02-26",57
"2017-03-05",55
"2017-03-12",57
"2017-03-19",56
"2017-03-26",58
"2017-04-02",56
"2017-04-09",58
"2017-04-16",67
"2017-04-23",58
"2017-04-30",59
"2017-05-07",60
"2017-05-14",62
"2017-05-21",59
"2017-05-28",60
"2017-06-04",58
"2017-06-11",59
"2017-06-18",61
"2017-06-25",61
"2017-07-02",60
"2017-07-09",57
"2017-07-16",54
"2017-07-23",55
"2017-07-30",58
"2017-08-06",59
"2017-08-13",60
"2017-08-20",61
"2017-08-27",59
"2017-09-03",58
"2017-09-10",61
"2017-09-17",57
"2017-09-24",52
"2017-10-01",52
"2017-10-08",53
"2017-10-15",53
"2017-10-22",51
"2017-10-29",51
"2017-11-05",51
"2017-11-12",45
"2017-11-19",41
"2017-11-26",40
"2017-12-03",41
"2017-12-10",38
"2017-12-17",42
"2017-12-24",48
"2017-12-31",44
"2018-01-07",40
"2018-01-14",42
"2018-01-21",39
"2018-01-28",40
"2018-02-04",39
"2018-02-11",40
"2018-02-18",38
"2018-02-25",37
"2018-03-04",37
"2018-03-11",38
"2018-03-18",43
"2018-03-25",44
"2018-04-01",41
"2018-04-08",45
"2018-04-15",37
"2018-04-22",37
"2018-04-29",38
"2018-05-06",38
"2018-05-13",36
"2018-05-20",37
"2018-05-27",36
"2018-06-03",35
"2018-06-10",34
"2018-06-17",38
"2018-06-24",35
"2018-07-01",36
"2018-07-08",37
"2018-07-15",37
"2018-07-22",40
"2018-07-29",36
"2018-08-05",36
"2018-08-12",36
"2018-08-19",37
"2018-08-26",36
"2018-09-02",34
"2018-09-09",36
"2018-09-16",35
"2018-09-23",35
"2018-09-30",34
"2018-10-07",34
"2018-10-14",32
"2018-10-21",32
"2018-10-28",34
"2018-11-04",30
"2018-11-11",30
"2018-11-18",35
