"date","florida"
"2013-12-01",88
"2013-12-08",93
"2013-12-15",95
"2013-12-22",100
"2013-12-29",97
"2014-01-05",91
"2014-01-12",88
"2014-01-19",95
"2014-01-26",93
"2014-02-02",90
"2014-02-09",88
"2014-02-16",86
"2014-02-23",88
"2014-03-02",88
"2014-03-09",87
"2014-03-16",90
"2014-03-23",88
"2014-03-30",87
"2014-04-06",90
"2014-04-13",84
"2014-04-20",88
"2014-04-27",88
"2014-05-04",88
"2014-05-11",89
"2014-05-18",85
"2014-05-25",85
"2014-06-01",84
"2014-06-08",82
"2014-06-15",83
"2014-06-22",88
"2014-06-29",88
"2014-07-06",88
"2014-07-13",85
"2014-07-20",87
"2014-07-27",89
"2014-08-03",87
"2014-08-10",85
"2014-08-17",89
"2014-08-24",86
"2014-08-31",84
"2014-09-07",85
"2014-09-14",87
"2014-09-21",90
"2014-09-28",85
"2014-10-05",85
"2014-10-12",86
"2014-10-19",86
"2014-10-26",92
"2014-11-02",86
"2014-11-09",83
"2014-11-16",84
"2014-11-23",83
"2014-11-30",81
"2014-12-07",81
"2014-12-14",83
"2014-12-21",87
"2014-12-28",82
"2015-01-04",78
"2015-01-11",77
"2015-01-18",80
"2015-01-25",79
"2015-02-01",76
"2015-02-08",74
"2015-02-15",75
"2015-02-22",76
"2015-03-01",75
"2015-03-08",74
"2015-03-15",77
"2015-03-22",80
"2015-03-29",77
"2015-04-05",78
"2015-04-12",79
"2015-04-19",78
"2015-04-26",78
"2015-05-03",80
"2015-05-10",78
"2015-05-17",80
"2015-05-24",79
"2015-05-31",82
"2015-06-07",80
"2015-06-14",80
"2015-06-21",80
"2015-06-28",79
"2015-07-05",77
"2015-07-12",75
"2015-07-19",77
"2015-07-26",76
"2015-08-02",76
"2015-08-09",78
"2015-08-16",76
"2015-08-23",74
"2015-08-30",71
"2015-09-06",70
"2015-09-13",71
"2015-09-20",73
"2015-09-27",77
"2015-10-04",73
"2015-10-11",73
"2015-10-18",73
"2015-10-25",73
"2015-11-01",73
"2015-11-08",71
"2015-11-15",72
"2015-11-22",72
"2015-11-29",70
"2015-12-06",72
"2015-12-13",70
"2015-12-20",75
"2015-12-27",80
"2016-01-03",88
"2016-01-10",89
"2016-01-17",91
"2016-01-24",90
"2016-01-31",90
"2016-02-07",90
"2016-02-14",90
"2016-02-21",91
"2016-02-28",89
"2016-03-06",88
"2016-03-13",89
"2016-03-20",92
"2016-03-27",89
"2016-04-03",87
"2016-04-10",89
"2016-04-17",90
"2016-04-24",87
"2016-05-01",89
"2016-05-08",92
"2016-05-15",89
"2016-05-22",89
"2016-05-29",93
"2016-06-05",89
"2016-06-12",94
"2016-06-19",90
"2016-06-26",86
"2016-07-03",89
"2016-07-10",86
"2016-07-17",87
"2016-07-24",86
"2016-07-31",86
"2016-08-07",85
"2016-08-14",83
"2016-08-21",80
"2016-08-28",80
"2016-09-04",76
"2016-09-11",77
"2016-09-18",78
"2016-09-25",79
"2016-10-02",78
"2016-10-09",78
"2016-10-16",80
"2016-10-23",76
"2016-10-30",76
"2016-11-06",77
"2016-11-13",76
"2016-11-20",76
"2016-11-27",71
"2016-12-04",72
"2016-12-11",74
"2016-12-18",76
"2016-12-25",76
"2017-01-01",76
"2017-01-08",71
"2017-01-15",71
"2017-01-22",71
"2017-01-29",70
"2017-02-05",72
"2017-02-12",72
"2017-02-19",70
"2017-02-26",68
"2017-03-05",68
"2017-03-12",69
"2017-03-19",70
"2017-03-26",71
"2017-04-02",68
"2017-04-09",71
"2017-04-16",76
"2017-04-23",70
"2017-04-30",71
"2017-05-07",71
"2017-05-14",73
"2017-05-21",71
"2017-05-28",72
"2017-06-04",70
"2017-06-11",71
"2017-06-18",73
"2017-06-25",71
"2017-07-02",73
"2017-07-09",70
"2017-07-16",69
"2017-07-23",71
"2017-07-30",69
"2017-08-06",70
"2017-08-13",70
"2017-08-20",69
"2017-08-27",65
"2017-09-03",63
"2017-09-10",77
"2017-09-17",66
"2017-09-24",66
"2017-10-01",63
"2017-10-08",63
"2017-10-15",63
"2017-10-22",61
"2017-10-29",61
"2017-11-05",61
"2017-11-12",58
"2017-11-19",59
"2017-11-26",56
"2017-12-03",55
"2017-12-10",56
"2017-12-17",57
"2017-12-24",62
"2017-12-31",59
"2018-01-07",56
"2018-01-14",55
"2018-01-21",54
"2018-01-28",54
"2018-02-04",53
"2018-02-11",55
"2018-02-18",54
"2018-02-25",53
"2018-03-04",52
"2018-03-11",52
"2018-03-18",55
"2018-03-25",55
"2018-04-01",53
"2018-04-08",54
"2018-04-15",52
"2018-04-22",51
"2018-04-29",49
"2018-05-06",50
"2018-05-13",49
"2018-05-20",51
"2018-05-27",52
"2018-06-03",51
"2018-06-10",51
"2018-06-17",52
"2018-06-24",51
"2018-07-01",51
"2018-07-08",51
"2018-07-15",50
"2018-07-22",51
"2018-07-29",51
"2018-08-05",50
"2018-08-12",51
"2018-08-19",50
"2018-08-26",49
"2018-09-02",48
"2018-09-09",48
"2018-09-16",47
"2018-09-23",49
"2018-09-30",48
"2018-10-07",48
"2018-10-14",47
"2018-10-21",47
"2018-10-28",46
"2018-11-04",46
"2018-11-11",47
"2018-11-18",48
