"date","georgia"
"2013-12-01",73
"2013-12-08",77
"2013-12-15",79
"2013-12-22",86
"2013-12-29",85
"2014-01-05",82
"2014-01-12",73
"2014-01-19",76
"2014-01-26",77
"2014-02-02",76
"2014-02-09",78
"2014-02-16",76
"2014-02-23",75
"2014-03-02",71
"2014-03-09",75
"2014-03-16",81
"2014-03-23",80
"2014-03-30",84
"2014-04-06",84
"2014-04-13",77
"2014-04-20",75
"2014-04-27",75
"2014-05-04",73
"2014-05-11",76
"2014-05-18",76
"2014-05-25",76
"2014-06-01",73
"2014-06-08",75
"2014-06-15",77
"2014-06-22",77
"2014-06-29",81
"2014-07-06",81
"2014-07-13",87
"2014-07-20",84
"2014-07-27",85
"2014-08-03",86
"2014-08-10",87
"2014-08-17",87
"2014-08-24",83
"2014-08-31",87
"2014-09-07",86
"2014-09-14",85
"2014-09-21",90
"2014-09-28",89
"2014-10-05",90
"2014-10-12",90
"2014-10-19",93
"2014-10-26",89
"2014-11-02",89
"2014-11-09",87
"2014-11-16",86
"2014-11-23",91
"2014-11-30",84
"2014-12-07",88
"2014-12-14",87
"2014-12-21",100
"2014-12-28",95
"2015-01-04",87
"2015-01-11",83
"2015-01-18",84
"2015-01-25",84
"2015-02-01",79
"2015-02-08",80
"2015-02-15",81
"2015-02-22",83
"2015-03-01",81
"2015-03-08",80
"2015-03-15",80
"2015-03-22",82
"2015-03-29",80
"2015-04-05",86
"2015-04-12",83
"2015-04-19",84
"2015-04-26",83
"2015-05-03",82
"2015-05-10",83
"2015-05-17",86
"2015-05-24",90
"2015-05-31",84
"2015-06-07",89
"2015-06-14",82
"2015-06-21",74
"2015-06-28",66
"2015-07-05",67
"2015-07-12",65
"2015-07-19",64
"2015-07-26",65
"2015-08-02",64
"2015-08-09",64
"2015-08-16",61
"2015-08-23",60
"2015-08-30",59
"2015-09-06",58
"2015-09-13",57
"2015-09-20",59
"2015-09-27",60
"2015-10-04",61
"2015-10-11",63
"2015-10-18",59
"2015-10-25",61
"2015-11-01",60
"2015-11-08",62
"2015-11-15",60
"2015-11-22",62
"2015-11-29",58
"2015-12-06",58
"2015-12-13",59
"2015-12-20",61
"2015-12-27",68
"2016-01-03",79
"2016-01-10",73
"2016-01-17",74
"2016-01-24",74
"2016-01-31",74
"2016-02-07",74
"2016-02-14",73
"2016-02-21",73
"2016-02-28",72
"2016-03-06",70
"2016-03-13",72
"2016-03-20",71
"2016-03-27",74
"2016-04-03",72
"2016-04-10",74
"2016-04-17",71
"2016-04-24",72
"2016-05-01",73
"2016-05-08",77
"2016-05-15",73
"2016-05-22",77
"2016-05-29",79
"2016-06-05",77
"2016-06-12",74
"2016-06-19",74
"2016-06-26",72
"2016-07-03",75
"2016-07-10",73
"2016-07-17",73
"2016-07-24",70
"2016-07-31",71
"2016-08-07",70
"2016-08-14",69
"2016-08-21",66
"2016-08-28",65
"2016-09-04",59
"2016-09-11",65
"2016-09-18",62
"2016-09-25",65
"2016-10-02",65
"2016-10-09",64
"2016-10-16",65
"2016-10-23",62
"2016-10-30",63
"2016-11-06",61
"2016-11-13",60
"2016-11-20",65
"2016-11-27",58
"2016-12-04",59
"2016-12-11",60
"2016-12-18",62
"2016-12-25",66
"2017-01-01",65
"2017-01-08",62
"2017-01-15",62
"2017-01-22",62
"2017-01-29",60
"2017-02-05",58
"2017-02-12",59
"2017-02-19",60
"2017-02-26",56
"2017-03-05",57
"2017-03-12",56
"2017-03-19",59
"2017-03-26",58
"2017-04-02",60
"2017-04-09",61
"2017-04-16",63
"2017-04-23",57
"2017-04-30",57
"2017-05-07",57
"2017-05-14",61
"2017-05-21",64
"2017-05-28",62
"2017-06-04",59
"2017-06-11",61
"2017-06-18",60
"2017-06-25",61
"2017-07-02",61
"2017-07-09",58
"2017-07-16",58
"2017-07-23",59
"2017-07-30",58
"2017-08-06",56
"2017-08-13",56
"2017-08-20",56
"2017-08-27",55
"2017-09-03",52
"2017-09-10",57
"2017-09-17",53
"2017-09-24",55
"2017-10-01",52
"2017-10-08",54
"2017-10-15",51
"2017-10-22",49
"2017-10-29",50
"2017-11-05",48
"2017-11-12",49
"2017-11-19",51
"2017-11-26",46
"2017-12-03",48
"2017-12-10",48
"2017-12-17",48
"2017-12-24",51
"2017-12-31",51
"2018-01-07",46
"2018-01-14",47
"2018-01-21",45
"2018-01-28",44
"2018-02-04",45
"2018-02-11",46
"2018-02-18",44
"2018-02-25",44
"2018-03-04",42
"2018-03-11",42
"2018-03-18",44
"2018-03-25",44
"2018-04-01",46
"2018-04-08",44
"2018-04-15",43
"2018-04-22",42
"2018-04-29",42
"2018-05-06",42
"2018-05-13",43
"2018-05-20",45
"2018-05-27",44
"2018-06-03",43
"2018-06-10",43
"2018-06-17",45
"2018-06-24",44
"2018-07-01",44
"2018-07-08",44
"2018-07-15",41
"2018-07-22",42
"2018-07-29",44
"2018-08-05",43
"2018-08-12",39
"2018-08-19",41
"2018-08-26",38
"2018-09-02",39
"2018-09-09",38
"2018-09-16",40
"2018-09-23",40
"2018-09-30",39
"2018-10-07",40
"2018-10-14",38
"2018-10-21",38
"2018-10-28",37
"2018-11-04",36
"2018-11-11",38
"2018-11-18",39
