"date","illinois"
"2013-12-01",89
"2013-12-08",90
"2013-12-15",91
"2013-12-22",100
"2013-12-29",95
"2014-01-05",91
"2014-01-12",88
"2014-01-19",91
"2014-01-26",92
"2014-02-02",91
"2014-02-09",90
"2014-02-16",89
"2014-02-23",87
"2014-03-02",85
"2014-03-09",85
"2014-03-16",87
"2014-03-23",91
"2014-03-30",87
"2014-04-06",86
"2014-04-13",85
"2014-04-20",86
"2014-04-27",83
"2014-05-04",85
"2014-05-11",91
"2014-05-18",91
"2014-05-25",83
"2014-06-01",82
"2014-06-08",81
"2014-06-15",85
"2014-06-22",84
"2014-06-29",87
"2014-07-06",84
"2014-07-13",86
"2014-07-20",84
"2014-07-27",87
"2014-08-03",88
"2014-08-10",84
"2014-08-17",88
"2014-08-24",87
"2014-08-31",88
"2014-09-07",83
"2014-09-14",85
"2014-09-21",86
"2014-09-28",83
"2014-10-05",82
"2014-10-12",85
"2014-10-19",87
"2014-10-26",89
"2014-11-02",89
"2014-11-09",86
"2014-11-16",87
"2014-11-23",89
"2014-11-30",84
"2014-12-07",85
"2014-12-14",85
"2014-12-21",94
"2014-12-28",92
"2015-01-04",84
"2015-01-11",83
"2015-01-18",82
"2015-01-25",84
"2015-02-01",80
"2015-02-08",78
"2015-02-15",80
"2015-02-22",79
"2015-03-01",80
"2015-03-08",80
"2015-03-15",79
"2015-03-22",83
"2015-03-29",84
"2015-04-05",84
"2015-04-12",83
"2015-04-19",83
"2015-04-26",82
"2015-05-03",84
"2015-05-10",84
"2015-05-17",85
"2015-05-24",87
"2015-05-31",85
"2015-06-07",86
"2015-06-14",91
"2015-06-21",82
"2015-06-28",76
"2015-07-05",75
"2015-07-12",77
"2015-07-19",76
"2015-07-26",77
"2015-08-02",79
"2015-08-09",78
"2015-08-16",78
"2015-08-23",76
"2015-08-30",75
"2015-09-06",73
"2015-09-13",75
"2015-09-20",73
"2015-09-27",79
"2015-10-04",75
"2015-10-11",71
"2015-10-18",68
"2015-10-25",67
"2015-11-01",66
"2015-11-08",67
"2015-11-15",67
"2015-11-22",68
"2015-11-29",62
"2015-12-06",64
"2015-12-13",65
"2015-12-20",76
"2015-12-27",79
"2016-01-03",85
"2016-01-10",81
"2016-01-17",84
"2016-01-24",84
"2016-01-31",82
"2016-02-07",82
"2016-02-14",83
"2016-02-21",80
"2016-02-28",78
"2016-03-06",79
"2016-03-13",80
"2016-03-20",82
"2016-03-27",83
"2016-04-03",81
"2016-04-10",81
"2016-04-17",79
"2016-04-24",80
"2016-05-01",80
"2016-05-08",81
"2016-05-15",81
"2016-05-22",84
"2016-05-29",85
"2016-06-05",83
"2016-06-12",83
"2016-06-19",84
"2016-06-26",85
"2016-07-03",87
"2016-07-10",82
"2016-07-17",81
"2016-07-24",80
"2016-07-31",79
"2016-08-07",80
"2016-08-14",77
"2016-08-21",77
"2016-08-28",76
"2016-09-04",68
"2016-09-11",72
"2016-09-18",72
"2016-09-25",73
"2016-10-02",72
"2016-10-09",73
"2016-10-16",72
"2016-10-23",71
"2016-10-30",72
"2016-11-06",73
"2016-11-13",71
"2016-11-20",72
"2016-11-27",69
"2016-12-04",70
"2016-12-11",71
"2016-12-18",69
"2016-12-25",73
"2017-01-01",76
"2017-01-08",69
"2017-01-15",71
"2017-01-22",71
"2017-01-29",67
"2017-02-05",68
"2017-02-12",69
"2017-02-19",67
"2017-02-26",65
"2017-03-05",66
"2017-03-12",65
"2017-03-19",69
"2017-03-26",69
"2017-04-02",63
"2017-04-09",66
"2017-04-16",71
"2017-04-23",67
"2017-04-30",65
"2017-05-07",66
"2017-05-14",65
"2017-05-21",65
"2017-05-28",69
"2017-06-04",67
"2017-06-11",68
"2017-06-18",68
"2017-06-25",67
"2017-07-02",67
"2017-07-09",66
"2017-07-16",65
"2017-07-23",68
"2017-07-30",68
"2017-08-06",67
"2017-08-13",67
"2017-08-20",66
"2017-08-27",65
"2017-09-03",62
"2017-09-10",61
"2017-09-17",63
"2017-09-24",60
"2017-10-01",61
"2017-10-08",60
"2017-10-15",57
"2017-10-22",58
"2017-10-29",59
"2017-11-05",57
"2017-11-12",57
"2017-11-19",57
"2017-11-26",53
"2017-12-03",52
"2017-12-10",51
"2017-12-17",53
"2017-12-24",60
"2017-12-31",56
"2018-01-07",52
"2018-01-14",53
"2018-01-21",52
"2018-01-28",51
"2018-02-04",52
"2018-02-11",53
"2018-02-18",52
"2018-02-25",49
"2018-03-04",49
"2018-03-11",48
"2018-03-18",53
"2018-03-25",53
"2018-04-01",52
"2018-04-08",52
"2018-04-15",48
"2018-04-22",48
"2018-04-29",46
"2018-05-06",47
"2018-05-13",47
"2018-05-20",47
"2018-05-27",49
"2018-06-03",48
"2018-06-10",49
"2018-06-17",51
"2018-06-24",50
"2018-07-01",51
"2018-07-08",51
"2018-07-15",48
"2018-07-22",51
"2018-07-29",51
"2018-08-05",49
"2018-08-12",50
"2018-08-19",49
"2018-08-26",47
"2018-09-02",48
"2018-09-09",47
"2018-09-16",46
"2018-09-23",47
"2018-09-30",45
"2018-10-07",46
"2018-10-14",43
"2018-10-21",45
"2018-10-28",44
"2018-11-04",44
"2018-11-11",45
"2018-11-18",45
