"date","indiana"
"2013-12-01",76
"2013-12-08",79
"2013-12-15",81
"2013-12-22",92
"2013-12-29",85
"2014-01-05",85
"2014-01-12",79
"2014-01-19",78
"2014-01-26",77
"2014-02-02",80
"2014-02-09",75
"2014-02-16",76
"2014-02-23",75
"2014-03-02",76
"2014-03-09",76
"2014-03-16",75
"2014-03-23",76
"2014-03-30",74
"2014-04-06",74
"2014-04-13",74
"2014-04-20",75
"2014-04-27",74
"2014-05-04",76
"2014-05-11",73
"2014-05-18",73
"2014-05-25",78
"2014-06-01",80
"2014-06-08",76
"2014-06-15",77
"2014-06-22",78
"2014-06-29",80
"2014-07-06",77
"2014-07-13",79
"2014-07-20",75
"2014-07-27",78
"2014-08-03",74
"2014-08-10",73
"2014-08-17",74
"2014-08-24",73
"2014-08-31",73
"2014-09-07",71
"2014-09-14",73
"2014-09-21",73
"2014-09-28",69
"2014-10-05",69
"2014-10-12",72
"2014-10-19",70
"2014-10-26",69
"2014-11-02",65
"2014-11-09",66
"2014-11-16",67
"2014-11-23",70
"2014-11-30",65
"2014-12-07",65
"2014-12-14",65
"2014-12-21",76
"2014-12-28",72
"2015-01-04",66
"2015-01-11",63
"2015-01-18",61
"2015-01-25",62
"2015-02-01",63
"2015-02-08",61
"2015-02-15",63
"2015-02-22",61
"2015-03-01",63
"2015-03-08",61
"2015-03-15",63
"2015-03-22",64
"2015-03-29",67
"2015-04-05",65
"2015-04-12",65
"2015-04-19",64
"2015-04-26",63
"2015-05-03",63
"2015-05-10",65
"2015-05-17",69
"2015-05-24",68
"2015-05-31",72
"2015-06-07",72
"2015-06-14",72
"2015-06-21",78
"2015-06-28",80
"2015-07-05",77
"2015-07-12",75
"2015-07-19",77
"2015-07-26",77
"2015-08-02",73
"2015-08-09",70
"2015-08-16",70
"2015-08-23",69
"2015-08-30",64
"2015-09-06",62
"2015-09-13",64
"2015-09-20",66
"2015-09-27",66
"2015-10-04",65
"2015-10-11",65
"2015-10-18",66
"2015-10-25",64
"2015-11-01",62
"2015-11-08",63
"2015-11-15",62
"2015-11-22",65
"2015-11-29",59
"2015-12-06",59
"2015-12-13",63
"2015-12-20",74
"2015-12-27",82
"2016-01-03",92
"2016-01-10",87
"2016-01-17",90
"2016-01-24",90
"2016-01-31",86
"2016-02-07",83
"2016-02-14",89
"2016-02-21",85
"2016-02-28",86
"2016-03-06",87
"2016-03-13",91
"2016-03-20",89
"2016-03-27",90
"2016-04-03",88
"2016-04-10",88
"2016-04-17",89
"2016-04-24",87
"2016-05-01",86
"2016-05-08",90
"2016-05-15",94
"2016-05-22",95
"2016-05-29",100
"2016-06-05",93
"2016-06-12",92
"2016-06-19",92
"2016-06-26",91
"2016-07-03",92
"2016-07-10",94
"2016-07-17",90
"2016-07-24",91
"2016-07-31",89
"2016-08-07",83
"2016-08-14",83
"2016-08-21",79
"2016-08-28",78
"2016-09-04",74
"2016-09-11",74
"2016-09-18",75
"2016-09-25",75
"2016-10-02",76
"2016-10-09",80
"2016-10-16",77
"2016-10-23",75
"2016-10-30",74
"2016-11-06",73
"2016-11-13",72
"2016-11-20",76
"2016-11-27",71
"2016-12-04",71
"2016-12-11",71
"2016-12-18",78
"2016-12-25",81
"2017-01-01",80
"2017-01-08",74
"2017-01-15",71
"2017-01-22",73
"2017-01-29",71
"2017-02-05",71
"2017-02-12",71
"2017-02-19",72
"2017-02-26",70
"2017-03-05",67
"2017-03-12",71
"2017-03-19",72
"2017-03-26",72
"2017-04-02",71
"2017-04-09",69
"2017-04-16",76
"2017-04-23",69
"2017-04-30",69
"2017-05-07",72
"2017-05-14",73
"2017-05-21",74
"2017-05-28",78
"2017-06-04",78
"2017-06-11",77
"2017-06-18",78
"2017-06-25",78
"2017-07-02",77
"2017-07-09",76
"2017-07-16",76
"2017-07-23",76
"2017-07-30",75
"2017-08-06",73
"2017-08-13",72
"2017-08-20",70
"2017-08-27",65
"2017-09-03",66
"2017-09-10",63
"2017-09-17",63
"2017-09-24",65
"2017-10-01",66
"2017-10-08",64
"2017-10-15",63
"2017-10-22",60
"2017-10-29",61
"2017-11-05",59
"2017-11-12",57
"2017-11-19",60
"2017-11-26",55
"2017-12-03",55
"2017-12-10",56
"2017-12-17",60
"2017-12-24",67
"2017-12-31",62
"2018-01-07",57
"2018-01-14",57
"2018-01-21",56
"2018-01-28",55
"2018-02-04",54
"2018-02-11",54
"2018-02-18",54
"2018-02-25",54
"2018-03-04",52
"2018-03-11",53
"2018-03-18",57
"2018-03-25",57
"2018-04-01",56
"2018-04-08",53
"2018-04-15",52
"2018-04-22",51
"2018-04-29",50
"2018-05-06",51
"2018-05-13",51
"2018-05-20",53
"2018-05-27",56
"2018-06-03",54
"2018-06-10",54
"2018-06-17",56
"2018-06-24",55
"2018-07-01",56
"2018-07-08",56
"2018-07-15",54
"2018-07-22",55
"2018-07-29",56
"2018-08-05",55
"2018-08-12",53
"2018-08-19",51
"2018-08-26",49
"2018-09-02",49
"2018-09-09",51
"2018-09-16",50
"2018-09-23",49
"2018-09-30",49
"2018-10-07",50
"2018-10-14",50
"2018-10-21",48
"2018-10-28",48
"2018-11-04",47
"2018-11-11",48
"2018-11-18",50
