"date","iowa"
"2013-12-01",83
"2013-12-08",90
"2013-12-15",91
"2013-12-22",100
"2013-12-29",95
"2014-01-05",87
"2014-01-12",87
"2014-01-19",82
"2014-01-26",76
"2014-02-02",77
"2014-02-09",75
"2014-02-16",83
"2014-02-23",82
"2014-03-02",79
"2014-03-09",74
"2014-03-16",84
"2014-03-23",82
"2014-03-30",77
"2014-04-06",75
"2014-04-13",75
"2014-04-20",76
"2014-04-27",73
"2014-05-04",73
"2014-05-11",75
"2014-05-18",75
"2014-05-25",78
"2014-06-01",77
"2014-06-08",77
"2014-06-15",78
"2014-06-22",78
"2014-06-29",81
"2014-07-06",74
"2014-07-13",76
"2014-07-20",78
"2014-07-27",78
"2014-08-03",77
"2014-08-10",78
"2014-08-17",81
"2014-08-24",76
"2014-08-31",77
"2014-09-07",75
"2014-09-14",73
"2014-09-21",73
"2014-09-28",72
"2014-10-05",68
"2014-10-12",71
"2014-10-19",71
"2014-10-26",73
"2014-11-02",69
"2014-11-09",66
"2014-11-16",69
"2014-11-23",69
"2014-11-30",65
"2014-12-07",64
"2014-12-14",66
"2014-12-21",72
"2014-12-28",69
"2015-01-04",64
"2015-01-11",62
"2015-01-18",62
"2015-01-25",63
"2015-02-01",59
"2015-02-08",59
"2015-02-15",59
"2015-02-22",59
"2015-03-01",60
"2015-03-08",63
"2015-03-15",64
"2015-03-22",63
"2015-03-29",63
"2015-04-05",64
"2015-04-12",63
"2015-04-19",63
"2015-04-26",64
"2015-05-03",63
"2015-05-10",62
"2015-05-17",64
"2015-05-24",67
"2015-05-31",66
"2015-06-07",69
"2015-06-14",69
"2015-06-21",72
"2015-06-28",75
"2015-07-05",71
"2015-07-12",70
"2015-07-19",73
"2015-07-26",73
"2015-08-02",70
"2015-08-09",70
"2015-08-16",71
"2015-08-23",68
"2015-08-30",66
"2015-09-06",61
"2015-09-13",65
"2015-09-20",66
"2015-09-27",68
"2015-10-04",63
"2015-10-11",64
"2015-10-18",62
"2015-10-25",62
"2015-11-01",64
"2015-11-08",61
"2015-11-15",61
"2015-11-22",64
"2015-11-29",60
"2015-12-06",60
"2015-12-13",59
"2015-12-20",66
"2015-12-27",73
"2016-01-03",79
"2016-01-10",76
"2016-01-17",75
"2016-01-24",79
"2016-01-31",75
"2016-02-07",74
"2016-02-14",75
"2016-02-21",77
"2016-02-28",73
"2016-03-06",73
"2016-03-13",78
"2016-03-20",77
"2016-03-27",80
"2016-04-03",76
"2016-04-10",78
"2016-04-17",76
"2016-04-24",75
"2016-05-01",77
"2016-05-08",78
"2016-05-15",79
"2016-05-22",82
"2016-05-29",87
"2016-06-05",84
"2016-06-12",82
"2016-06-19",83
"2016-06-26",81
"2016-07-03",82
"2016-07-10",80
"2016-07-17",84
"2016-07-24",80
"2016-07-31",79
"2016-08-07",77
"2016-08-14",76
"2016-08-21",76
"2016-08-28",69
"2016-09-04",67
"2016-09-11",67
"2016-09-18",69
"2016-09-25",67
"2016-10-02",67
"2016-10-09",68
"2016-10-16",69
"2016-10-23",69
"2016-10-30",66
"2016-11-06",66
"2016-11-13",65
"2016-11-20",66
"2016-11-27",62
"2016-12-04",62
"2016-12-11",61
"2016-12-18",64
"2016-12-25",67
"2017-01-01",64
"2017-01-08",64
"2017-01-15",64
"2017-01-22",63
"2017-01-29",64
"2017-02-05",63
"2017-02-12",63
"2017-02-19",62
"2017-02-26",60
"2017-03-05",62
"2017-03-12",67
"2017-03-19",62
"2017-03-26",64
"2017-04-02",61
"2017-04-09",62
"2017-04-16",66
"2017-04-23",62
"2017-04-30",64
"2017-05-07",66
"2017-05-14",65
"2017-05-21",67
"2017-05-28",69
"2017-06-04",71
"2017-06-11",70
"2017-06-18",70
"2017-06-25",69
"2017-07-02",71
"2017-07-09",69
"2017-07-16",68
"2017-07-23",69
"2017-07-30",69
"2017-08-06",69
"2017-08-13",71
"2017-08-20",69
"2017-08-27",62
"2017-09-03",64
"2017-09-10",61
"2017-09-17",62
"2017-09-24",60
"2017-10-01",61
"2017-10-08",57
"2017-10-15",58
"2017-10-22",58
"2017-10-29",55
"2017-11-05",58
"2017-11-12",52
"2017-11-19",56
"2017-11-26",52
"2017-12-03",52
"2017-12-10",52
"2017-12-17",57
"2017-12-24",59
"2017-12-31",56
"2018-01-07",53
"2018-01-14",55
"2018-01-21",53
"2018-01-28",52
"2018-02-04",49
"2018-02-11",53
"2018-02-18",53
"2018-02-25",52
"2018-03-04",51
"2018-03-11",55
"2018-03-18",53
"2018-03-25",53
"2018-04-01",52
"2018-04-08",53
"2018-04-15",49
"2018-04-22",51
"2018-04-29",50
"2018-05-06",49
"2018-05-13",50
"2018-05-20",52
"2018-05-27",53
"2018-06-03",53
"2018-06-10",55
"2018-06-17",55
"2018-06-24",56
"2018-07-01",55
"2018-07-08",55
"2018-07-15",54
"2018-07-22",57
"2018-07-29",55
"2018-08-05",55
"2018-08-12",55
"2018-08-19",53
"2018-08-26",49
"2018-09-02",50
"2018-09-09",50
"2018-09-16",48
"2018-09-23",48
"2018-09-30",48
"2018-10-07",48
"2018-10-14",45
"2018-10-21",46
"2018-10-28",46
"2018-11-04",45
"2018-11-11",46
"2018-11-18",44
