"date","kansas"
"2013-12-01",59
"2013-12-08",76
"2013-12-15",87
"2013-12-22",94
"2013-12-29",90
"2014-01-05",87
"2014-01-12",73
"2014-01-19",60
"2014-01-26",91
"2014-02-02",100
"2014-02-09",78
"2014-02-16",65
"2014-02-23",59
"2014-03-02",54
"2014-03-09",77
"2014-03-16",98
"2014-03-23",94
"2014-03-30",94
"2014-04-06",94
"2014-04-13",91
"2014-04-20",90
"2014-04-27",90
"2014-05-04",95
"2014-05-11",99
"2014-05-18",86
"2014-05-25",92
"2014-06-01",86
"2014-06-08",87
"2014-06-15",86
"2014-06-22",88
"2014-06-29",88
"2014-07-06",87
"2014-07-13",89
"2014-07-20",90
"2014-07-27",87
"2014-08-03",90
"2014-08-10",85
"2014-08-17",88
"2014-08-24",83
"2014-08-31",82
"2014-09-07",80
"2014-09-14",78
"2014-09-21",81
"2014-09-28",76
"2014-10-05",73
"2014-10-12",76
"2014-10-19",77
"2014-10-26",80
"2014-11-02",80
"2014-11-09",79
"2014-11-16",73
"2014-11-23",79
"2014-11-30",69
"2014-12-07",70
"2014-12-14",70
"2014-12-21",76
"2014-12-28",68
"2015-01-04",67
"2015-01-11",64
"2015-01-18",63
"2015-01-25",62
"2015-02-01",60
"2015-02-08",59
"2015-02-15",59
"2015-02-22",59
"2015-03-01",58
"2015-03-08",58
"2015-03-15",63
"2015-03-22",59
"2015-03-29",57
"2015-04-05",61
"2015-04-12",56
"2015-04-19",58
"2015-04-26",57
"2015-05-03",56
"2015-05-10",59
"2015-05-17",62
"2015-05-24",62
"2015-05-31",61
"2015-06-07",63
"2015-06-14",62
"2015-06-21",60
"2015-06-28",58
"2015-07-05",54
"2015-07-12",53
"2015-07-19",52
"2015-07-26",55
"2015-08-02",54
"2015-08-09",55
"2015-08-16",52
"2015-08-23",52
"2015-08-30",48
"2015-09-06",47
"2015-09-13",48
"2015-09-20",52
"2015-09-27",52
"2015-10-04",49
"2015-10-11",59
"2015-10-18",60
"2015-10-25",52
"2015-11-01",55
"2015-11-08",59
"2015-11-15",61
"2015-11-22",70
"2015-11-29",73
"2015-12-06",76
"2015-12-13",76
"2015-12-20",82
"2015-12-27",70
"2016-01-03",58
"2016-01-10",56
"2016-01-17",55
"2016-01-24",58
"2016-01-31",59
"2016-02-07",58
"2016-02-14",60
"2016-02-21",60
"2016-02-28",56
"2016-03-06",56
"2016-03-13",59
"2016-03-20",56
"2016-03-27",58
"2016-04-03",57
"2016-04-10",56
"2016-04-17",56
"2016-04-24",55
"2016-05-01",55
"2016-05-08",55
"2016-05-15",59
"2016-05-22",61
"2016-05-29",59
"2016-06-05",59
"2016-06-12",60
"2016-06-19",60
"2016-06-26",60
"2016-07-03",59
"2016-07-10",57
"2016-07-17",58
"2016-07-24",59
"2016-07-31",57
"2016-08-07",56
"2016-08-14",53
"2016-08-21",53
"2016-08-28",50
"2016-09-04",50
"2016-09-11",50
"2016-09-18",52
"2016-09-25",50
"2016-10-02",47
"2016-10-09",47
"2016-10-16",47
"2016-10-23",48
"2016-10-30",50
"2016-11-06",49
"2016-11-13",50
"2016-11-20",49
"2016-11-27",45
"2016-12-04",49
"2016-12-11",48
"2016-12-18",48
"2016-12-25",50
"2017-01-01",48
"2017-01-08",46
"2017-01-15",45
"2017-01-22",45
"2017-01-29",45
"2017-02-05",46
"2017-02-12",47
"2017-02-19",45
"2017-02-26",43
"2017-03-05",44
"2017-03-12",45
"2017-03-19",49
"2017-03-26",46
"2017-04-02",45
"2017-04-09",46
"2017-04-16",48
"2017-04-23",42
"2017-04-30",44
"2017-05-07",48
"2017-05-14",48
"2017-05-21",49
"2017-05-28",51
"2017-06-04",41
"2017-06-11",40
"2017-06-18",41
"2017-06-25",45
"2017-07-02",41
"2017-07-09",43
"2017-07-16",45
"2017-07-23",48
"2017-07-30",45
"2017-08-06",45
"2017-08-13",42
"2017-08-20",41
"2017-08-27",39
"2017-09-03",39
"2017-09-10",38
"2017-09-17",39
"2017-09-24",38
"2017-10-01",40
"2017-10-08",38
"2017-10-15",35
"2017-10-22",33
"2017-10-29",36
"2017-11-05",36
"2017-11-12",39
"2017-11-19",41
"2017-11-26",37
"2017-12-03",38
"2017-12-10",38
"2017-12-17",41
"2017-12-24",44
"2017-12-31",42
"2018-01-07",39
"2018-01-14",41
"2018-01-21",38
"2018-01-28",38
"2018-02-04",38
"2018-02-11",39
"2018-02-18",39
"2018-02-25",37
"2018-03-04",37
"2018-03-11",37
"2018-03-18",40
"2018-03-25",39
"2018-04-01",38
"2018-04-08",39
"2018-04-15",36
"2018-04-22",37
"2018-04-29",35
"2018-05-06",36
"2018-05-13",37
"2018-05-20",39
"2018-05-27",38
"2018-06-03",41
"2018-06-10",41
"2018-06-17",41
"2018-06-24",39
"2018-07-01",42
"2018-07-08",40
"2018-07-15",37
"2018-07-22",40
"2018-07-29",38
"2018-08-05",38
"2018-08-12",38
"2018-08-19",37
"2018-08-26",37
"2018-09-02",36
"2018-09-09",35
"2018-09-16",34
"2018-09-23",35
"2018-09-30",34
"2018-10-07",34
"2018-10-14",35
"2018-10-21",35
"2018-10-28",33
"2018-11-04",32
"2018-11-11",33
"2018-11-18",35
