"date","kentucky"
"2013-12-01",79
"2013-12-08",88
"2013-12-15",90
"2013-12-22",96
"2013-12-29",92
"2014-01-05",87
"2014-01-12",79
"2014-01-19",81
"2014-01-26",81
"2014-02-02",87
"2014-02-09",80
"2014-02-16",77
"2014-02-23",77
"2014-03-02",83
"2014-03-09",84
"2014-03-16",85
"2014-03-23",82
"2014-03-30",84
"2014-04-06",86
"2014-04-13",84
"2014-04-20",86
"2014-04-27",100
"2014-05-04",95
"2014-05-11",82
"2014-05-18",85
"2014-05-25",85
"2014-06-01",85
"2014-06-08",84
"2014-06-15",86
"2014-06-22",84
"2014-06-29",85
"2014-07-06",83
"2014-07-13",81
"2014-07-20",81
"2014-07-27",80
"2014-08-03",81
"2014-08-10",80
"2014-08-17",71
"2014-08-24",71
"2014-08-31",75
"2014-09-07",72
"2014-09-14",76
"2014-09-21",74
"2014-09-28",73
"2014-10-05",71
"2014-10-12",70
"2014-10-19",68
"2014-10-26",70
"2014-11-02",69
"2014-11-09",68
"2014-11-16",69
"2014-11-23",67
"2014-11-30",67
"2014-12-07",65
"2014-12-14",68
"2014-12-21",74
"2014-12-28",72
"2015-01-04",67
"2015-01-11",65
"2015-01-18",66
"2015-01-25",65
"2015-02-01",64
"2015-02-08",63
"2015-02-15",68
"2015-02-22",66
"2015-03-01",66
"2015-03-08",64
"2015-03-15",64
"2015-03-22",63
"2015-03-29",66
"2015-04-05",69
"2015-04-12",67
"2015-04-19",65
"2015-04-26",65
"2015-05-03",65
"2015-05-10",67
"2015-05-17",68
"2015-05-24",68
"2015-05-31",66
"2015-06-07",67
"2015-06-14",67
"2015-06-21",74
"2015-06-28",79
"2015-07-05",79
"2015-07-12",76
"2015-07-19",79
"2015-07-26",76
"2015-08-02",74
"2015-08-09",78
"2015-08-16",74
"2015-08-23",74
"2015-08-30",72
"2015-09-06",70
"2015-09-13",73
"2015-09-20",75
"2015-09-27",76
"2015-10-04",76
"2015-10-11",73
"2015-10-18",73
"2015-10-25",70
"2015-11-01",70
"2015-11-08",71
"2015-11-15",70
"2015-11-22",69
"2015-11-29",66
"2015-12-06",68
"2015-12-13",69
"2015-12-20",78
"2015-12-27",81
"2016-01-03",90
"2016-01-10",87
"2016-01-17",95
"2016-01-24",92
"2016-01-31",91
"2016-02-07",90
"2016-02-14",91
"2016-02-21",90
"2016-02-28",87
"2016-03-06",90
"2016-03-13",90
"2016-03-20",90
"2016-03-27",91
"2016-04-03",91
"2016-04-10",93
"2016-04-17",88
"2016-04-24",88
"2016-05-01",88
"2016-05-08",92
"2016-05-15",90
"2016-05-22",95
"2016-05-29",92
"2016-06-05",91
"2016-06-12",91
"2016-06-19",89
"2016-06-26",88
"2016-07-03",88
"2016-07-10",88
"2016-07-17",89
"2016-07-24",82
"2016-07-31",82
"2016-08-07",82
"2016-08-14",82
"2016-08-21",80
"2016-08-28",80
"2016-09-04",76
"2016-09-11",74
"2016-09-18",78
"2016-09-25",78
"2016-10-02",78
"2016-10-09",76
"2016-10-16",79
"2016-10-23",73
"2016-10-30",73
"2016-11-06",73
"2016-11-13",73
"2016-11-20",73
"2016-11-27",68
"2016-12-04",71
"2016-12-11",74
"2016-12-18",77
"2016-12-25",76
"2017-01-01",76
"2017-01-08",73
"2017-01-15",74
"2017-01-22",74
"2017-01-29",72
"2017-02-05",70
"2017-02-12",72
"2017-02-19",69
"2017-02-26",65
"2017-03-05",67
"2017-03-12",70
"2017-03-19",72
"2017-03-26",71
"2017-04-02",74
"2017-04-09",72
"2017-04-16",77
"2017-04-23",72
"2017-04-30",71
"2017-05-07",76
"2017-05-14",75
"2017-05-21",75
"2017-05-28",75
"2017-06-04",73
"2017-06-11",74
"2017-06-18",74
"2017-06-25",75
"2017-07-02",78
"2017-07-09",74
"2017-07-16",72
"2017-07-23",74
"2017-07-30",74
"2017-08-06",72
"2017-08-13",72
"2017-08-20",71
"2017-08-27",70
"2017-09-03",65
"2017-09-10",67
"2017-09-17",65
"2017-09-24",67
"2017-10-01",65
"2017-10-08",67
"2017-10-15",65
"2017-10-22",66
"2017-10-29",64
"2017-11-05",62
"2017-11-12",61
"2017-11-19",60
"2017-11-26",57
"2017-12-03",59
"2017-12-10",58
"2017-12-17",61
"2017-12-24",64
"2017-12-31",59
"2018-01-07",59
"2018-01-14",59
"2018-01-21",57
"2018-01-28",56
"2018-02-04",57
"2018-02-11",57
"2018-02-18",57
"2018-02-25",53
"2018-03-04",53
"2018-03-11",54
"2018-03-18",56
"2018-03-25",55
"2018-04-01",56
"2018-04-08",56
"2018-04-15",52
"2018-04-22",52
"2018-04-29",52
"2018-05-06",52
"2018-05-13",54
"2018-05-20",54
"2018-05-27",54
"2018-06-03",54
"2018-06-10",54
"2018-06-17",57
"2018-06-24",56
"2018-07-01",55
"2018-07-08",54
"2018-07-15",51
"2018-07-22",54
"2018-07-29",53
"2018-08-05",52
"2018-08-12",53
"2018-08-19",52
"2018-08-26",51
"2018-09-02",50
"2018-09-09",49
"2018-09-16",50
"2018-09-23",51
"2018-09-30",49
"2018-10-07",48
"2018-10-14",49
"2018-10-21",49
"2018-10-28",48
"2018-11-04",47
"2018-11-11",50
"2018-11-18",48
