"date","louisiana"
"2013-12-01",82
"2013-12-08",88
"2013-12-15",88
"2013-12-22",96
"2013-12-29",89
"2014-01-05",88
"2014-01-12",88
"2014-01-19",87
"2014-01-26",89
"2014-02-02",89
"2014-02-09",88
"2014-02-16",81
"2014-02-23",84
"2014-03-02",95
"2014-03-09",91
"2014-03-16",88
"2014-03-23",88
"2014-03-30",87
"2014-04-06",83
"2014-04-13",79
"2014-04-20",100
"2014-04-27",93
"2014-05-04",76
"2014-05-11",77
"2014-05-18",74
"2014-05-25",78
"2014-06-01",77
"2014-06-08",75
"2014-06-15",75
"2014-06-22",74
"2014-06-29",74
"2014-07-06",74
"2014-07-13",77
"2014-07-20",75
"2014-07-27",74
"2014-08-03",79
"2014-08-10",75
"2014-08-17",73
"2014-08-24",77
"2014-08-31",77
"2014-09-07",75
"2014-09-14",78
"2014-09-21",78
"2014-09-28",79
"2014-10-05",78
"2014-10-12",78
"2014-10-19",79
"2014-10-26",76
"2014-11-02",77
"2014-11-09",76
"2014-11-16",76
"2014-11-23",81
"2014-11-30",74
"2014-12-07",76
"2014-12-14",78
"2014-12-21",81
"2014-12-28",78
"2015-01-04",73
"2015-01-11",72
"2015-01-18",71
"2015-01-25",71
"2015-02-01",68
"2015-02-08",68
"2015-02-15",70
"2015-02-22",70
"2015-03-01",68
"2015-03-08",67
"2015-03-15",68
"2015-03-22",68
"2015-03-29",72
"2015-04-05",74
"2015-04-12",69
"2015-04-19",70
"2015-04-26",70
"2015-05-03",72
"2015-05-10",73
"2015-05-17",75
"2015-05-24",77
"2015-05-31",76
"2015-06-07",78
"2015-06-14",74
"2015-06-21",75
"2015-06-28",71
"2015-07-05",73
"2015-07-12",69
"2015-07-19",72
"2015-07-26",71
"2015-08-02",73
"2015-08-09",70
"2015-08-16",65
"2015-08-23",69
"2015-08-30",64
"2015-09-06",64
"2015-09-13",64
"2015-09-20",66
"2015-09-27",69
"2015-10-04",65
"2015-10-11",67
"2015-10-18",65
"2015-10-25",66
"2015-11-01",65
"2015-11-08",66
"2015-11-15",65
"2015-11-22",68
"2015-11-29",65
"2015-12-06",63
"2015-12-13",67
"2015-12-20",75
"2015-12-27",80
"2016-01-03",89
"2016-01-10",87
"2016-01-17",89
"2016-01-24",89
"2016-01-31",90
"2016-02-07",92
"2016-02-14",86
"2016-02-21",87
"2016-02-28",86
"2016-03-06",88
"2016-03-13",89
"2016-03-20",91
"2016-03-27",94
"2016-04-03",88
"2016-04-10",85
"2016-04-17",86
"2016-04-24",88
"2016-05-01",88
"2016-05-08",91
"2016-05-15",91
"2016-05-22",96
"2016-05-29",92
"2016-06-05",92
"2016-06-12",88
"2016-06-19",92
"2016-06-26",89
"2016-07-03",91
"2016-07-10",88
"2016-07-17",89
"2016-07-24",87
"2016-07-31",84
"2016-08-07",86
"2016-08-14",92
"2016-08-21",80
"2016-08-28",78
"2016-09-04",76
"2016-09-11",74
"2016-09-18",76
"2016-09-25",75
"2016-10-02",75
"2016-10-09",76
"2016-10-16",75
"2016-10-23",74
"2016-10-30",74
"2016-11-06",74
"2016-11-13",71
"2016-11-20",78
"2016-11-27",74
"2016-12-04",71
"2016-12-11",74
"2016-12-18",76
"2016-12-25",79
"2017-01-01",74
"2017-01-08",75
"2017-01-15",73
"2017-01-22",72
"2017-01-29",72
"2017-02-05",72
"2017-02-12",74
"2017-02-19",74
"2017-02-26",73
"2017-03-05",70
"2017-03-12",69
"2017-03-19",71
"2017-03-26",71
"2017-04-02",68
"2017-04-09",74
"2017-04-16",78
"2017-04-23",74
"2017-04-30",71
"2017-05-07",76
"2017-05-14",78
"2017-05-21",76
"2017-05-28",76
"2017-06-04",75
"2017-06-11",77
"2017-06-18",76
"2017-06-25",76
"2017-07-02",76
"2017-07-09",73
"2017-07-16",74
"2017-07-23",76
"2017-07-30",75
"2017-08-06",72
"2017-08-13",73
"2017-08-20",74
"2017-08-27",72
"2017-09-03",69
"2017-09-10",68
"2017-09-17",68
"2017-09-24",67
"2017-10-01",66
"2017-10-08",65
"2017-10-15",65
"2017-10-22",61
"2017-10-29",65
"2017-11-05",61
"2017-11-12",61
"2017-11-19",61
"2017-11-26",58
"2017-12-03",59
"2017-12-10",57
"2017-12-17",60
"2017-12-24",65
"2017-12-31",59
"2018-01-07",59
"2018-01-14",60
"2018-01-21",57
"2018-01-28",56
"2018-02-04",56
"2018-02-11",58
"2018-02-18",54
"2018-02-25",53
"2018-03-04",52
"2018-03-11",50
"2018-03-18",54
"2018-03-25",55
"2018-04-01",56
"2018-04-08",54
"2018-04-15",50
"2018-04-22",50
"2018-04-29",49
"2018-05-06",52
"2018-05-13",52
"2018-05-20",51
"2018-05-27",52
"2018-06-03",50
"2018-06-10",50
"2018-06-17",54
"2018-06-24",55
"2018-07-01",53
"2018-07-08",54
"2018-07-15",50
"2018-07-22",53
"2018-07-29",52
"2018-08-05",52
"2018-08-12",52
"2018-08-19",49
"2018-08-26",50
"2018-09-02",49
"2018-09-09",49
"2018-09-16",50
"2018-09-23",48
"2018-09-30",46
"2018-10-07",49
"2018-10-14",47
"2018-10-21",47
"2018-10-28",48
"2018-11-04",45
"2018-11-11",47
"2018-11-18",48
