"date","massachusetts"
"2013-12-01",86
"2013-12-08",86
"2013-12-15",90
"2013-12-22",100
"2013-12-29",94
"2014-01-05",87
"2014-01-12",88
"2014-01-19",87
"2014-01-26",84
"2014-02-02",89
"2014-02-09",85
"2014-02-16",89
"2014-02-23",87
"2014-03-02",85
"2014-03-09",87
"2014-03-16",90
"2014-03-23",88
"2014-03-30",87
"2014-04-06",83
"2014-04-13",82
"2014-04-20",87
"2014-04-27",82
"2014-05-04",83
"2014-05-11",85
"2014-05-18",83
"2014-05-25",84
"2014-06-01",83
"2014-06-08",81
"2014-06-15",84
"2014-06-22",82
"2014-06-29",82
"2014-07-06",82
"2014-07-13",84
"2014-07-20",86
"2014-07-27",81
"2014-08-03",86
"2014-08-10",89
"2014-08-17",89
"2014-08-24",86
"2014-08-31",83
"2014-09-07",81
"2014-09-14",82
"2014-09-21",82
"2014-09-28",82
"2014-10-05",81
"2014-10-12",81
"2014-10-19",77
"2014-10-26",78
"2014-11-02",75
"2014-11-09",75
"2014-11-16",75
"2014-11-23",78
"2014-11-30",75
"2014-12-07",73
"2014-12-14",74
"2014-12-21",85
"2014-12-28",83
"2015-01-04",77
"2015-01-11",72
"2015-01-18",71
"2015-01-25",75
"2015-02-01",71
"2015-02-08",69
"2015-02-15",72
"2015-02-22",69
"2015-03-01",68
"2015-03-08",69
"2015-03-15",68
"2015-03-22",71
"2015-03-29",70
"2015-04-05",71
"2015-04-12",71
"2015-04-19",72
"2015-04-26",71
"2015-05-03",72
"2015-05-10",72
"2015-05-17",72
"2015-05-24",73
"2015-05-31",71
"2015-06-07",72
"2015-06-14",75
"2015-06-21",75
"2015-06-28",74
"2015-07-05",76
"2015-07-12",74
"2015-07-19",75
"2015-07-26",76
"2015-08-02",77
"2015-08-09",78
"2015-08-16",78
"2015-08-23",77
"2015-08-30",73
"2015-09-06",71
"2015-09-13",72
"2015-09-20",72
"2015-09-27",77
"2015-10-04",70
"2015-10-11",70
"2015-10-18",71
"2015-10-25",67
"2015-11-01",68
"2015-11-08",68
"2015-11-15",67
"2015-11-22",68
"2015-11-29",67
"2015-12-06",66
"2015-12-13",65
"2015-12-20",73
"2015-12-27",76
"2016-01-03",79
"2016-01-10",78
"2016-01-17",81
"2016-01-24",80
"2016-01-31",78
"2016-02-07",75
"2016-02-14",78
"2016-02-21",75
"2016-02-28",76
"2016-03-06",77
"2016-03-13",79
"2016-03-20",80
"2016-03-27",79
"2016-04-03",76
"2016-04-10",78
"2016-04-17",81
"2016-04-24",76
"2016-05-01",77
"2016-05-08",79
"2016-05-15",77
"2016-05-22",79
"2016-05-29",81
"2016-06-05",76
"2016-06-12",76
"2016-06-19",73
"2016-06-26",73
"2016-07-03",73
"2016-07-10",72
"2016-07-17",72
"2016-07-24",73
"2016-07-31",73
"2016-08-07",70
"2016-08-14",69
"2016-08-21",75
"2016-08-28",71
"2016-09-04",66
"2016-09-11",66
"2016-09-18",66
"2016-09-25",67
"2016-10-02",66
"2016-10-09",64
"2016-10-16",67
"2016-10-23",66
"2016-10-30",65
"2016-11-06",66
"2016-11-13",66
"2016-11-20",65
"2016-11-27",63
"2016-12-04",61
"2016-12-11",61
"2016-12-18",62
"2016-12-25",69
"2017-01-01",68
"2017-01-08",63
"2017-01-15",64
"2017-01-22",64
"2017-01-29",61
"2017-02-05",63
"2017-02-12",62
"2017-02-19",61
"2017-02-26",59
"2017-03-05",59
"2017-03-12",62
"2017-03-19",60
"2017-03-26",62
"2017-04-02",57
"2017-04-09",58
"2017-04-16",64
"2017-04-23",60
"2017-04-30",60
"2017-05-07",60
"2017-05-14",62
"2017-05-21",61
"2017-05-28",63
"2017-06-04",63
"2017-06-11",62
"2017-06-18",64
"2017-06-25",64
"2017-07-02",64
"2017-07-09",62
"2017-07-16",62
"2017-07-23",67
"2017-07-30",65
"2017-08-06",63
"2017-08-13",66
"2017-08-20",64
"2017-08-27",63
"2017-09-03",60
"2017-09-10",61
"2017-09-17",60
"2017-09-24",60
"2017-10-01",58
"2017-10-08",58
"2017-10-15",57
"2017-10-22",55
"2017-10-29",55
"2017-11-05",55
"2017-11-12",53
"2017-11-19",54
"2017-11-26",51
"2017-12-03",51
"2017-12-10",51
"2017-12-17",53
"2017-12-24",59
"2017-12-31",55
"2018-01-07",51
"2018-01-14",54
"2018-01-21",53
"2018-01-28",51
"2018-02-04",50
"2018-02-11",50
"2018-02-18",50
"2018-02-25",50
"2018-03-04",50
"2018-03-11",51
"2018-03-18",53
"2018-03-25",53
"2018-04-01",51
"2018-04-08",52
"2018-04-15",51
"2018-04-22",47
"2018-04-29",47
"2018-05-06",47
"2018-05-13",47
"2018-05-20",46
"2018-05-27",47
"2018-06-03",47
"2018-06-10",48
"2018-06-17",48
"2018-06-24",50
"2018-07-01",49
"2018-07-08",50
"2018-07-15",48
"2018-07-22",51
"2018-07-29",50
"2018-08-05",47
"2018-08-12",48
"2018-08-19",49
"2018-08-26",49
"2018-09-02",48
"2018-09-09",47
"2018-09-16",46
"2018-09-23",45
"2018-09-30",45
"2018-10-07",45
"2018-10-14",42
"2018-10-21",43
"2018-10-28",44
"2018-11-04",43
"2018-11-11",45
"2018-11-18",46
