"date","minnesota"
"2013-12-01",87
"2013-12-08",85
"2013-12-15",89
"2013-12-22",95
"2013-12-29",89
"2014-01-05",85
"2014-01-12",100
"2014-01-19",95
"2014-01-26",81
"2014-02-02",85
"2014-02-09",85
"2014-02-16",82
"2014-02-23",82
"2014-03-02",81
"2014-03-09",85
"2014-03-16",82
"2014-03-23",84
"2014-03-30",83
"2014-04-06",80
"2014-04-13",83
"2014-04-20",82
"2014-04-27",84
"2014-05-04",84
"2014-05-11",79
"2014-05-18",79
"2014-05-25",81
"2014-06-01",78
"2014-06-08",80
"2014-06-15",83
"2014-06-22",83
"2014-06-29",89
"2014-07-06",85
"2014-07-13",84
"2014-07-20",85
"2014-07-27",85
"2014-08-03",87
"2014-08-10",85
"2014-08-17",90
"2014-08-24",90
"2014-08-31",89
"2014-09-07",87
"2014-09-14",85
"2014-09-21",87
"2014-09-28",86
"2014-10-05",83
"2014-10-12",86
"2014-10-19",82
"2014-10-26",84
"2014-11-02",82
"2014-11-09",83
"2014-11-16",81
"2014-11-23",81
"2014-11-30",77
"2014-12-07",77
"2014-12-14",79
"2014-12-21",88
"2014-12-28",88
"2015-01-04",79
"2015-01-11",78
"2015-01-18",80
"2015-01-25",78
"2015-02-01",75
"2015-02-08",78
"2015-02-15",80
"2015-02-22",77
"2015-03-01",76
"2015-03-08",77
"2015-03-15",77
"2015-03-22",78
"2015-03-29",79
"2015-04-05",79
"2015-04-12",78
"2015-04-19",76
"2015-04-26",75
"2015-05-03",76
"2015-05-10",76
"2015-05-17",79
"2015-05-24",79
"2015-05-31",78
"2015-06-07",80
"2015-06-14",82
"2015-06-21",80
"2015-06-28",77
"2015-07-05",74
"2015-07-12",74
"2015-07-19",76
"2015-07-26",76
"2015-08-02",74
"2015-08-09",76
"2015-08-16",77
"2015-08-23",75
"2015-08-30",70
"2015-09-06",66
"2015-09-13",69
"2015-09-20",70
"2015-09-27",75
"2015-10-04",70
"2015-10-11",71
"2015-10-18",70
"2015-10-25",70
"2015-11-01",70
"2015-11-08",69
"2015-11-15",66
"2015-11-22",70
"2015-11-29",66
"2015-12-06",67
"2015-12-13",67
"2015-12-20",74
"2015-12-27",79
"2016-01-03",82
"2016-01-10",81
"2016-01-17",84
"2016-01-24",80
"2016-01-31",81
"2016-02-07",81
"2016-02-14",82
"2016-02-21",81
"2016-02-28",80
"2016-03-06",80
"2016-03-13",82
"2016-03-20",82
"2016-03-27",83
"2016-04-03",81
"2016-04-10",82
"2016-04-17",82
"2016-04-24",81
"2016-05-01",85
"2016-05-08",84
"2016-05-15",83
"2016-05-22",79
"2016-05-29",86
"2016-06-05",83
"2016-06-12",82
"2016-06-19",83
"2016-06-26",83
"2016-07-03",85
"2016-07-10",81
"2016-07-17",81
"2016-07-24",82
"2016-07-31",78
"2016-08-07",77
"2016-08-14",77
"2016-08-21",81
"2016-08-28",76
"2016-09-04",74
"2016-09-11",71
"2016-09-18",71
"2016-09-25",69
"2016-10-02",71
"2016-10-09",70
"2016-10-16",71
"2016-10-23",71
"2016-10-30",70
"2016-11-06",71
"2016-11-13",70
"2016-11-20",68
"2016-11-27",66
"2016-12-04",66
"2016-12-11",64
"2016-12-18",68
"2016-12-25",72
"2017-01-01",68
"2017-01-08",67
"2017-01-15",68
"2017-01-22",68
"2017-01-29",68
"2017-02-05",66
"2017-02-12",68
"2017-02-19",68
"2017-02-26",65
"2017-03-05",64
"2017-03-12",66
"2017-03-19",67
"2017-03-26",67
"2017-04-02",64
"2017-04-09",65
"2017-04-16",70
"2017-04-23",66
"2017-04-30",69
"2017-05-07",69
"2017-05-14",67
"2017-05-21",67
"2017-05-28",69
"2017-06-04",71
"2017-06-11",70
"2017-06-18",70
"2017-06-25",70
"2017-07-02",73
"2017-07-09",70
"2017-07-16",69
"2017-07-23",72
"2017-07-30",71
"2017-08-06",72
"2017-08-13",69
"2017-08-20",72
"2017-08-27",69
"2017-09-03",67
"2017-09-10",65
"2017-09-17",63
"2017-09-24",63
"2017-10-01",61
"2017-10-08",61
"2017-10-15",65
"2017-10-22",58
"2017-10-29",56
"2017-11-05",58
"2017-11-12",59
"2017-11-19",59
"2017-11-26",57
"2017-12-03",55
"2017-12-10",56
"2017-12-17",58
"2017-12-24",63
"2017-12-31",59
"2018-01-07",57
"2018-01-14",58
"2018-01-21",58
"2018-01-28",54
"2018-02-04",53
"2018-02-11",56
"2018-02-18",55
"2018-02-25",55
"2018-03-04",55
"2018-03-11",54
"2018-03-18",57
"2018-03-25",57
"2018-04-01",56
"2018-04-08",55
"2018-04-15",54
"2018-04-22",52
"2018-04-29",52
"2018-05-06",52
"2018-05-13",53
"2018-05-20",50
"2018-05-27",52
"2018-06-03",54
"2018-06-10",55
"2018-06-17",58
"2018-06-24",58
"2018-07-01",58
"2018-07-08",55
"2018-07-15",55
"2018-07-22",57
"2018-07-29",56
"2018-08-05",55
"2018-08-12",55
"2018-08-19",55
"2018-08-26",57
"2018-09-02",55
"2018-09-09",54
"2018-09-16",52
"2018-09-23",51
"2018-09-30",52
"2018-10-07",50
"2018-10-14",49
"2018-10-21",49
"2018-10-28",50
"2018-11-04",47
"2018-11-11",50
"2018-11-18",50
