"date","mississippi"
"2013-12-01",100
"2013-12-08",85
"2013-12-15",81
"2013-12-22",84
"2013-12-29",77
"2014-01-05",70
"2014-01-12",72
"2014-01-19",71
"2014-01-26",74
"2014-02-02",72
"2014-02-09",71
"2014-02-16",71
"2014-02-23",71
"2014-03-02",77
"2014-03-09",77
"2014-03-16",71
"2014-03-23",70
"2014-03-30",71
"2014-04-06",69
"2014-04-13",71
"2014-04-20",73
"2014-04-27",71
"2014-05-04",67
"2014-05-11",71
"2014-05-18",73
"2014-05-25",78
"2014-06-01",76
"2014-06-08",69
"2014-06-15",72
"2014-06-22",72
"2014-06-29",74
"2014-07-06",75
"2014-07-13",74
"2014-07-20",72
"2014-07-27",73
"2014-08-03",73
"2014-08-10",73
"2014-08-17",74
"2014-08-24",74
"2014-08-31",73
"2014-09-07",70
"2014-09-14",73
"2014-09-21",69
"2014-09-28",71
"2014-10-05",73
"2014-10-12",74
"2014-10-19",68
"2014-10-26",69
"2014-11-02",67
"2014-11-09",67
"2014-11-16",66
"2014-11-23",71
"2014-11-30",63
"2014-12-07",64
"2014-12-14",70
"2014-12-21",73
"2014-12-28",70
"2015-01-04",69
"2015-01-11",66
"2015-01-18",65
"2015-01-25",62
"2015-02-01",60
"2015-02-08",60
"2015-02-15",62
"2015-02-22",64
"2015-03-01",61
"2015-03-08",62
"2015-03-15",56
"2015-03-22",61
"2015-03-29",59
"2015-04-05",62
"2015-04-12",57
"2015-04-19",55
"2015-04-26",56
"2015-05-03",57
"2015-05-10",63
"2015-05-17",61
"2015-05-24",64
"2015-05-31",63
"2015-06-07",66
"2015-06-14",64
"2015-06-21",71
"2015-06-28",73
"2015-07-05",78
"2015-07-12",70
"2015-07-19",75
"2015-07-26",72
"2015-08-02",73
"2015-08-09",72
"2015-08-16",69
"2015-08-23",68
"2015-08-30",62
"2015-09-06",64
"2015-09-13",64
"2015-09-20",67
"2015-09-27",69
"2015-10-04",69
"2015-10-11",65
"2015-10-18",66
"2015-10-25",65
"2015-11-01",62
"2015-11-08",63
"2015-11-15",65
"2015-11-22",68
"2015-11-29",59
"2015-12-06",63
"2015-12-13",69
"2015-12-20",74
"2015-12-27",81
"2016-01-03",95
"2016-01-10",91
"2016-01-17",92
"2016-01-24",91
"2016-01-31",90
"2016-02-07",88
"2016-02-14",90
"2016-02-21",87
"2016-02-28",90
"2016-03-06",91
"2016-03-13",96
"2016-03-20",92
"2016-03-27",92
"2016-04-03",89
"2016-04-10",87
"2016-04-17",89
"2016-04-24",88
"2016-05-01",88
"2016-05-08",93
"2016-05-15",90
"2016-05-22",100
"2016-05-29",98
"2016-06-05",94
"2016-06-12",93
"2016-06-19",95
"2016-06-26",93
"2016-07-03",93
"2016-07-10",87
"2016-07-17",92
"2016-07-24",87
"2016-07-31",84
"2016-08-07",83
"2016-08-14",78
"2016-08-21",79
"2016-08-28",77
"2016-09-04",80
"2016-09-11",79
"2016-09-18",77
"2016-09-25",80
"2016-10-02",75
"2016-10-09",79
"2016-10-16",79
"2016-10-23",77
"2016-10-30",77
"2016-11-06",74
"2016-11-13",72
"2016-11-20",78
"2016-11-27",71
"2016-12-04",70
"2016-12-11",75
"2016-12-18",81
"2016-12-25",80
"2017-01-01",77
"2017-01-08",75
"2017-01-15",74
"2017-01-22",72
"2017-01-29",70
"2017-02-05",71
"2017-02-12",72
"2017-02-19",71
"2017-02-26",67
"2017-03-05",69
"2017-03-12",77
"2017-03-19",72
"2017-03-26",71
"2017-04-02",71
"2017-04-09",75
"2017-04-16",79
"2017-04-23",72
"2017-04-30",74
"2017-05-07",74
"2017-05-14",78
"2017-05-21",80
"2017-05-28",80
"2017-06-04",78
"2017-06-11",79
"2017-06-18",79
"2017-06-25",77
"2017-07-02",79
"2017-07-09",76
"2017-07-16",77
"2017-07-23",77
"2017-07-30",75
"2017-08-06",73
"2017-08-13",72
"2017-08-20",71
"2017-08-27",68
"2017-09-03",68
"2017-09-10",65
"2017-09-17",67
"2017-09-24",68
"2017-10-01",64
"2017-10-08",65
"2017-10-15",63
"2017-10-22",64
"2017-10-29",62
"2017-11-05",59
"2017-11-12",59
"2017-11-19",62
"2017-11-26",56
"2017-12-03",58
"2017-12-10",59
"2017-12-17",63
"2017-12-24",64
"2017-12-31",62
"2018-01-07",57
"2018-01-14",60
"2018-01-21",59
"2018-01-28",53
"2018-02-04",52
"2018-02-11",56
"2018-02-18",54
"2018-02-25",52
"2018-03-04",50
"2018-03-11",53
"2018-03-18",54
"2018-03-25",53
"2018-04-01",54
"2018-04-08",52
"2018-04-15",51
"2018-04-22",49
"2018-04-29",49
"2018-05-06",52
"2018-05-13",52
"2018-05-20",52
"2018-05-27",55
"2018-06-03",54
"2018-06-10",53
"2018-06-17",53
"2018-06-24",54
"2018-07-01",55
"2018-07-08",54
"2018-07-15",51
"2018-07-22",55
"2018-07-29",53
"2018-08-05",52
"2018-08-12",48
"2018-08-19",51
"2018-08-26",50
"2018-09-02",50
"2018-09-09",49
"2018-09-16",49
"2018-09-23",48
"2018-09-30",46
"2018-10-07",48
"2018-10-14",47
"2018-10-21",46
"2018-10-28",47
"2018-11-04",43
"2018-11-11",46
"2018-11-18",50
