"date","missouri"
"2013-12-01",88
"2013-12-08",93
"2013-12-15",95
"2013-12-22",100
"2013-12-29",94
"2014-01-05",89
"2014-01-12",87
"2014-01-19",88
"2014-01-26",89
"2014-02-02",94
"2014-02-09",87
"2014-02-16",88
"2014-02-23",88
"2014-03-02",87
"2014-03-09",89
"2014-03-16",87
"2014-03-23",86
"2014-03-30",84
"2014-04-06",84
"2014-04-13",85
"2014-04-20",86
"2014-04-27",88
"2014-05-04",87
"2014-05-11",88
"2014-05-18",91
"2014-05-25",87
"2014-06-01",85
"2014-06-08",80
"2014-06-15",83
"2014-06-22",84
"2014-06-29",84
"2014-07-06",82
"2014-07-13",82
"2014-07-20",85
"2014-07-27",85
"2014-08-03",85
"2014-08-10",86
"2014-08-17",88
"2014-08-24",86
"2014-08-31",85
"2014-09-07",82
"2014-09-14",82
"2014-09-21",83
"2014-09-28",82
"2014-10-05",81
"2014-10-12",82
"2014-10-19",84
"2014-10-26",84
"2014-11-02",82
"2014-11-09",82
"2014-11-16",81
"2014-11-23",89
"2014-11-30",80
"2014-12-07",77
"2014-12-14",80
"2014-12-21",92
"2014-12-28",89
"2015-01-04",81
"2015-01-11",77
"2015-01-18",79
"2015-01-25",78
"2015-02-01",77
"2015-02-08",78
"2015-02-15",80
"2015-02-22",77
"2015-03-01",76
"2015-03-08",77
"2015-03-15",79
"2015-03-22",77
"2015-03-29",80
"2015-04-05",79
"2015-04-12",79
"2015-04-19",79
"2015-04-26",79
"2015-05-03",81
"2015-05-10",84
"2015-05-17",83
"2015-05-24",85
"2015-05-31",83
"2015-06-07",84
"2015-06-14",84
"2015-06-21",84
"2015-06-28",87
"2015-07-05",86
"2015-07-12",83
"2015-07-19",83
"2015-07-26",84
"2015-08-02",83
"2015-08-09",83
"2015-08-16",80
"2015-08-23",78
"2015-08-30",73
"2015-09-06",72
"2015-09-13",74
"2015-09-20",76
"2015-09-27",80
"2015-10-04",74
"2015-10-11",85
"2015-10-18",92
"2015-10-25",91
"2015-11-01",81
"2015-11-08",76
"2015-11-15",78
"2015-11-22",82
"2015-11-29",76
"2015-12-06",74
"2015-12-13",74
"2015-12-20",86
"2015-12-27",89
"2016-01-03",95
"2016-01-10",92
"2016-01-17",97
"2016-01-24",94
"2016-01-31",94
"2016-02-07",90
"2016-02-14",91
"2016-02-21",90
"2016-02-28",93
"2016-03-06",94
"2016-03-13",96
"2016-03-20",96
"2016-03-27",96
"2016-04-03",91
"2016-04-10",92
"2016-04-17",91
"2016-04-24",89
"2016-05-01",91
"2016-05-08",94
"2016-05-15",96
"2016-05-22",96
"2016-05-29",99
"2016-06-05",93
"2016-06-12",95
"2016-06-19",95
"2016-06-26",94
"2016-07-03",94
"2016-07-10",94
"2016-07-17",93
"2016-07-24",92
"2016-07-31",91
"2016-08-07",90
"2016-08-14",88
"2016-08-21",88
"2016-08-28",83
"2016-09-04",83
"2016-09-11",79
"2016-09-18",82
"2016-09-25",80
"2016-10-02",79
"2016-10-09",81
"2016-10-16",80
"2016-10-23",81
"2016-10-30",79
"2016-11-06",80
"2016-11-13",85
"2016-11-20",84
"2016-11-27",82
"2016-12-04",83
"2016-12-11",78
"2016-12-18",77
"2016-12-25",80
"2017-01-01",78
"2017-01-08",77
"2017-01-15",80
"2017-01-22",77
"2017-01-29",74
"2017-02-05",73
"2017-02-12",75
"2017-02-19",75
"2017-02-26",71
"2017-03-05",73
"2017-03-12",75
"2017-03-19",74
"2017-03-26",74
"2017-04-02",72
"2017-04-09",73
"2017-04-16",81
"2017-04-23",75
"2017-04-30",76
"2017-05-07",75
"2017-05-14",79
"2017-05-21",78
"2017-05-28",81
"2017-06-04",78
"2017-06-11",76
"2017-06-18",78
"2017-06-25",79
"2017-07-02",79
"2017-07-09",78
"2017-07-16",74
"2017-07-23",75
"2017-07-30",74
"2017-08-06",76
"2017-08-13",76
"2017-08-20",73
"2017-08-27",70
"2017-09-03",68
"2017-09-10",66
"2017-09-17",68
"2017-09-24",68
"2017-10-01",68
"2017-10-08",66
"2017-10-15",64
"2017-10-22",65
"2017-10-29",65
"2017-11-05",63
"2017-11-12",62
"2017-11-19",65
"2017-11-26",59
"2017-12-03",60
"2017-12-10",61
"2017-12-17",62
"2017-12-24",67
"2017-12-31",62
"2018-01-07",61
"2018-01-14",61
"2018-01-21",59
"2018-01-28",57
"2018-02-04",57
"2018-02-11",60
"2018-02-18",59
"2018-02-25",57
"2018-03-04",56
"2018-03-11",57
"2018-03-18",59
"2018-03-25",59
"2018-04-01",58
"2018-04-08",59
"2018-04-15",56
"2018-04-22",55
"2018-04-29",56
"2018-05-06",55
"2018-05-13",56
"2018-05-20",57
"2018-05-27",57
"2018-06-03",56
"2018-06-10",57
"2018-06-17",60
"2018-06-24",58
"2018-07-01",61
"2018-07-08",59
"2018-07-15",56
"2018-07-22",59
"2018-07-29",58
"2018-08-05",57
"2018-08-12",58
"2018-08-19",56
"2018-08-26",55
"2018-09-02",54
"2018-09-09",54
"2018-09-16",55
"2018-09-23",54
"2018-09-30",53
"2018-10-07",54
"2018-10-14",54
"2018-10-21",52
"2018-10-28",53
"2018-11-04",51
"2018-11-11",53
"2018-11-18",53
