"date","montana"
"2013-12-01",83
"2013-12-08",92
"2013-12-15",94
"2013-12-22",100
"2013-12-29",90
"2014-01-05",87
"2014-01-12",90
"2014-01-19",89
"2014-01-26",84
"2014-02-02",87
"2014-02-09",83
"2014-02-16",84
"2014-02-23",81
"2014-03-02",85
"2014-03-09",87
"2014-03-16",82
"2014-03-23",86
"2014-03-30",86
"2014-04-06",86
"2014-04-13",85
"2014-04-20",87
"2014-04-27",92
"2014-05-04",86
"2014-05-11",84
"2014-05-18",83
"2014-05-25",91
"2014-06-01",87
"2014-06-08",85
"2014-06-15",80
"2014-06-22",84
"2014-06-29",87
"2014-07-06",86
"2014-07-13",84
"2014-07-20",83
"2014-07-27",81
"2014-08-03",85
"2014-08-10",83
"2014-08-17",87
"2014-08-24",85
"2014-08-31",84
"2014-09-07",80
"2014-09-14",84
"2014-09-21",86
"2014-09-28",82
"2014-10-05",80
"2014-10-12",84
"2014-10-19",79
"2014-10-26",85
"2014-11-02",75
"2014-11-09",75
"2014-11-16",77
"2014-11-23",77
"2014-11-30",73
"2014-12-07",70
"2014-12-14",70
"2014-12-21",81
"2014-12-28",77
"2015-01-04",73
"2015-01-11",70
"2015-01-18",70
"2015-01-25",74
"2015-02-01",69
"2015-02-08",69
"2015-02-15",74
"2015-02-22",71
"2015-03-01",70
"2015-03-08",75
"2015-03-15",71
"2015-03-22",75
"2015-03-29",73
"2015-04-05",78
"2015-04-12",74
"2015-04-19",71
"2015-04-26",75
"2015-05-03",76
"2015-05-10",76
"2015-05-17",74
"2015-05-24",76
"2015-05-31",78
"2015-06-07",80
"2015-06-14",77
"2015-06-21",80
"2015-06-28",80
"2015-07-05",79
"2015-07-12",77
"2015-07-19",74
"2015-07-26",75
"2015-08-02",77
"2015-08-09",77
"2015-08-16",75
"2015-08-23",75
"2015-08-30",73
"2015-09-06",68
"2015-09-13",74
"2015-09-20",76
"2015-09-27",79
"2015-10-04",71
"2015-10-11",75
"2015-10-18",75
"2015-10-25",75
"2015-11-01",73
"2015-11-08",72
"2015-11-15",76
"2015-11-22",70
"2015-11-29",70
"2015-12-06",74
"2015-12-13",76
"2015-12-20",79
"2015-12-27",81
"2016-01-03",92
"2016-01-10",85
"2016-01-17",91
"2016-01-24",89
"2016-01-31",91
"2016-02-07",89
"2016-02-14",85
"2016-02-21",93
"2016-02-28",87
"2016-03-06",89
"2016-03-13",88
"2016-03-20",89
"2016-03-27",93
"2016-04-03",92
"2016-04-10",88
"2016-04-17",87
"2016-04-24",87
"2016-05-01",94
"2016-05-08",93
"2016-05-15",90
"2016-05-22",98
"2016-05-29",95
"2016-06-05",91
"2016-06-12",86
"2016-06-19",91
"2016-06-26",91
"2016-07-03",92
"2016-07-10",93
"2016-07-17",94
"2016-07-24",88
"2016-07-31",87
"2016-08-07",89
"2016-08-14",87
"2016-08-21",89
"2016-08-28",83
"2016-09-04",81
"2016-09-11",81
"2016-09-18",78
"2016-09-25",76
"2016-10-02",79
"2016-10-09",83
"2016-10-16",84
"2016-10-23",82
"2016-10-30",80
"2016-11-06",80
"2016-11-13",77
"2016-11-20",81
"2016-11-27",74
"2016-12-04",78
"2016-12-11",77
"2016-12-18",78
"2016-12-25",80
"2017-01-01",80
"2017-01-08",81
"2017-01-15",77
"2017-01-22",81
"2017-01-29",75
"2017-02-05",76
"2017-02-12",77
"2017-02-19",73
"2017-02-26",77
"2017-03-05",74
"2017-03-12",77
"2017-03-19",75
"2017-03-26",76
"2017-04-02",72
"2017-04-09",75
"2017-04-16",78
"2017-04-23",78
"2017-04-30",78
"2017-05-07",79
"2017-05-14",77
"2017-05-21",83
"2017-05-28",80
"2017-06-04",82
"2017-06-11",79
"2017-06-18",81
"2017-06-25",81
"2017-07-02",84
"2017-07-09",78
"2017-07-16",78
"2017-07-23",82
"2017-07-30",82
"2017-08-06",78
"2017-08-13",73
"2017-08-20",81
"2017-08-27",74
"2017-09-03",72
"2017-09-10",74
"2017-09-17",71
"2017-09-24",77
"2017-10-01",73
"2017-10-08",74
"2017-10-15",74
"2017-10-22",68
"2017-10-29",73
"2017-11-05",65
"2017-11-12",65
"2017-11-19",65
"2017-11-26",65
"2017-12-03",61
"2017-12-10",65
"2017-12-17",64
"2017-12-24",68
"2017-12-31",65
"2018-01-07",61
"2018-01-14",62
"2018-01-21",65
"2018-01-28",64
"2018-02-04",63
"2018-02-11",61
"2018-02-18",61
"2018-02-25",60
"2018-03-04",60
"2018-03-11",61
"2018-03-18",60
"2018-03-25",60
"2018-04-01",62
"2018-04-08",62
"2018-04-15",61
"2018-04-22",60
"2018-04-29",60
"2018-05-06",57
"2018-05-13",60
"2018-05-20",58
"2018-05-27",61
"2018-06-03",59
"2018-06-10",60
"2018-06-17",59
"2018-06-24",62
"2018-07-01",61
"2018-07-08",59
"2018-07-15",55
"2018-07-22",57
"2018-07-29",61
"2018-08-05",58
"2018-08-12",58
"2018-08-19",58
"2018-08-26",58
"2018-09-02",57
"2018-09-09",57
"2018-09-16",55
"2018-09-23",53
"2018-09-30",57
"2018-10-07",57
"2018-10-14",56
"2018-10-21",55
"2018-10-28",57
"2018-11-04",50
"2018-11-11",51
"2018-11-18",51
