"date","nebraska"
"2013-12-01",87
"2013-12-08",87
"2013-12-15",86
"2013-12-22",100
"2013-12-29",94
"2014-01-05",89
"2014-01-12",86
"2014-01-19",85
"2014-01-26",83
"2014-02-02",88
"2014-02-09",85
"2014-02-16",87
"2014-02-23",84
"2014-03-02",82
"2014-03-09",88
"2014-03-16",87
"2014-03-23",87
"2014-03-30",88
"2014-04-06",84
"2014-04-13",86
"2014-04-20",88
"2014-04-27",85
"2014-05-04",86
"2014-05-11",85
"2014-05-18",82
"2014-05-25",88
"2014-06-01",87
"2014-06-08",89
"2014-06-15",88
"2014-06-22",86
"2014-06-29",91
"2014-07-06",86
"2014-07-13",84
"2014-07-20",83
"2014-07-27",89
"2014-08-03",82
"2014-08-10",86
"2014-08-17",88
"2014-08-24",82
"2014-08-31",82
"2014-09-07",83
"2014-09-14",83
"2014-09-21",80
"2014-09-28",85
"2014-10-05",80
"2014-10-12",81
"2014-10-19",80
"2014-10-26",82
"2014-11-02",77
"2014-11-09",78
"2014-11-16",75
"2014-11-23",79
"2014-11-30",77
"2014-12-07",73
"2014-12-14",74
"2014-12-21",83
"2014-12-28",80
"2015-01-04",74
"2015-01-11",74
"2015-01-18",76
"2015-01-25",73
"2015-02-01",72
"2015-02-08",71
"2015-02-15",70
"2015-02-22",77
"2015-03-01",75
"2015-03-08",76
"2015-03-15",76
"2015-03-22",77
"2015-03-29",80
"2015-04-05",81
"2015-04-12",76
"2015-04-19",76
"2015-04-26",78
"2015-05-03",77
"2015-05-10",80
"2015-05-17",82
"2015-05-24",82
"2015-05-31",79
"2015-06-07",81
"2015-06-14",81
"2015-06-21",85
"2015-06-28",84
"2015-07-05",84
"2015-07-12",83
"2015-07-19",83
"2015-07-26",85
"2015-08-02",83
"2015-08-09",80
"2015-08-16",83
"2015-08-23",81
"2015-08-30",76
"2015-09-06",74
"2015-09-13",75
"2015-09-20",80
"2015-09-27",82
"2015-10-04",81
"2015-10-11",74
"2015-10-18",77
"2015-10-25",77
"2015-11-01",75
"2015-11-08",71
"2015-11-15",73
"2015-11-22",75
"2015-11-29",70
"2015-12-06",73
"2015-12-13",70
"2015-12-20",85
"2015-12-27",85
"2016-01-03",92
"2016-01-10",88
"2016-01-17",89
"2016-01-24",91
"2016-01-31",95
"2016-02-07",91
"2016-02-14",89
"2016-02-21",90
"2016-02-28",88
"2016-03-06",94
"2016-03-13",88
"2016-03-20",91
"2016-03-27",88
"2016-04-03",87
"2016-04-10",87
"2016-04-17",85
"2016-04-24",85
"2016-05-01",87
"2016-05-08",92
"2016-05-15",92
"2016-05-22",92
"2016-05-29",94
"2016-06-05",89
"2016-06-12",89
"2016-06-19",85
"2016-06-26",89
"2016-07-03",88
"2016-07-10",88
"2016-07-17",85
"2016-07-24",86
"2016-07-31",84
"2016-08-07",80
"2016-08-14",80
"2016-08-21",79
"2016-08-28",76
"2016-09-04",72
"2016-09-11",71
"2016-09-18",76
"2016-09-25",76
"2016-10-02",76
"2016-10-09",75
"2016-10-16",74
"2016-10-23",75
"2016-10-30",78
"2016-11-06",76
"2016-11-13",74
"2016-11-20",75
"2016-11-27",71
"2016-12-04",70
"2016-12-11",70
"2016-12-18",72
"2016-12-25",76
"2017-01-01",78
"2017-01-08",72
"2017-01-15",72
"2017-01-22",73
"2017-01-29",73
"2017-02-05",74
"2017-02-12",74
"2017-02-19",69
"2017-02-26",69
"2017-03-05",70
"2017-03-12",71
"2017-03-19",71
"2017-03-26",70
"2017-04-02",69
"2017-04-09",73
"2017-04-16",74
"2017-04-23",69
"2017-04-30",75
"2017-05-07",75
"2017-05-14",73
"2017-05-21",75
"2017-05-28",77
"2017-06-04",76
"2017-06-11",76
"2017-06-18",75
"2017-06-25",73
"2017-07-02",79
"2017-07-09",76
"2017-07-16",75
"2017-07-23",75
"2017-07-30",74
"2017-08-06",72
"2017-08-13",72
"2017-08-20",72
"2017-08-27",71
"2017-09-03",65
"2017-09-10",66
"2017-09-17",67
"2017-09-24",65
"2017-10-01",65
"2017-10-08",67
"2017-10-15",64
"2017-10-22",64
"2017-10-29",66
"2017-11-05",64
"2017-11-12",62
"2017-11-19",61
"2017-11-26",58
"2017-12-03",57
"2017-12-10",57
"2017-12-17",61
"2017-12-24",66
"2017-12-31",62
"2018-01-07",58
"2018-01-14",58
"2018-01-21",60
"2018-01-28",57
"2018-02-04",58
"2018-02-11",60
"2018-02-18",56
"2018-02-25",57
"2018-03-04",57
"2018-03-11",56
"2018-03-18",63
"2018-03-25",61
"2018-04-01",59
"2018-04-08",60
"2018-04-15",55
"2018-04-22",56
"2018-04-29",56
"2018-05-06",56
"2018-05-13",54
"2018-05-20",57
"2018-05-27",58
"2018-06-03",59
"2018-06-10",57
"2018-06-17",59
"2018-06-24",57
"2018-07-01",59
"2018-07-08",58
"2018-07-15",54
"2018-07-22",60
"2018-07-29",56
"2018-08-05",57
"2018-08-12",55
"2018-08-19",53
"2018-08-26",53
"2018-09-02",55
"2018-09-09",55
"2018-09-16",52
"2018-09-23",51
"2018-09-30",50
"2018-10-07",51
"2018-10-14",50
"2018-10-21",49
"2018-10-28",51
"2018-11-04",49
"2018-11-11",53
"2018-11-18",50
